ccaa,prov,prov_n,population,mesas,pev,votes,vvalid,vcandidacies,vwhile,vnull,mag
Andalucía,4,Almería,709340,809,502627,305414,302424,299763,2661,2990,6
Andalucía,11,Cádiz,1238714,1520,1002295,624195,616079,606858,9221,8116,9
Andalucía,14,Córdoba,785240,935,648341,451775,444376,438971,5405,7399,6
Andalucía,18,Granada,912075,1100,755007,490902,482779,478251,4528,8123,7
Andalucía,21,Huelva,519932,650,399019,255329,250681,247336,3345,4648,5
Andalucía,23,Jaén,638099,892,526659,371043,365106,361745,3361,5937,5
Andalucía,29,Málaga,1641121,1662,1197688,766819,756721,748363,8358,10098,11
Andalucía,41,Sevilla,1939887,2560,1547744,1071247,1053518,1039725,13793,17729,12
Aragón,22,Huesca,219345,399,172722,114791,113597,112234,1363,1194,3
Aragón,44,Teruel,134572,333,107467,74661,74130,73727,403,531,3
Aragón,50,Zaragoza,954811,1435,739573,517639,513284,508295,4989,4355,7
Principado de Asturias,33,Asturias,1028244,1541,972580,565231,559745,552704,7041,5486,7
Illes Balears,7,Illes Balears,1128908,1215,807170,458592,454199,449531,4668,4393,8
Canarias,35,Las Palmas,1109175,1511,871728,489354,483928,479953,3975,5426,8
Canarias,38,Santa Cruz de Tenerife,1018510,1307,855138,468022,463579,460199,3380,4443,7
Cantabria,39,Cantabria,580229,741,501676,329821,327089,325422,1667,2732,5
Castilla - La Mancha,2,Albacete,388786,519,309996,216917,214304,212482,1822,2613,4
Castilla - La Mancha,13,Ciudad Real,499100,706,395785,272470,268594,266237,2357,3876,5
Castilla - La Mancha,16,Cuenca,197222,383,154441,110537,109119,108117,1002,1418,3
Castilla - La Mancha,19,Guadalajara,254308,523,187371,133796,132154,131006,1148,1642,3
Castilla - La Mancha,45,Toledo,687391,926,525752,368619,363474,360813,2661,5145,6
Castilla y León,5,Ávila,158498,357,136717,94793,93496,92741,755,1297,3
Castilla y León,9,Burgos,357070,733,298989,201664,198971,196345,2626,2693,4
Castilla y León,24,León,463746,729,432073,265711,262679,259969,2710,3032,4
Castilla y León,34,Palencia,162035,324,141321,97038,95788,94773,1015,1250,3
Castilla y León,37,Salamanca,331473,684,305536,197673,195170,193188,1982,2503,4
Castilla y León,40,Segovia,153342,319,119492,86451,85039,84034,1005,1412,3
Castilla y León,42,Soria,88600,255,76827,47248,46410,45689,721,838,2
Castilla y León,47,Valladolid,519851,769,432655,314787,311454,308307,3147,3333,5
Castilla y León,49,Zamora,174549,371,168268,101334,99791,98585,1206,1543,3
Cataluña,8,Barcelona,5609350,5985,4201151,2942354,2927755,2907298,20457,14599,32
Cataluña,17,Girona,761947,834,524978,357801,355702,353395,2307,2099,6
Cataluña,25,Lleida,432866,535,314425,208731,207356,205816,1540,1375,4
Cataluña,43,Tarragona,795902,1011,574866,388088,385419,382704,2715,2669,6
Extremadura,6,Badajoz,676376,898,554994,376940,370159,366560,3599,6781,6
Extremadura,10,Cáceres,396487,513,344445,227621,223257,221363,1894,4364,4
Galicia,15,A Coruña,1119351,1541,1087839,620550,613494,606187,7307,7056,8
Galicia,27,Lugo,331327,538,344446,183141,180145,178051,2094,2996,4
Galicia,32,Ourense,309293,542,360302,173598,171471,169805,1666,2127,4
Galicia,36,Pontevedra,941772,1333,906111,530077,522997,517855,5142,7080,7
Comunidad de Madrid,28,Madrid,6578079,7564,5088093,3591464,3563147,3534364,28783,28317,37
Comunidad Foral de Navarra,31,Navarra,647554,976,512826,337996,334982,331531,3451,3014,5
País Vasco,1,Araba / Álava,328868,425,258495,172199,170855,169944,911,1344,4
País Vasco,20,Gipuzkoa,720592,848,584461,384546,382868,380961,1907,1678,6
País Vasco,48,Bizkaia,1149628,1396,949598,633977,630312,626506,3806,3665,8
Región de Murcia,30,Murcia,1478509,1685,1061841,722345,714927,709674,5253,7418,10
La Rioja,26,La Rioja,315675,497,250213,167549,164934,163177,1757,2615,4
Comunitat Valenciana,3,Alicante / Alacant,1838819,2221,1276691,860050,851716,844938,6778,8334,12
Comunitat Valenciana,12,Castellón / Castelló,576898,715,420741,297492,294469,292231,2238,3023,5
Comunitat Valenciana,46,Valencia / València,2547986,3107,1970196,1402405,1390258,1379460,10798,12147,15
Ciudad de Ceuta,51,Ceuta,85144,96,62513,33746,33395,33071,324,351,1
Ciudad de Melilla,52,Melilla,86384,87,59497,31172,30932,30747,185,240,1
