id,home,away,video
201510270GSW,GSW,NOP,auvdQHVoYS4
201510300HOU,HOU,GSW,I1a_W2yoLHk
201510310NOP,NOP,GSW,1CVT6UmtQnQ
201511020GSW,GSW,MEM,wNeVsorxIoE
201511040GSW,GSW,LAC,EGqNNhAibTg
201511060GSW,GSW,DEN,vokice5FqkI
201511070SAC,SAC,GSW,JKajbTxAk5I
201511090GSW,GSW,DET,VG9qSWbCxiw
201511110MEM,MEM,GSW,S_KdG2XsWwM
201511120MIN,MIN,GSW,lmuwCxgbtf4
201511140GSW,GSW,BRK,IO88yp1p8s8
201511170GSW,GSW,TOR,lndkjbamVCI
201511190LAC,LAC,GSW,EGqNNhAibTg
201511200GSW,GSW,CHI,7zZkl-lsySc
201511220DEN,DEN,GSW,3M7aiuawjJ0
201511240GSW,GSW,LAL,G6go_js-qoU
201511270PHO,PHO,GSW,MAH0t65NJqo
201511280GSW,GSW,SAC,PpN7zX5k05Y
201511300UTA,UTA,GSW,ClS213B-lVM
201512020CHO,CHO,GSW,rMZknDqC-Ho
201512050TOR,TOR,GSW,KtmmpCNRMFc
201512060BRK,BRK,GSW,LPDnemFoqVk
201512080IND,IND,GSW,FevAhScI1rg
201512110BOS,BOS,GSW,AOYACk7m7Fk
201512120MIL,MIL,GSW,mcanHTgfOMs
201512160GSW,GSW,PHO,49-jCQI5LVM
201512180GSW,GSW,MIL,RgB5Ub1GNUU
201512230GSW,GSW,UTA,fVk2OXH0P4o
201512250GSW,GSW,CLE,q5yYzqvRVPI
201512280GSW,GSW,SAC,PpN7zX5k05Y
201512300DAL,DAL,GSW,RZOF06pmCSQ
201512310HOU,HOU,GSW,rMZknDqC-Ho
201601020GSW,GSW,DEN,fbyNtHV-5Ac
201601040GSW,GSW,CHO,9jDiDav4naw
201601050LAL,LAL,GSW,05Z8yjBNZVg
201601080POR,POR,GSW,xSs4yUZhb-I
201601090SAC,SAC,GSW,ZEtPf9M78WQ
201601110GSW,GSW,MIA,fXWTMFJlk_s
201601130DEN,DEN,GSW,3M7aiuawjJ0
201601140GSW,GSW,LAL,LPDnemFoqVk
201601160DET,DET,GSW,Mxv5h-RZWVs
201601180CLE,CLE,GSW,Mxv5h-RZWVs
201601200CHI,CHI,GSW,3G4Z4zpp9wc
201601220GSW,GSW,IND,vokice5FqkI
201601250GSW,GSW,SAS,ZZwVbr0AnjU
201601270GSW,GSW,DAL,4j-d-qEWars
201601300PHI,PHI,GSW,l-5HuU369M4
201601310NYK,NYK,GSW,0rp6t9cMF-I
201602030WAS,WAS,GSW,85qIpxoY4GE
201602060GSW,GSW,OKC,wkFLLLwijrw
201602090GSW,GSW,HOU,bRFdAUBvTi0
201602100PHO,PHO,GSW,XVlXnWInITg
201602190POR,POR,GSW,xSs4yUZhb-I
201602200LAC,LAC,GSW,EGqNNhAibTg
201602220ATL,ATL,GSW,6WTafVhT9oc
201602240MIA,MIA,GSW,_r9-r1wQFuM
201602250ORL,ORL,GSW,9jDiDav4naw
201602270OKC,OKC,GSW,wkFLLLwijrw
201603010GSW,GSW,ATL,ArLTfKlyCkk
201603030GSW,GSW,OKC,-USrOy-aCmQ
201603060LAL,LAL,GSW,z_IC1ma5yuw
201603070GSW,GSW,ORL,FJP46GpLxSI
201603090GSW,GSW,UTA,E0t6SvKc5EQ
201603110GSW,GSW,POR,xSs4yUZhb-I
201603120GSW,GSW,PHO,WUVkyNEz1T8
201603140GSW,GSW,NOP,19V79LZTMmc
201603160GSW,GSW,NYK,19V79LZTMmc
201603180DAL,DAL,GSW,cruaZYdxLjc
201603190SAS,SAS,GSW,Mxv5h-RZWVs
201603210MIN,MIN,GSW,d2Uun_4rxyM
201603230GSW,GSW,LAC,8VI1N6-k_ZU
201603250GSW,GSW,DAL,4j-d-qEWars
201603270GSW,GSW,PHI,VH5kYwO3gsk
201603290GSW,GSW,WAS,3wSczVmG1bI
201603300UTA,UTA,GSW,-USrOy-aCmQ
201604010GSW,GSW,BOS,FORXBT6GFa0
