id,video
201710170CLE,hTEb1ReqNtA
201710170GSW,yAHd3b2ce_o
201710180BOS,T5IV07pa71Y
201710180DAL,x6d5JdoLu7Q
201710180DET,BybwKA6u0YQ
201710180IND,geZ3rdCjYwg
201710180MEM,GdpkIZNFyeI
201710180ORL,Ajv62p_uhlo
201710180PHO,z_hgfUTHsbw
201710180SAC,N6qj1qakVN4
201710180SAS,7o_NGfLxGS4
201710180UTA,7o_NGfLxGS4
201710180WAS,LdMx8Go9-gw
201710190LAL,-dfJ_6XjGXk
201710190OKC,MvOqyDMjDII
201710190TOR,Cgsx17jGwas
201710200BRK,WbO9B2NgEvg
201710200CHO,5VpFpiv1SL0
201710200DAL,p_dq4qS5ADw
201710200IND,KJo9sWpjPmg
201710200MIL,T5IV07pa71Y
201710200MIN,RqRLUJqUpfM
201710200NOP,R_k_crufV1g
201710200PHI,sDBODXMrcj8
201710200PHO,vpsP_cg8urU
201710200WAS,lNb9ogObN0A
201710210CHI,7MiusfOUyRY
201710210CLE,AQjQ5T5R5B8
201710210DEN,VZ6Y4B3Wrqw
201710210HOU,RV4xwBBFoM4
201710210LAC,e7kyR66oH38
201710210MEM,XPuIiZfVNns
201710210MIA,hD_zm7OBXYs
201710210MIL,t0cCZOtw8mA
201710210NYK,Q1tv-lsS33s
201710210TOR,52qxVuZOuIM
201710210UTA,kfh5GwWQv3o
201710220BRK,nqyV-V8AQag
201710220LAL,Lv_eXTwVDcw
201710220OKC,yrkeio-IpUQ
201710230DAL,lsAzCXv0OTw
201710230DEN,_gpWK0sUdQM
201710230DET,bSaL7qbh31g
201710230HOU,Y1QSqxkOtpg
201710230MIA,8NLSHtLJR0Y
201710230MIL,3MNcb7YraCI
201710230PHO,VMucDrFDFNw
201710230SAS,AxYvZxUBucM
201710240BOS,wNWOthdz8yA
201710240CLE,k3It58wS_i8
201710240LAC,4l9z45xohbU
201710240MIN,7T4wdZWRLvQ
201710240ORL,nTvS7LpV7HA
201710240POR,s78PmSszbTw
201710250BRK,LHKyOEHk-oc
201710250CHO,DEee_1gDRmc
201710250DAL,nJE2ToFQUXE
201710250DET,FlgogELYnI0
201710250GSW,RgB5Ub1GNUU
201710250LAL,LHKyOEHk-oc
201710250MIA,ZZwVbr0AnjU
201710250OKC,G-uccuqoiac
201710250PHI,SkpvBkps8nE
201710250PHO,hqry5WbafHM
201710260CHI,2U_8_4nf8cg
201710260MEM,_HmzH_s8SYA
201710260MIL,0WTtlpv4s4o
201710260POR,u2TaN1purhU
201710260SAC,VcGelH8FJ0Q
201710270ATL,ewVTUP0K9YY
201710270CHO,1J6eXOL-vZQ
201710270GSW,1J6eXOL-vZQ
201710270LAL,idUDrJOPCSw
201710270MIN,skR7rc1RyjI
201710270NYK,a9Q7wo4TZMI
201710270ORL,7Z4O_G0HKXY
201710280CHI,gxc-RfBlmsY
201710280DAL,N0CcRFxHNTI
201710280LAC,S3I9bZjK7To
201710280MEM,Z2uRevMZn9A
201710280MIA,-UVXi2IwpYM
201710280NOP,FpI8HQOV82M
201710280POR,o9oGSqAAIys
201710280UTA,3XdUQSDLyVM
201710290ATL,dj02sb8ifvM
201710290BRK,R9POmMnc93k
201710290CHO,nqu7oS20d7U
201710290CLE,JvA89Son1P8
201710290GSW,N_rgW7PWJFc
201710290IND,BR-bKpq6jpw
201710290SAC,3EsT6Aq_bKI
201710300BOS,L3mMEcMEldc
201710300HOU,M43fmcEhoyM
201710300LAC,EGqNNhAibTg
201710300MEM,4jMgr2mY4Qo
201710300MIA,Vzp-NTgGTTo
201710300NOP,QTuYcThRqjQ
201710300NYK,nVV35T0mssA
201710300POR,qGAamgmpYoQ
201710300UTA,0a87Phaitl8
201710310BRK,XcSLL8yAZ3Y
201710310IND,jdOTKWw5wBM
201710310LAL,kmc-p3PKC5o
201710310MIL,9grxANuzVa4
201711010BOS,bkPptfIuviA
201711010CHO,17tzJqtR1UM
201711010CLE,A6RFsXdK0Lw
201711010DEN,4umRHTpWLsg
201711010LAC,l_OUvWb9S7o
201711010MEM,nTvS7LpV7HA
201711010MIA,q9az0U05qc4
201711010NOP,bpqgOQXdKAI
201711010NYK,HvMh1ly0ezk
201711010PHI,M7vWSppGSwk
201711010UTA,_lS0hPjDwCo
201711010WAS,Pan_1zX0RPE
201711020POR,riHkgYQZevI
201711020SAS,rEtlFJTwago
201711030ATL,01KN2q62SYQ
201711030DAL,ZJSlpLRjBk4
201711030DEN,pjSflSwIDEc
201711030DET,zmTknlIYHXY
201711030LAL,51kFHWpeERU
201711030NYK,Pan_1zX0RPE
201711030OKC,pFnNhRwNME4
201711030ORL,SjPoCR5hTTY
201711030PHI,62tOGYW5vDY
201711030SAS,bjCk1G5xDZo
201711030UTA,F0wKQ-FsUTM
201711030WAS,AhUbAbQ6DeM
201711040CHI,pjDrnsJPJVo
201711040DEN,MMRdvbUpp-U
201711040DET,W4K7nKW6sDg
201711040LAC,NnlA6J5Qs4U
201711040MIN,x6d5JdoLu7Q
201711050CLE,FodEER3fhaY
201711050HOU,DhG9rtCR7rw
201711050LAC,8VxeJFQIjlY
201711050LAL,60qDALAiIb8
201711050MIN,9nTXhGspAPE
201711050NYK,_tRcElkx2bE
201711050ORL,iJQei10q5ac
201711050POR,bsagopMV3ps
201711050SAS,G_u_klbc2W0
201711050TOR,AhUbAbQ6DeM
201711060ATL,rh3jzNOWvcA
201711060GSW,nKduGl2A1bk
201711060PHO,4R_oymvo7do
201711070CLE,DoptObezZAs
201711070DEN,8mk7-WtHDSw
201711070IND,p_Yabl2XW5M
201711070NYK,rq5uV5PM10c
201711070POR,_lS0hPjDwCo
201711070SAC,MMRdvbUpp-U
201711070SAS,M2K7gOPcCIo
201711070TOR,Cgsx17jGwas
201711070UTA,rL_zNF6yQAM
201711070WAS,hbvtWdbm1Ug
201711080BOS,iwcL4ZCp0ks
201711080DET,kmc-p3PKC5o
201711080GSW,et7Ay-jOvVw
201711080ORL,QTuYcThRqjQ
201711080PHO,Ou66C8pykQQ
201711090DEN,ewVTUP0K9YY
201711090HOU,j69ZASKvyWo
201711090SAC,PC-oh24Vk7c
201711090TOR,ccVGHi6Ln3U
201711090WAS,AhUbAbQ6DeM
201711100BOS,76Xw1WWVNJI
201711100CHI,GMw_ZpEt9h8
201711100DET,c-ioi0-fowk
201711100OKC,RP9K-YH3btQ
201711100PHO,nTvS7LpV7HA
201711100POR,a9Q7wo4TZMI
201711100SAS,xNraJcMRiW4
201711100UTA,RPlPgrqHlMw
201711110DAL,CxmGAflUk-s
201711110DEN,MMRdvbUpp-U
201711110GSW,3HQZYBZpjFc
201711110HOU,W4eCG1s4Vuk
201711110MIL,OJyLvQIQRVQ
201711110NOP,o-5pHwkRW2s
201711110NYK,d3_9E7vFJqg
201711110PHO,KLJ-ldyNqRs
201711110SAS,cuLprHh_BRg
201711110UTA,1hQ-v2LLFpA
201711110WAS,zuKbyixSYNk
201711120BOS,FtVgkxOYhFs
201711120DET,Ajv62p_uhlo
201711120IND,b3S-sJcmz7o
201711120OKC,CgTHDwlfPH4
201711130GSW,vIcu6vcH0EM
201711130LAC,A9QbKosLa1Q
201711130MIL,bQGEfIkS3vo
201711130NOP,wwVlOLHrm9Q
201711130NYK,JvA89Son1P8
201711130PHO,vpsP_cg8urU
201711130POR,1puTri4uUIY
201711130UTA,gxUDBKUTDSg
201711130WAS,3EsT6Aq_bKI
201711140BRK,q8g15sgcu80
201711140DAL,88EvnrLwwmg
201711140HOU,hLWE_Wt6Li4
201711150ATL,qdgMLrqQrYU
201711150CHO,YIt_eCZK8Ec
201711150LAL,H0hDgHKzgCo
201711150MEM,l1ktQ1tytn8
201711150MIA,TgaQSHzofPw
201711150MIL,zmTknlIYHXY
201711150MIN,dLMMoLVWcSw
201711150NOP,4umRHTpWLsg
201711150NYK,rL_zNF6yQAM
201711150OKC,q9az0U05qc4
201711150POR,5c8vTRSHFw8
201711160BOS,AOYACk7m7Fk
201711160PHO,qAf1yBPgrPg
201711170BRK,L9o_YuTqa_s
201711170CHI,xYJSYkGp_Tg
201711170CLE,jC-Tygnrlyw
201711170DAL,cXilrpeEqHc
201711170DEN,TylObfEP2_0
201711170IND,BybwKA6u0YQ
201711170LAL,vpsP_cg8urU
201711170SAC,_lS0hPjDwCo
201711170SAS,-AS_UpZcYD4
201711170TOR,cS66uvgLgp8
201711170WAS,nkLUMfaI8QM
201711180ATL,Ajv62p_uhlo
201711180CHO,cy1k4uHVHMo
201711180DAL,hbvtWdbm1Ug
201711180MEM,Hs-Ba9fftLw
201711180ORL,N2vbkJjZG5A
201711180PHI,LLmN1mYHCb0
201711180POR,cxUin0aT9l4
201711190BRK,1hQ-v2LLFpA
201711190LAL,ju40vYNp0Uc
201711190MIA,j9wxvVf4KeA
201711190MIN,FlgogELYnI0
201711190PHO,vpsP_cg8urU
201711190TOR,kr9hGMasJys
201711200CHO,-Tfk7I0MODU
201711200DAL,nDl28m9NfGc
201711200DET,IbAVoDwpHP0
201711200MEM,SEqrW_AYt4k
201711200MIL,krwZ6r1e_nM
201711200NOP,kaCmpn2t8Nc
