id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
199611010ORL,RS,ORL,0.0,,0,0,0
199611010ORL,RS,ORL,33.0,,2,0,2
199611010ORL,RS,ORL,62.0,LC,2,3,-1
199611010ORL,RS,ORL,98.0,,2,5,-3
199611010ORL,RS,ORL,130.0,,4,5,-1
199611010ORL,RS,ORL,130.0,T,5,5,0
199611010ORL,RS,ORL,148.0,LC,7,5,2
199611010ORL,RS,ORL,176.0,T,7,7,0
199611010ORL,RS,ORL,209.0,,9,7,2
199611010ORL,RS,ORL,245.0,T,9,9,0
199611010ORL,RS,ORL,262.0,,11,9,2
199611010ORL,RS,ORL,297.0,,13,9,4
199611010ORL,RS,ORL,319.0,,13,11,2
199611010ORL,RS,ORL,356.0,T,13,13,0
199611010ORL,RS,ORL,460.0,LC,13,15,-2
199611010ORL,RS,ORL,494.0,,13,17,-4
199611010ORL,RS,ORL,529.0,,13,18,-5
199611010ORL,RS,ORL,529.0,,13,19,-6
199611010ORL,RS,ORL,540.0,,15,19,-4
199611010ORL,RS,ORL,563.0,,18,19,-1
199611010ORL,RS,ORL,583.0,,18,20,-2
199611010ORL,RS,ORL,583.0,,18,21,-3
199611010ORL,RS,ORL,619.0,,18,22,-4
199611010ORL,RS,ORL,619.0,,18,23,-5
199611010ORL,RS,ORL,668.0,,18,25,-7
199611010ORL,RS,ORL,695.0,,18,26,-8
199611010ORL,RS,ORL,745.0,,21,26,-5
199611010ORL,RS,ORL,784.0,,21,28,-7
199611010ORL,RS,ORL,869.0,,21,30,-9
199611010ORL,RS,ORL,869.0,,21,31,-10
199611010ORL,RS,ORL,894.0,,24,31,-7
199611010ORL,RS,ORL,908.0,,24,34,-10
199611010ORL,RS,ORL,926.0,,26,34,-8
199611010ORL,RS,ORL,944.0,,26,37,-11
199611010ORL,RS,ORL,960.0,,28,37,-9
199611010ORL,RS,ORL,993.0,,28,39,-11
199611010ORL,RS,ORL,1028.0,,28,41,-13
199611010ORL,RS,ORL,1066.0,,28,43,-15
199611010ORL,RS,ORL,1066.0,,28,44,-16
199611010ORL,RS,ORL,1102.0,,30,44,-14
199611010ORL,RS,ORL,1126.0,,30,46,-16
199611010ORL,RS,ORL,1154.0,,30,47,-17
199611010ORL,RS,ORL,1154.0,,30,48,-18
199611010ORL,RS,ORL,1164.0,,32,48,-16
199611010ORL,RS,ORL,1200.0,,34,48,-14
199611010ORL,RS,ORL,1221.0,,34,50,-16
199611010ORL,RS,ORL,1246.0,,36,50,-14
199611010ORL,RS,ORL,1265.0,,36,52,-16
199611010ORL,RS,ORL,1279.0,,37,52,-15
199611010ORL,RS,ORL,1293.0,,38,52,-14
199611010ORL,RS,ORL,1293.0,,39,52,-13
199611010ORL,RS,ORL,1377.0,,41,52,-11
199611010ORL,RS,ORL,1377.0,,42,52,-10
199611010ORL,RS,ORL,1410.0,,43,52,-9
199611010ORL,RS,ORL,1431.0,,45,52,-7
199611010ORL,RS,ORL,1481.0,,48,52,-4
199611010ORL,RS,ORL,1543.0,,50,52,-2
199611010ORL,RS,ORL,1575.0,,51,52,-1
199611010ORL,RS,ORL,1597.0,,51,55,-4
199611010ORL,RS,ORL,1626.0,,51,57,-6
199611010ORL,RS,ORL,1662.0,,51,59,-8
199611010ORL,RS,ORL,1678.0,,53,59,-6
199611010ORL,RS,ORL,1702.0,,53,60,-7
199611010ORL,RS,ORL,1702.0,,53,61,-8
199611010ORL,RS,ORL,1717.0,,54,61,-7
199611010ORL,RS,ORL,1717.0,,55,61,-6
199611010ORL,RS,ORL,1737.0,,55,63,-8
199611010ORL,RS,ORL,1813.0,,55,65,-10
199611010ORL,RS,ORL,1829.0,,56,65,-9
199611010ORL,RS,ORL,1829.0,,57,65,-8
199611010ORL,RS,ORL,1850.0,,57,67,-10
199611010ORL,RS,ORL,1867.0,,57,68,-11
199611010ORL,RS,ORL,1911.0,,59,68,-9
199611010ORL,RS,ORL,1983.0,,61,68,-7
199611010ORL,RS,ORL,2012.0,,63,68,-5
199611010ORL,RS,ORL,2081.0,,65,68,-3
199611010ORL,RS,ORL,2096.0,,65,71,-6
199611010ORL,RS,ORL,2125.0,,67,71,-4
199611010ORL,RS,ORL,2158.0,,69,71,-2
199611010ORL,RS,ORL,2171.0,T,71,71,0
199611010ORL,RS,ORL,2195.0,,71,73,-2
199611010ORL,RS,ORL,2233.0,,71,75,-4
199611010ORL,RS,ORL,2289.0,,73,75,-2
199611010ORL,RS,ORL,2309.0,,74,75,-1
199611010ORL,RS,ORL,2309.0,T,75,75,0
199611010ORL,RS,ORL,2336.0,LC,77,75,2
199611010ORL,RS,ORL,2398.0,,78,75,3
199611010ORL,RS,ORL,2420.0,,80,75,5
199611010ORL,RS,ORL,2467.0,,80,76,4
199611010ORL,RS,ORL,2492.0,,80,78,2
199611010ORL,RS,ORL,2514.0,,81,78,3
199611010ORL,RS,ORL,2514.0,,82,78,4
199611010ORL,RS,ORL,2529.0,,82,80,2
199611010ORL,RS,ORL,2553.0,,84,80,4
199611010ORL,RS,ORL,2553.0,,85,80,5
199611010ORL,RS,ORL,2621.0,,85,82,3
199611010ORL,RS,ORL,2650.0,,86,82,4
199611010ORL,RS,ORL,2672.0,,86,83,3
199611010ORL,RS,ORL,2672.0,,86,84,2
199611010ORL,RS,ORL,2679.0,,87,84,3
199611010ORL,RS,ORL,2724.0,,89,84,5
199611010ORL,RS,ORL,2785.0,,89,86,3
199611010ORL,RS,ORL,2804.0,,91,86,5
199611010ORL,RS,ORL,2818.0,,91,88,3
199611010ORL,RS,ORL,2834.0,,93,88,5
199611010ORL,RS,ORL,2844.0,,93,90,3
199611010ORL,RS,ORL,2873.0,,93,92,1
199611010ORL,RS,ORL,2874.0,,94,92,2
199611010ORL,RS,ORL,2874.0,,95,92,3
199611010ORL,RS,ORL,2876.0,F,96,92,4
199611010ORL,RS,ORL,2880.0,,96,92,4
199611020WSB,RS,CLE,0.0,,0,0,0
199611020WSB,RS,CLE,21.0,,2,0,2
199611020WSB,RS,CLE,41.0,T,2,2,0
199611020WSB,RS,CLE,63.0,,4,2,2
199611020WSB,RS,CLE,88.0,,6,2,4
199611020WSB,RS,CLE,109.0,,6,3,3
199611020WSB,RS,CLE,109.0,,6,4,2
199611020WSB,RS,CLE,129.0,,8,4,4
199611020WSB,RS,CLE,231.0,,8,6,2
199611020WSB,RS,CLE,252.0,T,8,8,0
199611020WSB,RS,CLE,342.0,LC,8,10,-2
199611020WSB,RS,CLE,400.0,T,10,10,0
199611020WSB,RS,CLE,452.0,,10,12,-2
199611020WSB,RS,CLE,517.0,T,12,12,0
199611020WSB,RS,CLE,535.0,,12,14,-2
