id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
199710310VAN,RS,VAN,0.0,,0,0,0
199710310VAN,RS,VAN,42.0,,2,0,2
199710310VAN,RS,VAN,75.0,T,2,2,0
199710310VAN,RS,VAN,91.0,,4,2,2
199710310VAN,RS,VAN,113.0,T,4,4,0
199710310VAN,RS,VAN,134.0,,6,4,2
199710310VAN,RS,VAN,140.0,T,6,6,0
199710310VAN,RS,VAN,157.0,,8,6,2
199710310VAN,RS,VAN,197.0,T,8,8,0
199710310VAN,RS,VAN,222.0,,10,8,2
199710310VAN,RS,VAN,250.0,T,10,10,0
199710310VAN,RS,VAN,257.0,,12,10,2
199710310VAN,RS,VAN,282.0,,14,10,4
199710310VAN,RS,VAN,316.0,,16,10,6
199710310VAN,RS,VAN,364.0,,18,10,8
199710310VAN,RS,VAN,395.0,,18,12,6
199710310VAN,RS,VAN,452.0,,20,12,8
199710310VAN,RS,VAN,482.0,,21,12,9
199710310VAN,RS,VAN,510.0,,21,14,7
199710310VAN,RS,VAN,534.0,,22,14,8
199710310VAN,RS,VAN,560.0,,24,14,10
199710310VAN,RS,VAN,604.0,,26,14,12
199710310VAN,RS,VAN,632.0,,26,16,10
199710310VAN,RS,VAN,657.0,,26,17,9
199710310VAN,RS,VAN,657.0,,26,18,8
199710310VAN,RS,VAN,757.0,,26,20,6
199710310VAN,RS,VAN,810.0,,26,22,4
199710310VAN,RS,VAN,825.0,,28,22,6
199710310VAN,RS,VAN,917.0,,29,22,7
199710310VAN,RS,VAN,917.0,,30,22,8
199710310VAN,RS,VAN,931.0,,30,23,7
199710310VAN,RS,VAN,937.0,,30,25,5
199710310VAN,RS,VAN,988.0,,30,27,3
199710310VAN,RS,VAN,1002.0,,30,29,1
199710310VAN,RS,VAN,1024.0,,32,29,3
199710310VAN,RS,VAN,1074.0,,33,29,4
199710310VAN,RS,VAN,1074.0,,34,29,5
199710310VAN,RS,VAN,1087.0,,34,31,3
199710310VAN,RS,VAN,1153.0,T,34,34,0
199710310VAN,RS,VAN,1188.0,LC,34,36,-2
199710310VAN,RS,VAN,1234.0,T,36,36,0
199710310VAN,RS,VAN,1238.0,,36,38,-2
199710310VAN,RS,VAN,1251.0,,37,38,-1
199710310VAN,RS,VAN,1251.0,T,38,38,0
199710310VAN,RS,VAN,1260.0,LC,39,38,1
199710310VAN,RS,VAN,1303.0,T,39,39,0
199710310VAN,RS,VAN,1303.0,LC,39,40,-1
199710310VAN,RS,VAN,1346.0,,39,42,-3
199710310VAN,RS,VAN,1363.0,,41,42,-1
199710310VAN,RS,VAN,1409.0,,41,43,-2
199710310VAN,RS,VAN,1430.0,,41,45,-4
199710310VAN,RS,VAN,1437.0,,42,45,-3
199710310VAN,RS,VAN,1437.0,,43,45,-2
199710310VAN,RS,VAN,1453.0,T,45,45,0
199710310VAN,RS,VAN,1477.0,,45,47,-2
199710310VAN,RS,VAN,1504.0,,45,49,-4
199710310VAN,RS,VAN,1571.0,,45,50,-5
199710310VAN,RS,VAN,1596.0,,47,50,-3
199710310VAN,RS,VAN,1630.0,,49,50,-1
199710310VAN,RS,VAN,1675.0,,49,52,-3
199710310VAN,RS,VAN,1675.0,,49,53,-4
199710310VAN,RS,VAN,1696.0,,51,53,-2
199710310VAN,RS,VAN,1696.0,,52,53,-1
199710310VAN,RS,VAN,1716.0,LC,54,53,1
199710310VAN,RS,VAN,1716.0,,55,53,2
199710310VAN,RS,VAN,1729.0,T,55,55,0
199710310VAN,RS,VAN,1759.0,LC,55,57,-2
199710310VAN,RS,VAN,1759.0,,55,58,-3
199710310VAN,RS,VAN,1790.0,,56,58,-2
199710310VAN,RS,VAN,1806.0,,56,60,-4
199710310VAN,RS,VAN,1827.0,,58,60,-2
199710310VAN,RS,VAN,1874.0,T,60,60,0
199710310VAN,RS,VAN,1893.0,LC,61,60,1
199710310VAN,RS,VAN,1893.0,,62,60,2
199710310VAN,RS,VAN,1909.0,,64,60,4
199710310VAN,RS,VAN,1909.0,,65,60,5
199710310VAN,RS,VAN,1984.0,,67,60,7
199710310VAN,RS,VAN,2010.0,,68,60,8
199710310VAN,RS,VAN,2010.0,,69,60,9
199710310VAN,RS,VAN,2045.0,,69,62,7
199710310VAN,RS,VAN,2079.0,,69,64,5
199710310VAN,RS,VAN,2101.0,,69,65,4
199710310VAN,RS,VAN,2101.0,,69,66,3
199710310VAN,RS,VAN,2119.0,,71,66,5
199710310VAN,RS,VAN,2159.0,,74,66,8
199710310VAN,RS,VAN,2175.0,,74,68,6
199710310VAN,RS,VAN,2200.0,,74,70,4
199710310VAN,RS,VAN,2226.0,,76,70,6
199710310VAN,RS,VAN,2232.0,,76,71,5
199710310VAN,RS,VAN,2338.0,,78,71,7
199710310VAN,RS,VAN,2365.0,,78,73,5
199710310VAN,RS,VAN,2402.0,,78,74,4
199710310VAN,RS,VAN,2402.0,,78,75,3
199710310VAN,RS,VAN,2438.0,,78,77,1
199710310VAN,RS,VAN,2505.0,,79,77,2
199710310VAN,RS,VAN,2546.0,T,79,79,0
199710310VAN,RS,VAN,2577.0,,81,79,2
199710310VAN,RS,VAN,2597.0,T,81,81,0
199710310VAN,RS,VAN,2662.0,,83,81,2
199710310VAN,RS,VAN,2662.0,,84,81,3
199710310VAN,RS,VAN,2699.0,,84,83,1
199710310VAN,RS,VAN,2719.0,,85,83,2
199710310VAN,RS,VAN,2719.0,,86,83,3
199710310VAN,RS,VAN,2822.0,,88,83,5
199710310VAN,RS,VAN,2836.0,,88,85,3
199710310VAN,RS,VAN,2870.0,,89,85,4
199710310VAN,RS,VAN,2875.0,,89,88,1
199710310VAN,RS,VAN,2876.0,F,90,88,2
199710310VAN,RS,VAN,2880.0,,90,88,2
199711010SEA,RS,SEA,0.0,,0,0,0
199711010SEA,RS,SEA,25.0,,0,1,-1
199711010SEA,RS,SEA,25.0,,0,2,-2
199711010SEA,RS,SEA,36.0,T,2,2,0
199711010SEA,RS,SEA,59.0,,2,4,-2
199711010SEA,RS,SEA,128.0,,2,6,-4
199711010SEA,RS,SEA,178.0,,4,6,-2
199711010SEA,RS,SEA,199.0,T,6,6,0
199711010SEA,RS,SEA,208.0,,6,8,-2
199711010SEA,RS,SEA,279.0,,7,8,-1
199711010SEA,RS,SEA,279.0,T,8,8,0
199711010SEA,RS,SEA,319.0,LC,10,8,2
199711010SEA,RS,SEA,331.0,T,10,10,0
199711010SEA,RS,SEA,442.0,,12,10,2
199711010SEA,RS,SEA,455.0,LC,12,13,-1
199711010SEA,RS,SEA,510.0,,12,15,-3
199711010SEA,RS,SEA,530.0,,14,15,-1
199711010SEA,RS,SEA,656.0,,14,17,-3
199711010SEA,RS,SEA,683.0,,14,18,-4
199711010SEA,RS,SEA,683.0,,14,19,-5
199711010SEA,RS,SEA,717.0,,14,22,-8
199711010SEA,RS,SEA,719.0,,14,25,-11
199711010SEA,RS,SEA,751.0,,14,27,-13
199711010SEA,RS,SEA,782.0,,16,27,-11
199711010SEA,RS,SEA,800.0,,18,27,-9
199711010SEA,RS,SEA,814.0,,18,29,-11
199711010SEA,RS,SEA,860.0,,18,30,-12
199711010SEA,RS,SEA,947.0,,18,32,-14
199711010SEA,RS,SEA,958.0,,18,34,-16
199711010SEA,RS,SEA,1021.0,,18,36,-18
199711010SEA,RS,SEA,1052.0,,18,38,-20
199711010SEA,RS,SEA,1076.0,,20,38,-18
199711010SEA,RS,SEA,1076.0,,21,38,-17
199711010SEA,RS,SEA,1111.0,,23,38,-15
199711010SEA,RS,SEA,1131.0,,23,40,-17
199711010SEA,RS,SEA,1153.0,,25,40,-15
199711010SEA,RS,SEA,1182.0,,26,40,-14
199711010SEA,RS,SEA,1182.0,,27,40,-13
199711010SEA,RS,SEA,1196.0,,27,41,-14
199711010SEA,RS,SEA,1196.0,,27,42,-15
199711010SEA,RS,SEA,1212.0,,28,42,-14
199711010SEA,RS,SEA,1212.0,,29,42,-13
199711010SEA,RS,SEA,1240.0,,31,42,-11
199711010SEA,RS,SEA,1271.0,,33,42,-9
199711010SEA,RS,SEA,1342.0,,35,42,-7
199711010SEA,RS,SEA,1350.0,,35,44,-9
199711010SEA,RS,SEA,1350.0,,35,45,-10
199711010SEA,RS,SEA,1373.0,,37,45,-8
199711010SEA,RS,SEA,1391.0,,37,48,-11
199711010SEA,RS,SEA,1413.0,,39,48,-9
199711010SEA,RS,SEA,1517.0,,39,50,-11
199711010SEA,RS,SEA,1549.0,,39,52,-13
199711010SEA,RS,SEA,1583.0,,41,52,-11
199711010SEA,RS,SEA,1601.0,,41,54,-13
199711010SEA,RS,SEA,1648.0,,41,55,-14
199711010SEA,RS,SEA,1692.0,,42,55,-13
199711010SEA,RS,SEA,1692.0,,43,55,-12
199711010SEA,RS,SEA,1736.0,,43,57,-14
199711010SEA,RS,SEA,1756.0,,44,57,-13
199711010SEA,RS,SEA,1792.0,,44,59,-15
199711010SEA,RS,SEA,1826.0,,44,60,-16
199711010SEA,RS,SEA,1826.0,,44,61,-17
199711010SEA,RS,SEA,1887.0,,44,64,-20
