id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
199710310POR,RS,SEA,0.0,,0,0,0
199710310POR,RS,SEA,81.0,,2,0,2
199710310POR,RS,SEA,125.0,T,2,2,0
199710310POR,RS,SEA,162.0,LC,2,4,-2
199710310POR,RS,SEA,162.0,,2,5,-3
199710310POR,RS,SEA,220.0,,4,5,-1
199710310POR,RS,SEA,237.0,,4,7,-3
199710310POR,RS,SEA,257.0,,6,7,-1
199710310POR,RS,SEA,263.0,,6,9,-3
199710310POR,RS,SEA,263.0,,6,10,-4
199710310POR,RS,SEA,284.0,,6,12,-6
199710310POR,RS,SEA,293.0,,8,12,-4
199710310POR,RS,SEA,317.0,,10,12,-2
199710310POR,RS,SEA,374.0,T,12,12,0
199710310POR,RS,SEA,431.0,LC,14,12,2
199710310POR,RS,SEA,517.0,T,14,14,0
199710310POR,RS,SEA,541.0,,16,14,2
199710310POR,RS,SEA,557.0,,18,14,4
199710310POR,RS,SEA,573.0,,18,17,1
199710310POR,RS,SEA,607.0,LC,18,19,-1
199710310POR,RS,SEA,644.0,LC,20,19,1
199710310POR,RS,SEA,664.0,T,20,20,0
199710310POR,RS,SEA,680.0,LC,20,22,-2
199710310POR,RS,SEA,714.0,,20,23,-3
199710310POR,RS,SEA,714.0,,20,24,-4
199710310POR,RS,SEA,763.0,,20,26,-6
199710310POR,RS,SEA,789.0,,20,27,-7
199710310POR,RS,SEA,797.0,,20,29,-9
199710310POR,RS,SEA,816.0,,22,29,-7
199710310POR,RS,SEA,842.0,,22,31,-9
199710310POR,RS,SEA,879.0,,22,33,-11
199710310POR,RS,SEA,906.0,,22,35,-13
199710310POR,RS,SEA,933.0,,24,35,-11
199710310POR,RS,SEA,985.0,,26,35,-9
199710310POR,RS,SEA,1002.0,,26,37,-11
199710310POR,RS,SEA,1031.0,,28,37,-9
199710310POR,RS,SEA,1031.0,,29,37,-8
199710310POR,RS,SEA,1047.0,,29,40,-11
199710310POR,RS,SEA,1125.0,,29,41,-12
199710310POR,RS,SEA,1139.0,,31,41,-10
199710310POR,RS,SEA,1168.0,,33,41,-8
199710310POR,RS,SEA,1183.0,,33,43,-10
199710310POR,RS,SEA,1227.0,,33,45,-12
199710310POR,RS,SEA,1253.0,,35,45,-10
199710310POR,RS,SEA,1333.0,,35,47,-12
199710310POR,RS,SEA,1347.0,,38,47,-9
199710310POR,RS,SEA,1369.0,,38,49,-11
199710310POR,RS,SEA,1386.0,,39,49,-10
199710310POR,RS,SEA,1403.0,,39,52,-13
199710310POR,RS,SEA,1413.0,,41,52,-11
199710310POR,RS,SEA,1507.0,,44,52,-8
199710310POR,RS,SEA,1534.0,,44,55,-11
199710310POR,RS,SEA,1553.0,,44,56,-12
199710310POR,RS,SEA,1559.0,,46,56,-10
199710310POR,RS,SEA,1559.0,,47,56,-9
199710310POR,RS,SEA,1568.0,,48,56,-8
