id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
199710310POR,RS,POR,0.0,,0,0,0
199710310POR,RS,POR,81.0,,0,2,-2
199710310POR,RS,POR,125.0,T,2,2,0
199710310POR,RS,POR,162.0,LC,4,2,2
199710310POR,RS,POR,162.0,,5,2,3
199710310POR,RS,POR,220.0,,5,4,1
199710310POR,RS,POR,237.0,,7,4,3
199710310POR,RS,POR,257.0,,7,6,1
199710310POR,RS,POR,263.0,,9,6,3
199710310POR,RS,POR,263.0,,10,6,4
199710310POR,RS,POR,284.0,,12,6,6
199710310POR,RS,POR,293.0,,12,8,4
199710310POR,RS,POR,317.0,,12,10,2
199710310POR,RS,POR,374.0,T,12,12,0
199710310POR,RS,POR,431.0,LC,12,14,-2
199710310POR,RS,POR,517.0,T,14,14,0
199710310POR,RS,POR,541.0,,14,16,-2
199710310POR,RS,POR,557.0,,14,18,-4
199710310POR,RS,POR,573.0,,17,18,-1
199710310POR,RS,POR,607.0,LC,19,18,1
199710310POR,RS,POR,644.0,LC,19,20,-1
199710310POR,RS,POR,664.0,T,20,20,0
199710310POR,RS,POR,680.0,LC,22,20,2
199710310POR,RS,POR,714.0,,23,20,3
199710310POR,RS,POR,714.0,,24,20,4
199710310POR,RS,POR,763.0,,26,20,6
199710310POR,RS,POR,789.0,,27,20,7
199710310POR,RS,POR,797.0,,29,20,9
199710310POR,RS,POR,816.0,,29,22,7
199710310POR,RS,POR,842.0,,31,22,9
199710310POR,RS,POR,879.0,,33,22,11
199710310POR,RS,POR,906.0,,35,22,13
199710310POR,RS,POR,933.0,,35,24,11
199710310POR,RS,POR,985.0,,35,26,9
199710310POR,RS,POR,1002.0,,37,26,11
199710310POR,RS,POR,1031.0,,37,28,9
199710310POR,RS,POR,1031.0,,37,29,8
199710310POR,RS,POR,1047.0,,40,29,11
199710310POR,RS,POR,1125.0,,41,29,12
199710310POR,RS,POR,1139.0,,41,31,10
199710310POR,RS,POR,1168.0,,41,33,8
199710310POR,RS,POR,1183.0,,43,33,10
199710310POR,RS,POR,1227.0,,45,33,12
199710310POR,RS,POR,1253.0,,45,35,10
199710310POR,RS,POR,1333.0,,47,35,12
199710310POR,RS,POR,1347.0,,47,38,9
199710310POR,RS,POR,1369.0,,49,38,11
199710310POR,RS,POR,1386.0,,49,39,10
199710310POR,RS,POR,1403.0,,52,39,13
199710310POR,RS,POR,1413.0,,52,41,11
199710310POR,RS,POR,1507.0,,52,44,8
199710310POR,RS,POR,1534.0,,55,44,11
199710310POR,RS,POR,1553.0,,56,44,12
199710310POR,RS,POR,1559.0,,56,46,10
199710310POR,RS,POR,1559.0,,56,47,9
199710310POR,RS,POR,1568.0,,56,48,8
199710310POR,RS,POR,1568.0,,56,49,7
199710310POR,RS,POR,1575.0,,58,49,9
199710310POR,RS,POR,1617.0,,58,51,7
199710310POR,RS,POR,1640.0,,60,51,9
199710310POR,RS,POR,1696.0,,62,51,11
199710310POR,RS,POR,1714.0,,62,53,9
199710310POR,RS,POR,1764.0,,64,53,11
199710310POR,RS,POR,1787.0,,64,55,9
199710310POR,RS,POR,1815.0,,66,55,11
199710310POR,RS,POR,1840.0,,66,58,8
199710310POR,RS,POR,1909.0,,66,60,6
199710310POR,RS,POR,1936.0,,66,62,4
199710310POR,RS,POR,1959.0,,66,63,3
199710310POR,RS,POR,1967.0,,66,65,1
199710310POR,RS,POR,1994.0,T,66,66,0
199710310POR,RS,POR,1994.0,LC,66,67,-1
199710310POR,RS,POR,2066.0,T,67,67,0
199710310POR,RS,POR,2066.0,LC,68,67,1
199710310POR,RS,POR,2182.0,LC,68,69,-1
199710310POR,RS,POR,2213.0,,68,70,-2
199710310POR,RS,POR,2213.0,,68,71,-3
199710310POR,RS,POR,2231.0,,70,71,-1
199710310POR,RS,POR,2253.0,,70,73,-3
199710310POR,RS,POR,2285.0,,72,73,-1
199710310POR,RS,POR,2308.0,,72,75,-3
199710310POR,RS,POR,2314.0,,73,75,-2
199710310POR,RS,POR,2314.0,,74,75,-1
199710310POR,RS,POR,2424.0,LC,76,75,1
199710310POR,RS,POR,2464.0,,78,75,3
199710310POR,RS,POR,2525.0,,78,77,1
199710310POR,RS,POR,2613.0,,80,77,3
199710310POR,RS,POR,2619.0,,80,78,2
199710310POR,RS,POR,2630.0,LC,80,81,-1
199710310POR,RS,POR,2685.0,LC,82,81,1
199710310POR,RS,POR,2727.0,T,82,82,0
199710310POR,RS,POR,2727.0,LC,82,83,-1
199710310POR,RS,POR,2762.0,T,83,83,0
199710310POR,RS,POR,2762.0,LC,84,83,1
199710310POR,RS,POR,2821.0,,86,83,3
199710310POR,RS,POR,2837.0,,88,83,5
199710310POR,RS,POR,2857.0,,90,83,7
199710310POR,RS,POR,2869.0,F,91,83,8
199710310POR,RS,POR,2880.0,,91,83,8
199711010SEA,RS,DAL,0.0,,0,0,0
199711010SEA,RS,DAL,25.0,,1,0,1
199711010SEA,RS,DAL,25.0,,2,0,2
199711010SEA,RS,DAL,36.0,T,2,2,0
199711010SEA,RS,DAL,59.0,,4,2,2
199711010SEA,RS,DAL,128.0,,6,2,4
199711010SEA,RS,DAL,178.0,,6,4,2
199711010SEA,RS,DAL,199.0,T,6,6,0
199711010SEA,RS,DAL,208.0,,8,6,2
199711010SEA,RS,DAL,279.0,,8,7,1
199711010SEA,RS,DAL,279.0,T,8,8,0
199711010SEA,RS,DAL,319.0,LC,8,10,-2
199711010SEA,RS,DAL,331.0,T,10,10,0
199711010SEA,RS,DAL,442.0,,10,12,-2
199711010SEA,RS,DAL,455.0,LC,13,12,1
199711010SEA,RS,DAL,510.0,,15,12,3
199711010SEA,RS,DAL,530.0,,15,14,1
199711010SEA,RS,DAL,656.0,,17,14,3
199711010SEA,RS,DAL,683.0,,18,14,4
199711010SEA,RS,DAL,683.0,,19,14,5
199711010SEA,RS,DAL,717.0,,22,14,8
199711010SEA,RS,DAL,719.0,,25,14,11
199711010SEA,RS,DAL,751.0,,27,14,13
199711010SEA,RS,DAL,782.0,,27,16,11
199711010SEA,RS,DAL,800.0,,27,18,9
199711010SEA,RS,DAL,814.0,,29,18,11
199711010SEA,RS,DAL,860.0,,30,18,12
199711010SEA,RS,DAL,947.0,,32,18,14
199711010SEA,RS,DAL,958.0,,34,18,16
199711010SEA,RS,DAL,1021.0,,36,18,18
199711010SEA,RS,DAL,1052.0,,38,18,20
199711010SEA,RS,DAL,1076.0,,38,20,18
199711010SEA,RS,DAL,1076.0,,38,21,17
199711010SEA,RS,DAL,1111.0,,38,23,15
199711010SEA,RS,DAL,1131.0,,40,23,17
199711010SEA,RS,DAL,1153.0,,40,25,15
199711010SEA,RS,DAL,1182.0,,40,26,14
199711010SEA,RS,DAL,1182.0,,40,27,13
199711010SEA,RS,DAL,1196.0,,41,27,14
199711010SEA,RS,DAL,1196.0,,42,27,15
199711010SEA,RS,DAL,1212.0,,42,28,14
199711010SEA,RS,DAL,1212.0,,42,29,13
199711010SEA,RS,DAL,1240.0,,42,31,11
199711010SEA,RS,DAL,1271.0,,42,33,9
199711010SEA,RS,DAL,1342.0,,42,35,7
199711010SEA,RS,DAL,1350.0,,44,35,9
199711010SEA,RS,DAL,1350.0,,45,35,10
199711010SEA,RS,DAL,1373.0,,45,37,8
199711010SEA,RS,DAL,1391.0,,48,37,11
199711010SEA,RS,DAL,1413.0,,48,39,9
199711010SEA,RS,DAL,1517.0,,50,39,11
199711010SEA,RS,DAL,1549.0,,52,39,13
199711010SEA,RS,DAL,1583.0,,52,41,11
199711010SEA,RS,DAL,1601.0,,54,41,13
199711010SEA,RS,DAL,1648.0,,55,41,14
199711010SEA,RS,DAL,1692.0,,55,42,13
199711010SEA,RS,DAL,1692.0,,55,43,12
199711010SEA,RS,DAL,1736.0,,57,43,14
199711010SEA,RS,DAL,1756.0,,57,44,13
199711010SEA,RS,DAL,1792.0,,59,44,15
199711010SEA,RS,DAL,1826.0,,60,44,16
199711010SEA,RS,DAL,1826.0,,61,44,17
199711010SEA,RS,DAL,1887.0,,64,44,20
199711010SEA,RS,DAL,1912.0,,64,45,19
199711010SEA,RS,DAL,1939.0,,64,47,17
199711010SEA,RS,DAL,1956.0,,66,47,19
199711010SEA,RS,DAL,1956.0,,67,47,20
199711010SEA,RS,DAL,1995.0,,67,49,18
199711010SEA,RS,DAL,2006.0,,67,51,16
199711010SEA,RS,DAL,2037.0,,69,51,18
199711010SEA,RS,DAL,2094.0,,69,52,17
199711010SEA,RS,DAL,2100.0,,71,52,19
199711010SEA,RS,DAL,2111.0,,71,54,17
199711010SEA,RS,DAL,2157.0,,71,55,16
199711010SEA,RS,DAL,2206.0,,73,55,18
199711010SEA,RS,DAL,2223.0,,73,57,16
199711010SEA,RS,DAL,2247.0,,73,58,15
199711010SEA,RS,DAL,2267.0,,73,60,13
199711010SEA,RS,DAL,2358.0,,73,62,11
199711010SEA,RS,DAL,2461.0,,75,62,13
199711010SEA,RS,DAL,2478.0,,75,64,11
199711010SEA,RS,DAL,2515.0,,75,66,9
199711010SEA,RS,DAL,2536.0,,77,66,11
199711010SEA,RS,DAL,2559.0,,78,66,12
199711010SEA,RS,DAL,2559.0,,79,66,13
199711010SEA,RS,DAL,2579.0,,79,68,11
199711010SEA,RS,DAL,2617.0,,79,70,9
199711010SEA,RS,DAL,2653.0,,79,72,7
199711010SEA,RS,DAL,2674.0,,79,73,6
199711010SEA,RS,DAL,2674.0,,79,74,5
199711010SEA,RS,DAL,2696.0,,79,75,4
199711010SEA,RS,DAL,2696.0,,79,76,3
199711010SEA,RS,DAL,2711.0,,79,78,1
199711010SEA,RS,DAL,2711.0,T,79,79,0
199711010SEA,RS,DAL,2751.0,LC,79,80,-1
199711010SEA,RS,DAL,2751.0,,79,81,-2
199711010SEA,RS,DAL,2765.0,T,81,81,0
199711010SEA,RS,DAL,2776.0,,81,83,-2
199711010SEA,RS,DAL,2821.0,,81,84,-3
199711010SEA,RS,DAL,2821.0,,81,85,-4
199711010SEA,RS,DAL,2868.0,,81,86,-5
199711010SEA,RS,DAL,2868.0,F,81,87,-6
