id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
199911030CHI,RS,NYK,0.0,,0,0,0
199911030CHI,RS,NYK,12.0,,0,2,-2
199911030CHI,RS,NYK,101.0,T,2,2,0
199911030CHI,RS,NYK,139.0,,2,4,-2
199911030CHI,RS,NYK,162.0,,3,4,-1
199911030CHI,RS,NYK,162.0,T,4,4,0
199911030CHI,RS,NYK,264.0,LC,6,4,2
199911030CHI,RS,NYK,305.0,,8,4,4
199911030CHI,RS,NYK,307.0,,8,5,3
199911030CHI,RS,NYK,315.0,,8,7,1
199911030CHI,RS,NYK,366.0,,11,7,4
199911030CHI,RS,NYK,383.0,,11,9,2
199911030CHI,RS,NYK,400.0,,12,9,3
199911030CHI,RS,NYK,475.0,,13,9,4
199911030CHI,RS,NYK,475.0,,14,9,5
199911030CHI,RS,NYK,487.0,,16,9,7
199911030CHI,RS,NYK,493.0,,16,11,5
199911030CHI,RS,NYK,515.0,,18,11,7
199911030CHI,RS,NYK,538.0,,18,13,5
199911030CHI,RS,NYK,617.0,,18,15,3
199911030CHI,RS,NYK,653.0,,18,17,1
199911030CHI,RS,NYK,653.0,T,18,18,0
199911030CHI,RS,NYK,740.0,,20,18,2
199911030CHI,RS,NYK,848.0,T,20,20,0
199911030CHI,RS,NYK,925.0,LC,20,22,-2
199911030CHI,RS,NYK,1031.0,,20,24,-4
199911030CHI,RS,NYK,1062.0,,20,26,-6
199911030CHI,RS,NYK,1141.0,,20,28,-8
199911030CHI,RS,NYK,1211.0,,20,29,-9
199911030CHI,RS,NYK,1211.0,,20,30,-10
199911030CHI,RS,NYK,1233.0,,22,30,-8
199911030CHI,RS,NYK,1271.0,,23,30,-7
199911030CHI,RS,NYK,1271.0,,24,30,-6
199911030CHI,RS,NYK,1311.0,,26,30,-4
199911030CHI,RS,NYK,1331.0,,27,30,-3
199911030CHI,RS,NYK,1353.0,,28,30,-2
199911030CHI,RS,NYK,1353.0,,29,30,-1
199911030CHI,RS,NYK,1427.0,T,30,30,0
199911030CHI,RS,NYK,1440.0,,30,32,-2
199911030CHI,RS,NYK,1465.0,,30,34,-4
199911030CHI,RS,NYK,1479.0,,32,34,-2
199911030CHI,RS,NYK,1493.0,,32,36,-4
199911030CHI,RS,NYK,1530.0,,32,38,-6
199911030CHI,RS,NYK,1569.0,,32,39,-7
199911030CHI,RS,NYK,1589.0,,33,39,-6
199911030CHI,RS,NYK,1589.0,,34,39,-5
199911030CHI,RS,NYK,1611.0,,34,42,-8
199911030CHI,RS,NYK,1626.0,,35,42,-7
199911030CHI,RS,NYK,1626.0,,36,42,-6
