id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200010310VAN,RS,SEA,0.0,,0,0,0
200010310VAN,RS,SEA,38.0,,2,0,2
200010310VAN,RS,SEA,68.0,,5,0,5
200010310VAN,RS,SEA,95.0,,7,0,7
200010310VAN,RS,SEA,143.0,,9,0,9
200010310VAN,RS,SEA,164.0,,11,0,11
200010310VAN,RS,SEA,189.0,,13,0,13
200010310VAN,RS,SEA,218.0,,13,2,11
200010310VAN,RS,SEA,272.0,,15,2,13
200010310VAN,RS,SEA,293.0,,17,2,15
200010310VAN,RS,SEA,293.0,,18,2,16
200010310VAN,RS,SEA,325.0,,18,3,15
200010310VAN,RS,SEA,325.0,,18,4,14
200010310VAN,RS,SEA,345.0,,20,4,16
200010310VAN,RS,SEA,385.0,,22,4,18
200010310VAN,RS,SEA,403.0,,22,6,16
200010310VAN,RS,SEA,403.0,,22,7,15
200010310VAN,RS,SEA,451.0,,22,9,13
200010310VAN,RS,SEA,473.0,,24,9,15
200010310VAN,RS,SEA,493.0,,24,11,13
200010310VAN,RS,SEA,534.0,,26,11,15
200010310VAN,RS,SEA,547.0,,26,13,13
200010310VAN,RS,SEA,547.0,,26,14,12
200010310VAN,RS,SEA,595.0,,28,14,14
200010310VAN,RS,SEA,620.0,,30,14,16
200010310VAN,RS,SEA,655.0,,30,16,14
200010310VAN,RS,SEA,683.1,,30,17,13
200010310VAN,RS,SEA,683.1,,30,18,12
200010310VAN,RS,SEA,690.3,,32,18,14
200010310VAN,RS,SEA,718.4,,34,18,16
200010310VAN,RS,SEA,740.0,,36,18,18
200010310VAN,RS,SEA,782.0,,39,18,21
200010310VAN,RS,SEA,800.0,,41,18,23
200010310VAN,RS,SEA,818.0,,42,18,24
200010310VAN,RS,SEA,831.0,,42,19,23
200010310VAN,RS,SEA,831.0,,42,20,22
200010310VAN,RS,SEA,842.0,,44,20,24
200010310VAN,RS,SEA,866.0,,44,22,22
200010310VAN,RS,SEA,922.0,,44,23,21
200010310VAN,RS,SEA,962.0,,46,23,23
200010310VAN,RS,SEA,999.0,,48,23,25
200010310VAN,RS,SEA,1008.0,,48,25,23
200010310VAN,RS,SEA,1121.0,,50,25,25
200010310VAN,RS,SEA,1191.0,,50,27,23
200010310VAN,RS,SEA,1246.0,,50,29,21
200010310VAN,RS,SEA,1279.0,,50,32,18
200010310VAN,RS,SEA,1313.0,,52,32,20
200010310VAN,RS,SEA,1325.0,,52,34,18
200010310VAN,RS,SEA,1342.0,,53,34,19
