id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200110310CHH,RS,CLE,0.0,,0,0,0
200110310CHH,RS,CLE,16.0,,2,0,2
200110310CHH,RS,CLE,94.0,,3,0,3
200110310CHH,RS,CLE,117.0,,5,0,5
200110310CHH,RS,CLE,172.0,,7,0,7
200110310CHH,RS,CLE,189.0,,7,1,6
200110310CHH,RS,CLE,189.0,,7,2,5
200110310CHH,RS,CLE,205.0,,9,2,7
200110310CHH,RS,CLE,314.0,,11,2,9
200110310CHH,RS,CLE,340.0,,11,4,7
200110310CHH,RS,CLE,349.0,,12,4,8
200110310CHH,RS,CLE,360.0,,12,5,7
200110310CHH,RS,CLE,409.0,,12,7,5
200110310CHH,RS,CLE,416.0,,12,9,3
200110310CHH,RS,CLE,446.0,,12,10,2
200110310CHH,RS,CLE,453.0,T,12,12,0
200110310CHH,RS,CLE,479.0,LC,12,13,-1
200110310CHH,RS,CLE,479.0,,12,14,-2
200110310CHH,RS,CLE,496.0,T,14,14,0
200110310CHH,RS,CLE,525.0,,14,16,-2
200110310CHH,RS,CLE,559.0,,14,18,-4
200110310CHH,RS,CLE,584.0,,16,18,-2
200110310CHH,RS,CLE,600.0,,16,19,-3
200110310CHH,RS,CLE,600.0,,16,20,-4
200110310CHH,RS,CLE,690.2,,16,22,-6
200110310CHH,RS,CLE,738.0,,16,24,-8
200110310CHH,RS,CLE,759.0,,18,24,-6
200110310CHH,RS,CLE,774.0,,18,26,-8
200110310CHH,RS,CLE,820.0,,18,28,-10
200110310CHH,RS,CLE,820.0,,18,29,-11
200110310CHH,RS,CLE,872.0,,18,31,-13
200110310CHH,RS,CLE,888.0,,20,31,-11
200110310CHH,RS,CLE,941.0,,20,33,-13
200110310CHH,RS,CLE,983.0,,20,35,-15
200110310CHH,RS,CLE,1015.0,,22,35,-13
200110310CHH,RS,CLE,1050.0,,25,35,-10
200110310CHH,RS,CLE,1101.0,,26,35,-9
200110310CHH,RS,CLE,1101.0,,27,35,-8
200110310CHH,RS,CLE,1167.0,,29,35,-6
200110310CHH,RS,CLE,1202.0,,31,35,-4
200110310CHH,RS,CLE,1220.0,,31,37,-6
200110310CHH,RS,CLE,1264.0,,34,37,-3
200110310CHH,RS,CLE,1283.0,,34,39,-5
200110310CHH,RS,CLE,1288.0,,36,39,-3
200110310CHH,RS,CLE,1304.0,,36,41,-5
200110310CHH,RS,CLE,1387.0,,38,41,-3
200110310CHH,RS,CLE,1400.0,,38,43,-5
200110310CHH,RS,CLE,1435.5,,39,43,-4
200110310CHH,RS,CLE,1435.5,,40,43,-3
200110310CHH,RS,CLE,1458.0,,40,45,-5
200110310CHH,RS,CLE,1493.0,,40,47,-7
200110310CHH,RS,CLE,1513.0,,43,47,-4
200110310CHH,RS,CLE,1535.0,,43,49,-6
200110310CHH,RS,CLE,1596.0,,45,49,-4
200110310CHH,RS,CLE,1612.0,,45,50,-5
200110310CHH,RS,CLE,1612.0,,45,51,-6
200110310CHH,RS,CLE,1633.0,,46,51,-5
200110310CHH,RS,CLE,1678.0,,46,52,-6
200110310CHH,RS,CLE,1678.0,,46,53,-7
200110310CHH,RS,CLE,1704.0,,46,56,-10
200110310CHH,RS,CLE,1770.0,,46,57,-11
200110310CHH,RS,CLE,1770.0,,46,58,-12
200110310CHH,RS,CLE,1791.0,,47,58,-11
200110310CHH,RS,CLE,1791.0,,48,58,-10
200110310CHH,RS,CLE,1819.0,,49,58,-9
200110310CHH,RS,CLE,1819.0,,50,58,-8
200110310CHH,RS,CLE,1832.0,,50,61,-11
200110310CHH,RS,CLE,1850.0,,51,61,-10
200110310CHH,RS,CLE,1861.0,,52,61,-9
200110310CHH,RS,CLE,1861.0,,53,61,-8
200110310CHH,RS,CLE,1867.0,,53,63,-10
200110310CHH,RS,CLE,1884.0,,54,63,-9
200110310CHH,RS,CLE,1924.0,,54,65,-11
200110310CHH,RS,CLE,1948.0,,57,65,-8
200110310CHH,RS,CLE,1980.0,,59,65,-6
200110310CHH,RS,CLE,2004.0,,59,67,-8
