id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200210300MIN,RS,DEN,0.0,,0,0,0
200210300MIN,RS,DEN,15.0,,2,0,2
200210300MIN,RS,DEN,53.0,T,2,2,0
200210300MIN,RS,DEN,97.0,,4,2,2
200210300MIN,RS,DEN,140.0,T,4,4,0
200210300MIN,RS,DEN,151.0,,5,4,1
200210300MIN,RS,DEN,251.0,,7,4,3
200210300MIN,RS,DEN,275.0,,9,4,5
200210300MIN,RS,DEN,315.0,,11,4,7
200210300MIN,RS,DEN,335.0,,13,4,9
200210300MIN,RS,DEN,358.0,,13,6,7
200210300MIN,RS,DEN,371.0,,15,6,9
200210300MIN,RS,DEN,390.0,,18,6,12
200210300MIN,RS,DEN,490.0,,18,7,11
200210300MIN,RS,DEN,519.0,,18,10,8
200210300MIN,RS,DEN,533.0,,20,10,10
200210300MIN,RS,DEN,557.0,,20,12,8
200210300MIN,RS,DEN,586.0,,22,12,10
200210300MIN,RS,DEN,638.0,,22,14,8
200210300MIN,RS,DEN,705.6,,24,14,10
200210300MIN,RS,DEN,719.7,,24,16,8
200210300MIN,RS,DEN,753.0,,26,16,10
200210300MIN,RS,DEN,788.0,,26,17,9
200210300MIN,RS,DEN,807.0,,26,18,8
200210300MIN,RS,DEN,807.0,,26,19,7
200210300MIN,RS,DEN,817.0,,28,19,9
200210300MIN,RS,DEN,822.0,,28,21,7
200210300MIN,RS,DEN,850.0,,28,23,5
200210300MIN,RS,DEN,870.0,,30,23,7
200210300MIN,RS,DEN,901.0,,32,23,9
200210300MIN,RS,DEN,916.0,,32,24,8
200210300MIN,RS,DEN,946.0,,34,24,10
200210300MIN,RS,DEN,1000.0,,36,24,12
200210300MIN,RS,DEN,1022.0,,36,26,10
200210300MIN,RS,DEN,1035.0,,38,26,12
200210300MIN,RS,DEN,1077.0,,38,27,11
200210300MIN,RS,DEN,1077.0,,38,28,10
200210300MIN,RS,DEN,1088.0,,39,28,11
200210300MIN,RS,DEN,1109.0,,39,30,9
200210300MIN,RS,DEN,1157.0,,39,32,7
200210300MIN,RS,DEN,1169.0,,41,32,9
200210300MIN,RS,DEN,1169.0,,42,32,10
200210300MIN,RS,DEN,1182.0,,42,35,7
200210300MIN,RS,DEN,1194.0,,45,35,10
200210300MIN,RS,DEN,1235.0,,47,35,12
200210300MIN,RS,DEN,1271.0,,49,35,14
200210300MIN,RS,DEN,1334.0,,49,37,12
200210300MIN,RS,DEN,1342.0,,50,37,13
200210300MIN,RS,DEN,1378.0,,52,37,15
200210300MIN,RS,DEN,1385.1,,52,38,14
200210300MIN,RS,DEN,1385.1,,52,39,13
