id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200310290BOS,RS,MIA,0.0,,0,0,0
200310290BOS,RS,MIA,41.0,,0,2,-2
200310290BOS,RS,MIA,125.0,,0,4,-4
200310290BOS,RS,MIA,146.0,,1,4,-3
200310290BOS,RS,MIA,167.0,,1,5,-4
200310290BOS,RS,MIA,186.0,,3,5,-2
200310290BOS,RS,MIA,219.0,T,5,5,0
200310290BOS,RS,MIA,257.0,,5,8,-3
200310290BOS,RS,MIA,269.0,,7,8,-1
200310290BOS,RS,MIA,302.0,T,8,8,0
200310290BOS,RS,MIA,345.0,LC,10,8,2
200310290BOS,RS,MIA,363.0,T,10,10,0
200310290BOS,RS,MIA,379.0,,12,10,2
200310290BOS,RS,MIA,398.0,,12,11,1
200310290BOS,RS,MIA,409.0,LC,12,13,-1
200310290BOS,RS,MIA,480.0,LC,14,13,1
200310290BOS,RS,MIA,504.0,,16,13,3
200310290BOS,RS,MIA,626.0,,16,15,1
200310290BOS,RS,MIA,651.0,,18,15,3
200310290BOS,RS,MIA,681.4,,20,15,5
200310290BOS,RS,MIA,753.0,,20,17,3
200310290BOS,RS,MIA,788.0,,21,17,4
200310290BOS,RS,MIA,814.0,,23,17,6
200310290BOS,RS,MIA,864.0,,25,17,8
200310290BOS,RS,MIA,884.0,,25,18,7
200310290BOS,RS,MIA,897.0,,27,18,9
200310290BOS,RS,MIA,897.0,,28,18,10
200310290BOS,RS,MIA,922.0,,28,20,8
200310290BOS,RS,MIA,944.0,,28,22,6
200310290BOS,RS,MIA,961.0,,30,22,8
200310290BOS,RS,MIA,987.0,,33,22,11
200310290BOS,RS,MIA,1029.0,,35,22,13
200310290BOS,RS,MIA,1054.0,,35,24,11
200310290BOS,RS,MIA,1077.0,,35,25,10
200310290BOS,RS,MIA,1089.0,,37,25,12
200310290BOS,RS,MIA,1122.0,,38,25,13
200310290BOS,RS,MIA,1122.0,,39,25,14
200310290BOS,RS,MIA,1135.0,,39,26,13
200310290BOS,RS,MIA,1143.0,,39,28,11
200310290BOS,RS,MIA,1161.0,,39,29,10
200310290BOS,RS,MIA,1161.0,,39,30,9
200310290BOS,RS,MIA,1181.0,,41,30,11
200310290BOS,RS,MIA,1202.0,,41,32,9
200310290BOS,RS,MIA,1218.0,,42,32,10
200310290BOS,RS,MIA,1218.0,,43,32,11
200310290BOS,RS,MIA,1231.0,,43,33,10
200310290BOS,RS,MIA,1231.0,,43,34,9
200310290BOS,RS,MIA,1249.0,,44,34,10
200310290BOS,RS,MIA,1249.0,,45,34,11
200310290BOS,RS,MIA,1306.0,,47,34,13
200310290BOS,RS,MIA,1342.0,,47,36,11
200310290BOS,RS,MIA,1342.0,,47,37,10
200310290BOS,RS,MIA,1370.0,,47,39,8
200310290BOS,RS,MIA,1405.7,,48,39,9
200310290BOS,RS,MIA,1405.7,,49,39,10
200310290BOS,RS,MIA,1455.0,,51,39,12
200310290BOS,RS,MIA,1471.0,,51,41,10
200310290BOS,RS,MIA,1491.0,,54,41,13
200310290BOS,RS,MIA,1508.0,,54,44,10
200310290BOS,RS,MIA,1568.0,,56,44,12
200310290BOS,RS,MIA,1607.0,,57,44,13
200310290BOS,RS,MIA,1627.0,,59,44,15
200310290BOS,RS,MIA,1647.0,,59,46,13
200310290BOS,RS,MIA,1658.0,,60,46,14
200310290BOS,RS,MIA,1658.0,,61,46,15
200310290BOS,RS,MIA,1677.0,,61,49,12
200310290BOS,RS,MIA,1716.0,,61,50,11
200310290BOS,RS,MIA,1716.0,,61,51,10
200310290BOS,RS,MIA,1781.0,,61,53,8
200310290BOS,RS,MIA,1793.0,,63,53,10
200310290BOS,RS,MIA,1829.0,,65,53,12
200310290BOS,RS,MIA,1854.0,,65,56,9
200310290BOS,RS,MIA,1916.0,,65,57,8
200310290BOS,RS,MIA,1916.0,,65,58,7
200310290BOS,RS,MIA,1928.0,,67,58,9
200310290BOS,RS,MIA,1965.0,,69,58,11
200310290BOS,RS,MIA,1986.0,,71,58,13
200310290BOS,RS,MIA,2016.0,,72,58,14
200310290BOS,RS,MIA,2054.0,,74,58,16
200310290BOS,RS,MIA,2087.0,,77,58,19
200310290BOS,RS,MIA,2109.7,,77,59,18
200310290BOS,RS,MIA,2122.1,,79,59,20
200310290BOS,RS,MIA,2138.2,,79,61,18
200310290BOS,RS,MIA,2231.0,,79,62,17
200310290BOS,RS,MIA,2327.0,,80,62,18
200310290BOS,RS,MIA,2364.0,,82,62,20
200310290BOS,RS,MIA,2386.0,,82,64,18
200310290BOS,RS,MIA,2406.0,,85,64,21
200310290BOS,RS,MIA,2519.0,,87,64,23
200310290BOS,RS,MIA,2561.0,,90,64,26
200310290BOS,RS,MIA,2587.0,,90,66,24
200310290BOS,RS,MIA,2605.0,,92,66,26
200310290BOS,RS,MIA,2633.0,,94,66,28
200310290BOS,RS,MIA,2649.0,,94,68,26
200310290BOS,RS,MIA,2680.0,,95,68,27
200310290BOS,RS,MIA,2680.0,,96,68,28
200310290BOS,RS,MIA,2711.0,,98,68,30
200310290BOS,RS,MIA,2765.0,,98,70,28
200310290BOS,RS,MIA,2792.0,,98,73,25
200310290BOS,RS,MIA,2848.0,,98,74,24
200310290BOS,RS,MIA,2848.0,F,98,75,23
200310290BOS,RS,MIA,2880.0,,98,75,23
200310310MEM,RS,MEM,0.0,,0,0,0
200310310MEM,RS,MEM,19.0,,2,0,2
200310310MEM,RS,MEM,40.0,,2,1,1
200310310MEM,RS,MEM,93.0,LC,2,3,-1
200310310MEM,RS,MEM,93.0,,2,4,-2
200310310MEM,RS,MEM,159.0,T,4,4,0
200310310MEM,RS,MEM,192.0,,4,6,-2
200310310MEM,RS,MEM,224.0,,4,8,-4
200310310MEM,RS,MEM,259.0,,4,11,-7
200310310MEM,RS,MEM,284.0,,6,11,-5
200310310MEM,RS,MEM,300.0,,6,12,-6
200310310MEM,RS,MEM,300.0,,6,13,-7
200310310MEM,RS,MEM,319.0,,8,13,-5
200310310MEM,RS,MEM,345.0,,8,15,-7
200310310MEM,RS,MEM,358.0,,10,15,-5
200310310MEM,RS,MEM,376.0,,10,17,-7
200310310MEM,RS,MEM,396.0,,12,17,-5
200310310MEM,RS,MEM,415.0,,14,17,-3
200310310MEM,RS,MEM,503.0,,14,18,-4
200310310MEM,RS,MEM,503.0,,14,19,-5
200310310MEM,RS,MEM,511.0,,16,19,-3
200310310MEM,RS,MEM,531.0,,16,20,-4
200310310MEM,RS,MEM,540.0,,18,20,-2
200310310MEM,RS,MEM,540.0,,18,21,-3
200310310MEM,RS,MEM,555.0,,18,23,-5
200310310MEM,RS,MEM,597.0,,18,26,-8
200310310MEM,RS,MEM,619.0,,20,26,-6
200310310MEM,RS,MEM,619.0,,21,26,-5
200310310MEM,RS,MEM,633.0,,21,28,-7
200310310MEM,RS,MEM,663.4,,22,28,-6
200310310MEM,RS,MEM,673.6,,22,29,-7
200310310MEM,RS,MEM,687.4,,23,29,-6
200310310MEM,RS,MEM,692.8,,24,29,-5
200310310MEM,RS,MEM,692.8,,25,29,-4
