id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200310290NOH,RS,ATL,0.0,,0,0,0
200310290NOH,RS,ATL,26.0,,0,2,-2
200310290NOH,RS,ATL,109.0,,0,4,-4
200310290NOH,RS,ATL,123.0,,2,4,-2
200310290NOH,RS,ATL,140.0,,2,6,-4
200310290NOH,RS,ATL,204.0,,4,6,-2
200310290NOH,RS,ATL,209.0,,4,8,-4
200310290NOH,RS,ATL,306.0,,4,9,-5
200310290NOH,RS,ATL,329.0,,5,9,-4
200310290NOH,RS,ATL,329.0,,6,9,-3
200310290NOH,RS,ATL,363.0,,6,11,-5
200310290NOH,RS,ATL,406.0,,8,11,-3
200310290NOH,RS,ATL,480.0,,8,13,-5
200310290NOH,RS,ATL,503.0,,10,13,-3
200310290NOH,RS,ATL,552.0,,12,13,-1
200310290NOH,RS,ATL,598.0,,12,15,-3
200310290NOH,RS,ATL,618.0,,12,17,-5
200310290NOH,RS,ATL,676.8,,14,17,-3
200310290NOH,RS,ATL,756.0,,16,17,-1
200310290NOH,RS,ATL,782.0,T,17,17,0
200310290NOH,RS,ATL,782.0,LC,18,17,1
200310290NOH,RS,ATL,802.0,LC,18,19,-1
200310290NOH,RS,ATL,814.0,LC,20,19,1
200310290NOH,RS,ATL,839.0,,22,19,3
200310290NOH,RS,ATL,907.0,,22,21,1
200310290NOH,RS,ATL,927.0,,23,21,2
200310290NOH,RS,ATL,956.0,T,23,23,0
200310290NOH,RS,ATL,995.0,LC,23,25,-2
200310290NOH,RS,ATL,1061.0,T,25,25,0
200310290NOH,RS,ATL,1081.0,LC,27,25,2
200310290NOH,RS,ATL,1096.0,T,27,27,0
200310290NOH,RS,ATL,1140.0,LC,27,29,-2
200310290NOH,RS,ATL,1170.0,,28,29,-1
200310290NOH,RS,ATL,1212.0,,28,31,-3
200310290NOH,RS,ATL,1287.0,,28,33,-5
200310290NOH,RS,ATL,1302.0,,30,33,-3
200310290NOH,RS,ATL,1351.0,,30,35,-5
200310290NOH,RS,ATL,1377.0,,30,37,-7
200310290NOH,RS,ATL,1377.0,,30,38,-8
200310290NOH,RS,ATL,1410.6,,32,38,-6
200310290NOH,RS,ATL,1433.0,,32,40,-8
200310290NOH,RS,ATL,1437.8,,33,40,-7
200310290NOH,RS,ATL,1462.0,,35,40,-5
200310290NOH,RS,ATL,1546.0,,37,40,-3
200310290NOH,RS,ATL,1569.0,,39,40,-1
200310290NOH,RS,ATL,1633.0,,39,42,-3
200310290NOH,RS,ATL,1670.0,,41,42,-1
200310290NOH,RS,ATL,1723.0,LC,43,42,1
200310290NOH,RS,ATL,1784.0,,45,42,3
200310290NOH,RS,ATL,1799.0,,45,44,1
200310290NOH,RS,ATL,1864.0,T,45,45,0
200310290NOH,RS,ATL,1906.0,LC,45,46,-1
200310290NOH,RS,ATL,1923.0,LC,47,46,1
200310290NOH,RS,ATL,1985.0,,50,46,4
200310290NOH,RS,ATL,2016.0,,50,47,3
200310290NOH,RS,ATL,2016.0,,50,48,2
200310290NOH,RS,ATL,2032.0,,52,48,4
200310290NOH,RS,ATL,2032.0,,53,48,5
200310290NOH,RS,ATL,2054.0,,55,48,7
200310290NOH,RS,ATL,2108.5,,55,50,5
200310290NOH,RS,ATL,2138.2,,57,50,7
200310290NOH,RS,ATL,2156.5,,58,50,8
200310290NOH,RS,ATL,2158.0,,58,51,7
200310290NOH,RS,ATL,2158.0,,58,52,6
200310290NOH,RS,ATL,2187.0,,58,54,4
200310290NOH,RS,ATL,2201.0,,60,54,6
200310290NOH,RS,ATL,2218.0,,60,57,3
200310290NOH,RS,ATL,2265.0,,61,57,4
200310290NOH,RS,ATL,2313.0,,61,59,2
200310290NOH,RS,ATL,2389.0,LC,61,62,-1
200310290NOH,RS,ATL,2419.0,,61,65,-4
200310290NOH,RS,ATL,2451.0,,63,65,-2
200310290NOH,RS,ATL,2473.0,,63,67,-4
200310290NOH,RS,ATL,2542.0,,63,69,-6
200310290NOH,RS,ATL,2547.0,,64,69,-5
200310290NOH,RS,ATL,2547.0,,65,69,-4
200310290NOH,RS,ATL,2562.0,,65,71,-6
200310290NOH,RS,ATL,2613.0,,67,71,-4
200310290NOH,RS,ATL,2670.0,,70,71,-1
200310290NOH,RS,ATL,2735.0,LC,72,71,1
200310290NOH,RS,ATL,2765.0,LC,72,73,-1
200310290NOH,RS,ATL,2781.0,LC,75,73,2
200310290NOH,RS,ATL,2849.5,,75,74,1
200310290NOH,RS,ATL,2849.5,T,75,75,0
200310290NOH,RS,ATL,2903.0,LC,75,76,-1
200310290NOH,RS,ATL,2903.0,,75,77,-2
200310290NOH,RS,ATL,2991.0,T,77,77,0
200310290NOH,RS,ATL,3002.0,,77,79,-2
200310290NOH,RS,ATL,3019.0,,77,80,-3
200310290NOH,RS,ATL,3019.0,,77,81,-4
200310290NOH,RS,ATL,3036.0,,80,81,-1
200310290NOH,RS,ATL,3085.0,LC,82,81,1
200310290NOH,RS,ATL,3104.0,,84,81,3
