id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200310290NYK,RS,ORL,0.0,,0,0,0
200310290NYK,RS,ORL,16.0,,0,2,-2
200310290NYK,RS,ORL,67.0,T,2,2,0
200310290NYK,RS,ORL,100.0,LC,5,2,3
200310290NYK,RS,ORL,139.0,T,5,5,0
200310290NYK,RS,ORL,261.0,LC,5,6,-1
200310290NYK,RS,ORL,278.0,,5,8,-3
200310290NYK,RS,ORL,297.0,,7,8,-1
200310290NYK,RS,ORL,350.0,,7,10,-3
200310290NYK,RS,ORL,363.0,,9,10,-1
200310290NYK,RS,ORL,431.0,LC,11,10,1
200310290NYK,RS,ORL,458.0,,13,10,3
200310290NYK,RS,ORL,499.0,,14,10,4
200310290NYK,RS,ORL,499.0,,15,10,5
200310290NYK,RS,ORL,522.0,,15,12,3
200310290NYK,RS,ORL,550.0,,15,13,2
200310290NYK,RS,ORL,576.0,,17,13,4
200310290NYK,RS,ORL,590.0,,17,15,2
200310290NYK,RS,ORL,603.0,,19,15,4
200310290NYK,RS,ORL,665.8,,19,17,2
200310290NYK,RS,ORL,735.0,,21,17,4
200310290NYK,RS,ORL,807.0,,21,19,2
200310290NYK,RS,ORL,844.0,,22,19,3
200310290NYK,RS,ORL,881.0,,24,19,5
200310290NYK,RS,ORL,1018.0,,24,21,3
200310290NYK,RS,ORL,1035.0,,26,21,5
200310290NYK,RS,ORL,1152.0,,27,21,6
200310290NYK,RS,ORL,1152.0,,28,21,7
200310290NYK,RS,ORL,1195.0,,28,23,5
200310290NYK,RS,ORL,1234.0,,30,23,7
200310290NYK,RS,ORL,1258.0,,30,25,5
200310290NYK,RS,ORL,1308.0,,30,27,3
200310290NYK,RS,ORL,1332.0,,30,29,1
200310290NYK,RS,ORL,1347.0,,31,29,2
200310290NYK,RS,ORL,1347.0,,32,29,3
200310290NYK,RS,ORL,1371.0,,32,31,1
200310290NYK,RS,ORL,1393.4,LC,32,33,-1
200310290NYK,RS,ORL,1408.6,T,33,33,0
200310290NYK,RS,ORL,1408.6,LC,34,33,1
200310290NYK,RS,ORL,1429.1,T,34,34,0
200310290NYK,RS,ORL,1486.0,,37,34,3
200310290NYK,RS,ORL,1529.0,,37,36,1
200310290NYK,RS,ORL,1546.0,,39,36,3
200310290NYK,RS,ORL,1567.0,,39,38,1
200310290NYK,RS,ORL,1586.0,,41,38,3
200310290NYK,RS,ORL,1600.0,,41,40,1
200310290NYK,RS,ORL,1617.0,,42,40,2
200310290NYK,RS,ORL,1649.0,,44,40,4
200310290NYK,RS,ORL,1649.0,,45,40,5
200310290NYK,RS,ORL,1679.0,,47,40,7
200310290NYK,RS,ORL,1701.0,,47,42,5
200310290NYK,RS,ORL,1774.0,,47,44,3
200310290NYK,RS,ORL,1836.0,T,47,47,0
200310290NYK,RS,ORL,1911.0,,50,47,3
200310290NYK,RS,ORL,1945.0,,53,47,6
200310290NYK,RS,ORL,1985.0,,53,49,4
200310290NYK,RS,ORL,1995.0,,54,49,5
200310290NYK,RS,ORL,2042.0,,56,49,7
200310290NYK,RS,ORL,2086.0,,58,49,9
200310290NYK,RS,ORL,2086.0,,59,49,10
200310290NYK,RS,ORL,2156.0,,59,50,9
200310290NYK,RS,ORL,2156.0,,59,51,8
200310290NYK,RS,ORL,2187.0,,59,52,7
200310290NYK,RS,ORL,2214.0,,59,54,5
200310290NYK,RS,ORL,2229.0,,61,54,7
200310290NYK,RS,ORL,2327.0,,61,55,6
200310290NYK,RS,ORL,2327.0,,61,56,5
200310290NYK,RS,ORL,2340.0,,64,56,8
200310290NYK,RS,ORL,2432.0,,64,58,6
200310290NYK,RS,ORL,2470.0,,66,58,8
200310290NYK,RS,ORL,2490.0,,66,59,7
200310290NYK,RS,ORL,2490.0,,66,60,6
200310290NYK,RS,ORL,2520.0,,68,60,8
200310290NYK,RS,ORL,2520.0,,69,60,9
200310290NYK,RS,ORL,2574.0,,69,61,8
200310290NYK,RS,ORL,2604.0,,69,63,6
200310290NYK,RS,ORL,2620.0,,71,63,8
200310290NYK,RS,ORL,2646.0,,73,63,10
