id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200511020CHI,RS,CHI,0.0,,0,0,0
200511020CHI,RS,CHI,18.0,,2,0,2
200511020CHI,RS,CHI,48.0,,3,0,3
200511020CHI,RS,CHI,69.0,T,3,3,0
200511020CHI,RS,CHI,129.0,,5,3,2
200511020CHI,RS,CHI,161.0,,7,3,4
200511020CHI,RS,CHI,197.0,,9,3,6
200511020CHI,RS,CHI,208.0,,9,5,4
200511020CHI,RS,CHI,232.0,,11,5,6
200511020CHI,RS,CHI,232.0,,12,5,7
200511020CHI,RS,CHI,284.0,,12,7,5
200511020CHI,RS,CHI,307.0,,14,7,7
200511020CHI,RS,CHI,307.0,,15,7,8
200511020CHI,RS,CHI,320.0,,15,9,6
200511020CHI,RS,CHI,439.0,,17,9,8
200511020CHI,RS,CHI,454.0,,17,10,7
200511020CHI,RS,CHI,454.0,,17,11,6
200511020CHI,RS,CHI,473.0,,19,11,8
200511020CHI,RS,CHI,473.0,,20,11,9
200511020CHI,RS,CHI,490.0,,22,11,11
200511020CHI,RS,CHI,525.0,,22,13,9
200511020CHI,RS,CHI,558.0,,22,14,8
200511020CHI,RS,CHI,563.0,,22,16,6
200511020CHI,RS,CHI,580.0,,24,16,8
200511020CHI,RS,CHI,596.0,,24,18,6
200511020CHI,RS,CHI,650.0,,26,18,8
200511020CHI,RS,CHI,688.6,,28,18,10
200511020CHI,RS,CHI,708.9,,28,20,8
200511020CHI,RS,CHI,751.0,,28,22,6
200511020CHI,RS,CHI,771.0,,30,22,8
200511020CHI,RS,CHI,788.0,,30,24,6
200511020CHI,RS,CHI,858.0,,32,24,8
200511020CHI,RS,CHI,891.0,,33,24,9
200511020CHI,RS,CHI,891.0,,34,24,10
200511020CHI,RS,CHI,906.0,,34,26,8
200511020CHI,RS,CHI,936.0,,34,29,5
200511020CHI,RS,CHI,963.0,,36,29,7
200511020CHI,RS,CHI,981.0,,36,31,5
200511020CHI,RS,CHI,1020.0,,37,31,6
200511020CHI,RS,CHI,1020.0,,38,31,7
200511020CHI,RS,CHI,1073.0,,40,31,9
200511020CHI,RS,CHI,1094.0,,42,31,11
200511020CHI,RS,CHI,1130.0,,44,31,13
200511020CHI,RS,CHI,1155.0,,46,31,15
200511020CHI,RS,CHI,1200.0,,47,31,16
200511020CHI,RS,CHI,1219.0,,47,33,14
200511020CHI,RS,CHI,1245.0,,48,33,15
200511020CHI,RS,CHI,1245.0,,49,33,16
200511020CHI,RS,CHI,1280.0,,50,33,17
200511020CHI,RS,CHI,1280.0,,51,33,18
200511020CHI,RS,CHI,1315.0,,51,34,17
200511020CHI,RS,CHI,1331.0,,53,34,19
200511020CHI,RS,CHI,1341.0,,53,36,17
200511020CHI,RS,CHI,1365.0,,53,38,15
200511020CHI,RS,CHI,1375.0,,55,38,17
200511020CHI,RS,CHI,1398.7,,55,40,15
200511020CHI,RS,CHI,1414.0,,57,40,17
200511020CHI,RS,CHI,1437.8,,59,40,19
200511020CHI,RS,CHI,1459.0,,61,40,21
200511020CHI,RS,CHI,1507.0,,61,41,20
200511020CHI,RS,CHI,1507.0,,61,42,19
200511020CHI,RS,CHI,1528.0,,63,42,21
200511020CHI,RS,CHI,1542.0,,63,44,19
200511020CHI,RS,CHI,1552.0,,65,44,21
200511020CHI,RS,CHI,1571.0,,66,44,22
200511020CHI,RS,CHI,1571.0,,67,44,23
200511020CHI,RS,CHI,1588.0,,68,44,24
200511020CHI,RS,CHI,1631.0,,68,45,23
200511020CHI,RS,CHI,1642.0,,70,45,25
200511020CHI,RS,CHI,1655.0,,70,47,23
200511020CHI,RS,CHI,1674.0,,70,48,22
200511020CHI,RS,CHI,1674.0,,70,49,21
200511020CHI,RS,CHI,1710.0,,70,51,19
200511020CHI,RS,CHI,1723.0,,72,51,21
200511020CHI,RS,CHI,1763.0,,72,53,19
200511020CHI,RS,CHI,1780.0,,74,53,21
200511020CHI,RS,CHI,1780.0,,74,54,20
200511020CHI,RS,CHI,1801.0,,76,54,22
200511020CHI,RS,CHI,1801.0,,77,54,23
200511020CHI,RS,CHI,1819.0,,77,56,21
200511020CHI,RS,CHI,1827.0,,78,56,22
200511020CHI,RS,CHI,1841.0,,78,57,21
200511020CHI,RS,CHI,1841.0,,78,58,20
200511020CHI,RS,CHI,1859.0,,79,58,21
200511020CHI,RS,CHI,1859.0,,80,58,22
200511020CHI,RS,CHI,1907.0,,81,58,23
200511020CHI,RS,CHI,1924.0,,81,60,21
200511020CHI,RS,CHI,1980.0,,82,60,22
200511020CHI,RS,CHI,1980.0,,83,60,23
200511020CHI,RS,CHI,1989.0,,83,62,21
200511020CHI,RS,CHI,1992.0,,84,62,22
200511020CHI,RS,CHI,1992.0,,85,62,23
200511020CHI,RS,CHI,2017.0,,85,63,22
200511020CHI,RS,CHI,2017.0,,85,64,21
200511020CHI,RS,CHI,2032.0,,88,64,24
200511020CHI,RS,CHI,2061.0,,88,66,22
200511020CHI,RS,CHI,2139.4,,89,66,23
200511020CHI,RS,CHI,2152.8,,89,67,22
200511020CHI,RS,CHI,2152.8,,89,68,21
200511020CHI,RS,CHI,2183.0,,91,68,23
200511020CHI,RS,CHI,2196.0,,91,70,21
200511020CHI,RS,CHI,2287.0,,91,71,20
200511020CHI,RS,CHI,2287.0,,91,72,19
200511020CHI,RS,CHI,2323.0,,91,74,17
200511020CHI,RS,CHI,2387.0,,91,77,14
200511020CHI,RS,CHI,2486.0,,91,78,13
