id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200511010NOK,RS,SAC,0.0,,0,0,0
200511010NOK,RS,SAC,130.0,,0,2,-2
200511010NOK,RS,SAC,147.0,,0,4,-4
200511010NOK,RS,SAC,179.0,,2,4,-2
200511010NOK,RS,SAC,216.0,T,4,4,0
200511010NOK,RS,SAC,267.0,LC,6,4,2
200511010NOK,RS,SAC,306.0,T,6,6,0
200511010NOK,RS,SAC,328.0,,8,6,2
200511010NOK,RS,SAC,341.0,,8,7,1
200511010NOK,RS,SAC,341.0,T,8,8,0
200511010NOK,RS,SAC,394.0,LC,8,11,-3
200511010NOK,RS,SAC,427.0,,8,13,-5
200511010NOK,RS,SAC,480.0,,8,15,-7
200511010NOK,RS,SAC,488.0,,11,15,-4
200511010NOK,RS,SAC,518.0,,13,15,-2
200511010NOK,RS,SAC,546.0,T,15,15,0
200511010NOK,RS,SAC,557.0,,15,17,-2
200511010NOK,RS,SAC,596.0,T,17,17,0
200511010NOK,RS,SAC,620.0,,17,19,-2
200511010NOK,RS,SAC,650.0,T,19,19,0
200511010NOK,RS,SAC,665.2,,19,20,-1
200511010NOK,RS,SAC,665.2,,19,21,-2
200511010NOK,RS,SAC,682.1,LC,22,21,1
200511010NOK,RS,SAC,775.0,LC,22,23,-1
200511010NOK,RS,SAC,847.0,,22,25,-3
200511010NOK,RS,SAC,848.0,,24,25,-1
200511010NOK,RS,SAC,948.0,LC,26,25,1
200511010NOK,RS,SAC,1005.0,,28,25,3
200511010NOK,RS,SAC,1034.0,,30,25,5
200511010NOK,RS,SAC,1072.0,,32,25,7
200511010NOK,RS,SAC,1154.0,,34,25,9
200511010NOK,RS,SAC,1170.0,,34,27,7
200511010NOK,RS,SAC,1192.0,,35,27,8
200511010NOK,RS,SAC,1192.0,,36,27,9
200511010NOK,RS,SAC,1239.0,,38,27,11
200511010NOK,RS,SAC,1267.0,,38,30,8
200511010NOK,RS,SAC,1287.0,,38,32,6
200511010NOK,RS,SAC,1287.0,,38,33,5
200511010NOK,RS,SAC,1335.0,,41,33,8
200511010NOK,RS,SAC,1370.0,,42,33,9
200511010NOK,RS,SAC,1387.5,,44,33,11
200511010NOK,RS,SAC,1492.0,,44,36,8
200511010NOK,RS,SAC,1508.0,,46,36,10
200511010NOK,RS,SAC,1521.0,,46,38,8
200511010NOK,RS,SAC,1581.0,,49,38,11
200511010NOK,RS,SAC,1601.0,,51,38,13
200511010NOK,RS,SAC,1653.0,,53,38,15
200511010NOK,RS,SAC,1653.0,,54,38,16
200511010NOK,RS,SAC,1684.0,,55,38,17
200511010NOK,RS,SAC,1684.0,,56,38,18
200511010NOK,RS,SAC,1711.0,,58,38,20
200511010NOK,RS,SAC,1739.0,,58,40,18
200511010NOK,RS,SAC,1753.0,,60,40,20
200511010NOK,RS,SAC,1849.0,,60,42,18
200511010NOK,RS,SAC,1876.0,,61,42,19
200511010NOK,RS,SAC,1876.0,,62,42,20
200511010NOK,RS,SAC,1921.0,,64,42,22
200511010NOK,RS,SAC,1936.0,,64,44,20
200511010NOK,RS,SAC,1942.0,,65,44,21
200511010NOK,RS,SAC,1942.0,,66,44,22
200511010NOK,RS,SAC,1969.0,,66,46,20
200511010NOK,RS,SAC,1994.0,,68,46,22
200511010NOK,RS,SAC,2015.0,,68,47,21
