id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200611010NJN,RS,TOR,0.0,,0,0,0
200611010NJN,RS,TOR,75.0,,0,2,-2
200611010NJN,RS,TOR,84.0,T,2,2,0
200611010NJN,RS,TOR,103.0,,2,4,-2
200611010NJN,RS,TOR,124.0,T,4,4,0
200611010NJN,RS,TOR,144.0,,4,6,-2
200611010NJN,RS,TOR,167.0,,4,8,-4
200611010NJN,RS,TOR,179.0,,6,8,-2
200611010NJN,RS,TOR,200.0,,6,10,-4
200611010NJN,RS,TOR,288.0,,8,10,-2
200611010NJN,RS,TOR,311.0,T,10,10,0
200611010NJN,RS,TOR,323.0,,10,12,-2
200611010NJN,RS,TOR,353.0,,10,14,-4
200611010NJN,RS,TOR,367.0,,12,14,-2
200611010NJN,RS,TOR,395.0,T,14,14,0
200611010NJN,RS,TOR,410.0,,14,16,-2
200611010NJN,RS,TOR,421.0,,15,16,-1
200611010NJN,RS,TOR,421.0,T,16,16,0
200611010NJN,RS,TOR,463.0,LC,17,16,1
200611010NJN,RS,TOR,463.0,,18,16,2
200611010NJN,RS,TOR,483.0,T,18,18,0
200611010NJN,RS,TOR,529.0,LC,18,21,-3
200611010NJN,RS,TOR,541.0,,20,21,-1
200611010NJN,RS,TOR,580.0,,20,23,-3
200611010NJN,RS,TOR,601.0,,22,23,-1
200611010NJN,RS,TOR,618.0,,22,25,-3
200611010NJN,RS,TOR,658.0,,23,25,-2
200611010NJN,RS,TOR,658.0,,24,25,-1
200611010NJN,RS,TOR,693.4,LC,26,25,1
200611010NJN,RS,TOR,714.1,LC,26,27,-1
200611010NJN,RS,TOR,718.7,LC,28,27,1
200611010NJN,RS,TOR,774.0,LC,28,30,-2
200611010NJN,RS,TOR,808.0,,29,30,-1
200611010NJN,RS,TOR,808.0,T,30,30,0
200611010NJN,RS,TOR,832.0,LC,32,30,2
200611010NJN,RS,TOR,874.0,T,32,32,0
200611010NJN,RS,TOR,894.0,,34,32,2
200611010NJN,RS,TOR,972.0,,37,32,5
200611010NJN,RS,TOR,1021.0,,37,33,4
200611010NJN,RS,TOR,1021.0,,37,34,3
200611010NJN,RS,TOR,1061.0,,39,34,5
200611010NJN,RS,TOR,1078.0,,40,34,6
200611010NJN,RS,TOR,1078.0,,41,34,7
200611010NJN,RS,TOR,1096.0,,41,36,5
200611010NJN,RS,TOR,1111.0,,43,36,7
200611010NJN,RS,TOR,1138.0,,45,36,9
200611010NJN,RS,TOR,1163.0,,45,38,7
200611010NJN,RS,TOR,1184.0,,45,40,5
200611010NJN,RS,TOR,1184.0,,45,41,4
200611010NJN,RS,TOR,1210.0,,45,43,2
200611010NJN,RS,TOR,1266.0,,45,44,1
200611010NJN,RS,TOR,1328.0,,47,44,3
200611010NJN,RS,TOR,1345.0,,47,46,1
200611010NJN,RS,TOR,1380.0,LC,47,49,-2
200611010NJN,RS,TOR,1405.5,T,49,49,0
200611010NJN,RS,TOR,1415.8,LC,51,49,2
200611010NJN,RS,TOR,1439.9,,53,49,4
200611010NJN,RS,TOR,1455.0,,53,50,3
200611010NJN,RS,TOR,1455.0,,53,51,2
200611010NJN,RS,TOR,1492.0,,55,51,4
200611010NJN,RS,TOR,1492.0,,56,51,5
200611010NJN,RS,TOR,1568.0,,56,53,3
200611010NJN,RS,TOR,1612.0,,56,55,1
200611010NJN,RS,TOR,1647.0,LC,56,58,-2
200611010NJN,RS,TOR,1679.0,T,58,58,0
200611010NJN,RS,TOR,1689.0,,58,60,-2
200611010NJN,RS,TOR,1703.0,,59,60,-1
200611010NJN,RS,TOR,1703.0,T,60,60,0
200611010NJN,RS,TOR,1755.0,LC,61,60,1
200611010NJN,RS,TOR,1762.0,LC,61,62,-1
200611010NJN,RS,TOR,1786.0,LC,63,62,1
200611010NJN,RS,TOR,1786.0,,64,62,2
200611010NJN,RS,TOR,1797.0,T,64,64,0
200611010NJN,RS,TOR,1827.0,LC,64,66,-2
200611010NJN,RS,TOR,1897.0,T,66,66,0
200611010NJN,RS,TOR,1903.0,,66,67,-1
200611010NJN,RS,TOR,1903.0,,66,68,-2
200611010NJN,RS,TOR,2032.0,T,68,68,0
200611010NJN,RS,TOR,2051.0,LC,70,68,2
200611010NJN,RS,TOR,2083.0,,72,68,4
200611010NJN,RS,TOR,2114.5,,72,70,2
200611010NJN,RS,TOR,2157.7,,74,70,4
200611010NJN,RS,TOR,2182.0,,76,70,6
200611010NJN,RS,TOR,2199.0,,76,71,5
200611010NJN,RS,TOR,2199.0,,76,72,4
200611010NJN,RS,TOR,2221.0,,78,72,6
200611010NJN,RS,TOR,2244.0,,80,72,8
200611010NJN,RS,TOR,2261.0,,80,74,6
200611010NJN,RS,TOR,2283.0,,80,76,4
200611010NJN,RS,TOR,2346.0,,83,76,7
200611010NJN,RS,TOR,2374.0,,84,76,8
200611010NJN,RS,TOR,2427.0,,87,76,11
200611010NJN,RS,TOR,2457.0,,89,76,13
200611010NJN,RS,TOR,2469.0,,89,78,11
200611010NJN,RS,TOR,2487.0,,91,78,13
