id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
200711020ATL,RS,DAL,0.0,,0,0,0
200711020ATL,RS,DAL,41.0,,0,2,-2
200711020ATL,RS,DAL,78.0,T,2,2,0
200711020ATL,RS,DAL,136.0,LC,4,2,2
200711020ATL,RS,DAL,166.0,,6,2,4
200711020ATL,RS,DAL,178.0,,6,4,2
200711020ATL,RS,DAL,197.0,T,6,6,0
200711020ATL,RS,DAL,222.0,,8,6,2
200711020ATL,RS,DAL,238.0,T,8,8,0
200711020ATL,RS,DAL,318.0,,10,8,2
200711020ATL,RS,DAL,338.0,T,10,10,0
200711020ATL,RS,DAL,348.0,,11,10,1
200711020ATL,RS,DAL,348.0,,12,10,2
200711020ATL,RS,DAL,371.0,,12,11,1
200711020ATL,RS,DAL,371.0,T,12,12,0
200711020ATL,RS,DAL,402.0,,14,12,2
200711020ATL,RS,DAL,427.0,,16,12,4
200711020ATL,RS,DAL,465.0,,18,12,6
200711020ATL,RS,DAL,465.0,,19,12,7
200711020ATL,RS,DAL,479.0,,19,13,6
200711020ATL,RS,DAL,479.0,,19,14,5
200711020ATL,RS,DAL,523.0,,21,14,7
200711020ATL,RS,DAL,575.0,,23,14,9
200711020ATL,RS,DAL,601.0,,23,15,8
200711020ATL,RS,DAL,618.0,,26,15,11
200711020ATL,RS,DAL,638.0,,26,17,9
200711020ATL,RS,DAL,701.0,,26,19,7
200711020ATL,RS,DAL,712.5,,28,19,9
200711020ATL,RS,DAL,712.5,,29,19,10
200711020ATL,RS,DAL,759.0,,31,19,12
200711020ATL,RS,DAL,786.0,,31,21,10
200711020ATL,RS,DAL,856.0,,32,21,11
200711020ATL,RS,DAL,877.0,,32,23,9
200711020ATL,RS,DAL,908.0,,34,23,11
200711020ATL,RS,DAL,948.0,,36,23,13
200711020ATL,RS,DAL,981.0,,39,23,16
200711020ATL,RS,DAL,1001.0,,39,26,13
200711020ATL,RS,DAL,1058.0,,41,26,15
200711020ATL,RS,DAL,1086.0,,41,28,13
200711020ATL,RS,DAL,1139.0,,41,30,11
200711020ATL,RS,DAL,1165.0,,41,31,10
200711020ATL,RS,DAL,1175.0,,42,31,11
200711020ATL,RS,DAL,1175.0,,43,31,12
200711020ATL,RS,DAL,1248.0,,43,33,10
200711020ATL,RS,DAL,1259.0,,43,35,8
200711020ATL,RS,DAL,1292.0,,43,37,6
200711020ATL,RS,DAL,1347.0,,44,37,7
200711020ATL,RS,DAL,1347.0,,45,37,8
200711020ATL,RS,DAL,1393.9,,45,39,6
200711020ATL,RS,DAL,1416.5,,46,39,7
200711020ATL,RS,DAL,1463.0,,47,39,8
200711020ATL,RS,DAL,1463.0,,48,39,9
200711020ATL,RS,DAL,1480.0,,48,41,7
200711020ATL,RS,DAL,1501.0,,50,41,9
200711020ATL,RS,DAL,1512.0,,50,43,7
200711020ATL,RS,DAL,1522.0,,52,43,9
200711020ATL,RS,DAL,1597.0,,52,46,6
200711020ATL,RS,DAL,1613.0,,53,46,7
200711020ATL,RS,DAL,1613.0,,54,46,8
200711020ATL,RS,DAL,1656.0,,54,47,7
200711020ATL,RS,DAL,1656.0,,54,48,6
200711020ATL,RS,DAL,1689.0,,54,50,4
200711020ATL,RS,DAL,1708.0,,56,50,6
200711020ATL,RS,DAL,1718.0,,56,51,5
200711020ATL,RS,DAL,1718.0,,56,52,4
200711020ATL,RS,DAL,1742.0,,56,54,2
200711020ATL,RS,DAL,1770.0,LC,56,57,-1
200711020ATL,RS,DAL,1807.0,LC,58,57,1
200711020ATL,RS,DAL,1841.0,LC,58,59,-1
200711020ATL,RS,DAL,1870.0,LC,60,59,1
200711020ATL,RS,DAL,1893.0,LC,60,61,-1
