id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201010270TOR,RS,NYK,0.0,,0,0,0
201010270TOR,RS,NYK,32.0,,1,0,1
201010270TOR,RS,NYK,57.0,,3,0,3
201010270TOR,RS,NYK,70.0,,3,2,1
201010270TOR,RS,NYK,93.0,,5,2,3
201010270TOR,RS,NYK,124.0,,5,4,1
201010270TOR,RS,NYK,210.0,LC,5,6,-1
201010270TOR,RS,NYK,229.0,LC,7,6,1
201010270TOR,RS,NYK,253.0,,9,6,3
201010270TOR,RS,NYK,267.0,T,9,9,0
201010270TOR,RS,NYK,281.0,,11,9,2
201010270TOR,RS,NYK,298.0,T,11,11,0
201010270TOR,RS,NYK,316.0,,13,11,2
201010270TOR,RS,NYK,334.0,LC,13,14,-1
201010270TOR,RS,NYK,355.0,,13,17,-4
201010270TOR,RS,NYK,401.0,,14,17,-3
201010270TOR,RS,NYK,443.0,,14,19,-5
201010270TOR,RS,NYK,503.0,,14,21,-7
201010270TOR,RS,NYK,540.0,,14,22,-8
201010270TOR,RS,NYK,540.0,,14,23,-9
201010270TOR,RS,NYK,551.0,,16,23,-7
201010270TOR,RS,NYK,627.0,,18,23,-5
201010270TOR,RS,NYK,639.0,,18,25,-7
201010270TOR,RS,NYK,669.1,,20,25,-5
201010270TOR,RS,NYK,680.6,,20,26,-6
201010270TOR,RS,NYK,680.6,,20,27,-7
201010270TOR,RS,NYK,692.1,,22,27,-5
201010270TOR,RS,NYK,718.6,,22,29,-7
201010270TOR,RS,NYK,752.0,,22,30,-8
201010270TOR,RS,NYK,752.0,,22,31,-9
201010270TOR,RS,NYK,786.0,,22,33,-11
201010270TOR,RS,NYK,819.0,,22,35,-13
201010270TOR,RS,NYK,869.0,,22,36,-14
201010270TOR,RS,NYK,886.0,,22,38,-16
201010270TOR,RS,NYK,903.0,,23,38,-15
201010270TOR,RS,NYK,903.0,,24,38,-14
201010270TOR,RS,NYK,912.0,,24,40,-16
201010270TOR,RS,NYK,944.0,,26,40,-14
201010270TOR,RS,NYK,974.0,,28,40,-12
201010270TOR,RS,NYK,996.0,,30,40,-10
201010270TOR,RS,NYK,1012.0,,30,42,-12
201010270TOR,RS,NYK,1036.0,,32,42,-10
201010270TOR,RS,NYK,1078.0,,32,44,-12
201010270TOR,RS,NYK,1095.0,,33,44,-11
201010270TOR,RS,NYK,1095.0,,34,44,-10
201010270TOR,RS,NYK,1122.0,,36,44,-8
201010270TOR,RS,NYK,1135.0,,38,44,-6
201010270TOR,RS,NYK,1161.0,,39,44,-5
201010270TOR,RS,NYK,1161.0,,40,44,-4
201010270TOR,RS,NYK,1208.0,,42,44,-2
201010270TOR,RS,NYK,1208.0,,43,44,-1
201010270TOR,RS,NYK,1220.0,,43,46,-3
201010270TOR,RS,NYK,1248.0,,44,46,-2
201010270TOR,RS,NYK,1248.0,,45,46,-1
201010270TOR,RS,NYK,1265.0,,45,47,-2
201010270TOR,RS,NYK,1265.0,,45,48,-3
