id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201112250DAL,RS,DAL,0.0,,0,0,0
201112250DAL,RS,DAL,26.0,,2,0,2
201112250DAL,RS,DAL,90.0,,4,0,4
201112250DAL,RS,DAL,124.0,,5,0,5
201112250DAL,RS,DAL,150.0,,5,1,4
201112250DAL,RS,DAL,150.0,,5,2,3
201112250DAL,RS,DAL,150.0,,5,3,2
201112250DAL,RS,DAL,169.0,,7,3,4
201112250DAL,RS,DAL,235.0,,9,3,6
201112250DAL,RS,DAL,276.0,,9,6,3
201112250DAL,RS,DAL,292.0,,10,6,4
201112250DAL,RS,DAL,314.0,,10,8,2
201112250DAL,RS,DAL,332.0,,11,8,3
201112250DAL,RS,DAL,396.0,T,11,11,0
201112250DAL,RS,DAL,405.0,,13,11,2
201112250DAL,RS,DAL,427.0,,15,11,4
201112250DAL,RS,DAL,445.0,,18,11,7
201112250DAL,RS,DAL,477.0,,19,11,8
201112250DAL,RS,DAL,477.0,,20,11,9
201112250DAL,RS,DAL,521.0,,22,11,11
201112250DAL,RS,DAL,547.0,,24,11,13
201112250DAL,RS,DAL,564.0,,24,12,12
201112250DAL,RS,DAL,564.0,,24,13,11
201112250DAL,RS,DAL,591.0,,24,14,10
201112250DAL,RS,DAL,591.0,,24,15,9
201112250DAL,RS,DAL,604.0,,26,15,11
201112250DAL,RS,DAL,634.0,,28,15,13
201112250DAL,RS,DAL,662.1,,30,15,15
201112250DAL,RS,DAL,686.1,,31,15,16
201112250DAL,RS,DAL,686.1,,32,15,17
201112250DAL,RS,DAL,703.2,,32,17,15
201112250DAL,RS,DAL,802.0,,32,18,14
201112250DAL,RS,DAL,851.0,,32,20,12
201112250DAL,RS,DAL,893.0,,32,21,11
201112250DAL,RS,DAL,902.0,,34,21,13
201112250DAL,RS,DAL,923.0,,34,23,11
201112250DAL,RS,DAL,970.0,,36,23,13
201112250DAL,RS,DAL,993.0,,36,26,10
201112250DAL,RS,DAL,1008.0,,39,26,13
201112250DAL,RS,DAL,1028.0,,42,26,16
201112250DAL,RS,DAL,1077.0,,42,27,15
201112250DAL,RS,DAL,1101.0,,44,27,17
201112250DAL,RS,DAL,1126.0,,46,27,19
201112250DAL,RS,DAL,1159.0,,48,27,21
201112250DAL,RS,DAL,1176.0,,51,27,24
201112250DAL,RS,DAL,1197.0,,52,27,25
201112250DAL,RS,DAL,1197.0,,53,27,26
201112250DAL,RS,DAL,1218.0,,53,28,25
201112250DAL,RS,DAL,1264.0,,53,30,23
201112250DAL,RS,DAL,1264.0,,53,31,22
201112250DAL,RS,DAL,1281.0,,55,31,24
201112250DAL,RS,DAL,1301.0,,56,31,25
201112250DAL,RS,DAL,1311.0,,56,33,23
201112250DAL,RS,DAL,1320.0,,57,33,24
201112250DAL,RS,DAL,1345.0,,59,33,26
201112250DAL,RS,DAL,1356.0,,59,36,23
201112250DAL,RS,DAL,1361.0,,60,36,24
201112250DAL,RS,DAL,1393.6,,60,37,23
201112250DAL,RS,DAL,1393.6,,60,38,22
201112250DAL,RS,DAL,1429.1,,60,41,19
201112250DAL,RS,DAL,1429.1,,61,41,20
201112250DAL,RS,DAL,1429.1,,62,41,21
201112250DAL,RS,DAL,1440.0,,64,41,23
201112250DAL,RS,DAL,1479.0,,64,43,21
201112250DAL,RS,DAL,1525.0,,66,43,23
201112250DAL,RS,DAL,1525.0,,67,43,24
201112250DAL,RS,DAL,1553.0,,69,43,26
201112250DAL,RS,DAL,1575.0,,71,43,28
201112250DAL,RS,DAL,1612.0,,73,43,30
201112250DAL,RS,DAL,1612.0,,74,43,31
201112250DAL,RS,DAL,1636.0,,76,43,33
201112250DAL,RS,DAL,1656.0,,78,43,35
201112250DAL,RS,DAL,1670.0,,78,45,33
201112250DAL,RS,DAL,1707.0,,78,47,31
201112250DAL,RS,DAL,1734.0,,78,49,29
201112250DAL,RS,DAL,1750.0,,80,49,31
201112250DAL,RS,DAL,1777.0,,80,52,28
201112250DAL,RS,DAL,1800.0,,82,52,30
201112250DAL,RS,DAL,1820.0,,82,54,28
201112250DAL,RS,DAL,1854.0,,83,54,29
201112250DAL,RS,DAL,1874.0,,85,54,31
201112250DAL,RS,DAL,1903.0,,86,54,32
201112250DAL,RS,DAL,1903.0,,87,54,33
201112250DAL,RS,DAL,1942.0,,87,56,31
201112250DAL,RS,DAL,1980.0,,88,56,32
201112250DAL,RS,DAL,1980.0,,89,56,33
201112250DAL,RS,DAL,1988.0,,89,58,31
201112250DAL,RS,DAL,2019.0,,91,58,33
201112250DAL,RS,DAL,2030.0,,91,60,31
201112250DAL,RS,DAL,2067.0,,91,62,29
201112250DAL,RS,DAL,2087.0,,93,62,31
201112250DAL,RS,DAL,2098.0,,93,65,28
201112250DAL,RS,DAL,2116.6,,95,65,30
201112250DAL,RS,DAL,2155.3,,97,65,32
201112250DAL,RS,DAL,2272.0,,97,66,31
201112250DAL,RS,DAL,2272.0,,97,67,30
201112250DAL,RS,DAL,2279.0,,97,69,28
201112250DAL,RS,DAL,2313.0,,97,72,25
201112250DAL,RS,DAL,2343.0,,97,73,24
201112250DAL,RS,DAL,2343.0,,97,74,23
201112250DAL,RS,DAL,2372.0,,97,76,21
201112250DAL,RS,DAL,2396.0,,98,76,22
201112250DAL,RS,DAL,2396.0,,99,76,23
201112250DAL,RS,DAL,2415.0,,99,78,21
201112250DAL,RS,DAL,2444.0,,101,78,23
201112250DAL,RS,DAL,2444.0,,102,78,24
201112250DAL,RS,DAL,2456.0,,102,80,22
201112250DAL,RS,DAL,2497.0,,102,83,19
201112250DAL,RS,DAL,2524.0,,102,85,17
201112250DAL,RS,DAL,2541.0,,104,85,19
201112250DAL,RS,DAL,2572.0,,105,85,20
201112250DAL,RS,DAL,2704.0,,105,86,19
201112250DAL,RS,DAL,2704.0,,105,87,18
201112250DAL,RS,DAL,2732.0,,105,89,16
201112250DAL,RS,DAL,2732.0,,105,90,15
201112250DAL,RS,DAL,2789.0,,105,91,14
201112250DAL,RS,DAL,2789.0,,105,92,13
201112250DAL,RS,DAL,2839.1,F,105,94,11
201112250DAL,RS,DAL,2880.0,,105,94,11
201112270MIA,RS,BOS,0.0,,0,0,0
201112270MIA,RS,BOS,11.0,,0,1,-1
201112270MIA,RS,BOS,11.0,,0,2,-2
201112270MIA,RS,BOS,25.0,T,2,2,0
201112270MIA,RS,BOS,54.0,LC,4,2,2
201112270MIA,RS,BOS,79.0,T,4,4,0
201112270MIA,RS,BOS,113.0,,7,4,3
201112270MIA,RS,BOS,176.0,,9,4,5
201112270MIA,RS,BOS,191.0,,9,6,3
201112270MIA,RS,BOS,212.0,,11,6,5
201112270MIA,RS,BOS,226.0,,11,9,2
201112270MIA,RS,BOS,235.0,,12,9,3
201112270MIA,RS,BOS,256.0,,14,9,5
201112270MIA,RS,BOS,271.0,,14,11,3
201112270MIA,RS,BOS,284.0,,15,11,4
201112270MIA,RS,BOS,304.0,,18,11,7
201112270MIA,RS,BOS,316.0,,19,11,8
201112270MIA,RS,BOS,323.0,,20,11,9
201112270MIA,RS,BOS,323.0,,21,11,10
201112270MIA,RS,BOS,367.0,,21,13,8
201112270MIA,RS,BOS,376.0,,23,13,10
201112270MIA,RS,BOS,383.0,,23,15,8
201112270MIA,RS,BOS,386.0,,24,15,9
201112270MIA,RS,BOS,397.0,,26,15,11
201112270MIA,RS,BOS,420.0,,26,18,8
201112270MIA,RS,BOS,454.0,,26,20,6
201112270MIA,RS,BOS,500.0,,26,22,4
201112270MIA,RS,BOS,569.0,,26,24,2
201112270MIA,RS,BOS,569.0,,26,25,1
201112270MIA,RS,BOS,579.0,,27,25,2
201112270MIA,RS,BOS,604.0,,29,25,4
201112270MIA,RS,BOS,639.0,,29,27,2
201112270MIA,RS,BOS,683.6,,30,27,3
201112270MIA,RS,BOS,758.0,,31,27,4
201112270MIA,RS,BOS,758.0,,32,27,5
201112270MIA,RS,BOS,778.0,,34,27,7
201112270MIA,RS,BOS,813.0,,34,28,6
201112270MIA,RS,BOS,813.0,,34,29,5
201112270MIA,RS,BOS,826.0,,36,29,7
201112270MIA,RS,BOS,893.0,,38,29,9
201112270MIA,RS,BOS,904.0,,38,30,8
201112270MIA,RS,BOS,915.0,,39,30,9
201112270MIA,RS,BOS,915.0,,40,30,10
201112270MIA,RS,BOS,970.0,,40,32,8
201112270MIA,RS,BOS,987.0,,42,32,10
