id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201210310TOR,RS,TOR,0.0,,0,0,0
201210310TOR,RS,TOR,17.0,,2,0,2
201210310TOR,RS,TOR,57.0,,4,0,4
201210310TOR,RS,TOR,68.0,,4,2,2
201210310TOR,RS,TOR,72.0,,6,2,4
201210310TOR,RS,TOR,89.0,,6,3,3
201210310TOR,RS,TOR,89.0,,6,4,2
201210310TOR,RS,TOR,117.0,T,6,6,0
201210310TOR,RS,TOR,154.0,LC,6,8,-2
201210310TOR,RS,TOR,174.0,T,8,8,0
201210310TOR,RS,TOR,203.0,LC,11,8,3
201210310TOR,RS,TOR,228.0,T,11,11,0
201210310TOR,RS,TOR,280.0,,13,11,2
201210310TOR,RS,TOR,291.0,,13,12,1
201210310TOR,RS,TOR,291.0,T,13,13,0
201210310TOR,RS,TOR,310.0,,15,13,2
201210310TOR,RS,TOR,326.0,T,15,15,0
201210310TOR,RS,TOR,367.0,,16,15,1
201210310TOR,RS,TOR,367.0,,17,15,2
201210310TOR,RS,TOR,385.0,LC,17,18,-1
201210310TOR,RS,TOR,403.0,LC,19,18,1
201210310TOR,RS,TOR,415.0,LC,19,20,-1
201210310TOR,RS,TOR,428.0,LC,21,20,1
201210310TOR,RS,TOR,437.0,LC,21,22,-1
201210310TOR,RS,TOR,455.0,LC,23,22,1
201210310TOR,RS,TOR,478.0,,25,22,3
201210310TOR,RS,TOR,537.0,,26,22,4
201210310TOR,RS,TOR,627.0,,26,23,3
201210310TOR,RS,TOR,660.0,,26,25,1
201210310TOR,RS,TOR,666.2,,27,25,2
201210310TOR,RS,TOR,742.0,T,27,27,0
201210310TOR,RS,TOR,765.0,LC,27,29,-2
201210310TOR,RS,TOR,836.0,,27,31,-4
201210310TOR,RS,TOR,861.0,,30,31,-1
201210310TOR,RS,TOR,946.0,LC,32,31,1
201210310TOR,RS,TOR,987.0,LC,32,34,-2
201210310TOR,RS,TOR,1010.0,LC,35,34,1
201210310TOR,RS,TOR,1119.0,,37,34,3
201210310TOR,RS,TOR,1134.0,,37,36,1
201210310TOR,RS,TOR,1154.0,,39,36,3
201210310TOR,RS,TOR,1169.0,T,39,39,0
201210310TOR,RS,TOR,1194.0,,41,39,2
201210310TOR,RS,TOR,1194.0,,42,39,3
201210310TOR,RS,TOR,1224.0,,42,41,1
201210310TOR,RS,TOR,1246.0,,44,41,3
201210310TOR,RS,TOR,1272.0,,46,41,5
201210310TOR,RS,TOR,1320.0,,46,43,3
201210310TOR,RS,TOR,1338.0,,48,43,5
201210310TOR,RS,TOR,1378.0,,48,44,4
201210310TOR,RS,TOR,1378.0,,48,45,3
201210310TOR,RS,TOR,1378.0,,48,46,2
201210310TOR,RS,TOR,1412.1,T,48,48,0
201210310TOR,RS,TOR,1451.0,LC,48,50,-2
201210310TOR,RS,TOR,1522.0,T,50,50,0
201210310TOR,RS,TOR,1544.0,,50,52,-2
201210310TOR,RS,TOR,1563.0,T,52,52,0
201210310TOR,RS,TOR,1563.0,LC,53,52,1
201210310TOR,RS,TOR,1617.0,LC,53,54,-1
201210310TOR,RS,TOR,1646.0,,53,56,-3
201210310TOR,RS,TOR,1660.0,,53,58,-5
201210310TOR,RS,TOR,1716.0,,53,59,-6
201210310TOR,RS,TOR,1716.0,,53,60,-7
201210310TOR,RS,TOR,1738.0,,53,62,-9
201210310TOR,RS,TOR,1788.0,,53,64,-11
201210310TOR,RS,TOR,1803.0,,55,64,-9
201210310TOR,RS,TOR,1882.0,,55,65,-10
201210310TOR,RS,TOR,1898.0,,57,65,-8
201210310TOR,RS,TOR,1919.0,,57,67,-10
201210310TOR,RS,TOR,1949.0,,59,67,-8
201210310TOR,RS,TOR,2014.0,,60,67,-7
201210310TOR,RS,TOR,2014.0,,61,67,-6
201210310TOR,RS,TOR,2086.0,,63,67,-4
201210310TOR,RS,TOR,2109.1,,63,69,-6
201210310TOR,RS,TOR,2135.2,,63,71,-8
201210310TOR,RS,TOR,2192.0,,66,71,-5
201210310TOR,RS,TOR,2209.0,,66,73,-7
201210310TOR,RS,TOR,2249.0,,67,73,-6
201210310TOR,RS,TOR,2249.0,,68,73,-5
201210310TOR,RS,TOR,2307.0,,70,73,-3
201210310TOR,RS,TOR,2343.0,,70,74,-4
201210310TOR,RS,TOR,2343.0,,70,75,-5
201210310TOR,RS,TOR,2386.0,,70,76,-6
201210310TOR,RS,TOR,2413.0,,72,76,-4
201210310TOR,RS,TOR,2435.0,,72,79,-7
201210310TOR,RS,TOR,2460.0,,74,79,-5
201210310TOR,RS,TOR,2487.0,,74,81,-7
201210310TOR,RS,TOR,2522.0,,74,84,-10
201210310TOR,RS,TOR,2543.0,,76,84,-8
201210310TOR,RS,TOR,2594.0,,78,84,-6
201210310TOR,RS,TOR,2609.0,,78,86,-8
201210310TOR,RS,TOR,2633.0,,80,86,-6
201210310TOR,RS,TOR,2684.0,,83,86,-3
201210310TOR,RS,TOR,2723.0,,85,86,-1
201210310TOR,RS,TOR,2745.0,,85,87,-2
201210310TOR,RS,TOR,2745.0,,85,88,-3
201210310TOR,RS,TOR,2800.0,,87,88,-1
201210310TOR,RS,TOR,2820.5,T,88,88,0
201210310TOR,RS,TOR,2877.9,F,90,88,2
201210310TOR,RS,TOR,2880.0,,90,88,2
201211020CHA,RS,CHA,0.0,,0,0,0
201211020CHA,RS,CHA,53.0,,0,1,-1
201211020CHA,RS,CHA,53.0,,0,2,-2
201211020CHA,RS,CHA,84.0,,0,4,-4
201211020CHA,RS,CHA,106.0,,0,6,-6
201211020CHA,RS,CHA,127.0,,3,6,-3
201211020CHA,RS,CHA,205.0,,3,8,-5
201211020CHA,RS,CHA,239.0,,3,10,-7
201211020CHA,RS,CHA,276.0,,3,12,-9
201211020CHA,RS,CHA,294.0,,5,12,-7
201211020CHA,RS,CHA,335.0,,6,12,-6
201211020CHA,RS,CHA,369.0,,9,12,-3
201211020CHA,RS,CHA,409.0,,11,12,-1
201211020CHA,RS,CHA,582.0,LC,13,12,1
201211020CHA,RS,CHA,600.0,,14,12,2
201211020CHA,RS,CHA,600.0,,15,12,3
201211020CHA,RS,CHA,629.0,,15,14,1
201211020CHA,RS,CHA,650.0,,16,14,2
201211020CHA,RS,CHA,650.0,,17,14,3
201211020CHA,RS,CHA,660.0,T,17,17,0
201211020CHA,RS,CHA,678.0,,19,17,2
201211020CHA,RS,CHA,705.4,,20,17,3
201211020CHA,RS,CHA,776.0,,20,19,1
201211020CHA,RS,CHA,853.0,,21,19,2
201211020CHA,RS,CHA,890.0,,23,19,4
201211020CHA,RS,CHA,917.0,,24,19,5
201211020CHA,RS,CHA,917.0,,25,19,6
201211020CHA,RS,CHA,953.0,,28,19,9
201211020CHA,RS,CHA,969.0,,28,21,7
201211020CHA,RS,CHA,1012.0,,28,23,5
201211020CHA,RS,CHA,1030.0,,30,23,7
201211020CHA,RS,CHA,1050.0,,30,25,5
201211020CHA,RS,CHA,1071.0,,32,25,7
201211020CHA,RS,CHA,1110.0,,32,26,6
201211020CHA,RS,CHA,1110.0,,32,27,5
201211020CHA,RS,CHA,1158.0,,35,27,8
201211020CHA,RS,CHA,1192.0,,35,28,7
201211020CHA,RS,CHA,1249.0,,35,30,5
201211020CHA,RS,CHA,1249.0,,35,31,4
201211020CHA,RS,CHA,1302.0,,35,32,3
201211020CHA,RS,CHA,1302.0,,35,33,2
201211020CHA,RS,CHA,1302.0,,35,34,1
201211020CHA,RS,CHA,1308.0,,37,34,3
201211020CHA,RS,CHA,1326.0,T,37,37,0
201211020CHA,RS,CHA,1339.0,,39,37,2
201211020CHA,RS,CHA,1394.9,,41,37,4
201211020CHA,RS,CHA,1423.8,,43,37,6
201211020CHA,RS,CHA,1438.8,,43,39,4
201211020CHA,RS,CHA,1494.0,,43,41,2
201211020CHA,RS,CHA,1559.0,LC,43,44,-1
201211020CHA,RS,CHA,1579.0,LC,45,44,1
201211020CHA,RS,CHA,1594.0,LC,45,47,-2
201211020CHA,RS,CHA,1607.0,,45,49,-4
201211020CHA,RS,CHA,1607.0,,45,50,-5
201211020CHA,RS,CHA,1623.0,,47,50,-3
201211020CHA,RS,CHA,1640.0,,48,50,-2
201211020CHA,RS,CHA,1640.0,,49,50,-1
201211020CHA,RS,CHA,1659.0,,49,52,-3
201211020CHA,RS,CHA,1684.0,,51,52,-1
201211020CHA,RS,CHA,1703.0,,51,53,-2
201211020CHA,RS,CHA,1703.0,,51,54,-3
201211020CHA,RS,CHA,1715.0,,53,54,-1
201211020CHA,RS,CHA,1726.0,,53,56,-3
201211020CHA,RS,CHA,1753.0,,53,58,-5
201211020CHA,RS,CHA,1775.0,,53,59,-6
201211020CHA,RS,CHA,1798.0,,53,60,-7
201211020CHA,RS,CHA,1817.0,,55,60,-5
201211020CHA,RS,CHA,1835.0,,55,62,-7
201211020CHA,RS,CHA,1889.0,,57,62,-5
201211020CHA,RS,CHA,1902.0,,57,63,-6
201211020CHA,RS,CHA,1902.0,,57,64,-7
201211020CHA,RS,CHA,1914.0,,58,64,-6
201211020CHA,RS,CHA,1936.0,,58,66,-8
201211020CHA,RS,CHA,1956.0,,60,66,-6
201211020CHA,RS,CHA,1983.0,,62,66,-4
201211020CHA,RS,CHA,2029.0,,62,69,-7
201211020CHA,RS,CHA,2039.0,,64,69,-5
201211020CHA,RS,CHA,2052.0,,65,69,-4
201211020CHA,RS,CHA,2052.0,,66,69,-3
201211020CHA,RS,CHA,2092.0,,68,69,-1
201211020CHA,RS,CHA,2097.0,,68,70,-2
201211020CHA,RS,CHA,2120.3,,68,72,-4
201211020CHA,RS,CHA,2130.4,,68,73,-5
201211020CHA,RS,CHA,2130.4,,68,74,-6
201211020CHA,RS,CHA,2142.6,,70,74,-4
201211020CHA,RS,CHA,2178.0,,70,77,-7
201211020CHA,RS,CHA,2204.0,,73,77,-4
201211020CHA,RS,CHA,2236.0,,73,78,-5
201211020CHA,RS,CHA,2236.0,,73,79,-6
201211020CHA,RS,CHA,2248.0,,74,79,-5
201211020CHA,RS,CHA,2260.0,,74,81,-7
201211020CHA,RS,CHA,2314.0,,77,81,-4
201211020CHA,RS,CHA,2338.0,,79,81,-2
201211020CHA,RS,CHA,2362.0,,79,83,-4
201211020CHA,RS,CHA,2379.0,,82,83,-1
201211020CHA,RS,CHA,2475.0,,82,85,-3
201211020CHA,RS,CHA,2527.0,,84,85,-1
201211020CHA,RS,CHA,2584.0,,84,88,-4
201211020CHA,RS,CHA,2613.0,,85,88,-3
201211020CHA,RS,CHA,2672.0,,85,90,-5
201211020CHA,RS,CHA,2722.0,,87,90,-3
201211020CHA,RS,CHA,2759.0,F,89,90,-1
201211020CHA,RS,CHA,2880.0,,89,90,-1
201211030IND,RS,SAC,0.0,,0,0,0
201211030IND,RS,SAC,17.0,,2,0,2
201211030IND,RS,SAC,75.0,T,2,2,0
201211030IND,RS,SAC,96.0,,4,2,2
201211030IND,RS,SAC,106.0,,4,3,1
201211030IND,RS,SAC,127.0,,6,3,3
201211030IND,RS,SAC,172.0,,6,5,1
201211030IND,RS,SAC,197.0,,8,5,3
201211030IND,RS,SAC,210.0,,10,5,5
201211030IND,RS,SAC,275.0,,12,5,7
201211030IND,RS,SAC,364.0,,12,7,5
201211030IND,RS,SAC,390.0,,12,9,3
201211030IND,RS,SAC,426.0,,14,9,5
201211030IND,RS,SAC,456.0,,14,10,4
201211030IND,RS,SAC,456.0,,14,11,3
201211030IND,RS,SAC,477.0,T,14,14,0
201211030IND,RS,SAC,547.0,LC,14,16,-2
201211030IND,RS,SAC,566.0,,15,16,-1
201211030IND,RS,SAC,566.0,T,16,16,0
201211030IND,RS,SAC,595.0,,16,18,-2
201211030IND,RS,SAC,633.0,,16,20,-4
201211030IND,RS,SAC,666.1,,17,20,-3
201211030IND,RS,SAC,666.1,,18,20,-2
201211030IND,RS,SAC,684.1,,18,22,-4
201211030IND,RS,SAC,717.5,,18,23,-5
201211030IND,RS,SAC,717.5,,18,24,-6
201211030IND,RS,SAC,732.0,,18,26,-8
201211030IND,RS,SAC,749.0,,20,26,-6
201211030IND,RS,SAC,784.0,,20,27,-7
201211030IND,RS,SAC,784.0,,20,28,-8
201211030IND,RS,SAC,823.0,,22,28,-6
201211030IND,RS,SAC,860.0,,23,28,-5
201211030IND,RS,SAC,860.0,,24,28,-4
201211030IND,RS,SAC,894.0,,26,28,-2
201211030IND,RS,SAC,907.0,,26,30,-4
201211030IND,RS,SAC,935.0,,29,30,-1
201211030IND,RS,SAC,963.0,LC,31,30,1
201211030IND,RS,SAC,963.0,,32,30,2
201211030IND,RS,SAC,1018.0,T,32,32,0
201211030IND,RS,SAC,1040.0,,34,32,2
201211030IND,RS,SAC,1081.0,T,34,34,0
201211030IND,RS,SAC,1101.0,LC,34,36,-2
201211030IND,RS,SAC,1115.0,,35,36,-1
201211030IND,RS,SAC,1115.0,T,36,36,0
201211030IND,RS,SAC,1145.0,LC,38,36,2
201211030IND,RS,SAC,1163.0,,38,37,1
201211030IND,RS,SAC,1163.0,T,38,38,0
201211030IND,RS,SAC,1175.0,,39,38,1
201211030IND,RS,SAC,1175.0,,40,38,2
201211030IND,RS,SAC,1208.0,,42,38,4
201211030IND,RS,SAC,1241.0,,44,38,6
201211030IND,RS,SAC,1269.0,,46,38,8
201211030IND,RS,SAC,1293.0,,46,40,6
201211030IND,RS,SAC,1315.0,,48,40,8
201211030IND,RS,SAC,1382.1,,49,40,9
201211030IND,RS,SAC,1382.1,,50,40,10
201211030IND,RS,SAC,1382.1,,51,40,11
201211030IND,RS,SAC,1399.3,,51,42,9
201211030IND,RS,SAC,1411.1,,54,42,12
201211030IND,RS,SAC,1437.4,,56,42,14
201211030IND,RS,SAC,1463.0,,56,44,12
201211030IND,RS,SAC,1498.0,,56,46,10
201211030IND,RS,SAC,1517.0,,58,46,12
201211030IND,RS,SAC,1550.0,,60,46,14
201211030IND,RS,SAC,1598.0,,60,48,12
201211030IND,RS,SAC,1632.0,,60,49,11
201211030IND,RS,SAC,1632.0,,60,50,10
201211030IND,RS,SAC,1685.0,,62,50,12
201211030IND,RS,SAC,1720.0,,64,50,14
201211030IND,RS,SAC,1781.0,,64,52,12
201211030IND,RS,SAC,1851.0,,64,54,10
201211030IND,RS,SAC,1887.0,,64,56,8
201211030IND,RS,SAC,1974.0,,66,56,10
201211030IND,RS,SAC,2016.0,,68,56,12
201211030IND,RS,SAC,2040.0,,68,59,9
201211030IND,RS,SAC,2058.0,,69,59,10
201211030IND,RS,SAC,2068.0,,71,59,12
201211030IND,RS,SAC,2092.0,,71,61,10
201211030IND,RS,SAC,2116.2,,71,62,9
201211030IND,RS,SAC,2116.2,,71,63,8
201211030IND,RS,SAC,2136.1,,71,66,5
201211030IND,RS,SAC,2160.0,,74,66,8
201211030IND,RS,SAC,2208.0,,74,68,6
201211030IND,RS,SAC,2232.0,,76,68,8
201211030IND,RS,SAC,2244.0,,76,70,6
201211030IND,RS,SAC,2263.0,,76,71,5
201211030IND,RS,SAC,2291.0,,76,73,3
201211030IND,RS,SAC,2315.0,,77,73,4
201211030IND,RS,SAC,2315.0,,78,73,5
201211030IND,RS,SAC,2332.0,,78,76,2
201211030IND,RS,SAC,2382.0,,80,76,4
201211030IND,RS,SAC,2399.0,,80,79,1
201211030IND,RS,SAC,2464.0,,81,79,2
201211030IND,RS,SAC,2520.0,,82,79,3
201211030IND,RS,SAC,2520.0,,83,79,4
201211030IND,RS,SAC,2589.0,,85,79,6
201211030IND,RS,SAC,2617.0,,85,81,4
201211030IND,RS,SAC,2629.0,,87,81,6
201211030IND,RS,SAC,2659.0,,87,84,3
201211030IND,RS,SAC,2689.0,,87,85,2
201211030IND,RS,SAC,2689.0,,87,86,1
201211030IND,RS,SAC,2700.0,,89,86,3
201211030IND,RS,SAC,2813.0,,89,88,1
201211030IND,RS,SAC,2824.6,,91,88,3
201211030IND,RS,SAC,2831.4,T,91,91,0
201211030IND,RS,SAC,3025.0,,94,91,3
201211030IND,RS,SAC,3122.6,,94,93,1
201211030IND,RS,SAC,3138.8,,96,93,3
201211030IND,RS,SAC,3153.6,T,96,96,0
201211030IND,RS,SAC,3301.0,,98,96,2
201211030IND,RS,SAC,3376.0,,100,96,4
201211030IND,RS,SAC,3447.1,,102,96,6
201211030IND,RS,SAC,3450.6,,102,98,4
201211030IND,RS,SAC,3465.9,,103,98,5
201211030IND,RS,SAC,3465.9,,104,98,6
201211030IND,RS,SAC,3471.2,,105,98,7
201211030IND,RS,SAC,3471.2,F,106,98,8
201211030IND,RS,SAC,3480.0,,106,98,8
201211050SAS,RS,SAS,0.0,,0,0,0
201211050SAS,RS,SAS,20.0,,0,2,-2
201211050SAS,RS,SAS,92.0,,0,4,-4
201211050SAS,RS,SAS,145.0,,2,4,-2
201211050SAS,RS,SAS,255.0,T,4,4,0
201211050SAS,RS,SAS,283.0,LC,5,4,1
201211050SAS,RS,SAS,283.0,,6,4,2
201211050SAS,RS,SAS,313.0,LC,6,7,-1
201211050SAS,RS,SAS,328.0,LC,9,7,2
201211050SAS,RS,SAS,340.0,T,9,9,0
201211050SAS,RS,SAS,373.0,LC,9,11,-2
201211050SAS,RS,SAS,399.0,,9,13,-4
201211050SAS,RS,SAS,399.0,,9,14,-5
201211050SAS,RS,SAS,427.0,,9,16,-7
201211050SAS,RS,SAS,480.0,,12,16,-4
201211050SAS,RS,SAS,499.0,,12,19,-7
201211050SAS,RS,SAS,574.0,,12,22,-10
201211050SAS,RS,SAS,588.0,,15,22,-7
201211050SAS,RS,SAS,613.0,,16,22,-6
201211050SAS,RS,SAS,640.0,,18,22,-4
201211050SAS,RS,SAS,659.0,,18,23,-5
201211050SAS,RS,SAS,659.0,,18,24,-6
201211050SAS,RS,SAS,718.9,,18,26,-8
201211050SAS,RS,SAS,815.0,,18,29,-11
201211050SAS,RS,SAS,841.0,,18,30,-12
201211050SAS,RS,SAS,841.0,,18,31,-13
201211050SAS,RS,SAS,896.0,,18,33,-15
201211050SAS,RS,SAS,941.0,,18,35,-17
201211050SAS,RS,SAS,1004.0,,18,36,-18
201211050SAS,RS,SAS,1004.0,,18,37,-19
201211050SAS,RS,SAS,1016.0,,19,37,-18
201211050SAS,RS,SAS,1027.0,,21,37,-16
201211050SAS,RS,SAS,1041.0,,21,39,-18
201211050SAS,RS,SAS,1055.0,,22,39,-17
201211050SAS,RS,SAS,1055.0,,23,39,-16
201211050SAS,RS,SAS,1082.0,,23,41,-18
201211050SAS,RS,SAS,1115.0,,23,43,-20
201211050SAS,RS,SAS,1166.0,,25,43,-18
201211050SAS,RS,SAS,1184.0,,25,45,-20
201211050SAS,RS,SAS,1225.0,,27,45,-18
201211050SAS,RS,SAS,1249.0,,27,47,-20
201211050SAS,RS,SAS,1269.0,,29,47,-18
201211050SAS,RS,SAS,1297.0,,31,47,-16
201211050SAS,RS,SAS,1297.0,,32,47,-15
201211050SAS,RS,SAS,1355.0,,34,47,-13
201211050SAS,RS,SAS,1382.3,,35,47,-12
201211050SAS,RS,SAS,1382.3,,36,47,-11
201211050SAS,RS,SAS,1424.2,,38,47,-9
201211050SAS,RS,SAS,1473.0,,38,50,-12
