id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201310300SAS,RS,MEM,0.0,,0,0,0
201310300SAS,RS,MEM,16.0,,0,2,-2
201310300SAS,RS,MEM,42.0,LC,3,2,1
201310300SAS,RS,MEM,92.0,,5,2,3
201310300SAS,RS,MEM,141.0,,5,4,1
201310300SAS,RS,MEM,164.0,,7,4,3
201310300SAS,RS,MEM,227.0,,9,4,5
201310300SAS,RS,MEM,257.0,,9,6,3
201310300SAS,RS,MEM,312.0,T,9,9,0
201310300SAS,RS,MEM,381.0,LC,9,11,-2
201310300SAS,RS,MEM,420.0,,9,14,-5
201310300SAS,RS,MEM,438.0,,11,14,-3
201310300SAS,RS,MEM,459.0,,11,16,-5
201310300SAS,RS,MEM,502.0,,13,16,-3
201310300SAS,RS,MEM,568.0,,13,17,-4
201310300SAS,RS,MEM,581.0,,13,19,-6
201310300SAS,RS,MEM,620.0,,16,19,-3
201310300SAS,RS,MEM,637.0,,16,20,-4
201310300SAS,RS,MEM,694.0,,18,20,-2
201310300SAS,RS,MEM,755.0,,18,21,-3
201310300SAS,RS,MEM,755.0,,18,22,-4
201310300SAS,RS,MEM,770.0,,20,22,-2
201310300SAS,RS,MEM,796.0,LC,23,22,1
201310300SAS,RS,MEM,844.0,,25,22,3
201310300SAS,RS,MEM,876.0,,28,22,6
201310300SAS,RS,MEM,911.0,,31,22,9
201310300SAS,RS,MEM,949.0,,33,22,11
201310300SAS,RS,MEM,1032.0,,36,22,14
201310300SAS,RS,MEM,1032.0,,37,22,15
201310300SAS,RS,MEM,1080.0,,38,22,16
201310300SAS,RS,MEM,1163.0,,40,22,18
201310300SAS,RS,MEM,1215.0,,40,25,15
201310300SAS,RS,MEM,1231.0,,42,25,17
201310300SAS,RS,MEM,1277.0,,42,27,15
201310300SAS,RS,MEM,1314.0,,44,27,17
201310300SAS,RS,MEM,1345.0,,46,27,19
201310300SAS,RS,MEM,1364.0,,48,27,21
201310300SAS,RS,MEM,1492.0,,48,29,19
201310300SAS,RS,MEM,1509.0,,48,31,17
201310300SAS,RS,MEM,1531.0,,49,31,18
201310300SAS,RS,MEM,1531.0,,50,31,19
201310300SAS,RS,MEM,1546.0,,50,33,17
201310300SAS,RS,MEM,1572.0,,53,33,20
201310300SAS,RS,MEM,1623.0,,53,35,18
201310300SAS,RS,MEM,1677.0,,53,37,16
201310300SAS,RS,MEM,1708.0,,55,37,18
201310300SAS,RS,MEM,1748.0,,57,37,20
201310300SAS,RS,MEM,1785.0,,57,39,18
201310300SAS,RS,MEM,1823.0,,58,39,19
201310300SAS,RS,MEM,1823.0,,59,39,20
201310300SAS,RS,MEM,1863.0,,59,41,18
201310300SAS,RS,MEM,1874.0,,61,41,20
201310300SAS,RS,MEM,1893.0,,61,43,18
201310300SAS,RS,MEM,1918.0,,64,43,21
201310300SAS,RS,MEM,1941.0,,64,46,18
201310300SAS,RS,MEM,1987.0,,66,46,20
201310300SAS,RS,MEM,2002.0,,66,47,19
201310300SAS,RS,MEM,2002.0,,66,48,18
201310300SAS,RS,MEM,2015.0,,68,48,20
201310300SAS,RS,MEM,2032.0,,68,50,18
201310300SAS,RS,MEM,2032.0,,68,51,17
201310300SAS,RS,MEM,2044.0,,70,51,19
201310300SAS,RS,MEM,2059.0,,70,53,17
201310300SAS,RS,MEM,2097.0,,70,55,15
201310300SAS,RS,MEM,2097.0,,70,56,14
201310300SAS,RS,MEM,2128.0,,72,56,16
201310300SAS,RS,MEM,2156.0,,72,58,14
201310300SAS,RS,MEM,2173.0,,72,60,12
201310300SAS,RS,MEM,2200.0,,72,62,10
201310300SAS,RS,MEM,2213.0,,74,62,12
201310300SAS,RS,MEM,2250.0,,76,62,14
201310300SAS,RS,MEM,2289.0,,76,64,12
201310300SAS,RS,MEM,2304.0,,77,64,13
201310300SAS,RS,MEM,2319.0,,77,66,11
201310300SAS,RS,MEM,2351.0,,79,66,13
201310300SAS,RS,MEM,2371.0,,79,68,11
201310300SAS,RS,MEM,2393.0,,79,70,9
201310300SAS,RS,MEM,2410.0,,80,70,10
201310300SAS,RS,MEM,2422.0,,80,73,7
201310300SAS,RS,MEM,2452.0,,80,75,5
201310300SAS,RS,MEM,2466.0,,83,75,8
201310300SAS,RS,MEM,2484.0,,83,77,6
201310300SAS,RS,MEM,2510.0,,86,77,9
201310300SAS,RS,MEM,2536.0,,86,79,7
201310300SAS,RS,MEM,2557.0,,88,79,9
201310300SAS,RS,MEM,2580.0,,88,82,6
201310300SAS,RS,MEM,2610.0,,89,82,7
201310300SAS,RS,MEM,2622.0,,90,82,8
201310300SAS,RS,MEM,2631.0,,90,84,6
201310300SAS,RS,MEM,2646.0,,92,84,8
201310300SAS,RS,MEM,2671.0,,94,84,10
201310300SAS,RS,MEM,2694.0,,96,84,12
201310300SAS,RS,MEM,2722.0,,96,86,10
201310300SAS,RS,MEM,2741.0,,99,86,13
201310300SAS,RS,MEM,2761.0,,101,86,15
201310300SAS,RS,MEM,2811.0,,101,88,13
201310300SAS,RS,MEM,2832.0,,101,91,10
201310300SAS,RS,MEM,2877.0,F,101,94,7
201310300SAS,RS,MEM,2880.0,,101,94,7
201311010LAL,RS,LAL,0.0,,0,0,0
201311010LAL,RS,LAL,66.0,,0,3,-3
201311010LAL,RS,LAL,99.0,,2,3,-1
201311010LAL,RS,LAL,125.0,LC,4,3,1
201311010LAL,RS,LAL,130.0,T,4,4,0
201311010LAL,RS,LAL,130.0,LC,4,5,-1
201311010LAL,RS,LAL,150.0,,4,7,-3
201311010LAL,RS,LAL,184.0,,4,8,-4
201311010LAL,RS,LAL,184.0,,4,9,-5
201311010LAL,RS,LAL,228.0,,4,11,-7
201311010LAL,RS,LAL,290.0,,4,13,-9
201311010LAL,RS,LAL,323.0,,6,13,-7
201311010LAL,RS,LAL,381.0,,8,13,-5
201311010LAL,RS,LAL,396.0,,8,14,-6
201311010LAL,RS,LAL,396.0,,8,15,-7
201311010LAL,RS,LAL,415.0,,10,15,-5
201311010LAL,RS,LAL,481.0,,10,17,-7
201311010LAL,RS,LAL,506.0,,13,17,-4
201311010LAL,RS,LAL,550.0,,13,19,-6
201311010LAL,RS,LAL,605.0,,13,21,-8
201311010LAL,RS,LAL,626.0,,15,21,-6
201311010LAL,RS,LAL,645.0,,15,23,-8
201311010LAL,RS,LAL,646.0,,16,23,-7
201311010LAL,RS,LAL,799.0,,16,26,-10
201311010LAL,RS,LAL,815.0,,18,26,-8
201311010LAL,RS,LAL,827.0,,18,29,-11
201311010LAL,RS,LAL,841.0,,18,31,-13
201311010LAL,RS,LAL,928.0,,18,32,-14
201311010LAL,RS,LAL,928.0,,18,33,-15
201311010LAL,RS,LAL,945.0,,20,33,-13
201311010LAL,RS,LAL,977.0,,22,33,-11
201311010LAL,RS,LAL,1013.0,,25,33,-8
201311010LAL,RS,LAL,1025.0,,25,35,-10
201311010LAL,RS,LAL,1044.0,,27,35,-8
201311010LAL,RS,LAL,1044.0,,28,35,-7
201311010LAL,RS,LAL,1091.0,,30,35,-5
201311010LAL,RS,LAL,1091.0,,31,35,-4
201311010LAL,RS,LAL,1140.0,,33,35,-2
201311010LAL,RS,LAL,1172.0,,33,36,-3
201311010LAL,RS,LAL,1172.0,,33,37,-4
201311010LAL,RS,LAL,1214.0,,35,37,-2
201311010LAL,RS,LAL,1234.0,,35,39,-4
201311010LAL,RS,LAL,1280.0,,37,39,-2
201311010LAL,RS,LAL,1329.0,,37,40,-3
201311010LAL,RS,LAL,1329.0,,37,41,-4
201311010LAL,RS,LAL,1352.0,,39,41,-2
201311010LAL,RS,LAL,1432.0,,39,42,-3
201311010LAL,RS,LAL,1438.0,,41,42,-1
201311010LAL,RS,LAL,1467.0,LC,44,42,2
201311010LAL,RS,LAL,1486.0,LC,44,45,-1
201311010LAL,RS,LAL,1517.0,,44,47,-3
201311010LAL,RS,LAL,1552.0,,46,47,-1
201311010LAL,RS,LAL,1567.0,,46,50,-4
201311010LAL,RS,LAL,1582.0,,48,50,-2
201311010LAL,RS,LAL,1618.0,T,50,50,0
