id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201310300DET,RS,DET,0.0,,0,0,0
201310300DET,RS,DET,35.0,,2,0,2
201310300DET,RS,DET,50.0,,5,0,5
201310300DET,RS,DET,99.0,,5,3,2
201310300DET,RS,DET,119.0,,7,3,4
201310300DET,RS,DET,178.0,,7,6,1
201310300DET,RS,DET,231.0,LC,7,8,-1
201310300DET,RS,DET,252.0,LC,10,8,2
201310300DET,RS,DET,271.0,T,10,10,0
201310300DET,RS,DET,297.0,LC,10,12,-2
201310300DET,RS,DET,333.0,T,12,12,0
201310300DET,RS,DET,355.0,,12,14,-2
201310300DET,RS,DET,384.0,,12,16,-4
201310300DET,RS,DET,423.0,,14,16,-2
201310300DET,RS,DET,472.0,,14,18,-4
201310300DET,RS,DET,482.0,,17,18,-1
201310300DET,RS,DET,503.0,,17,20,-3
201310300DET,RS,DET,524.0,,19,20,-1
201310300DET,RS,DET,574.0,,19,23,-4
201310300DET,RS,DET,599.0,,22,23,-1
201310300DET,RS,DET,693.0,,22,25,-3
201310300DET,RS,DET,779.0,,22,27,-5
201310300DET,RS,DET,808.0,,22,30,-8
201310300DET,RS,DET,819.0,,25,30,-5
201310300DET,RS,DET,896.0,,25,32,-7
201310300DET,RS,DET,919.0,,25,34,-9
201310300DET,RS,DET,919.0,,25,35,-10
201310300DET,RS,DET,939.0,,27,35,-8
201310300DET,RS,DET,969.0,,28,35,-7
201310300DET,RS,DET,969.0,,29,35,-6
201310300DET,RS,DET,983.0,,29,37,-8
201310300DET,RS,DET,1007.0,,29,39,-10
201310300DET,RS,DET,1021.0,,31,39,-8
201310300DET,RS,DET,1057.0,,31,41,-10
201310300DET,RS,DET,1086.0,,31,43,-12
201310300DET,RS,DET,1109.0,,33,43,-10
201310300DET,RS,DET,1164.0,,33,45,-12
201310300DET,RS,DET,1187.0,,36,45,-9
201310300DET,RS,DET,1217.0,,36,47,-11
201310300DET,RS,DET,1239.0,,36,49,-13
201310300DET,RS,DET,1288.0,,38,49,-11
201310300DET,RS,DET,1311.0,,38,50,-12
201310300DET,RS,DET,1311.0,,38,51,-13
201310300DET,RS,DET,1327.0,,40,51,-11
201310300DET,RS,DET,1354.0,,43,51,-8
201310300DET,RS,DET,1373.0,,43,54,-11
201310300DET,RS,DET,1420.0,,43,55,-12
201310300DET,RS,DET,1454.0,,44,55,-11
201310300DET,RS,DET,1475.0,,44,57,-13
201310300DET,RS,DET,1523.0,,44,58,-14
201310300DET,RS,DET,1523.0,,44,59,-15
201310300DET,RS,DET,1547.0,,46,59,-13
201310300DET,RS,DET,1569.0,,49,59,-10
201310300DET,RS,DET,1603.0,,51,59,-8
201310300DET,RS,DET,1615.0,,51,61,-10
201310300DET,RS,DET,1658.0,,51,63,-12
201310300DET,RS,DET,1679.0,,52,63,-11
201310300DET,RS,DET,1679.0,,53,63,-10
201310300DET,RS,DET,1711.0,,54,63,-9
201310300DET,RS,DET,1711.0,,55,63,-8
201310300DET,RS,DET,1731.0,,55,65,-10
201310300DET,RS,DET,1808.0,,57,65,-8
201310300DET,RS,DET,1851.0,,59,65,-6
201310300DET,RS,DET,1867.0,,59,68,-9
201310300DET,RS,DET,1884.0,,61,68,-7
201310300DET,RS,DET,1894.0,,61,69,-8
201310300DET,RS,DET,1894.0,,61,70,-9
201310300DET,RS,DET,1912.0,,61,71,-10
201310300DET,RS,DET,1933.0,,61,72,-11
201310300DET,RS,DET,1946.0,,63,72,-9
201310300DET,RS,DET,1946.0,,64,72,-8
201310300DET,RS,DET,1960.0,,64,74,-10
201310300DET,RS,DET,2005.0,,66,74,-8
201310300DET,RS,DET,2019.0,,66,76,-10
201310300DET,RS,DET,2019.0,,66,77,-11
201310300DET,RS,DET,2040.0,,66,79,-13
201310300DET,RS,DET,2063.0,,68,79,-11
201310300DET,RS,DET,2115.0,,68,80,-12
201310300DET,RS,DET,2122.0,,71,80,-9
201310300DET,RS,DET,2140.0,,71,81,-10
201310300DET,RS,DET,2154.0,,72,81,-9
201310300DET,RS,DET,2154.0,,73,81,-8
201310300DET,RS,DET,2201.0,,74,81,-7
201310300DET,RS,DET,2201.0,,75,81,-6
201310300DET,RS,DET,2233.0,,76,81,-5
201310300DET,RS,DET,2248.0,,76,83,-7
201310300DET,RS,DET,2279.0,,76,85,-9
201310300DET,RS,DET,2295.0,,77,85,-8
201310300DET,RS,DET,2295.0,,78,85,-7
201310300DET,RS,DET,2311.0,,80,85,-5
201310300DET,RS,DET,2340.0,,80,86,-6
201310300DET,RS,DET,2340.0,,80,87,-7
201310300DET,RS,DET,2358.0,,81,87,-6
201310300DET,RS,DET,2380.0,,81,89,-8
201310300DET,RS,DET,2393.0,,82,89,-7
201310300DET,RS,DET,2393.0,,83,89,-6
201310300DET,RS,DET,2417.0,,85,89,-4
201310300DET,RS,DET,2436.0,,85,91,-6
201310300DET,RS,DET,2436.0,,85,92,-7
201310300DET,RS,DET,2448.0,,86,92,-6
201310300DET,RS,DET,2458.0,,86,94,-8
201310300DET,RS,DET,2467.0,,87,94,-7
