id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201410280LAL,RS,HOU,0.0,,0,0,0
201410280LAL,RS,HOU,37.0,,0,2,-2
201410280LAL,RS,HOU,138.0,LC,3,2,1
201410280LAL,RS,HOU,159.0,LC,3,4,-1
201410280LAL,RS,HOU,184.0,,3,7,-4
201410280LAL,RS,HOU,184.0,,3,8,-5
201410280LAL,RS,HOU,202.0,,5,8,-3
201410280LAL,RS,HOU,219.0,,5,11,-6
201410280LAL,RS,HOU,240.0,,7,11,-4
201410280LAL,RS,HOU,248.0,,7,12,-5
201410280LAL,RS,HOU,248.0,,7,13,-6
201410280LAL,RS,HOU,269.0,,7,14,-7
201410280LAL,RS,HOU,294.0,,9,14,-5
201410280LAL,RS,HOU,332.0,,9,15,-6
201410280LAL,RS,HOU,332.0,,9,16,-7
201410280LAL,RS,HOU,366.0,,9,18,-9
201410280LAL,RS,HOU,435.0,,11,18,-7
201410280LAL,RS,HOU,468.0,,11,20,-9
201410280LAL,RS,HOU,484.0,,14,20,-6
201410280LAL,RS,HOU,529.0,,14,21,-7
201410280LAL,RS,HOU,529.0,,14,22,-8
201410280LAL,RS,HOU,562.0,,14,24,-10
201410280LAL,RS,HOU,573.0,,15,24,-9
201410280LAL,RS,HOU,573.0,,16,24,-8
201410280LAL,RS,HOU,604.0,,17,24,-7
201410280LAL,RS,HOU,604.0,,18,24,-6
201410280LAL,RS,HOU,625.0,,19,24,-5
201410280LAL,RS,HOU,646.0,,19,25,-6
201410280LAL,RS,HOU,667.0,,19,28,-9
201410280LAL,RS,HOU,716.0,,19,31,-12
201410280LAL,RS,HOU,737.0,,19,32,-13
201410280LAL,RS,HOU,791.0,,19,33,-14
201410280LAL,RS,HOU,791.0,,19,34,-15
201410280LAL,RS,HOU,810.0,,21,34,-13
201410280LAL,RS,HOU,834.0,,21,36,-15
201410280LAL,RS,HOU,850.0,,23,36,-13
201410280LAL,RS,HOU,872.0,,25,36,-11
201410280LAL,RS,HOU,887.0,,25,37,-12
201410280LAL,RS,HOU,950.0,,27,37,-10
201410280LAL,RS,HOU,1004.0,,27,39,-12
201410280LAL,RS,HOU,1025.0,,29,39,-10
201410280LAL,RS,HOU,1067.0,,31,39,-8
201410280LAL,RS,HOU,1078.0,,31,40,-9
201410280LAL,RS,HOU,1091.0,,31,43,-12
201410280LAL,RS,HOU,1123.0,,31,46,-15
201410280LAL,RS,HOU,1158.0,,31,49,-18
201410280LAL,RS,HOU,1199.0,,33,49,-16
201410280LAL,RS,HOU,1199.0,,34,49,-15
201410280LAL,RS,HOU,1223.0,,36,49,-13
201410280LAL,RS,HOU,1253.0,,38,49,-11
201410280LAL,RS,HOU,1272.0,,38,51,-13
201410280LAL,RS,HOU,1286.0,,39,51,-12
201410280LAL,RS,HOU,1286.0,,40,51,-11
201410280LAL,RS,HOU,1314.0,,40,53,-13
201410280LAL,RS,HOU,1338.0,,40,54,-14
201410280LAL,RS,HOU,1338.0,,40,55,-15
201410280LAL,RS,HOU,1351.0,,41,55,-14
201410280LAL,RS,HOU,1372.0,,42,55,-13
201410280LAL,RS,HOU,1372.0,,43,55,-12
201410280LAL,RS,HOU,1394.0,,43,57,-14
201410280LAL,RS,HOU,1403.0,,45,57,-12
201410280LAL,RS,HOU,1411.0,,45,60,-15
201410280LAL,RS,HOU,1439.0,,45,62,-17
201410280LAL,RS,HOU,1489.0,,47,62,-15
201410280LAL,RS,HOU,1500.0,,47,65,-18
201410280LAL,RS,HOU,1507.0,,48,65,-17
201410280LAL,RS,HOU,1522.0,,50,65,-15
201410280LAL,RS,HOU,1559.0,,51,65,-14
201410280LAL,RS,HOU,1559.0,,52,65,-13
201410280LAL,RS,HOU,1641.0,,52,66,-14
201410280LAL,RS,HOU,1654.0,,54,66,-12
201410280LAL,RS,HOU,1654.0,,55,66,-11
201410280LAL,RS,HOU,1695.0,,57,66,-9
201410280LAL,RS,HOU,1748.0,,58,66,-8
201410280LAL,RS,HOU,1748.0,,59,66,-7
201410280LAL,RS,HOU,1792.0,,59,68,-9
201410280LAL,RS,HOU,1792.0,,59,69,-10
201410280LAL,RS,HOU,1814.0,,59,70,-11
201410280LAL,RS,HOU,1814.0,,59,71,-12
201410280LAL,RS,HOU,1840.0,,62,71,-9
201410280LAL,RS,HOU,1862.0,,62,73,-11
201410280LAL,RS,HOU,1878.0,,64,73,-9
201410280LAL,RS,HOU,1894.0,,64,76,-12
201410280LAL,RS,HOU,1905.0,,65,76,-11
201410280LAL,RS,HOU,1905.0,,66,76,-10
201410280LAL,RS,HOU,1924.0,,66,78,-12
201410280LAL,RS,HOU,1986.0,,67,78,-11
201410280LAL,RS,HOU,2005.0,,67,80,-13
201410280LAL,RS,HOU,2036.0,,67,81,-14
201410280LAL,RS,HOU,2044.0,,68,81,-13
201410280LAL,RS,HOU,2044.0,,69,81,-12
201410280LAL,RS,HOU,2068.0,,69,83,-14
201410280LAL,RS,HOU,2097.0,,69,84,-15
201410280LAL,RS,HOU,2097.0,,69,85,-16
201410280LAL,RS,HOU,2184.0,,69,87,-18
201410280LAL,RS,HOU,2198.0,,70,87,-17
201410280LAL,RS,HOU,2262.0,,70,90,-20
201410280LAL,RS,HOU,2287.0,,70,91,-21
201410280LAL,RS,HOU,2346.0,,70,93,-23
201410280LAL,RS,HOU,2357.0,,70,95,-25
201410280LAL,RS,HOU,2377.0,,72,95,-23
201410280LAL,RS,HOU,2411.0,,72,98,-26
201410280LAL,RS,HOU,2419.0,,74,98,-24
201410280LAL,RS,HOU,2434.0,,74,99,-25
201410280LAL,RS,HOU,2453.0,,74,100,-26
201410280LAL,RS,HOU,2453.0,,74,101,-27
