id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201410290MEM,RS,MIN,0.0,,0,0,0
201410290MEM,RS,MIN,28.0,,0,2,-2
201410290MEM,RS,MIN,50.0,T,2,2,0
201410290MEM,RS,MIN,73.0,,2,4,-2
201410290MEM,RS,MIN,113.0,,2,6,-4
201410290MEM,RS,MIN,113.0,,2,7,-5
201410290MEM,RS,MIN,123.0,,5,7,-2
201410290MEM,RS,MIN,149.0,T,7,7,0
201410290MEM,RS,MIN,175.0,LC,9,7,2
201410290MEM,RS,MIN,211.0,,11,7,4
201410290MEM,RS,MIN,235.0,,11,9,2
201410290MEM,RS,MIN,259.0,,13,9,4
201410290MEM,RS,MIN,279.0,,13,10,3
201410290MEM,RS,MIN,293.0,,15,10,5
201410290MEM,RS,MIN,318.0,,17,10,7
201410290MEM,RS,MIN,333.0,,17,11,6
201410290MEM,RS,MIN,381.0,,19,11,8
201410290MEM,RS,MIN,417.0,,20,11,9
201410290MEM,RS,MIN,430.0,,20,14,6
201410290MEM,RS,MIN,450.0,,22,14,8
201410290MEM,RS,MIN,474.0,,22,16,6
201410290MEM,RS,MIN,491.0,,22,17,5
201410290MEM,RS,MIN,491.0,,22,18,4
201410290MEM,RS,MIN,517.0,,22,20,2
201410290MEM,RS,MIN,575.0,,22,21,1
201410290MEM,RS,MIN,597.0,,23,21,2
201410290MEM,RS,MIN,609.0,,23,22,1
201410290MEM,RS,MIN,609.0,T,23,23,0
201410290MEM,RS,MIN,636.0,LC,23,25,-2
201410290MEM,RS,MIN,681.0,T,25,25,0
201410290MEM,RS,MIN,704.0,,25,27,-2
201410290MEM,RS,MIN,737.0,,25,28,-3
201410290MEM,RS,MIN,754.0,,27,28,-1
201410290MEM,RS,MIN,806.0,,27,30,-3
201410290MEM,RS,MIN,848.0,,29,30,-1
201410290MEM,RS,MIN,888.0,LC,31,30,1
201410290MEM,RS,MIN,918.0,,33,30,3
201410290MEM,RS,MIN,937.0,,33,32,1
201410290MEM,RS,MIN,962.0,,35,32,3
201410290MEM,RS,MIN,987.0,,35,34,1
201410290MEM,RS,MIN,1005.0,,37,34,3
201410290MEM,RS,MIN,1028.0,,38,34,4
201410290MEM,RS,MIN,1064.0,,38,36,2
201410290MEM,RS,MIN,1083.0,,40,36,4
201410290MEM,RS,MIN,1106.0,,40,38,2
201410290MEM,RS,MIN,1167.0,,42,38,4
201410290MEM,RS,MIN,1242.0,,42,40,2
201410290MEM,RS,MIN,1267.0,,42,41,1
201410290MEM,RS,MIN,1291.0,,44,41,3
201410290MEM,RS,MIN,1310.0,,45,41,4
201410290MEM,RS,MIN,1310.0,,46,41,5
201410290MEM,RS,MIN,1354.0,,46,43,3
201410290MEM,RS,MIN,1393.0,,47,43,4
201410290MEM,RS,MIN,1393.0,,48,43,5
201410290MEM,RS,MIN,1404.0,,48,45,3
201410290MEM,RS,MIN,1411.0,,50,45,5
201410290MEM,RS,MIN,1433.0,,50,47,3
201410290MEM,RS,MIN,1438.0,,53,47,6
201410290MEM,RS,MIN,1454.0,,53,48,5
201410290MEM,RS,MIN,1454.0,,53,49,4
201410290MEM,RS,MIN,1477.0,,56,49,7
201410290MEM,RS,MIN,1496.0,,56,51,5
201410290MEM,RS,MIN,1509.0,,58,51,7
201410290MEM,RS,MIN,1529.0,,58,53,5
201410290MEM,RS,MIN,1556.0,,58,56,2
201410290MEM,RS,MIN,1585.0,,60,56,4
201410290MEM,RS,MIN,1609.0,,62,56,6
201410290MEM,RS,MIN,1624.0,,62,58,4
201410290MEM,RS,MIN,1677.0,,65,58,7
201410290MEM,RS,MIN,1689.0,,65,60,5
201410290MEM,RS,MIN,1716.0,,67,60,7
201410290MEM,RS,MIN,1795.0,,67,62,5
201410290MEM,RS,MIN,1824.0,,69,62,7
201410290MEM,RS,MIN,1854.0,,71,62,9
201410290MEM,RS,MIN,1900.0,,71,65,6
201410290MEM,RS,MIN,1919.0,,73,65,8
201410290MEM,RS,MIN,1948.0,,75,65,10
201410290MEM,RS,MIN,1962.0,,75,68,7
201410290MEM,RS,MIN,1980.0,,77,68,9
201410290MEM,RS,MIN,1998.0,,77,70,7
201410290MEM,RS,MIN,2023.0,,77,72,5
201410290MEM,RS,MIN,2067.0,,79,72,7
201410290MEM,RS,MIN,2095.0,,79,74,5
201410290MEM,RS,MIN,2114.0,,81,74,7
201410290MEM,RS,MIN,2180.0,,83,74,9
201410290MEM,RS,MIN,2204.0,,83,76,7
201410290MEM,RS,MIN,2232.0,,83,78,5
201410290MEM,RS,MIN,2258.0,,85,78,7
201410290MEM,RS,MIN,2321.0,,85,79,6
201410290MEM,RS,MIN,2329.0,,85,81,4
201410290MEM,RS,MIN,2400.0,,85,83,2
201410290MEM,RS,MIN,2421.0,T,85,85,0
201410290MEM,RS,MIN,2460.0,LC,85,87,-2
201410290MEM,RS,MIN,2508.0,T,87,87,0
201410290MEM,RS,MIN,2539.0,LC,89,87,2
201410290MEM,RS,MIN,2561.0,T,89,89,0
201410290MEM,RS,MIN,2574.0,,91,89,2
201410290MEM,RS,MIN,2574.0,,92,89,3
201410290MEM,RS,MIN,2589.0,T,92,92,0
201410290MEM,RS,MIN,2647.0,LC,92,93,-1
201410290MEM,RS,MIN,2647.0,,92,94,-2
201410290MEM,RS,MIN,2659.0,,93,94,-1
201410290MEM,RS,MIN,2659.0,T,94,94,0
201410290MEM,RS,MIN,2700.0,,94,96,-2
201410290MEM,RS,MIN,2724.0,T,96,96,0
201410290MEM,RS,MIN,2763.0,LC,98,96,2
201410290MEM,RS,MIN,2780.0,,99,96,3
201410290MEM,RS,MIN,2797.0,,101,96,5
201410290MEM,RS,MIN,2818.0,,101,99,2
201410290MEM,RS,MIN,2837.0,,102,99,3
201410290MEM,RS,MIN,2837.0,,103,99,4
201410290MEM,RS,MIN,2848.0,,103,100,3
201410290MEM,RS,MIN,2848.0,,103,101,2
201410290MEM,RS,MIN,2873.0,,104,101,3
201410290MEM,RS,MIN,2873.0,F,105,101,4
201410290MEM,RS,MIN,2880.0,,105,101,4
201410310IND,RS,IND,0.0,,0,0,0
201410310IND,RS,IND,28.0,,1,0,1
201410310IND,RS,IND,28.0,,2,0,2
201410310IND,RS,IND,80.0,T,2,2,0
201410310IND,RS,IND,99.0,,4,2,2
201410310IND,RS,IND,133.0,,6,2,4
201410310IND,RS,IND,150.0,,6,4,2
201410310IND,RS,IND,163.0,,8,4,4
201410310IND,RS,IND,194.0,,8,7,1
201410310IND,RS,IND,252.0,,9,7,2
201410310IND,RS,IND,281.0,,10,7,3
201410310IND,RS,IND,345.0,,12,7,5
201410310IND,RS,IND,412.0,,13,7,6
201410310IND,RS,IND,439.0,,13,10,3
201410310IND,RS,IND,454.0,,15,10,5
201410310IND,RS,IND,515.0,,16,10,6
201410310IND,RS,IND,548.0,,19,10,9
201410310IND,RS,IND,582.0,,21,10,11
201410310IND,RS,IND,602.0,,21,12,9
201410310IND,RS,IND,650.0,,21,14,7
201410310IND,RS,IND,660.0,,23,14,9
201410310IND,RS,IND,679.0,,23,17,6
201410310IND,RS,IND,720.0,,23,18,5
201410310IND,RS,IND,720.0,,23,19,4
201410310IND,RS,IND,782.0,,23,22,1
201410310IND,RS,IND,809.0,LC,23,24,-1
201410310IND,RS,IND,823.0,LC,26,24,2
201410310IND,RS,IND,849.0,T,26,26,0
201410310IND,RS,IND,873.0,,28,26,2
201410310IND,RS,IND,894.0,T,28,28,0
201410310IND,RS,IND,930.0,LC,28,30,-2
201410310IND,RS,IND,1017.0,,28,31,-3
201410310IND,RS,IND,1017.0,,28,32,-4
201410310IND,RS,IND,1047.0,,28,35,-7
201410310IND,RS,IND,1066.0,,28,37,-9
201410310IND,RS,IND,1088.0,,30,37,-7
201410310IND,RS,IND,1126.0,,30,39,-9
201410310IND,RS,IND,1145.0,,32,39,-7
201410310IND,RS,IND,1160.0,,32,42,-10
201410310IND,RS,IND,1215.0,,34,42,-8
201410310IND,RS,IND,1232.0,,34,44,-10
201410310IND,RS,IND,1249.0,,35,44,-9
201410310IND,RS,IND,1249.0,,36,44,-8
201410310IND,RS,IND,1266.0,,36,46,-10
201410310IND,RS,IND,1310.0,,36,49,-13
201410310IND,RS,IND,1328.0,,38,49,-11
201410310IND,RS,IND,1346.0,,38,51,-13
201410310IND,RS,IND,1359.0,,40,51,-11
201410310IND,RS,IND,1382.0,,42,51,-9
201410310IND,RS,IND,1418.0,,45,51,-6
201410310IND,RS,IND,1438.0,,45,53,-8
201410310IND,RS,IND,1453.0,,46,53,-7
201410310IND,RS,IND,1499.0,,46,54,-8
201410310IND,RS,IND,1499.0,,46,55,-9
201410310IND,RS,IND,1541.0,,46,57,-11
201410310IND,RS,IND,1577.0,,46,59,-13
201410310IND,RS,IND,1592.0,,48,59,-11
201410310IND,RS,IND,1609.0,,48,61,-13
201410310IND,RS,IND,1629.0,,49,61,-12
201410310IND,RS,IND,1629.0,,50,61,-11
201410310IND,RS,IND,1669.0,,52,61,-9
201410310IND,RS,IND,1669.0,,53,61,-8
201410310IND,RS,IND,1687.0,,55,61,-6
201410310IND,RS,IND,1722.0,,58,61,-3
201410310IND,RS,IND,1783.0,,59,61,-2
201410310IND,RS,IND,1783.0,,60,61,-1
201410310IND,RS,IND,1805.0,,60,63,-3
201410310IND,RS,IND,1824.0,,62,63,-1
201410310IND,RS,IND,1838.0,LC,64,63,1
201410310IND,RS,IND,1860.0,,66,63,3
201410310IND,RS,IND,1917.0,,69,63,6
201410310IND,RS,IND,1958.0,,71,63,8
201410310IND,RS,IND,1988.0,,72,63,9
201410310IND,RS,IND,2016.0,,74,63,11
201410310IND,RS,IND,2033.0,,74,65,9
201410310IND,RS,IND,2048.0,,76,65,11
201410310IND,RS,IND,2074.0,,76,67,9
201410310IND,RS,IND,2116.0,,77,67,10
201410310IND,RS,IND,2116.0,,78,67,11
201410310IND,RS,IND,2177.0,,78,68,10
201410310IND,RS,IND,2177.0,,78,69,9
201410310IND,RS,IND,2196.0,,78,71,7
201410310IND,RS,IND,2218.0,,80,71,9
201410310IND,RS,IND,2251.0,,82,71,11
201410310IND,RS,IND,2323.0,,82,73,9
201410310IND,RS,IND,2350.0,,85,73,12
201410310IND,RS,IND,2424.0,,86,73,13
201410310IND,RS,IND,2424.0,,87,73,14
201410310IND,RS,IND,2442.0,,87,75,12
201410310IND,RS,IND,2556.0,,87,77,10
201410310IND,RS,IND,2577.0,,87,78,9
201410310IND,RS,IND,2613.0,,88,78,10
201410310IND,RS,IND,2628.0,,88,80,8
201410310IND,RS,IND,2652.0,,90,80,10
201410310IND,RS,IND,2684.0,,93,80,13
201410310IND,RS,IND,2699.0,,93,83,10
201410310IND,RS,IND,2759.0,,95,83,12
201410310IND,RS,IND,2767.0,,95,84,11
201410310IND,RS,IND,2767.0,,95,85,10
201410310IND,RS,IND,2787.0,,97,85,12
201410310IND,RS,IND,2795.0,,97,87,10
201410310IND,RS,IND,2858.0,,97,88,9
201410310IND,RS,IND,2858.0,F,97,89,8
201410310IND,RS,IND,2880.0,,97,89,8
201411010CHO,RS,CHO,0.0,,0,0,0
201411010CHO,RS,CHO,17.0,,2,0,2
201411010CHO,RS,CHO,45.0,,3,0,3
201411010CHO,RS,CHO,75.0,,3,2,1
201411010CHO,RS,CHO,123.0,,5,2,3
201411010CHO,RS,CHO,138.0,T,5,5,0
201411010CHO,RS,CHO,159.0,LC,5,6,-1
201411010CHO,RS,CHO,159.0,,5,7,-2
201411010CHO,RS,CHO,159.0,,5,8,-3
201411010CHO,RS,CHO,292.0,,6,8,-2
201411010CHO,RS,CHO,297.0,T,8,8,0
201411010CHO,RS,CHO,332.0,LC,10,8,2
201411010CHO,RS,CHO,354.0,,12,8,4
201411010CHO,RS,CHO,375.0,,12,9,3
201411010CHO,RS,CHO,453.0,,14,9,5
201411010CHO,RS,CHO,512.0,,14,11,3
201411010CHO,RS,CHO,531.0,,17,11,6
201411010CHO,RS,CHO,633.0,,19,11,8
201411010CHO,RS,CHO,661.0,,21,11,10
201411010CHO,RS,CHO,672.0,,21,13,8
201411010CHO,RS,CHO,691.0,,23,13,10
201411010CHO,RS,CHO,713.0,,23,15,8
201411010CHO,RS,CHO,748.0,,26,15,11
201411010CHO,RS,CHO,848.0,,26,18,8
201411010CHO,RS,CHO,865.0,,27,18,9
201411010CHO,RS,CHO,865.0,,28,18,10
201411010CHO,RS,CHO,1001.0,,30,18,12
201411010CHO,RS,CHO,1030.0,,31,18,13
201411010CHO,RS,CHO,1070.0,,32,18,14
201411010CHO,RS,CHO,1148.0,,32,20,12
201411010CHO,RS,CHO,1179.0,,32,22,10
201411010CHO,RS,CHO,1210.0,,32,24,8
201411010CHO,RS,CHO,1246.0,,32,25,7
