id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201610260PHO,RS,SAC,0.0,,0,0,0
201610260PHO,RS,SAC,23.0,,0,2,-2
201610260PHO,RS,SAC,51.0,T,2,2,0
201610260PHO,RS,SAC,80.0,,2,4,-2
201610260PHO,RS,SAC,104.0,T,4,4,0
201610260PHO,RS,SAC,173.0,,4,5,-1
201610260PHO,RS,SAC,173.0,,4,6,-2
201610260PHO,RS,SAC,222.0,,4,9,-5
201610260PHO,RS,SAC,236.0,,6,9,-3
201610260PHO,RS,SAC,258.0,,8,9,-1
201610260PHO,RS,SAC,272.0,,8,10,-2
201610260PHO,RS,SAC,272.0,,8,11,-3
201610260PHO,RS,SAC,286.0,,10,11,-1
201610260PHO,RS,SAC,308.0,LC,12,11,1
201610260PHO,RS,SAC,403.0,,14,11,3
201610260PHO,RS,SAC,415.0,,14,12,2
201610260PHO,RS,SAC,435.0,T,14,14,0
201610260PHO,RS,SAC,491.0,,15,14,1
201610260PHO,RS,SAC,491.0,,16,14,2
201610260PHO,RS,SAC,510.0,,18,14,4
201610260PHO,RS,SAC,546.0,,18,16,2
201610260PHO,RS,SAC,580.0,T,18,18,0
201610260PHO,RS,SAC,608.0,LC,18,20,-2
201610260PHO,RS,SAC,628.0,,18,22,-4
201610260PHO,RS,SAC,663.0,,18,24,-6
201610260PHO,RS,SAC,682.0,,18,26,-8
201610260PHO,RS,SAC,692.0,,18,28,-10
201610260PHO,RS,SAC,710.0,,19,28,-9
201610260PHO,RS,SAC,718.0,,19,30,-11
201610260PHO,RS,SAC,760.0,,19,32,-13
201610260PHO,RS,SAC,793.0,,22,32,-10
201610260PHO,RS,SAC,800.0,,22,34,-12
201610260PHO,RS,SAC,825.0,,24,34,-10
201610260PHO,RS,SAC,936.0,,24,36,-12
201610260PHO,RS,SAC,965.0,,24,38,-14
201610260PHO,RS,SAC,990.0,,24,40,-16
201610260PHO,RS,SAC,1046.0,,24,42,-18
201610260PHO,RS,SAC,1069.0,,26,42,-16
201610260PHO,RS,SAC,1141.0,,28,42,-14
201610260PHO,RS,SAC,1167.0,,28,44,-16
201610260PHO,RS,SAC,1181.0,,30,44,-14
201610260PHO,RS,SAC,1197.0,,30,47,-17
201610260PHO,RS,SAC,1211.0,,32,47,-15
201610260PHO,RS,SAC,1232.0,,32,49,-17
201610260PHO,RS,SAC,1232.0,,32,50,-18
201610260PHO,RS,SAC,1262.0,,34,50,-16
201610260PHO,RS,SAC,1280.0,,34,52,-18
201610260PHO,RS,SAC,1295.0,,36,52,-16
201610260PHO,RS,SAC,1343.0,,36,54,-18
201610260PHO,RS,SAC,1352.0,,38,54,-16
201610260PHO,RS,SAC,1372.0,,38,55,-17
201610260PHO,RS,SAC,1437.0,,38,57,-19
201610260PHO,RS,SAC,1456.0,,39,57,-18
201610260PHO,RS,SAC,1526.0,,39,59,-20
201610260PHO,RS,SAC,1526.0,,39,60,-21
201610260PHO,RS,SAC,1577.0,,41,60,-19
201610260PHO,RS,SAC,1603.0,,43,60,-17
201610260PHO,RS,SAC,1641.0,,43,62,-19
201610260PHO,RS,SAC,1659.0,,43,63,-20
201610260PHO,RS,SAC,1659.0,,43,64,-21
201610260PHO,RS,SAC,1671.0,,44,64,-20
201610260PHO,RS,SAC,1671.0,,45,64,-19
201610260PHO,RS,SAC,1717.0,,45,66,-21
201610260PHO,RS,SAC,1717.0,,45,67,-22
201610260PHO,RS,SAC,1735.0,,48,67,-19
201610260PHO,RS,SAC,1745.0,,48,68,-20
