id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201710180BOS,RS,BOS,0.0,,0,0,0
201710180BOS,RS,BOS,50.0,,2,0,2
201710180BOS,RS,BOS,122.0,,3,0,3
201710180BOS,RS,BOS,122.0,,4,0,4
201710180BOS,RS,BOS,144.0,,4,2,2
201710180BOS,RS,BOS,170.0,T,4,4,0
201710180BOS,RS,BOS,172.0,LC,4,5,-1
201710180BOS,RS,BOS,172.0,,4,6,-2
201710180BOS,RS,BOS,196.0,,4,8,-4
201710180BOS,RS,BOS,231.0,,6,8,-2
201710180BOS,RS,BOS,247.0,,6,11,-5
201710180BOS,RS,BOS,297.0,,9,11,-2
201710180BOS,RS,BOS,346.0,,9,13,-4
201710180BOS,RS,BOS,372.0,,9,15,-6
201710180BOS,RS,BOS,398.0,,12,15,-3
201710180BOS,RS,BOS,427.0,,12,17,-5
201710180BOS,RS,BOS,448.0,,15,17,-2
201710180BOS,RS,BOS,463.0,,15,19,-4
201710180BOS,RS,BOS,471.0,,17,19,-2
201710180BOS,RS,BOS,552.0,,17,21,-4
201710180BOS,RS,BOS,559.0,,19,21,-2
201710180BOS,RS,BOS,626.0,,20,21,-1
201710180BOS,RS,BOS,652.0,LC,22,21,1
201710180BOS,RS,BOS,662.0,LC,22,23,-1
201710180BOS,RS,BOS,673.0,LC,24,23,1
201710180BOS,RS,BOS,704.0,LC,24,26,-2
201710180BOS,RS,BOS,739.0,,24,28,-4
201710180BOS,RS,BOS,769.0,,26,28,-2
201710180BOS,RS,BOS,804.0,T,28,28,0
201710180BOS,RS,BOS,811.0,LC,29,28,1
201710180BOS,RS,BOS,820.0,,33,33,0
201710180BOS,RS,BOS,828.0,LC,29,30,-1
201710180BOS,RS,BOS,844.0,LC,31,30,1
201710180BOS,RS,BOS,853.0,T,31,31,0
201710180BOS,RS,BOS,865.0,LC,31,33,-2
201710180BOS,RS,BOS,902.0,,33,35,-2
201710180BOS,RS,BOS,927.0,,33,37,-4
201710180BOS,RS,BOS,948.0,,33,39,-6
201710180BOS,RS,BOS,967.0,,35,39,-4
201710180BOS,RS,BOS,1015.0,,37,39,-2
201710180BOS,RS,BOS,1041.0,T,39,39,0
201710180BOS,RS,BOS,1041.0,LC,40,39,1
