id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170CHO,RS,MIL,0.0,,0,0,0
201810170CHO,RS,MIL,13.0,,0,2,-2
201810170CHO,RS,MIL,13.0,,0,3,-3
201810170CHO,RS,MIL,29.0,,0,5,-5
201810170CHO,RS,MIL,42.0,,2,5,-3
201810170CHO,RS,MIL,58.0,,2,8,-6
201810170CHO,RS,MIL,102.0,,5,8,-3
201810170CHO,RS,MIL,120.0,,5,11,-6
201810170CHO,RS,MIL,143.0,,5,14,-9
201810170CHO,RS,MIL,156.0,,8,14,-6
201810170CHO,RS,MIL,185.0,,11,14,-3
201810170CHO,RS,MIL,206.0,,11,15,-4
201810170CHO,RS,MIL,248.0,,11,17,-6
201810170CHO,RS,MIL,314.0,,11,20,-9
201810170CHO,RS,MIL,423.0,,13,20,-7
201810170CHO,RS,MIL,444.0,,13,23,-10
201810170CHO,RS,MIL,470.0,,13,25,-12
201810170CHO,RS,MIL,491.0,,13,28,-15
201810170CHO,RS,MIL,527.0,,14,28,-14
201810170CHO,RS,MIL,527.0,,15,28,-13
201810170CHO,RS,MIL,534.0,,17,28,-11
201810170CHO,RS,MIL,554.0,,17,30,-13
201810170CHO,RS,MIL,567.0,,19,30,-11
201810170CHO,RS,MIL,581.0,,21,30,-9
201810170CHO,RS,MIL,633.0,,21,31,-10
201810170CHO,RS,MIL,647.0,,23,31,-8
201810170CHO,RS,MIL,680.0,,23,34,-11
201810170CHO,RS,MIL,718.0,,23,36,-13
201810170CHO,RS,MIL,745.0,,23,39,-16
201810170CHO,RS,MIL,768.0,,23,42,-19
201810170CHO,RS,MIL,787.0,,24,42,-18
201810170CHO,RS,MIL,819.0,,24,44,-20
201810170CHO,RS,MIL,842.0,,27,44,-17
201810170CHO,RS,MIL,874.0,,29,44,-15
201810170CHO,RS,MIL,908.0,,29,46,-17
201810170CHO,RS,MIL,945.0,,29,49,-20
201810170CHO,RS,MIL,960.0,,31,49,-18
201810170CHO,RS,MIL,982.0,,34,49,-15
201810170CHO,RS,MIL,999.0,,34,51,-17
201810170CHO,RS,MIL,1022.0,,37,51,-14
201810170CHO,RS,MIL,1047.0,,38,51,-13
201810170CHO,RS,MIL,1064.0,,38,53,-15
201810170CHO,RS,MIL,1100.0,,38,55,-17
201810170CHO,RS,MIL,1167.0,,40,55,-15
201810170CHO,RS,MIL,1182.0,,40,56,-16
201810170CHO,RS,MIL,1182.0,,40,57,-17
201810170CHO,RS,MIL,1182.0,,40,58,-18
201810170CHO,RS,MIL,1193.0,,43,58,-15
201810170CHO,RS,MIL,1215.0,,45,58,-13
201810170CHO,RS,MIL,1226.0,,45,61,-16
201810170CHO,RS,MIL,1268.0,,45,63,-18
201810170CHO,RS,MIL,1316.0,,47,63,-16
201810170CHO,RS,MIL,1331.0,,47,65,-18
201810170CHO,RS,MIL,1340.0,,48,65,-17
201810170CHO,RS,MIL,1340.0,,49,65,-16
201810170CHO,RS,MIL,1369.0,,51,65,-14
201810170CHO,RS,MIL,1418.0,,51,67,-16
201810170CHO,RS,MIL,1438.0,,54,67,-13
201810170CHO,RS,MIL,1479.0,,54,69,-15
201810170CHO,RS,MIL,1516.0,,56,69,-13
201810170CHO,RS,MIL,1551.0,,56,71,-15
201810170CHO,RS,MIL,1578.0,,58,71,-13
201810170CHO,RS,MIL,1605.0,,58,72,-14
201810170CHO,RS,MIL,1605.0,,58,73,-15
201810170CHO,RS,MIL,1622.0,,58,76,-18
201810170CHO,RS,MIL,1640.0,,60,76,-16
201810170CHO,RS,MIL,1685.0,,62,76,-14
201810170CHO,RS,MIL,1718.0,,64,76,-12
201810170CHO,RS,MIL,1744.0,,64,78,-14
201810170CHO,RS,MIL,1792.0,,66,78,-12
201810170CHO,RS,MIL,1814.0,,66,81,-15
201810170CHO,RS,MIL,1848.0,,66,83,-17
201810170CHO,RS,MIL,1869.0,,69,83,-14
201810170CHO,RS,MIL,1894.0,,69,85,-16
201810170CHO,RS,MIL,1942.0,,71,85,-14
201810170CHO,RS,MIL,1972.0,,74,85,-11
201810170CHO,RS,MIL,2010.0,,74,87,-13
201810170CHO,RS,MIL,2037.0,,74,89,-15
201810170CHO,RS,MIL,2049.0,,76,89,-13
201810170CHO,RS,MIL,2063.0,,78,89,-11
201810170CHO,RS,MIL,2103.0,,78,91,-13
201810170CHO,RS,MIL,2124.0,,78,92,-14
201810170CHO,RS,MIL,2124.0,,78,93,-15
201810170CHO,RS,MIL,2131.0,,79,93,-14
201810170CHO,RS,MIL,2131.0,,80,93,-13
201810170CHO,RS,MIL,2159.0,,83,93,-10
201810170CHO,RS,MIL,2195.0,,83,95,-12
201810170CHO,RS,MIL,2213.0,,84,95,-11
201810170CHO,RS,MIL,2228.0,,84,97,-13
201810170CHO,RS,MIL,2254.0,,87,97,-10
201810170CHO,RS,MIL,2264.0,,87,99,-12
201810170CHO,RS,MIL,2276.0,,90,99,-9
201810170CHO,RS,MIL,2341.0,,92,99,-7
201810170CHO,RS,MIL,2361.0,,92,101,-9
201810170CHO,RS,MIL,2374.0,,93,101,-8
201810170CHO,RS,MIL,2374.0,,94,101,-7
201810170CHO,RS,MIL,2417.0,,96,101,-5
201810170CHO,RS,MIL,2454.0,,98,101,-3
201810170CHO,RS,MIL,2497.0,T,101,101,0
201810170CHO,RS,MIL,2521.0,,101,104,-3
201810170CHO,RS,MIL,2539.0,T,104,104,0
201810170CHO,RS,MIL,2593.0,,104,106,-2
201810170CHO,RS,MIL,2667.0,,104,108,-4
201810170CHO,RS,MIL,2719.0,,104,109,-5
201810170CHO,RS,MIL,2719.0,,104,110,-6
201810170CHO,RS,MIL,2728.0,,105,110,-5
201810170CHO,RS,MIL,2774.0,,107,110,-3
201810170CHO,RS,MIL,2820.0,,107,111,-4
201810170CHO,RS,MIL,2826.0,,110,111,-1
201810170CHO,RS,MIL,2844.0,T,111,111,0
201810170CHO,RS,MIL,2844.0,LC,112,111,1
201810170CHO,RS,MIL,2857.0,T,112,112,0
201810170CHO,RS,MIL,2857.0,F,112,113,-1
201810170CHO,RS,MIL,2880.0,,112,113,-1
201810190ORL,RS,ORL,0.0,,0,0,0
201810190ORL,RS,ORL,36.0,,0,2,-2
201810190ORL,RS,ORL,72.0,,0,4,-4
201810190ORL,RS,ORL,95.0,,1,4,-3
201810190ORL,RS,ORL,95.0,,2,4,-2
201810190ORL,RS,ORL,172.0,LC,5,4,1
201810190ORL,RS,ORL,215.0,,6,4,2
201810190ORL,RS,ORL,215.0,,7,4,3
201810190ORL,RS,ORL,269.0,,7,6,1
201810190ORL,RS,ORL,355.0,,9,6,3
201810190ORL,RS,ORL,375.0,,11,6,5
201810190ORL,RS,ORL,402.0,,14,6,8
201810190ORL,RS,ORL,471.0,,16,6,10
201810190ORL,RS,ORL,500.0,,18,6,12
201810190ORL,RS,ORL,541.0,,18,8,10
201810190ORL,RS,ORL,584.0,,20,8,12
201810190ORL,RS,ORL,635.0,,21,8,13
201810190ORL,RS,ORL,635.0,,22,8,14
201810190ORL,RS,ORL,662.0,,22,10,12
201810190ORL,RS,ORL,747.0,,25,10,15
201810190ORL,RS,ORL,769.0,,25,12,13
