id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170SAC,RS,SAC,0.0,,0,0,0
201810170SAC,RS,SAC,33.0,,0,2,-2
201810170SAC,RS,SAC,83.0,,0,4,-4
201810170SAC,RS,SAC,124.0,,0,7,-7
201810170SAC,RS,SAC,157.0,,0,9,-9
201810170SAC,RS,SAC,185.0,,2,9,-7
201810170SAC,RS,SAC,203.0,,2,11,-9
201810170SAC,RS,SAC,229.0,,2,12,-10
201810170SAC,RS,SAC,264.0,,2,14,-12
201810170SAC,RS,SAC,286.0,,4,14,-10
201810170SAC,RS,SAC,291.0,,4,16,-12
201810170SAC,RS,SAC,332.0,,4,18,-14
201810170SAC,RS,SAC,353.0,,6,18,-12
201810170SAC,RS,SAC,386.0,,9,18,-9
201810170SAC,RS,SAC,397.0,,9,20,-11
201810170SAC,RS,SAC,436.0,,9,22,-13
201810170SAC,RS,SAC,453.0,,9,25,-16
201810170SAC,RS,SAC,486.0,,12,25,-13
201810170SAC,RS,SAC,504.0,,14,25,-11
201810170SAC,RS,SAC,525.0,,14,27,-13
201810170SAC,RS,SAC,537.0,,15,27,-12
201810170SAC,RS,SAC,537.0,,16,27,-11
201810170SAC,RS,SAC,569.0,,17,27,-10
201810170SAC,RS,SAC,569.0,,18,27,-9
201810170SAC,RS,SAC,591.0,,21,27,-6
201810170SAC,RS,SAC,619.0,,23,27,-4
201810170SAC,RS,SAC,654.0,,25,27,-2
201810170SAC,RS,SAC,671.0,,25,29,-4
201810170SAC,RS,SAC,679.0,,28,29,-1
201810170SAC,RS,SAC,695.0,,28,31,-3
201810170SAC,RS,SAC,716.0,,29,31,-2
201810170SAC,RS,SAC,716.0,,30,31,-1
201810170SAC,RS,SAC,720.0,,30,34,-4
201810170SAC,RS,SAC,779.0,,32,34,-2
201810170SAC,RS,SAC,833.0,LC,35,34,1
201810170SAC,RS,SAC,851.0,LC,35,36,-1
201810170SAC,RS,SAC,863.0,LC,37,36,1
201810170SAC,RS,SAC,884.0,LC,37,38,-1
201810170SAC,RS,SAC,899.0,LC,39,38,1
201810170SAC,RS,SAC,912.0,,42,38,4
201810170SAC,RS,SAC,1028.0,,42,40,2
