id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250CHI,RS,CHI,0.0,,0,0,0
202310250CHI,RS,CHI,15.0,,3,0,3
202310250CHI,RS,CHI,30.0,,3,2,1
202310250CHI,RS,CHI,55.0,LC,3,4,-1
202310250CHI,RS,CHI,84.0,T,4,4,0
202310250CHI,RS,CHI,84.0,LC,5,4,1
202310250CHI,RS,CHI,119.0,LC,5,6,-1
202310250CHI,RS,CHI,140.0,LC,7,6,1
202310250CHI,RS,CHI,171.0,,9,6,3
202310250CHI,RS,CHI,189.0,,9,8,1
202310250CHI,RS,CHI,203.0,,11,8,3
202310250CHI,RS,CHI,228.0,,11,9,2
202310250CHI,RS,CHI,228.0,,11,10,1
202310250CHI,RS,CHI,235.0,,12,10,2
202310250CHI,RS,CHI,235.0,,13,10,3
202310250CHI,RS,CHI,245.0,,13,12,1
202310250CHI,RS,CHI,282.0,LC,13,14,-1
202310250CHI,RS,CHI,300.0,LC,15,14,1
202310250CHI,RS,CHI,316.0,LC,15,16,-1
202310250CHI,RS,CHI,340.0,,15,19,-4
202310250CHI,RS,CHI,350.0,,17,19,-2
202310250CHI,RS,CHI,360.0,T,19,19,0
202310250CHI,RS,CHI,386.0,LC,21,19,2
202310250CHI,RS,CHI,406.0,,23,19,4
202310250CHI,RS,CHI,422.0,,23,21,2
202310250CHI,RS,CHI,439.0,,26,21,5
202310250CHI,RS,CHI,459.0,,26,24,2
202310250CHI,RS,CHI,476.0,,29,24,5
202310250CHI,RS,CHI,490.0,,29,27,2
202310250CHI,RS,CHI,506.0,,31,27,4
202310250CHI,RS,CHI,586.0,,31,30,1
202310250CHI,RS,CHI,630.0,,33,30,3
202310250CHI,RS,CHI,637.0,,33,31,2
202310250CHI,RS,CHI,637.0,,33,32,1
202310250CHI,RS,CHI,653.0,T,33,33,0
202310250CHI,RS,CHI,667.0,LC,33,34,-1
202310250CHI,RS,CHI,667.0,,33,35,-2
202310250CHI,RS,CHI,803.0,,34,35,-1
202310250CHI,RS,CHI,803.0,T,35,35,0
202310250CHI,RS,CHI,849.0,,35,37,-2
202310250CHI,RS,CHI,851.0,,36,37,-1
202310250CHI,RS,CHI,869.0,,36,39,-3
202310250CHI,RS,CHI,882.0,T,39,39,0
202310250CHI,RS,CHI,912.0,,39,40,-1
202310250CHI,RS,CHI,912.0,,39,41,-2
202310250CHI,RS,CHI,941.0,,39,43,-4
202310250CHI,RS,CHI,971.0,,42,43,-1
202310250CHI,RS,CHI,997.0,LC,44,43,1
202310250CHI,RS,CHI,1062.0,,46,43,3
202310250CHI,RS,CHI,1115.0,T,46,46,0
202310250CHI,RS,CHI,1159.0,LC,46,48,-2
202310250CHI,RS,CHI,1193.0,,47,48,-1
202310250CHI,RS,CHI,1193.0,T,48,48,0
202310250CHI,RS,CHI,1224.0,LC,49,48,1
202310250CHI,RS,CHI,1224.0,,50,48,2
202310250CHI,RS,CHI,1278.0,,50,49,1
202310250CHI,RS,CHI,1321.0,,52,49,3
202310250CHI,RS,CHI,1350.0,,55,49,6
202310250CHI,RS,CHI,1373.0,,55,50,5
202310250CHI,RS,CHI,1379.0,,58,50,8
202310250CHI,RS,CHI,1393.0,,58,53,5
202310250CHI,RS,CHI,1412.0,,61,53,8
202310250CHI,RS,CHI,1436.0,,61,55,6
202310250CHI,RS,CHI,1459.0,,61,57,4
202310250CHI,RS,CHI,1477.0,,61,60,1
202310250CHI,RS,CHI,1503.0,LC,61,62,-1
202310250CHI,RS,CHI,1538.0,LC,63,62,1
202310250CHI,RS,CHI,1555.0,LC,63,64,-1
202310250CHI,RS,CHI,1576.0,LC,65,64,1
202310250CHI,RS,CHI,1587.0,LC,65,66,-1
202310250CHI,RS,CHI,1608.0,LC,68,66,2
202310250CHI,RS,CHI,1660.0,LC,68,69,-1
202310250CHI,RS,CHI,1680.0,LC,71,69,2
202310250CHI,RS,CHI,1736.0,,73,69,4
202310250CHI,RS,CHI,1807.0,,76,69,7
