id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202410230LAC,RS,PHO,0.0,,0,0,0
202410230LAC,RS,PHO,17.0,,2,0,2
202410230LAC,RS,PHO,44.0,T,2,2,0
202410230LAC,RS,PHO,64.0,,3,2,1
202410230LAC,RS,PHO,125.0,T,3,3,0
202410230LAC,RS,PHO,136.0,,5,3,2
202410230LAC,RS,PHO,155.0,,5,4,1
202410230LAC,RS,PHO,173.0,,7,4,3
202410230LAC,RS,PHO,182.0,T,7,7,0
202410230LAC,RS,PHO,193.0,,8,7,1
202410230LAC,RS,PHO,193.0,,9,7,2
202410230LAC,RS,PHO,245.0,LC,9,10,-1
202410230LAC,RS,PHO,255.0,LC,11,10,1
202410230LAC,RS,PHO,286.0,LC,11,12,-1
202410230LAC,RS,PHO,300.0,LC,14,12,2
202410230LAC,RS,PHO,316.0,LC,14,15,-1
202410230LAC,RS,PHO,351.0,LC,16,15,1
202410230LAC,RS,PHO,368.0,T,16,16,0
202410230LAC,RS,PHO,386.0,,18,16,2
202410230LAC,RS,PHO,400.0,,18,17,1
202410230LAC,RS,PHO,400.0,T,18,18,0
202410230LAC,RS,PHO,463.0,,20,18,2
202410230LAC,RS,PHO,567.0,,21,18,3
202410230LAC,RS,PHO,567.0,,22,18,4
202410230LAC,RS,PHO,599.0,,22,21,1
202410230LAC,RS,PHO,713.0,LC,22,23,-1
202410230LAC,RS,PHO,763.0,LC,24,23,1
202410230LAC,RS,PHO,780.0,LC,24,26,-2
202410230LAC,RS,PHO,795.0,LC,27,26,1
202410230LAC,RS,PHO,845.0,LC,27,29,-2
202410230LAC,RS,PHO,897.0,,27,31,-4
202410230LAC,RS,PHO,956.0,,27,34,-7
202410230LAC,RS,PHO,1098.0,,27,37,-10
202410230LAC,RS,PHO,1127.0,,27,40,-13
202410230LAC,RS,PHO,1145.0,,29,40,-11
202410230LAC,RS,PHO,1221.0,,29,42,-13
202410230LAC,RS,PHO,1235.0,,31,42,-11
202410230LAC,RS,PHO,1274.0,,31,45,-14
202410230LAC,RS,PHO,1304.0,,32,45,-13
202410230LAC,RS,PHO,1304.0,,33,45,-12
202410230LAC,RS,PHO,1322.0,,35,45,-10
202410230LAC,RS,PHO,1362.0,,37,45,-8
202410230LAC,RS,PHO,1391.0,,37,46,-9
202410230LAC,RS,PHO,1391.0,,37,47,-10
202410230LAC,RS,PHO,1404.0,,39,47,-8
202410230LAC,RS,PHO,1472.0,,41,47,-6
202410230LAC,RS,PHO,1487.0,,41,49,-8
202410230LAC,RS,PHO,1523.0,,44,49,-5
202410230LAC,RS,PHO,1544.0,,46,49,-3
202410230LAC,RS,PHO,1583.0,,46,51,-5
202410230LAC,RS,PHO,1600.0,,48,51,-3
202410230LAC,RS,PHO,1661.0,,49,51,-2
