id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202510210OKC,RS,OKC,0.0,,0,0,0
202510210OKC,RS,OKC,34.0,,0,2,-2
202510210OKC,RS,OKC,34.0,,0,3,-3
202510210OKC,RS,OKC,58.0,,2,3,-1
202510210OKC,RS,OKC,70.0,,2,5,-3
202510210OKC,RS,OKC,113.0,,4,5,-1
202510210OKC,RS,OKC,128.0,,4,7,-3
202510210OKC,RS,OKC,145.0,T,7,7,0
202510210OKC,RS,OKC,191.0,,7,9,-2
202510210OKC,RS,OKC,223.0,T,9,9,0
202510210OKC,RS,OKC,223.0,LC,10,9,1
202510210OKC,RS,OKC,258.0,LC,10,11,-1
202510210OKC,RS,OKC,274.0,LC,12,11,1
202510210OKC,RS,OKC,290.0,LC,12,13,-1
202510210OKC,RS,OKC,308.0,LC,14,13,1
202510210OKC,RS,OKC,320.0,T,14,14,0
202510210OKC,RS,OKC,320.0,LC,14,15,-1
202510210OKC,RS,OKC,331.0,LC,16,15,1
202510210OKC,RS,OKC,331.0,,17,15,2
202510210OKC,RS,OKC,364.0,,19,15,4
202510210OKC,RS,OKC,377.0,,19,17,2
202510210OKC,RS,OKC,389.0,,21,17,4
202510210OKC,RS,OKC,405.0,,21,18,3
202510210OKC,RS,OKC,405.0,,21,19,2
202510210OKC,RS,OKC,441.0,T,21,21,0
202510210OKC,RS,OKC,463.0,LC,21,23,-2
202510210OKC,RS,OKC,477.0,,22,23,-1
202510210OKC,RS,OKC,477.0,T,23,23,0
202510210OKC,RS,OKC,514.0,,23,24,-1
202510210OKC,RS,OKC,540.0,LC,25,24,1
202510210OKC,RS,OKC,606.0,LC,25,27,-2
202510210OKC,RS,OKC,623.0,LC,28,27,1
202510210OKC,RS,OKC,658.0,,30,27,3
202510210OKC,RS,OKC,771.0,,30,29,1
202510210OKC,RS,OKC,771.0,T,30,30,0
202510210OKC,RS,OKC,819.0,,33,30,3
202510210OKC,RS,OKC,839.0,,33,32,1
202510210OKC,RS,OKC,848.0,,36,32,4
202510210OKC,RS,OKC,868.0,,36,34,2
202510210OKC,RS,OKC,886.0,,39,34,5
202510210OKC,RS,OKC,901.0,,39,37,2
202510210OKC,RS,OKC,931.0,T,39,39,0
202510210OKC,RS,OKC,949.0,,40,39,1
202510210OKC,RS,OKC,949.0,,41,39,2
202510210OKC,RS,OKC,995.0,LC,41,42,-1
202510210OKC,RS,OKC,1026.0,LC,44,42,2
202510210OKC,RS,OKC,1045.0,,45,42,3
202510210OKC,RS,OKC,1045.0,,46,42,4
202510210OKC,RS,OKC,1173.0,,46,45,1
202510210OKC,RS,OKC,1274.0,,48,45,3
202510210OKC,RS,OKC,1305.0,,50,45,5
202510210OKC,RS,OKC,1336.0,,53,45,8
