id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202510220PHO,RS,PHO,0.0,,0,0,0
202510220PHO,RS,PHO,17.0,,0,2,-2
202510220PHO,RS,PHO,30.0,T,2,2,0
202510220PHO,RS,PHO,54.0,,2,4,-2
202510220PHO,RS,PHO,69.0,,2,6,-4
202510220PHO,RS,PHO,108.0,,4,6,-2
202510220PHO,RS,PHO,129.0,,4,8,-4
202510220PHO,RS,PHO,141.0,,6,8,-2
202510220PHO,RS,PHO,192.0,,6,10,-4
202510220PHO,RS,PHO,241.0,,8,10,-2
202510220PHO,RS,PHO,255.0,,9,10,-1
202510220PHO,RS,PHO,292.0,LC,11,10,1
202510220PHO,RS,PHO,323.0,,13,10,3
202510220PHO,RS,PHO,323.0,,14,10,4
202510220PHO,RS,PHO,355.0,,16,10,6
202510220PHO,RS,PHO,434.0,,16,12,4
202510220PHO,RS,PHO,452.0,,16,14,2
202510220PHO,RS,PHO,471.0,,18,14,4
202510220PHO,RS,PHO,505.0,,21,14,7
202510220PHO,RS,PHO,551.0,,23,14,9
202510220PHO,RS,PHO,604.0,,23,16,7
202510220PHO,RS,PHO,620.0,,25,16,9
202510220PHO,RS,PHO,637.0,,25,18,7
202510220PHO,RS,PHO,663.0,,27,18,9
202510220PHO,RS,PHO,692.0,,27,19,8
202510220PHO,RS,PHO,711.0,,29,19,10
202510220PHO,RS,PHO,757.0,,31,19,12
202510220PHO,RS,PHO,772.0,,34,19,15
202510220PHO,RS,PHO,788.0,,34,21,13
202510220PHO,RS,PHO,823.0,,35,21,14
202510220PHO,RS,PHO,835.0,,37,21,16
202510220PHO,RS,PHO,863.0,,37,23,14
202510220PHO,RS,PHO,885.0,,39,23,16
202510220PHO,RS,PHO,885.0,,40,23,17
202510220PHO,RS,PHO,899.0,,40,25,15
202510220PHO,RS,PHO,907.0,,42,25,17
202510220PHO,RS,PHO,917.0,,42,26,16
202510220PHO,RS,PHO,917.0,,42,27,15
202510220PHO,RS,PHO,934.0,,45,27,18
202510220PHO,RS,PHO,955.0,,45,30,15
202510220PHO,RS,PHO,969.0,,48,30,18
202510220PHO,RS,PHO,989.0,,48,32,16
202510220PHO,RS,PHO,1022.0,,48,34,14
202510220PHO,RS,PHO,1036.0,,51,34,17
202510220PHO,RS,PHO,1052.0,,51,36,15
202510220PHO,RS,PHO,1068.0,,51,38,13
202510220PHO,RS,PHO,1089.0,,51,40,11
202510220PHO,RS,PHO,1101.0,,52,40,12
202510220PHO,RS,PHO,1101.0,,53,40,13
202510220PHO,RS,PHO,1119.0,,55,40,15
202510220PHO,RS,PHO,1155.0,,57,40,17
202510220PHO,RS,PHO,1176.0,,59,40,19
202510220PHO,RS,PHO,1182.0,,59,41,18
202510220PHO,RS,PHO,1182.0,,59,42,17
202510220PHO,RS,PHO,1215.0,,59,43,16
202510220PHO,RS,PHO,1215.0,,59,44,15
202510220PHO,RS,PHO,1235.0,,61,44,17
202510220PHO,RS,PHO,1295.0,,64,44,20
202510220PHO,RS,PHO,1311.0,,64,46,18
202510220PHO,RS,PHO,1337.0,,64,49,15
202510220PHO,RS,PHO,1356.0,,66,49,17
202510220PHO,RS,PHO,1377.0,,68,49,19
202510220PHO,RS,PHO,1389.0,,68,52,16
202510220PHO,RS,PHO,1414.0,,68,54,14
202510220PHO,RS,PHO,1437.0,,71,54,17
202510220PHO,RS,PHO,1495.0,,71,57,14
202510220PHO,RS,PHO,1525.0,,73,57,16
202510220PHO,RS,PHO,1543.0,,73,59,14
202510220PHO,RS,PHO,1563.0,,76,59,17
202510220PHO,RS,PHO,1577.0,,76,61,15
202510220PHO,RS,PHO,1601.0,,78,61,17
202510220PHO,RS,PHO,1643.0,,78,63,15
202510220PHO,RS,PHO,1643.0,,78,64,14
202510220PHO,RS,PHO,1688.0,,80,64,16
202510220PHO,RS,PHO,1699.0,,80,66,14
202510220PHO,RS,PHO,1713.0,,82,66,16
202510220PHO,RS,PHO,1725.0,,82,68,14
202510220PHO,RS,PHO,1748.0,,82,70,12
202510220PHO,RS,PHO,1764.0,,84,70,14
202510220PHO,RS,PHO,1801.0,,84,71,13
202510220PHO,RS,PHO,1845.0,,84,74,10
202510220PHO,RS,PHO,1881.0,,84,77,7
202510220PHO,RS,PHO,1895.0,,84,79,5
202510220PHO,RS,PHO,1911.0,,86,79,7
202510220PHO,RS,PHO,1925.0,,86,81,5
202510220PHO,RS,PHO,1992.0,,88,81,7
202510220PHO,RS,PHO,2016.0,,88,83,5
202510220PHO,RS,PHO,2039.0,,89,83,6
202510220PHO,RS,PHO,2053.0,,89,85,4
202510220PHO,RS,PHO,2104.0,,89,87,2
202510220PHO,RS,PHO,2125.0,,91,87,4
202510220PHO,RS,PHO,2132.0,,91,89,2
202510220PHO,RS,PHO,2132.0,,91,90,1
202510220PHO,RS,PHO,2156.0,,92,90,2
202510220PHO,RS,PHO,2202.0,,94,90,4
202510220PHO,RS,PHO,2216.0,,94,93,1
202510220PHO,RS,PHO,2249.0,LC,94,96,-2
202510220PHO,RS,PHO,2323.0,,94,99,-5
202510220PHO,RS,PHO,2372.0,,94,101,-7
202510220PHO,RS,PHO,2393.0,,95,101,-6
202510220PHO,RS,PHO,2415.0,,97,101,-4
202510220PHO,RS,PHO,2490.0,,97,104,-7
202510220PHO,RS,PHO,2534.0,,97,106,-9
202510220PHO,RS,PHO,2560.0,,100,106,-6
202510220PHO,RS,PHO,2585.0,,102,106,-4
202510220PHO,RS,PHO,2664.0,,104,106,-2
202510220PHO,RS,PHO,2679.0,,104,107,-3
202510220PHO,RS,PHO,2679.0,,104,108,-4
202510220PHO,RS,PHO,2698.0,,106,108,-2
202510220PHO,RS,PHO,2716.0,,106,110,-4
202510220PHO,RS,PHO,2766.0,,107,110,-3
202510220PHO,RS,PHO,2766.0,,108,110,-2
202510220PHO,RS,PHO,2803.0,T,110,110,0
202510220PHO,RS,PHO,2817.0,,110,111,-1
202510220PHO,RS,PHO,2817.0,,110,112,-2
202510220PHO,RS,PHO,2817.0,,110,113,-3
202510220PHO,RS,PHO,2824.0,,111,113,-2
202510220PHO,RS,PHO,2843.0,,111,115,-4
202510220PHO,RS,PHO,2855.0,,111,116,-5
202510220PHO,RS,PHO,2862.0,,113,116,-3
202510220PHO,RS,PHO,2863.0,,113,117,-4
202510220PHO,RS,PHO,2863.0,,113,118,-5
202510220PHO,RS,PHO,2870.0,,114,118,-4
202510220PHO,RS,PHO,2872.0,,114,119,-5
202510220PHO,RS,PHO,2872.0,,114,120,-6
202510220PHO,RS,PHO,2879.0,F,116,120,-4
202510220PHO,RS,PHO,2880.0,,116,120,-4
202510240SAC,RS,UTA,0.0,,0,0,0
202510240SAC,RS,UTA,21.0,,0,3,-3
202510240SAC,RS,UTA,57.0,,0,5,-5
202510240SAC,RS,UTA,81.0,,2,5,-3
202510240SAC,RS,UTA,101.0,,2,6,-4
202510240SAC,RS,UTA,101.0,,2,7,-5
202510240SAC,RS,UTA,116.0,,4,7,-3
202510240SAC,RS,UTA,144.0,,4,10,-6
202510240SAC,RS,UTA,200.0,,7,10,-3
202510240SAC,RS,UTA,239.0,,8,10,-2
202510240SAC,RS,UTA,239.0,,9,10,-1
202510240SAC,RS,UTA,280.0,,9,12,-3
202510240SAC,RS,UTA,302.0,,9,14,-5
202510240SAC,RS,UTA,321.0,,12,14,-2
202510240SAC,RS,UTA,333.0,,12,16,-4
202510240SAC,RS,UTA,346.0,,14,16,-2
202510240SAC,RS,UTA,425.0,,14,18,-4
202510240SAC,RS,UTA,487.0,,15,18,-3
202510240SAC,RS,UTA,487.0,,16,18,-2
202510240SAC,RS,UTA,521.0,T,18,18,0
202510240SAC,RS,UTA,542.0,LC,20,18,2
202510240SAC,RS,UTA,542.0,,21,18,3
202510240SAC,RS,UTA,568.0,,21,20,1
202510240SAC,RS,UTA,579.0,,22,20,2
202510240SAC,RS,UTA,592.0,,25,20,5
202510240SAC,RS,UTA,624.0,,25,23,2
202510240SAC,RS,UTA,643.0,,27,23,4
202510240SAC,RS,UTA,668.0,,29,23,6
202510240SAC,RS,UTA,688.0,,29,24,5
202510240SAC,RS,UTA,716.0,,31,24,7
202510240SAC,RS,UTA,776.0,,31,26,5
202510240SAC,RS,UTA,798.0,,31,29,2
202510240SAC,RS,UTA,850.0,T,31,31,0
202510240SAC,RS,UTA,897.0,,33,31,2
202510240SAC,RS,UTA,922.0,T,33,33,0
202510240SAC,RS,UTA,959.0,,36,33,3
202510240SAC,RS,UTA,1016.0,,39,33,6
202510240SAC,RS,UTA,1077.0,,41,33,8
202510240SAC,RS,UTA,1094.0,,41,35,6
202510240SAC,RS,UTA,1124.0,,41,37,4
202510240SAC,RS,UTA,1164.0,,43,37,6
202510240SAC,RS,UTA,1232.0,,43,40,3
202510240SAC,RS,UTA,1257.0,,45,40,5
202510240SAC,RS,UTA,1307.0,,47,40,7
202510240SAC,RS,UTA,1317.0,,47,43,4
202510240SAC,RS,UTA,1317.0,,47,44,3
202510240SAC,RS,UTA,1336.0,,49,44,5
202510240SAC,RS,UTA,1377.0,,49,46,3
202510240SAC,RS,UTA,1469.0,,49,48,1
202510240SAC,RS,UTA,1489.0,,51,48,3
202510240SAC,RS,UTA,1510.0,,51,49,2
202510240SAC,RS,UTA,1510.0,,51,50,1
202510240SAC,RS,UTA,1510.0,T,51,51,0
202510240SAC,RS,UTA,1608.0,LC,51,54,-3
202510240SAC,RS,UTA,1629.0,T,54,54,0
202510240SAC,RS,UTA,1651.0,,54,56,-2
202510240SAC,RS,UTA,1665.0,T,56,56,0
202510240SAC,RS,UTA,1698.0,LC,57,56,1
202510240SAC,RS,UTA,1698.0,,58,56,2
202510240SAC,RS,UTA,1724.0,T,58,58,0
202510240SAC,RS,UTA,1737.0,,60,58,2
202510240SAC,RS,UTA,1754.0,T,60,60,0
202510240SAC,RS,UTA,1779.0,LC,60,62,-2
202510240SAC,RS,UTA,1810.0,LC,63,62,1
202510240SAC,RS,UTA,1834.0,,66,62,4
202510240SAC,RS,UTA,1870.0,,67,62,5
202510240SAC,RS,UTA,1870.0,,68,62,6
202510240SAC,RS,UTA,1915.0,,68,64,4
202510240SAC,RS,UTA,1954.0,,70,64,6
202510240SAC,RS,UTA,1993.0,,70,66,4
202510240SAC,RS,UTA,2008.0,,73,66,7
202510240SAC,RS,UTA,2019.0,,73,68,5
202510240SAC,RS,UTA,2019.0,,73,69,4
202510240SAC,RS,UTA,2091.0,,73,71,2
202510240SAC,RS,UTA,2106.0,T,73,73,0
202510240SAC,RS,UTA,2132.0,,75,73,2
202510240SAC,RS,UTA,2155.0,LC,75,76,-1
202510240SAC,RS,UTA,2158.0,LC,78,76,2
202510240SAC,RS,UTA,2181.0,,80,76,4
202510240SAC,RS,UTA,2195.0,,80,79,1
202510240SAC,RS,UTA,2222.0,,81,79,2
202510240SAC,RS,UTA,2248.0,,84,79,5
202510240SAC,RS,UTA,2274.0,,84,82,2
202510240SAC,RS,UTA,2306.0,,87,82,5
202510240SAC,RS,UTA,2343.0,,87,83,4
202510240SAC,RS,UTA,2343.0,,87,84,3
202510240SAC,RS,UTA,2399.0,T,87,87,0
202510240SAC,RS,UTA,2436.0,LC,87,89,-2
202510240SAC,RS,UTA,2498.0,T,89,89,0
202510240SAC,RS,UTA,2511.0,,89,90,-1
202510240SAC,RS,UTA,2542.0,,89,93,-4
202510240SAC,RS,UTA,2560.0,,92,93,-1
202510240SAC,RS,UTA,2570.0,,92,96,-4
202510240SAC,RS,UTA,2583.0,,95,96,-1
202510240SAC,RS,UTA,2623.0,LC,97,96,1
202510240SAC,RS,UTA,2681.0,,99,96,3
202510240SAC,RS,UTA,2764.0,,99,97,2
202510240SAC,RS,UTA,2764.0,,99,98,1
202510240SAC,RS,UTA,2777.0,,101,98,3
202510240SAC,RS,UTA,2786.0,,101,100,1
202510240SAC,RS,UTA,2808.0,,103,100,3
202510240SAC,RS,UTA,2817.0,,103,102,1
202510240SAC,RS,UTA,2852.0,T,103,103,0
202510240SAC,RS,UTA,2852.0,LC,103,104,-1
202510240SAC,RS,UTA,2874.0,F,105,104,1
202510240SAC,RS,UTA,2880.0,,105,104,1
202510260SAC,RS,LAL,0.0,,0,0,0
202510260SAC,RS,LAL,5.0,,2,0,2
202510260SAC,RS,LAL,28.0,T,2,2,0
202510260SAC,RS,LAL,63.0,,5,2,3
202510260SAC,RS,LAL,101.0,,5,4,1
202510260SAC,RS,LAL,131.0,LC,5,6,-1
202510260SAC,RS,LAL,161.0,,5,8,-3
202510260SAC,RS,LAL,197.0,,7,8,-1
202510260SAC,RS,LAL,217.0,,7,10,-3
202510260SAC,RS,LAL,237.0,,7,11,-4
202510260SAC,RS,LAL,237.0,,7,12,-5
202510260SAC,RS,LAL,265.0,,7,13,-6
202510260SAC,RS,LAL,280.0,,10,13,-3
202510260SAC,RS,LAL,303.0,,10,14,-4
202510260SAC,RS,LAL,303.0,,10,15,-5
202510260SAC,RS,LAL,303.0,,10,16,-6
202510260SAC,RS,LAL,337.0,,13,16,-3
202510260SAC,RS,LAL,358.0,,13,17,-4
202510260SAC,RS,LAL,358.0,,13,18,-5
202510260SAC,RS,LAL,358.0,,13,19,-6
202510260SAC,RS,LAL,381.0,,13,21,-8
202510260SAC,RS,LAL,386.0,,15,21,-6
202510260SAC,RS,LAL,386.0,,16,21,-5
202510260SAC,RS,LAL,396.0,,16,23,-7
202510260SAC,RS,LAL,431.0,,16,25,-9
202510260SAC,RS,LAL,434.0,,18,25,-7
202510260SAC,RS,LAL,434.0,,19,25,-6
202510260SAC,RS,LAL,447.0,,19,27,-8
202510260SAC,RS,LAL,492.0,,21,27,-6
202510260SAC,RS,LAL,512.0,,21,29,-8
202510260SAC,RS,LAL,524.0,,21,31,-10
202510260SAC,RS,LAL,556.0,,23,31,-8
202510260SAC,RS,LAL,590.0,,25,31,-6
202510260SAC,RS,LAL,620.0,,27,31,-4
202510260SAC,RS,LAL,630.0,,27,32,-5
202510260SAC,RS,LAL,630.0,,27,33,-6
202510260SAC,RS,LAL,658.0,,27,36,-9
202510260SAC,RS,LAL,752.0,,29,36,-7
202510260SAC,RS,LAL,805.0,,32,36,-4
202510260SAC,RS,LAL,828.0,,34,36,-2
202510260SAC,RS,LAL,842.0,,34,37,-3
202510260SAC,RS,LAL,842.0,,34,38,-4
202510260SAC,RS,LAL,854.0,,36,38,-2
202510260SAC,RS,LAL,854.0,,37,38,-1
202510260SAC,RS,LAL,924.0,LC,40,38,2
