id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201410290IND,RS,PHI,0.0,,0,0,0
201410290IND,RS,PHI,50.0,,0,2,-2
201410290IND,RS,PHI,67.0,T,2,2,0
201410290IND,RS,PHI,88.0,,2,4,-2
201410290IND,RS,PHI,112.0,LC,5,4,1
201410290IND,RS,PHI,133.0,LC,5,6,-1
201410290IND,RS,PHI,166.0,,5,8,-3
201410290IND,RS,PHI,284.0,,5,10,-5
201410290IND,RS,PHI,302.0,,7,10,-3
201410290IND,RS,PHI,322.0,,7,12,-5
201410290IND,RS,PHI,340.0,,8,12,-4
201410290IND,RS,PHI,340.0,,9,12,-3
201410290IND,RS,PHI,352.0,,9,14,-5
201410290IND,RS,PHI,371.0,,9,16,-7
201410290IND,RS,PHI,394.0,,11,16,-5
201410290IND,RS,PHI,414.0,,11,18,-7
201410290IND,RS,PHI,466.0,,11,20,-9
201410290IND,RS,PHI,476.0,,12,20,-8
201410290IND,RS,PHI,510.0,,12,22,-10
201410290IND,RS,PHI,526.0,,14,22,-8
201410290IND,RS,PHI,555.0,,14,24,-10
201410290IND,RS,PHI,572.0,,15,24,-9
201410290IND,RS,PHI,572.0,,16,24,-8
201410290IND,RS,PHI,616.0,,18,24,-6
201410290IND,RS,PHI,634.0,,20,24,-4
201410290IND,RS,PHI,634.0,,21,24,-3
201410290IND,RS,PHI,693.0,,23,24,-1
201410290IND,RS,PHI,719.0,LC,25,24,1
201410290IND,RS,PHI,719.0,,26,24,2
201410290IND,RS,PHI,728.0,,26,25,1
201410290IND,RS,PHI,728.0,T,26,26,0
201410290IND,RS,PHI,746.0,,29,26,3
201410290IND,RS,PHI,770.0,,29,27,2
201410290IND,RS,PHI,770.0,,29,28,1
201410290IND,RS,PHI,796.0,,31,28,3
201410290IND,RS,PHI,836.0,,33,28,5
201410290IND,RS,PHI,902.0,,33,30,3
201410290IND,RS,PHI,918.0,,36,30,6
201410290IND,RS,PHI,946.0,,37,30,7
201410290IND,RS,PHI,946.0,,38,30,8
201410290IND,RS,PHI,958.0,,38,32,6
201410290IND,RS,PHI,1021.0,,38,34,4
201410290IND,RS,PHI,1056.0,,38,37,1
201410290IND,RS,PHI,1088.0,LC,38,40,-2
201410290IND,RS,PHI,1104.0,T,40,40,0
201410290IND,RS,PHI,1160.0,,40,42,-2
201410290IND,RS,PHI,1191.0,T,42,42,0
201410290IND,RS,PHI,1210.0,,42,43,-1
201410290IND,RS,PHI,1210.0,,42,44,-2
201410290IND,RS,PHI,1240.0,,42,46,-4
201410290IND,RS,PHI,1257.0,,43,46,-3
201410290IND,RS,PHI,1257.0,,44,46,-2
201410290IND,RS,PHI,1272.0,,44,48,-4
201410290IND,RS,PHI,1347.0,,46,48,-2
201410290IND,RS,PHI,1378.0,,47,48,-1
201410290IND,RS,PHI,1378.0,T,48,48,0
201410290IND,RS,PHI,1394.0,,48,49,-1
201410290IND,RS,PHI,1431.0,,48,51,-3
201410290IND,RS,PHI,1455.0,,48,53,-5
201410290IND,RS,PHI,1519.0,,50,53,-3
201410290IND,RS,PHI,1598.0,,52,53,-1
201410290IND,RS,PHI,1625.0,LC,54,53,1
201410290IND,RS,PHI,1673.0,LC,54,55,-1
201410290IND,RS,PHI,1693.0,LC,56,55,1
201410290IND,RS,PHI,1716.0,LC,56,57,-1
201410290IND,RS,PHI,1743.0,,56,58,-2
201410290IND,RS,PHI,1743.0,,56,59,-3
201410290IND,RS,PHI,1760.0,,58,59,-1
201410290IND,RS,PHI,1816.0,LC,60,59,1
201410290IND,RS,PHI,1851.0,,62,59,3
201410290IND,RS,PHI,1866.0,,62,60,2
201410290IND,RS,PHI,1866.0,,62,61,1
201410290IND,RS,PHI,1885.0,,64,61,3
201410290IND,RS,PHI,1908.0,,66,61,5
201410290IND,RS,PHI,1941.0,,68,61,7
201410290IND,RS,PHI,1959.0,,68,63,5
201410290IND,RS,PHI,1994.0,,68,66,2
201410290IND,RS,PHI,2019.0,,71,66,5
201410290IND,RS,PHI,2025.0,,73,66,7
201410290IND,RS,PHI,2050.0,,76,66,10
201410290IND,RS,PHI,2071.0,,76,67,9
201410290IND,RS,PHI,2088.0,,78,67,11
201410290IND,RS,PHI,2106.0,,78,70,8
201410290IND,RS,PHI,2160.0,,78,73,5
201410290IND,RS,PHI,2186.0,,80,73,7
201410290IND,RS,PHI,2231.0,,83,73,10
201410290IND,RS,PHI,2274.0,,86,73,13
201410290IND,RS,PHI,2297.0,,86,76,10
201410290IND,RS,PHI,2317.0,,88,76,12
201410290IND,RS,PHI,2339.0,,88,77,11
201410290IND,RS,PHI,2339.0,,88,78,10
201410290IND,RS,PHI,2356.0,,90,78,12
201410290IND,RS,PHI,2373.0,,91,78,13
201410290IND,RS,PHI,2406.0,,91,80,11
201410290IND,RS,PHI,2406.0,,91,81,10
201410290IND,RS,PHI,2432.0,,91,83,8
201410290IND,RS,PHI,2498.0,,91,85,6
201410290IND,RS,PHI,2571.0,,91,87,4
201410290IND,RS,PHI,2592.0,,92,87,5
201410290IND,RS,PHI,2622.0,,92,89,3
201410290IND,RS,PHI,2636.0,,93,89,4
201410290IND,RS,PHI,2665.0,,96,89,7
201410290IND,RS,PHI,2695.0,,98,89,9
201410290IND,RS,PHI,2695.0,,99,89,10
201410290IND,RS,PHI,2806.0,,100,89,11
201410290IND,RS,PHI,2806.0,,101,89,12
201410290IND,RS,PHI,2857.0,,103,89,14
201410290IND,RS,PHI,2865.0,,103,90,13
201410290IND,RS,PHI,2865.0,F,103,91,12
201410290IND,RS,PHI,2880.0,,103,91,12
201410310IND,RS,MEM,0.0,,0,0,0
201410310IND,RS,MEM,28.0,,0,1,-1
201410310IND,RS,MEM,28.0,,0,2,-2
201410310IND,RS,MEM,80.0,T,2,2,0
201410310IND,RS,MEM,99.0,,2,4,-2
201410310IND,RS,MEM,133.0,,2,6,-4
201410310IND,RS,MEM,150.0,,4,6,-2
201410310IND,RS,MEM,163.0,,4,8,-4
201410310IND,RS,MEM,194.0,,7,8,-1
201410310IND,RS,MEM,252.0,,7,9,-2
201410310IND,RS,MEM,281.0,,7,10,-3
201410310IND,RS,MEM,345.0,,7,12,-5
201410310IND,RS,MEM,412.0,,7,13,-6
201410310IND,RS,MEM,439.0,,10,13,-3
201410310IND,RS,MEM,454.0,,10,15,-5
201410310IND,RS,MEM,515.0,,10,16,-6
201410310IND,RS,MEM,548.0,,10,19,-9
201410310IND,RS,MEM,582.0,,10,21,-11
201410310IND,RS,MEM,602.0,,12,21,-9
201410310IND,RS,MEM,650.0,,14,21,-7
201410310IND,RS,MEM,660.0,,14,23,-9
201410310IND,RS,MEM,679.0,,17,23,-6
201410310IND,RS,MEM,720.0,,18,23,-5
201410310IND,RS,MEM,720.0,,19,23,-4
201410310IND,RS,MEM,782.0,,22,23,-1
