id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201410290UTA,RS,HOU,0.0,,0,0,0
201410290UTA,RS,HOU,46.0,,2,0,2
201410290UTA,RS,HOU,87.0,T,2,2,0
201410290UTA,RS,HOU,107.0,,3,2,1
201410290UTA,RS,HOU,107.0,,4,2,2
201410290UTA,RS,HOU,127.0,T,4,4,0
201410290UTA,RS,HOU,143.0,,6,4,2
201410290UTA,RS,HOU,155.0,T,6,6,0
201410290UTA,RS,HOU,194.0,LC,6,8,-2
201410290UTA,RS,HOU,218.0,T,8,8,0
201410290UTA,RS,HOU,238.0,,8,10,-2
201410290UTA,RS,HOU,265.0,T,10,10,0
201410290UTA,RS,HOU,282.0,,10,12,-2
201410290UTA,RS,HOU,288.0,T,12,12,0
201410290UTA,RS,HOU,311.0,,12,15,-3
201410290UTA,RS,HOU,328.0,,14,15,-1
201410290UTA,RS,HOU,361.0,LC,16,15,1
201410290UTA,RS,HOU,382.0,LC,16,17,-1
201410290UTA,RS,HOU,402.0,LC,18,17,1
201410290UTA,RS,HOU,431.0,,20,17,3
201410290UTA,RS,HOU,477.0,,20,19,1
201410290UTA,RS,HOU,477.0,T,20,20,0
201410290UTA,RS,HOU,506.0,LC,20,23,-3
201410290UTA,RS,HOU,522.0,,22,23,-1
201410290UTA,RS,HOU,584.0,,22,26,-4
201410290UTA,RS,HOU,604.0,,25,26,-1
201410290UTA,RS,HOU,619.0,,25,27,-2
201410290UTA,RS,HOU,662.0,T,27,27,0
201410290UTA,RS,HOU,759.0,LC,29,27,2
201410290UTA,RS,HOU,798.0,,31,27,4
201410290UTA,RS,HOU,849.0,,31,30,1
201410290UTA,RS,HOU,878.0,,33,30,3
201410290UTA,RS,HOU,902.0,,33,32,1
201410290UTA,RS,HOU,916.0,,36,32,4
201410290UTA,RS,HOU,939.0,,38,32,6
201410290UTA,RS,HOU,952.0,,38,34,4
201410290UTA,RS,HOU,994.0,,39,34,5
201410290UTA,RS,HOU,994.0,,40,34,6
201410290UTA,RS,HOU,1028.0,,40,36,4
201410290UTA,RS,HOU,1062.0,,42,36,6
201410290UTA,RS,HOU,1072.0,,42,38,4
201410290UTA,RS,HOU,1185.0,,42,41,1
201410290UTA,RS,HOU,1205.0,,44,41,3
201410290UTA,RS,HOU,1219.0,T,44,44,0
201410290UTA,RS,HOU,1260.0,,46,44,2
201410290UTA,RS,HOU,1277.0,T,46,46,0
201410290UTA,RS,HOU,1277.0,LC,46,47,-1
201410290UTA,RS,HOU,1303.0,,46,50,-4
201410290UTA,RS,HOU,1322.0,,48,50,-2
201410290UTA,RS,HOU,1347.0,,49,50,-1
201410290UTA,RS,HOU,1347.0,T,50,50,0
201410290UTA,RS,HOU,1368.0,,50,52,-2
201410290UTA,RS,HOU,1393.0,,50,55,-5
201410290UTA,RS,HOU,1439.0,,50,58,-8
201410290UTA,RS,HOU,1478.0,,52,58,-6
201410290UTA,RS,HOU,1496.0,,52,60,-8
201410290UTA,RS,HOU,1536.0,,53,60,-7
201410290UTA,RS,HOU,1536.0,,54,60,-6
201410290UTA,RS,HOU,1548.0,,54,62,-8
201410290UTA,RS,HOU,1561.0,,57,62,-5
201410290UTA,RS,HOU,1609.0,,57,63,-6
201410290UTA,RS,HOU,1634.0,,57,66,-9
201410290UTA,RS,HOU,1703.0,,57,68,-11
201410290UTA,RS,HOU,1817.0,,59,68,-9
201410290UTA,RS,HOU,1870.0,,60,68,-8
201410290UTA,RS,HOU,1893.0,,60,70,-10
201410290UTA,RS,HOU,1915.0,,62,70,-8
201410290UTA,RS,HOU,1941.0,,62,71,-9
201410290UTA,RS,HOU,1941.0,,62,72,-10
201410290UTA,RS,HOU,1968.0,,62,75,-13
201410290UTA,RS,HOU,1988.0,,64,75,-11
201410290UTA,RS,HOU,2008.0,,66,75,-9
201410290UTA,RS,HOU,2078.0,,68,75,-7
201410290UTA,RS,HOU,2106.0,,70,75,-5
201410290UTA,RS,HOU,2149.0,,72,75,-3
201410290UTA,RS,HOU,2173.0,,72,77,-5
201410290UTA,RS,HOU,2210.0,,74,77,-3
201410290UTA,RS,HOU,2245.0,,74,79,-5
201410290UTA,RS,HOU,2273.0,,76,79,-3
201410290UTA,RS,HOU,2322.0,,76,80,-4
201410290UTA,RS,HOU,2322.0,,76,81,-5
201410290UTA,RS,HOU,2352.0,,76,84,-8
201410290UTA,RS,HOU,2368.0,,76,86,-10
201410290UTA,RS,HOU,2450.0,,76,89,-13
201410290UTA,RS,HOU,2514.0,,77,89,-12
201410290UTA,RS,HOU,2535.0,,77,91,-14
201410290UTA,RS,HOU,2561.0,,77,93,-16
201410290UTA,RS,HOU,2570.0,,78,93,-15
201410290UTA,RS,HOU,2570.0,,79,93,-14
201410290UTA,RS,HOU,2600.0,,81,93,-12
201410290UTA,RS,HOU,2618.0,,81,94,-13
201410290UTA,RS,HOU,2618.0,,81,95,-14
201410290UTA,RS,HOU,2634.0,,83,95,-12
201410290UTA,RS,HOU,2678.0,,83,97,-14
201410290UTA,RS,HOU,2684.0,,85,97,-12
201410290UTA,RS,HOU,2701.0,,85,100,-15
201410290UTA,RS,HOU,2735.0,,87,100,-13
