id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201510270GSW,RS,NOP,0.0,,0,0,0
201510270GSW,RS,NOP,25.0,,3,0,3
201510270GSW,RS,NOP,42.0,,3,2,1
201510270GSW,RS,NOP,64.0,,5,2,3
201510270GSW,RS,NOP,110.0,,5,4,1
201510270GSW,RS,NOP,128.0,LC,5,7,-2
201510270GSW,RS,NOP,147.0,T,7,7,0
201510270GSW,RS,NOP,167.0,LC,10,7,3
201510270GSW,RS,NOP,180.0,,10,9,1
201510270GSW,RS,NOP,255.0,LC,10,11,-1
201510270GSW,RS,NOP,271.0,LC,12,11,1
201510270GSW,RS,NOP,289.0,,14,11,3
201510270GSW,RS,NOP,304.0,,14,13,1
201510270GSW,RS,NOP,315.0,,17,13,4
201510270GSW,RS,NOP,338.0,,19,13,6
201510270GSW,RS,NOP,356.0,,19,15,4
201510270GSW,RS,NOP,370.0,,21,15,6
201510270GSW,RS,NOP,390.0,,21,18,3
201510270GSW,RS,NOP,401.0,,22,18,4
201510270GSW,RS,NOP,417.0,,25,18,7
201510270GSW,RS,NOP,433.0,,25,20,5
201510270GSW,RS,NOP,442.0,,26,20,6
201510270GSW,RS,NOP,442.0,,27,20,7
201510270GSW,RS,NOP,462.0,,29,20,9
201510270GSW,RS,NOP,483.0,,32,20,12
201510270GSW,RS,NOP,497.0,,32,21,11
201510270GSW,RS,NOP,518.0,,32,22,10
201510270GSW,RS,NOP,518.0,,32,23,9
201510270GSW,RS,NOP,555.0,,34,23,11
201510270GSW,RS,NOP,567.0,,34,24,10
201510270GSW,RS,NOP,567.0,,34,25,9
201510270GSW,RS,NOP,576.0,,36,25,11
201510270GSW,RS,NOP,576.0,,37,25,12
201510270GSW,RS,NOP,599.0,,37,27,10
201510270GSW,RS,NOP,639.0,,37,29,8
201510270GSW,RS,NOP,662.0,,37,32,5
201510270GSW,RS,NOP,675.0,,39,32,7
201510270GSW,RS,NOP,688.0,,39,33,6
201510270GSW,RS,NOP,715.0,,39,35,4
201510270GSW,RS,NOP,781.0,,39,37,2
201510270GSW,RS,NOP,817.0,T,39,39,0
201510270GSW,RS,NOP,830.0,,40,39,1
201510270GSW,RS,NOP,830.0,,41,39,2
201510270GSW,RS,NOP,866.0,,43,39,4
201510270GSW,RS,NOP,970.0,,43,41,2
201510270GSW,RS,NOP,989.0,T,43,43,0
201510270GSW,RS,NOP,989.0,LC,43,44,-1
201510270GSW,RS,NOP,1045.0,LC,45,44,1
201510270GSW,RS,NOP,1105.0,,48,44,4
201510270GSW,RS,NOP,1146.0,,50,44,6
201510270GSW,RS,NOP,1146.0,,51,44,7
201510270GSW,RS,NOP,1171.0,,53,44,9
201510270GSW,RS,NOP,1213.0,,55,44,11
201510270GSW,RS,NOP,1290.0,,55,47,8
201510270GSW,RS,NOP,1316.0,,57,47,10
201510270GSW,RS,NOP,1382.0,,57,49,8
201510270GSW,RS,NOP,1439.0,,59,49,10
201510270GSW,RS,NOP,1457.0,,61,49,12
201510270GSW,RS,NOP,1490.0,,63,49,14
201510270GSW,RS,NOP,1512.0,,64,49,15
201510270GSW,RS,NOP,1512.0,,65,49,16
201510270GSW,RS,NOP,1553.0,,67,49,18
201510270GSW,RS,NOP,1571.0,,67,51,16
201510270GSW,RS,NOP,1594.0,,67,52,15
201510270GSW,RS,NOP,1594.0,,67,53,14
201510270GSW,RS,NOP,1621.0,,67,55,12
201510270GSW,RS,NOP,1634.0,,69,55,14
201510270GSW,RS,NOP,1651.0,,70,55,15
201510270GSW,RS,NOP,1651.0,,71,55,16
201510270GSW,RS,NOP,1689.0,,71,58,13
201510270GSW,RS,NOP,1705.0,,73,58,15
201510270GSW,RS,NOP,1714.0,,73,59,14
201510270GSW,RS,NOP,1732.0,,73,62,11
201510270GSW,RS,NOP,1745.0,,75,62,13
201510270GSW,RS,NOP,1777.0,,77,62,15
201510270GSW,RS,NOP,1803.0,,77,64,13
201510270GSW,RS,NOP,1812.0,,78,64,14
201510270GSW,RS,NOP,1812.0,,79,64,15
201510270GSW,RS,NOP,1855.0,,79,66,13
201510270GSW,RS,NOP,1874.0,,80,66,14
201510270GSW,RS,NOP,1874.0,,81,66,15
201510270GSW,RS,NOP,1874.0,,82,66,16
201510270GSW,RS,NOP,1900.0,,82,67,15
201510270GSW,RS,NOP,1900.0,,82,68,14
201510270GSW,RS,NOP,1957.0,,85,68,17
201510270GSW,RS,NOP,1972.0,,85,69,16
201510270GSW,RS,NOP,1972.0,,85,70,15
201510270GSW,RS,NOP,2001.0,,87,70,17
201510270GSW,RS,NOP,2043.0,,90,70,20
