id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201510280ORL,RS,WAS,0.0,,0,0,0
201510280ORL,RS,WAS,62.0,,2,0,2
201510280ORL,RS,WAS,144.0,LC,2,3,-1
201510280ORL,RS,WAS,165.0,T,3,3,0
201510280ORL,RS,WAS,189.0,,3,6,-3
201510280ORL,RS,WAS,218.0,,3,8,-5
201510280ORL,RS,WAS,242.0,,3,9,-6
201510280ORL,RS,WAS,254.0,,5,9,-4
201510280ORL,RS,WAS,263.0,,5,11,-6
201510280ORL,RS,WAS,276.0,,7,11,-4
201510280ORL,RS,WAS,285.0,,7,13,-6
201510280ORL,RS,WAS,313.0,,7,16,-9
201510280ORL,RS,WAS,331.0,,9,16,-7
201510280ORL,RS,WAS,348.0,,9,18,-9
201510280ORL,RS,WAS,384.0,,11,18,-7
201510280ORL,RS,WAS,409.0,,13,18,-5
201510280ORL,RS,WAS,435.0,,15,18,-3
201510280ORL,RS,WAS,442.0,,15,20,-5
201510280ORL,RS,WAS,447.0,,18,20,-2
201510280ORL,RS,WAS,458.0,,18,23,-5
201510280ORL,RS,WAS,493.0,,20,23,-3
201510280ORL,RS,WAS,501.0,,20,25,-5
201510280ORL,RS,WAS,501.0,,20,26,-6
201510280ORL,RS,WAS,512.0,,22,26,-4
201510280ORL,RS,WAS,549.0,,25,26,-1
201510280ORL,RS,WAS,567.0,,25,28,-3
201510280ORL,RS,WAS,602.0,,25,29,-4
201510280ORL,RS,WAS,650.0,,25,30,-5
201510280ORL,RS,WAS,650.0,,25,31,-6
201510280ORL,RS,WAS,687.0,,27,31,-4
201510280ORL,RS,WAS,720.0,,29,31,-2
201510280ORL,RS,WAS,739.0,T,31,31,0
201510280ORL,RS,WAS,756.0,,31,33,-2
201510280ORL,RS,WAS,772.0,T,33,33,0
201510280ORL,RS,WAS,812.0,LC,35,33,2
201510280ORL,RS,WAS,874.0,,35,34,1
201510280ORL,RS,WAS,885.0,,37,34,3
201510280ORL,RS,WAS,927.0,,39,34,5
201510280ORL,RS,WAS,954.0,,39,36,3
201510280ORL,RS,WAS,1010.0,,39,38,1
201510280ORL,RS,WAS,1017.0,,41,38,3
201510280ORL,RS,WAS,1034.0,,41,40,1
