id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201610260BOS,RS,BRK,0.0,,0,0,0
201610260BOS,RS,BRK,25.0,,2,0,2
201610260BOS,RS,BRK,36.0,T,2,2,0
201610260BOS,RS,BRK,84.0,,5,2,3
201610260BOS,RS,BRK,110.0,,5,4,1
201610260BOS,RS,BRK,151.0,LC,5,6,-1
201610260BOS,RS,BRK,173.0,,5,9,-4
201610260BOS,RS,BRK,253.0,,8,9,-1
201610260BOS,RS,BRK,312.0,,8,11,-3
201610260BOS,RS,BRK,325.0,,10,11,-1
201610260BOS,RS,BRK,342.0,LC,12,11,1
201610260BOS,RS,BRK,342.0,,13,11,2
201610260BOS,RS,BRK,375.0,,15,11,4
201610260BOS,RS,BRK,393.0,,15,14,1
201610260BOS,RS,BRK,416.0,,18,14,4
201610260BOS,RS,BRK,444.0,,20,14,6
201610260BOS,RS,BRK,504.0,,22,14,8
201610260BOS,RS,BRK,522.0,,22,16,6
201610260BOS,RS,BRK,531.0,,24,16,8
201610260BOS,RS,BRK,546.0,,24,19,5
201610260BOS,RS,BRK,566.0,,27,19,8
201610260BOS,RS,BRK,583.0,,27,22,5
201610260BOS,RS,BRK,597.0,,28,22,6
201610260BOS,RS,BRK,597.0,,29,22,7
201610260BOS,RS,BRK,614.0,,29,25,4
201610260BOS,RS,BRK,637.0,,29,27,2
201610260BOS,RS,BRK,653.0,,31,27,4
201610260BOS,RS,BRK,658.0,,31,28,3
201610260BOS,RS,BRK,658.0,,31,29,2
201610260BOS,RS,BRK,672.0,,32,29,3
201610260BOS,RS,BRK,672.0,,33,29,4
201610260BOS,RS,BRK,683.0,,33,31,2
201610260BOS,RS,BRK,761.0,,35,31,4
201610260BOS,RS,BRK,800.0,,38,31,7
201610260BOS,RS,BRK,821.0,,38,34,4
201610260BOS,RS,BRK,835.0,,40,34,6
201610260BOS,RS,BRK,862.0,,41,34,7
201610260BOS,RS,BRK,862.0,,42,34,8
201610260BOS,RS,BRK,891.0,,44,34,10
201610260BOS,RS,BRK,929.0,,46,34,12
201610260BOS,RS,BRK,975.0,,46,36,10
201610260BOS,RS,BRK,991.0,,49,36,13
201610260BOS,RS,BRK,1009.0,,49,39,10
201610260BOS,RS,BRK,1021.0,,50,39,11
201610260BOS,RS,BRK,1071.0,,50,40,10
201610260BOS,RS,BRK,1071.0,,50,41,9
201610260BOS,RS,BRK,1098.0,,50,42,8
201610260BOS,RS,BRK,1110.0,,52,42,10
201610260BOS,RS,BRK,1159.0,,52,44,8
201610260BOS,RS,BRK,1179.0,,52,45,7
201610260BOS,RS,BRK,1196.0,,54,45,9
201610260BOS,RS,BRK,1255.0,,54,47,7
201610260BOS,RS,BRK,1275.0,,56,47,9
201610260BOS,RS,BRK,1286.0,,56,48,8
201610260BOS,RS,BRK,1286.0,,56,49,7
201610260BOS,RS,BRK,1318.0,,56,51,5
201610260BOS,RS,BRK,1327.0,,57,51,6
201610260BOS,RS,BRK,1327.0,,58,51,7
201610260BOS,RS,BRK,1335.0,,59,51,8
201610260BOS,RS,BRK,1335.0,,60,51,9
201610260BOS,RS,BRK,1356.0,,60,54,6
201610260BOS,RS,BRK,1366.0,,62,54,8
201610260BOS,RS,BRK,1380.0,,62,56,6
201610260BOS,RS,BRK,1387.0,,64,56,8
201610260BOS,RS,BRK,1399.0,,64,58,6
201610260BOS,RS,BRK,1481.0,,66,58,8
201610260BOS,RS,BRK,1503.0,,66,60,6
201610260BOS,RS,BRK,1585.0,,68,60,8
201610260BOS,RS,BRK,1640.0,,68,62,6
201610260BOS,RS,BRK,1657.0,,71,62,9
201610260BOS,RS,BRK,1685.0,,71,63,8
201610260BOS,RS,BRK,1691.0,,71,65,6
201610260BOS,RS,BRK,1712.0,,73,65,8
201610260BOS,RS,BRK,1725.0,,75,65,10
201610260BOS,RS,BRK,1778.0,,78,65,13
201610260BOS,RS,BRK,1809.0,,78,67,11
201610260BOS,RS,BRK,1844.0,,80,67,13
201610260BOS,RS,BRK,1864.0,,80,70,10
201610260BOS,RS,BRK,1879.0,,82,70,12
201610260BOS,RS,BRK,1907.0,,85,70,15
201610260BOS,RS,BRK,1920.0,,85,73,12
201610260BOS,RS,BRK,1936.0,,86,73,13
201610260BOS,RS,BRK,1945.0,,88,73,15
201610260BOS,RS,BRK,1993.0,,90,73,17
201610260BOS,RS,BRK,2012.0,,90,76,14
201610260BOS,RS,BRK,2064.0,,90,77,13
201610260BOS,RS,BRK,2064.0,,90,78,12
201610260BOS,RS,BRK,2074.0,,92,78,14
201610260BOS,RS,BRK,2091.0,,94,78,16
201610260BOS,RS,BRK,2100.0,,94,81,13
201610260BOS,RS,BRK,2120.0,,97,81,16
201610260BOS,RS,BRK,2181.0,,97,83,14
201610260BOS,RS,BRK,2206.0,,99,83,16
201610260BOS,RS,BRK,2245.0,,101,83,18
201610260BOS,RS,BRK,2268.0,,103,83,20
201610260BOS,RS,BRK,2303.0,,105,83,22
201610260BOS,RS,BRK,2327.0,,105,85,20
201610260BOS,RS,BRK,2347.0,,107,85,22
201610260BOS,RS,BRK,2360.0,,107,87,20
201610260BOS,RS,BRK,2381.0,,110,87,23
201610260BOS,RS,BRK,2410.0,,110,89,21
201610260BOS,RS,BRK,2424.0,,112,89,23
201610260BOS,RS,BRK,2443.0,,112,92,20
201610260BOS,RS,BRK,2478.0,,112,94,18
201610260BOS,RS,BRK,2478.0,,112,95,17
201610260BOS,RS,BRK,2493.0,,114,95,19
201610260BOS,RS,BRK,2539.0,,116,95,21
201610260BOS,RS,BRK,2552.0,,116,97,19
201610260BOS,RS,BRK,2610.0,,116,98,18
201610260BOS,RS,BRK,2610.0,,116,99,17
201610260BOS,RS,BRK,2622.0,,118,99,19
201610260BOS,RS,BRK,2633.0,,118,100,18
201610260BOS,RS,BRK,2633.0,,118,101,17
201610260BOS,RS,BRK,2663.0,,118,103,15
201610260BOS,RS,BRK,2674.0,,118,106,12
