id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201610260PHI,RS,PHI,0.0,,0,0,0
201610260PHI,RS,PHI,46.0,,0,2,-2
201610260PHI,RS,PHI,74.0,,0,5,-5
201610260PHI,RS,PHI,111.0,,2,5,-3
201610260PHI,RS,PHI,170.0,,2,6,-4
201610260PHI,RS,PHI,189.0,,2,8,-6
201610260PHI,RS,PHI,223.0,,2,10,-8
201610260PHI,RS,PHI,253.0,,3,10,-7
201610260PHI,RS,PHI,260.0,,5,10,-5
201610260PHI,RS,PHI,277.0,,5,12,-7
201610260PHI,RS,PHI,307.0,,5,14,-9
201610260PHI,RS,PHI,331.0,,5,16,-11
201610260PHI,RS,PHI,344.0,,7,16,-9
201610260PHI,RS,PHI,400.0,,7,18,-11
201610260PHI,RS,PHI,428.0,,9,18,-9
201610260PHI,RS,PHI,428.0,,10,18,-8
201610260PHI,RS,PHI,451.0,,12,18,-6
201610260PHI,RS,PHI,479.0,,14,18,-4
201610260PHI,RS,PHI,512.0,,14,19,-5
201610260PHI,RS,PHI,521.0,,15,19,-4
201610260PHI,RS,PHI,521.0,,16,19,-3
201610260PHI,RS,PHI,551.0,,18,19,-1
201610260PHI,RS,PHI,574.0,LC,21,19,2
201610260PHI,RS,PHI,596.0,,21,20,1
201610260PHI,RS,PHI,613.0,LC,21,22,-1
201610260PHI,RS,PHI,626.0,T,22,22,0
201610260PHI,RS,PHI,626.0,LC,23,22,1
201610260PHI,RS,PHI,639.0,LC,23,24,-1
201610260PHI,RS,PHI,774.0,,23,26,-3
201610260PHI,RS,PHI,786.0,,25,26,-1
201610260PHI,RS,PHI,804.0,,25,28,-3
201610260PHI,RS,PHI,832.0,,25,30,-5
201610260PHI,RS,PHI,856.0,,25,33,-8
201610260PHI,RS,PHI,889.0,,27,33,-6
201610260PHI,RS,PHI,911.0,,27,36,-9
201610260PHI,RS,PHI,933.0,,29,36,-7
201610260PHI,RS,PHI,991.0,,31,36,-5
201610260PHI,RS,PHI,1008.0,,31,39,-8
201610260PHI,RS,PHI,1023.0,,33,39,-6
201610260PHI,RS,PHI,1048.0,,35,39,-4
201610260PHI,RS,PHI,1080.0,,36,39,-3
201610260PHI,RS,PHI,1113.0,,38,39,-1
201610260PHI,RS,PHI,1130.0,,38,41,-3
201610260PHI,RS,PHI,1166.0,,40,41,-1
201610260PHI,RS,PHI,1189.0,LC,42,41,1
201610260PHI,RS,PHI,1224.0,,44,41,3
201610260PHI,RS,PHI,1239.0,,44,42,2
201610260PHI,RS,PHI,1250.0,,46,42,4
201610260PHI,RS,PHI,1280.0,,46,45,1
201610260PHI,RS,PHI,1298.0,,48,45,3
201610260PHI,RS,PHI,1337.0,,48,47,1
201610260PHI,RS,PHI,1370.0,LC,48,49,-1
201610260PHI,RS,PHI,1382.0,LC,51,49,2
201610260PHI,RS,PHI,1392.0,T,51,51,0
201610260PHI,RS,PHI,1483.0,LC,51,53,-2
201610260PHI,RS,PHI,1585.0,,51,55,-4
201610260PHI,RS,PHI,1614.0,,53,55,-2
201610260PHI,RS,PHI,1674.0,T,55,55,0
201610260PHI,RS,PHI,1761.0,,55,56,-1
201610260PHI,RS,PHI,1761.0,,55,57,-2
201610260PHI,RS,PHI,1773.0,LC,58,57,1
201610260PHI,RS,PHI,1809.0,LC,58,59,-1
201610260PHI,RS,PHI,1829.0,T,59,59,0
201610260PHI,RS,PHI,1829.0,LC,60,59,1
201610260PHI,RS,PHI,1854.0,LC,60,62,-2
201610260PHI,RS,PHI,1907.0,,60,64,-4
201610260PHI,RS,PHI,1924.0,,62,64,-2
201610260PHI,RS,PHI,1938.0,T,64,64,0
201610260PHI,RS,PHI,1995.0,,64,66,-2
201610260PHI,RS,PHI,1995.0,,64,67,-3
201610260PHI,RS,PHI,2018.0,,64,68,-4
201610260PHI,RS,PHI,2018.0,,64,69,-5
201610260PHI,RS,PHI,2030.0,,67,69,-2
201610260PHI,RS,PHI,2047.0,,67,71,-4
201610260PHI,RS,PHI,2093.0,,67,73,-6
201610260PHI,RS,PHI,2109.0,,69,73,-4
201610260PHI,RS,PHI,2124.0,,69,75,-6
201610260PHI,RS,PHI,2176.0,,70,75,-5
201610260PHI,RS,PHI,2176.0,,71,75,-4
201610260PHI,RS,PHI,2210.0,,73,75,-2
201610260PHI,RS,PHI,2223.0,,73,77,-4
201610260PHI,RS,PHI,2240.0,,75,77,-2
201610260PHI,RS,PHI,2263.0,,75,78,-3
201610260PHI,RS,PHI,2293.0,,75,79,-4
201610260PHI,RS,PHI,2293.0,,75,80,-5
201610260PHI,RS,PHI,2341.0,,76,80,-4
201610260PHI,RS,PHI,2372.0,,79,80,-1
201610260PHI,RS,PHI,2404.0,,79,82,-3
201610260PHI,RS,PHI,2437.0,,81,82,-1
201610260PHI,RS,PHI,2468.0,,81,84,-3
201610260PHI,RS,PHI,2503.0,,81,87,-6
201610260PHI,RS,PHI,2555.0,,83,87,-4
201610260PHI,RS,PHI,2579.0,,85,87,-2
201610260PHI,RS,PHI,2599.0,,85,88,-3
201610260PHI,RS,PHI,2599.0,,85,89,-4
201610260PHI,RS,PHI,2611.0,,86,89,-3
201610260PHI,RS,PHI,2611.0,,87,89,-2
201610260PHI,RS,PHI,2624.0,,87,90,-3
201610260PHI,RS,PHI,2624.0,,87,91,-4
201610260PHI,RS,PHI,2631.0,,90,91,-1
201610260PHI,RS,PHI,2674.0,,90,93,-3
201610260PHI,RS,PHI,2690.0,,92,93,-1
201610260PHI,RS,PHI,2702.0,,92,94,-2
201610260PHI,RS,PHI,2702.0,,92,95,-3
201610260PHI,RS,PHI,2716.0,,94,95,-1
201610260PHI,RS,PHI,2771.0,T,95,95,0
201610260PHI,RS,PHI,2813.0,LC,97,95,2
201610260PHI,RS,PHI,2829.0,T,97,97,0
201610260PHI,RS,PHI,2845.0,,98,97,1
201610260PHI,RS,PHI,2845.0,,99,97,2
201610260PHI,RS,PHI,2870.0,,101,97,4
201610260PHI,RS,PHI,2876.0,,102,97,5
201610260PHI,RS,PHI,2876.0,F,103,97,6
201610260PHI,RS,PHI,2880.0,,103,97,6
201610280OKC,RS,PHO,0.0,,0,0,0
201610280OKC,RS,PHO,20.0,,0,2,-2
201610280OKC,RS,PHO,62.0,,1,2,-1
201610280OKC,RS,PHO,62.0,T,2,2,0
201610280OKC,RS,PHO,106.0,,2,4,-2
201610280OKC,RS,PHO,128.0,T,4,4,0
201610280OKC,RS,PHO,151.0,,4,7,-3
201610280OKC,RS,PHO,179.0,,4,9,-5
201610280OKC,RS,PHO,198.0,,4,12,-8
201610280OKC,RS,PHO,227.0,,4,14,-10
201610280OKC,RS,PHO,238.0,,7,14,-7
201610280OKC,RS,PHO,249.0,,7,16,-9
201610280OKC,RS,PHO,274.0,,7,18,-11
201610280OKC,RS,PHO,290.0,,9,18,-9
201610280OKC,RS,PHO,306.0,,9,19,-10
201610280OKC,RS,PHO,323.0,,9,22,-13
201610280OKC,RS,PHO,371.0,,11,22,-11
201610280OKC,RS,PHO,392.0,,11,23,-12
201610280OKC,RS,PHO,410.0,,13,23,-10
201610280OKC,RS,PHO,433.0,,13,26,-13
201610280OKC,RS,PHO,462.0,,13,28,-15
201610280OKC,RS,PHO,462.0,,13,29,-16
201610280OKC,RS,PHO,477.0,,13,31,-18
201610280OKC,RS,PHO,487.0,,15,31,-16
201610280OKC,RS,PHO,503.0,,17,31,-14
201610280OKC,RS,PHO,518.0,,18,31,-13
201610280OKC,RS,PHO,518.0,,19,31,-12
201610280OKC,RS,PHO,539.0,,21,31,-10
201610280OKC,RS,PHO,575.0,,24,31,-7
201610280OKC,RS,PHO,593.0,,24,33,-9
201610280OKC,RS,PHO,648.0,,24,35,-11
201610280OKC,RS,PHO,648.0,,24,36,-12
201610280OKC,RS,PHO,661.0,,25,36,-11
201610280OKC,RS,PHO,680.0,,25,38,-13
201610280OKC,RS,PHO,709.0,,25,40,-15
201610280OKC,RS,PHO,741.0,,27,40,-13
201610280OKC,RS,PHO,791.0,,29,40,-11
201610280OKC,RS,PHO,858.0,,31,40,-9
201610280OKC,RS,PHO,872.0,,31,42,-11
201610280OKC,RS,PHO,948.0,,33,42,-9
201610280OKC,RS,PHO,975.0,,33,44,-11
201610280OKC,RS,PHO,1004.0,,33,45,-12
201610280OKC,RS,PHO,1004.0,,33,46,-13
201610280OKC,RS,PHO,1035.0,,34,46,-12
201610280OKC,RS,PHO,1053.0,,34,48,-14
201610280OKC,RS,PHO,1062.0,,36,48,-12
201610280OKC,RS,PHO,1081.0,,36,50,-14
201610280OKC,RS,PHO,1094.0,,38,50,-12
201610280OKC,RS,PHO,1124.0,,40,50,-10
201610280OKC,RS,PHO,1159.0,,40,52,-12
201610280OKC,RS,PHO,1195.0,,42,52,-10
201610280OKC,RS,PHO,1212.0,,42,53,-11
201610280OKC,RS,PHO,1223.0,,44,53,-9
201610280OKC,RS,PHO,1295.0,,46,53,-7
201610280OKC,RS,PHO,1370.0,,47,53,-6
201610280OKC,RS,PHO,1395.0,,49,53,-4
201610280OKC,RS,PHO,1459.0,,51,53,-2
201610280OKC,RS,PHO,1512.0,,51,55,-4
201610280OKC,RS,PHO,1530.0,,53,55,-2
201610280OKC,RS,PHO,1530.0,,54,55,-1
201610280OKC,RS,PHO,1565.0,,54,57,-3
201610280OKC,RS,PHO,1573.0,,55,57,-2
201610280OKC,RS,PHO,1586.0,,55,58,-3
201610280OKC,RS,PHO,1586.0,,55,59,-4
201610280OKC,RS,PHO,1597.0,,56,59,-3
201610280OKC,RS,PHO,1612.0,,58,59,-1
