id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201610250POR,RS,UTA,0.0,,0,0,0
201610250POR,RS,UTA,16.0,,0,2,-2
201610250POR,RS,UTA,33.0,LC,3,2,1
201610250POR,RS,UTA,67.0,,6,2,4
201610250POR,RS,UTA,81.0,,6,3,3
201610250POR,RS,UTA,81.0,,6,4,2
201610250POR,RS,UTA,107.0,,8,4,4
201610250POR,RS,UTA,128.0,,8,6,2
201610250POR,RS,UTA,161.0,LC,8,9,-1
201610250POR,RS,UTA,199.0,,8,10,-2
201610250POR,RS,UTA,199.0,,8,11,-3
201610250POR,RS,UTA,228.0,,8,12,-4
201610250POR,RS,UTA,228.0,,8,13,-5
201610250POR,RS,UTA,247.0,,10,13,-3
201610250POR,RS,UTA,268.0,,10,15,-5
201610250POR,RS,UTA,299.0,,10,17,-7
201610250POR,RS,UTA,316.0,,13,17,-4
201610250POR,RS,UTA,352.0,,14,17,-3
201610250POR,RS,UTA,352.0,,15,17,-2
201610250POR,RS,UTA,413.0,LC,18,17,1
201610250POR,RS,UTA,462.0,,20,17,3
201610250POR,RS,UTA,482.0,,20,19,1
201610250POR,RS,UTA,510.0,LC,20,21,-1
201610250POR,RS,UTA,535.0,LC,22,21,1
201610250POR,RS,UTA,545.0,LC,22,23,-1
201610250POR,RS,UTA,545.0,,22,24,-2
201610250POR,RS,UTA,587.0,T,24,24,0
201610250POR,RS,UTA,608.0,,24,26,-2
201610250POR,RS,UTA,655.0,T,26,26,0
201610250POR,RS,UTA,731.0,LC,28,26,2
201610250POR,RS,UTA,731.0,,29,26,3
201610250POR,RS,UTA,783.0,,30,26,4
201610250POR,RS,UTA,783.0,,31,26,5
201610250POR,RS,UTA,870.0,,31,28,3
201610250POR,RS,UTA,891.0,,34,28,6
201610250POR,RS,UTA,930.0,,37,28,9
201610250POR,RS,UTA,973.0,,39,28,11
201610250POR,RS,UTA,1037.0,,41,28,13
201610250POR,RS,UTA,1068.0,,41,30,11
201610250POR,RS,UTA,1103.0,,41,32,9
201610250POR,RS,UTA,1127.0,,41,34,7
201610250POR,RS,UTA,1145.0,,43,34,9
201610250POR,RS,UTA,1162.0,,43,37,6
201610250POR,RS,UTA,1251.0,,45,37,8
201610250POR,RS,UTA,1281.0,,45,38,7
201610250POR,RS,UTA,1303.0,,48,38,10
201610250POR,RS,UTA,1323.0,,48,40,8
201610250POR,RS,UTA,1377.0,,49,40,9
201610250POR,RS,UTA,1377.0,,50,40,10
