id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201610250GSW,RS,GSW,0.0,,0,0,0
201610250GSW,RS,GSW,49.0,,2,0,2
201610250GSW,RS,GSW,65.0,T,2,2,0
201610250GSW,RS,GSW,94.0,,4,2,2
201610250GSW,RS,GSW,114.0,,6,2,4
201610250GSW,RS,GSW,200.0,,8,2,6
201610250GSW,RS,GSW,208.0,,8,3,5
201610250GSW,RS,GSW,208.0,,8,4,4
201610250GSW,RS,GSW,221.0,,10,4,6
201610250GSW,RS,GSW,234.0,,10,7,3
201610250GSW,RS,GSW,301.0,,10,9,1
201610250GSW,RS,GSW,320.0,,11,9,2
201610250GSW,RS,GSW,320.0,,12,9,3
201610250GSW,RS,GSW,334.0,,12,11,1
201610250GSW,RS,GSW,359.0,LC,12,14,-2
201610250GSW,RS,GSW,459.0,,12,15,-3
201610250GSW,RS,GSW,459.0,,12,16,-4
201610250GSW,RS,GSW,491.0,,14,16,-2
201610250GSW,RS,GSW,515.0,T,16,16,0
201610250GSW,RS,GSW,530.0,LC,18,16,2
201610250GSW,RS,GSW,542.0,T,18,18,0
201610250GSW,RS,GSW,586.0,,21,18,3
201610250GSW,RS,GSW,613.0,,22,18,4
201610250GSW,RS,GSW,613.0,,23,18,5
201610250GSW,RS,GSW,632.0,,23,20,3
201610250GSW,RS,GSW,652.0,,25,20,5
201610250GSW,RS,GSW,711.0,,28,20,8
201610250GSW,RS,GSW,717.0,,31,20,11
201610250GSW,RS,GSW,789.0,,33,20,13
201610250GSW,RS,GSW,834.0,,33,22,11
201610250GSW,RS,GSW,848.0,,33,23,10
201610250GSW,RS,GSW,870.0,,36,23,13
201610250GSW,RS,GSW,925.0,,36,25,11
201610250GSW,RS,GSW,943.0,,37,25,12
201610250GSW,RS,GSW,943.0,,38,25,13
201610250GSW,RS,GSW,973.0,,40,25,15
201610250GSW,RS,GSW,1024.0,,41,25,16
201610250GSW,RS,GSW,1024.0,,42,25,17
201610250GSW,RS,GSW,1033.0,,42,28,14
201610250GSW,RS,GSW,1051.0,,44,28,16
201610250GSW,RS,GSW,1066.0,,44,30,14
201610250GSW,RS,GSW,1073.0,,45,30,15
201610250GSW,RS,GSW,1073.0,,46,30,16
201610250GSW,RS,GSW,1109.0,,46,32,14
201610250GSW,RS,GSW,1142.0,,46,34,12
201610250GSW,RS,GSW,1192.0,,48,34,14
201610250GSW,RS,GSW,1213.0,,50,34,16
201610250GSW,RS,GSW,1226.0,,50,36,14
201610250GSW,RS,GSW,1226.0,,50,37,13
201610250GSW,RS,GSW,1243.0,,50,40,10
201610250GSW,RS,GSW,1273.0,,50,42,8
201610250GSW,RS,GSW,1306.0,,51,42,9
201610250GSW,RS,GSW,1306.0,,52,42,10
201610250GSW,RS,GSW,1317.0,,52,44,8
201610250GSW,RS,GSW,1336.0,,55,44,11
201610250GSW,RS,GSW,1378.0,,57,44,13
201610250GSW,RS,GSW,1398.0,,59,44,15
201610250GSW,RS,GSW,1420.0,,61,44,17
201610250GSW,RS,GSW,1434.0,,61,46,15
201610250GSW,RS,GSW,1439.0,,64,46,18
201610250GSW,RS,GSW,1454.0,,64,48,16
201610250GSW,RS,GSW,1484.0,,64,50,14
201610250GSW,RS,GSW,1519.0,,64,52,12
201610250GSW,RS,GSW,1533.0,,66,52,14
201610250GSW,RS,GSW,1548.0,,66,54,12
201610250GSW,RS,GSW,1576.0,,68,54,14
201610250GSW,RS,GSW,1594.0,,68,56,12
201610250GSW,RS,GSW,1624.0,,68,58,10
201610250GSW,RS,GSW,1624.0,,69,58,11
201610250GSW,RS,GSW,1632.0,,71,58,13
201610250GSW,RS,GSW,1676.0,,73,58,15
201610250GSW,RS,GSW,1693.0,,73,61,12
201610250GSW,RS,GSW,1712.0,,75,61,14
201610250GSW,RS,GSW,1724.0,,75,64,11
201610250GSW,RS,GSW,1775.0,,78,64,14
201610250GSW,RS,GSW,1806.0,,80,64,16
201610250GSW,RS,GSW,1897.0,,81,64,17
201610250GSW,RS,GSW,1897.0,,82,64,18
201610250GSW,RS,GSW,1933.0,,83,64,19
201610250GSW,RS,GSW,1933.0,,84,64,20
201610250GSW,RS,GSW,1945.0,,84,66,18
201610250GSW,RS,GSW,1963.0,,86,66,20
201610250GSW,RS,GSW,1978.0,,86,69,17
201610250GSW,RS,GSW,1978.0,,87,69,18
201610250GSW,RS,GSW,2033.0,,87,71,16
201610250GSW,RS,GSW,2076.0,,89,71,18
201610250GSW,RS,GSW,2084.0,,89,73,16
201610250GSW,RS,GSW,2100.0,,91,73,18
201610250GSW,RS,GSW,2109.0,,91,75,16
201610250GSW,RS,GSW,2123.0,,92,75,17
201610250GSW,RS,GSW,2123.0,,93,75,18
201610250GSW,RS,GSW,2130.0,,95,75,20
201610250GSW,RS,GSW,2149.0,,97,75,22
201610250GSW,RS,GSW,2154.0,,97,77,20
201610250GSW,RS,GSW,2172.0,,100,77,23
201610250GSW,RS,GSW,2193.0,,100,79,21
201610250GSW,RS,GSW,2199.0,,102,79,23
201610250GSW,RS,GSW,2216.0,,102,81,21
201610250GSW,RS,GSW,2241.0,,104,81,23
201610250GSW,RS,GSW,2254.0,,104,82,22
201610250GSW,RS,GSW,2272.0,,107,82,25
201610250GSW,RS,GSW,2299.0,,108,82,26
201610250GSW,RS,GSW,2309.0,,109,82,27
201610250GSW,RS,GSW,2309.0,,110,82,28
201610250GSW,RS,GSW,2384.0,,110,84,26
201610250GSW,RS,GSW,2384.0,,110,85,25
201610250GSW,RS,GSW,2414.0,,110,87,23
201610250GSW,RS,GSW,2431.0,,112,87,25
201610250GSW,RS,GSW,2439.0,,112,88,24
201610250GSW,RS,GSW,2439.0,,112,89,23
201610250GSW,RS,GSW,2461.0,,115,89,26
201610250GSW,RS,GSW,2474.0,,115,91,24
201610250GSW,RS,GSW,2494.0,,117,91,26
201610250GSW,RS,GSW,2539.0,,117,93,24
201610250GSW,RS,GSW,2557.0,,120,93,27
201610250GSW,RS,GSW,2566.0,,120,94,26
201610250GSW,RS,GSW,2566.0,,120,95,25
201610250GSW,RS,GSW,2650.0,,120,97,23
201610250GSW,RS,GSW,2704.0,,120,98,22
201610250GSW,RS,GSW,2730.0,,122,98,24
201610250GSW,RS,GSW,2755.0,,122,100,22
201610250GSW,RS,GSW,2777.0,,124,100,24
201610250GSW,RS,GSW,2829.0,,127,100,27
201610250GSW,RS,GSW,2876.0,F,129,100,29
201610250GSW,RS,GSW,2880.0,,129,100,29
201610270SAC,RS,SAC,0.0,,0,0,0
201610270SAC,RS,SAC,49.0,,0,2,-2
201610270SAC,RS,SAC,76.0,,0,4,-4
201610270SAC,RS,SAC,158.0,,2,4,-2
201610270SAC,RS,SAC,190.0,,2,5,-3
