id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201710180SAS,RS,SAS,0.0,,0,0,0
201710180SAS,RS,SAS,26.0,,0,2,-2
201710180SAS,RS,SAS,51.0,LC,3,2,1
201710180SAS,RS,SAS,129.0,,5,2,3
201710180SAS,RS,SAS,152.0,,5,4,1
201710180SAS,RS,SAS,178.0,LC,5,7,-2
201710180SAS,RS,SAS,198.0,,6,7,-1
201710180SAS,RS,SAS,214.0,,6,9,-3
201710180SAS,RS,SAS,221.0,T,9,9,0
201710180SAS,RS,SAS,233.0,,9,10,-1
201710180SAS,RS,SAS,243.0,LC,12,10,2
201710180SAS,RS,SAS,284.0,LC,12,13,-1
201710180SAS,RS,SAS,308.0,,12,14,-2
201710180SAS,RS,SAS,308.0,,12,15,-3
201710180SAS,RS,SAS,325.0,,14,15,-1
201710180SAS,RS,SAS,341.0,,14,17,-3
201710180SAS,RS,SAS,360.0,,16,17,-1
201710180SAS,RS,SAS,384.0,,16,19,-3
201710180SAS,RS,SAS,399.0,,17,19,-2
201710180SAS,RS,SAS,415.0,,17,22,-5
201710180SAS,RS,SAS,439.0,,17,25,-8
201710180SAS,RS,SAS,518.0,,17,28,-11
201710180SAS,RS,SAS,540.0,,19,28,-9
201710180SAS,RS,SAS,595.0,,19,30,-11
201710180SAS,RS,SAS,610.0,,21,30,-9
201710180SAS,RS,SAS,658.0,,21,32,-11
201710180SAS,RS,SAS,675.0,,23,32,-9
201710180SAS,RS,SAS,720.0,,25,32,-7
201710180SAS,RS,SAS,844.0,,27,32,-5
201710180SAS,RS,SAS,844.0,,28,32,-4
201710180SAS,RS,SAS,876.0,,30,32,-2
201710180SAS,RS,SAS,899.0,,31,32,-1
201710180SAS,RS,SAS,899.0,T,32,32,0
201710180SAS,RS,SAS,899.0,LC,33,32,1
201710180SAS,RS,SAS,921.0,LC,33,34,-1
201710180SAS,RS,SAS,946.0,,33,36,-3
201710180SAS,RS,SAS,972.0,,34,36,-2
201710180SAS,RS,SAS,972.0,,35,36,-1
201710180SAS,RS,SAS,988.0,,35,38,-3
201710180SAS,RS,SAS,1004.0,,37,38,-1
201710180SAS,RS,SAS,1027.0,,37,40,-3
201710180SAS,RS,SAS,1096.0,,37,42,-5
201710180SAS,RS,SAS,1131.0,,37,43,-6
201710180SAS,RS,SAS,1215.0,,37,44,-7
201710180SAS,RS,SAS,1215.0,,37,45,-8
201710180SAS,RS,SAS,1243.0,,37,47,-10
201710180SAS,RS,SAS,1256.0,,39,47,-8
201710180SAS,RS,SAS,1273.0,,39,49,-10
201710180SAS,RS,SAS,1306.0,,41,49,-8
201710180SAS,RS,SAS,1334.0,,44,49,-5
201710180SAS,RS,SAS,1354.0,,44,51,-7
201710180SAS,RS,SAS,1363.0,,45,51,-6
201710180SAS,RS,SAS,1383.0,,45,53,-8
201710180SAS,RS,SAS,1396.0,,46,53,-7
201710180SAS,RS,SAS,1428.0,,49,53,-4
201710180SAS,RS,SAS,1481.0,,51,53,-2
201710180SAS,RS,SAS,1500.0,,51,55,-4
201710180SAS,RS,SAS,1517.0,,52,55,-3
201710180SAS,RS,SAS,1517.0,,53,55,-2
201710180SAS,RS,SAS,1534.0,,53,57,-4
201710180SAS,RS,SAS,1534.0,,53,58,-5
201710180SAS,RS,SAS,1585.0,,53,60,-7
201710180SAS,RS,SAS,1600.0,,53,61,-8
201710180SAS,RS,SAS,1600.0,,53,62,-9
201710180SAS,RS,SAS,1611.0,,55,62,-7
201710180SAS,RS,SAS,1642.0,,58,62,-4
201710180SAS,RS,SAS,1697.0,,58,64,-6
201710180SAS,RS,SAS,1710.0,,61,64,-3
201710180SAS,RS,SAS,1730.0,,61,66,-5
201710180SAS,RS,SAS,1753.0,,63,66,-3
201710180SAS,RS,SAS,1761.0,,63,67,-4
201710180SAS,RS,SAS,1761.0,,63,68,-5
201710180SAS,RS,SAS,1802.0,,63,70,-7
201710180SAS,RS,SAS,1827.0,,63,73,-10
201710180SAS,RS,SAS,1840.0,,65,73,-8
201710180SAS,RS,SAS,1858.0,,65,75,-10
201710180SAS,RS,SAS,1909.0,,67,75,-8
201710180SAS,RS,SAS,1909.0,,68,75,-7
201710180SAS,RS,SAS,1944.0,,68,77,-9
201710180SAS,RS,SAS,1968.0,,68,78,-10
201710180SAS,RS,SAS,1968.0,,68,79,-11
201710180SAS,RS,SAS,1980.0,,70,79,-9
