id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170NYK,RS,NYK,0.0,,0,0,0
201810170NYK,RS,NYK,111.0,,1,0,1
201810170NYK,RS,NYK,111.0,,2,0,2
201810170NYK,RS,NYK,124.0,,2,1,1
201810170NYK,RS,NYK,124.0,T,2,2,0
201810170NYK,RS,NYK,149.0,,4,2,2
201810170NYK,RS,NYK,193.0,,6,2,4
201810170NYK,RS,NYK,210.0,,8,2,6
201810170NYK,RS,NYK,232.0,,10,2,8
201810170NYK,RS,NYK,248.0,,10,5,5
201810170NYK,RS,NYK,292.0,,10,7,3
201810170NYK,RS,NYK,327.0,,10,9,1
201810170NYK,RS,NYK,349.0,LC,10,12,-2
201810170NYK,RS,NYK,435.0,,10,14,-4
201810170NYK,RS,NYK,451.0,,12,14,-2
201810170NYK,RS,NYK,502.0,T,14,14,0
201810170NYK,RS,NYK,514.0,,14,16,-2
201810170NYK,RS,NYK,550.0,,15,16,-1
201810170NYK,RS,NYK,550.0,T,16,16,0
201810170NYK,RS,NYK,574.0,LC,18,16,2
201810170NYK,RS,NYK,596.0,T,18,18,0
201810170NYK,RS,NYK,609.0,,20,18,2
201810170NYK,RS,NYK,617.0,,20,19,1
201810170NYK,RS,NYK,617.0,T,20,20,0
201810170NYK,RS,NYK,628.0,,22,20,2
201810170NYK,RS,NYK,670.0,,22,21,1
201810170NYK,RS,NYK,670.0,T,22,22,0
201810170NYK,RS,NYK,699.0,,24,22,2
201810170NYK,RS,NYK,718.0,,24,23,1
201810170NYK,RS,NYK,741.0,LC,24,25,-1
201810170NYK,RS,NYK,766.0,,24,27,-3
201810170NYK,RS,NYK,811.0,,24,29,-5
201810170NYK,RS,NYK,829.0,,25,29,-4
201810170NYK,RS,NYK,829.0,,26,29,-3
201810170NYK,RS,NYK,847.0,,26,32,-6
201810170NYK,RS,NYK,865.0,,28,32,-4
201810170NYK,RS,NYK,879.0,,28,34,-6
201810170NYK,RS,NYK,906.0,,28,36,-8
201810170NYK,RS,NYK,945.0,,28,38,-10
201810170NYK,RS,NYK,961.0,,28,40,-12
201810170NYK,RS,NYK,974.0,,31,40,-9
201810170NYK,RS,NYK,992.0,,31,43,-12
201810170NYK,RS,NYK,1016.0,,31,45,-14
201810170NYK,RS,NYK,1016.0,,31,46,-15
201810170NYK,RS,NYK,1067.0,,34,46,-12
201810170NYK,RS,NYK,1081.0,,34,48,-14
201810170NYK,RS,NYK,1106.0,,34,50,-16
201810170NYK,RS,NYK,1147.0,,36,50,-14
201810170NYK,RS,NYK,1155.0,,36,52,-16
201810170NYK,RS,NYK,1169.0,,38,52,-14
201810170NYK,RS,NYK,1177.0,,38,53,-15
201810170NYK,RS,NYK,1177.0,,38,54,-16
201810170NYK,RS,NYK,1193.0,,40,54,-14
201810170NYK,RS,NYK,1207.0,,40,57,-17
201810170NYK,RS,NYK,1237.0,,40,59,-19
201810170NYK,RS,NYK,1265.0,,40,61,-21
201810170NYK,RS,NYK,1309.0,,42,61,-19
201810170NYK,RS,NYK,1309.0,,43,61,-18
201810170NYK,RS,NYK,1327.0,,43,62,-19
201810170NYK,RS,NYK,1327.0,,43,63,-20
201810170NYK,RS,NYK,1353.0,,43,64,-21
201810170NYK,RS,NYK,1353.0,,43,65,-22
201810170NYK,RS,NYK,1371.0,,44,65,-21
201810170NYK,RS,NYK,1371.0,,45,65,-20
201810170NYK,RS,NYK,1384.0,,45,67,-22
201810170NYK,RS,NYK,1400.0,,45,70,-25
