id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170HOU,RS,NOP,0.0,,0,0,0
201810170HOU,RS,NOP,23.0,,0,3,-3
201810170HOU,RS,NOP,51.0,,0,5,-5
201810170HOU,RS,NOP,112.0,,3,5,-2
201810170HOU,RS,NOP,122.0,,3,7,-4
201810170HOU,RS,NOP,166.0,,3,9,-6
201810170HOU,RS,NOP,198.0,,4,9,-5
201810170HOU,RS,NOP,212.0,,4,11,-7
201810170HOU,RS,NOP,229.0,,6,11,-5
201810170HOU,RS,NOP,300.0,,6,14,-8
201810170HOU,RS,NOP,317.0,,8,14,-6
201810170HOU,RS,NOP,339.0,,8,16,-8
201810170HOU,RS,NOP,358.0,,10,16,-6
201810170HOU,RS,NOP,369.0,,10,18,-8
201810170HOU,RS,NOP,383.0,,12,18,-6
201810170HOU,RS,NOP,408.0,,15,18,-3
201810170HOU,RS,NOP,421.0,,15,20,-5
201810170HOU,RS,NOP,453.0,,15,22,-7
201810170HOU,RS,NOP,468.0,,18,22,-4
201810170HOU,RS,NOP,481.0,,18,24,-6
201810170HOU,RS,NOP,505.0,,18,27,-9
201810170HOU,RS,NOP,527.0,,18,29,-11
201810170HOU,RS,NOP,549.0,,21,29,-8
201810170HOU,RS,NOP,566.0,,21,31,-10
201810170HOU,RS,NOP,595.0,,24,31,-7
201810170HOU,RS,NOP,615.0,,24,33,-9
201810170HOU,RS,NOP,634.0,,26,33,-7
201810170HOU,RS,NOP,658.0,,29,33,-4
201810170HOU,RS,NOP,712.0,,29,35,-6
201810170HOU,RS,NOP,743.0,,29,38,-9
201810170HOU,RS,NOP,751.0,,31,38,-7
201810170HOU,RS,NOP,762.0,,31,40,-9
201810170HOU,RS,NOP,762.0,,31,41,-10
201810170HOU,RS,NOP,820.0,,34,41,-7
201810170HOU,RS,NOP,907.0,,34,44,-10
201810170HOU,RS,NOP,947.0,,37,44,-7
201810170HOU,RS,NOP,957.0,,37,46,-9
201810170HOU,RS,NOP,1008.0,,39,46,-7
201810170HOU,RS,NOP,1030.0,,39,48,-9
201810170HOU,RS,NOP,1074.0,,41,48,-7
201810170HOU,RS,NOP,1098.0,,43,48,-5
201810170HOU,RS,NOP,1119.0,,43,49,-6
