id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170HOU,RS,HOU,0.0,,0,0,0
201810170HOU,RS,HOU,23.0,,3,0,3
201810170HOU,RS,HOU,51.0,,5,0,5
201810170HOU,RS,HOU,112.0,,5,3,2
201810170HOU,RS,HOU,122.0,,7,3,4
201810170HOU,RS,HOU,166.0,,9,3,6
201810170HOU,RS,HOU,198.0,,9,4,5
201810170HOU,RS,HOU,212.0,,11,4,7
201810170HOU,RS,HOU,229.0,,11,6,5
201810170HOU,RS,HOU,300.0,,14,6,8
201810170HOU,RS,HOU,317.0,,14,8,6
201810170HOU,RS,HOU,339.0,,16,8,8
201810170HOU,RS,HOU,358.0,,16,10,6
201810170HOU,RS,HOU,369.0,,18,10,8
201810170HOU,RS,HOU,383.0,,18,12,6
201810170HOU,RS,HOU,408.0,,18,15,3
201810170HOU,RS,HOU,421.0,,20,15,5
201810170HOU,RS,HOU,453.0,,22,15,7
201810170HOU,RS,HOU,468.0,,22,18,4
201810170HOU,RS,HOU,481.0,,24,18,6
201810170HOU,RS,HOU,505.0,,27,18,9
201810170HOU,RS,HOU,527.0,,29,18,11
201810170HOU,RS,HOU,549.0,,29,21,8
201810170HOU,RS,HOU,566.0,,31,21,10
201810170HOU,RS,HOU,595.0,,31,24,7
201810170HOU,RS,HOU,615.0,,33,24,9
201810170HOU,RS,HOU,634.0,,33,26,7
201810170HOU,RS,HOU,658.0,,33,29,4
201810170HOU,RS,HOU,712.0,,35,29,6
201810170HOU,RS,HOU,743.0,,38,29,9
201810170HOU,RS,HOU,751.0,,38,31,7
201810170HOU,RS,HOU,762.0,,40,31,9
201810170HOU,RS,HOU,762.0,,41,31,10
201810170HOU,RS,HOU,820.0,,41,34,7
201810170HOU,RS,HOU,907.0,,44,34,10
201810170HOU,RS,HOU,947.0,,44,37,7
201810170HOU,RS,HOU,957.0,,46,37,9
201810170HOU,RS,HOU,1008.0,,46,39,7
201810170HOU,RS,HOU,1030.0,,48,39,9
201810170HOU,RS,HOU,1074.0,,48,41,7
201810170HOU,RS,HOU,1098.0,,48,43,5
201810170HOU,RS,HOU,1119.0,,49,43,6
201810170HOU,RS,HOU,1119.0,,50,43,7
201810170HOU,RS,HOU,1136.0,,50,45,5
201810170HOU,RS,HOU,1160.0,,51,45,6
201810170HOU,RS,HOU,1181.0,,53,45,8
201810170HOU,RS,HOU,1190.0,,53,47,6
201810170HOU,RS,HOU,1200.0,,55,47,8
201810170HOU,RS,HOU,1222.0,,55,48,7
201810170HOU,RS,HOU,1222.0,,55,49,6
201810170HOU,RS,HOU,1228.0,,57,49,8
201810170HOU,RS,HOU,1254.0,,59,49,10
201810170HOU,RS,HOU,1276.0,,59,50,9
201810170HOU,RS,HOU,1290.0,,61,50,11
201810170HOU,RS,HOU,1324.0,,63,50,13
201810170HOU,RS,HOU,1366.0,,64,50,14
201810170HOU,RS,HOU,1366.0,,65,50,15
201810170HOU,RS,HOU,1370.0,,65,51,14
201810170HOU,RS,HOU,1370.0,,65,52,13
201810170HOU,RS,HOU,1383.0,,66,52,14
201810170HOU,RS,HOU,1383.0,,67,52,15
201810170HOU,RS,HOU,1391.0,,67,53,14
201810170HOU,RS,HOU,1391.0,,67,54,13
201810170HOU,RS,HOU,1404.0,,69,54,15
201810170HOU,RS,HOU,1439.0,,71,54,17
201810170HOU,RS,HOU,1493.0,,73,54,19
201810170HOU,RS,HOU,1509.0,,73,57,16
201810170HOU,RS,HOU,1523.0,,76,57,19
201810170HOU,RS,HOU,1572.0,,76,59,17
201810170HOU,RS,HOU,1588.0,,78,59,19
201810170HOU,RS,HOU,1602.0,,78,62,16
201810170HOU,RS,HOU,1615.0,,81,62,19
201810170HOU,RS,HOU,1645.0,,83,62,21
201810170HOU,RS,HOU,1658.0,,83,64,19
201810170HOU,RS,HOU,1681.0,,86,64,22
201810170HOU,RS,HOU,1704.0,,86,66,20
201810170HOU,RS,HOU,1726.0,,88,66,22
201810170HOU,RS,HOU,1781.0,,88,68,20
201810170HOU,RS,HOU,1792.0,,91,68,23
201810170HOU,RS,HOU,1821.0,,93,68,25
201810170HOU,RS,HOU,1855.0,,95,68,27
201810170HOU,RS,HOU,1897.0,,96,68,28
201810170HOU,RS,HOU,1897.0,,97,68,29
201810170HOU,RS,HOU,1930.0,,97,70,27
201810170HOU,RS,HOU,1965.0,,97,73,24
201810170HOU,RS,HOU,2035.0,,97,74,23
201810170HOU,RS,HOU,2078.0,,100,74,26
201810170HOU,RS,HOU,2087.0,,100,76,24
201810170HOU,RS,HOU,2105.0,,100,77,23
201810170HOU,RS,HOU,2105.0,,100,78,22
201810170HOU,RS,HOU,2122.0,,100,79,21
201810170HOU,RS,HOU,2122.0,,100,80,20
201810170HOU,RS,HOU,2130.0,,100,82,18
201810170HOU,RS,HOU,2153.0,,101,82,19
201810170HOU,RS,HOU,2156.0,,101,83,18
201810170HOU,RS,HOU,2156.0,,101,84,17
201810170HOU,RS,HOU,2196.0,,101,86,15
201810170HOU,RS,HOU,2270.0,,103,86,17
201810170HOU,RS,HOU,2304.0,,105,86,19
201810170HOU,RS,HOU,2323.0,,107,86,21
201810170HOU,RS,HOU,2331.0,,107,88,19
201810170HOU,RS,HOU,2331.0,,107,89,18
201810170HOU,RS,HOU,2370.0,,107,91,16
201810170HOU,RS,HOU,2400.0,,108,91,17
201810170HOU,RS,HOU,2400.0,,109,91,18
201810170HOU,RS,HOU,2421.0,,111,91,20
201810170HOU,RS,HOU,2442.0,,111,92,19
201810170HOU,RS,HOU,2478.0,,113,92,21
201810170HOU,RS,HOU,2502.0,,113,95,18
201810170HOU,RS,HOU,2515.0,,115,95,20
201810170HOU,RS,HOU,2548.0,,115,98,17
201810170HOU,RS,HOU,2569.0,,117,98,19
201810170HOU,RS,HOU,2625.0,,117,99,18
201810170HOU,RS,HOU,2640.0,,119,99,20
201810170HOU,RS,HOU,2659.0,,121,99,22
201810170HOU,RS,HOU,2673.0,,121,102,19
201810170HOU,RS,HOU,2691.0,,122,102,20
