id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201810170PHO,RS,DAL,0.0,,0,0,0
201810170PHO,RS,DAL,44.0,,0,2,-2
201810170PHO,RS,DAL,56.0,T,2,2,0
201810170PHO,RS,DAL,56.0,LC,3,2,1
201810170PHO,RS,DAL,96.0,,5,2,3
201810170PHO,RS,DAL,131.0,,5,4,1
201810170PHO,RS,DAL,144.0,,8,4,4
201810170PHO,RS,DAL,144.0,,9,4,5
201810170PHO,RS,DAL,173.0,,11,4,7
201810170PHO,RS,DAL,188.0,,11,6,5
201810170PHO,RS,DAL,208.0,,13,6,7
201810170PHO,RS,DAL,250.0,,13,8,5
201810170PHO,RS,DAL,264.0,,13,10,3
201810170PHO,RS,DAL,294.0,,13,12,1
201810170PHO,RS,DAL,317.0,,15,12,3
201810170PHO,RS,DAL,346.0,,18,12,6
201810170PHO,RS,DAL,382.0,,20,12,8
201810170PHO,RS,DAL,397.0,,20,14,6
201810170PHO,RS,DAL,432.0,,20,16,4
201810170PHO,RS,DAL,448.0,,23,16,7
201810170PHO,RS,DAL,469.0,,24,16,8
201810170PHO,RS,DAL,484.0,,24,18,6
201810170PHO,RS,DAL,532.0,,27,18,9
201810170PHO,RS,DAL,543.0,,27,20,7
201810170PHO,RS,DAL,543.0,,27,21,6
201810170PHO,RS,DAL,590.0,,27,24,3
201810170PHO,RS,DAL,609.0,,29,24,5
201810170PHO,RS,DAL,632.0,,32,24,8
201810170PHO,RS,DAL,659.0,,34,24,10
201810170PHO,RS,DAL,701.0,,37,24,13
201810170PHO,RS,DAL,746.0,,37,26,11
201810170PHO,RS,DAL,779.0,,37,29,8
201810170PHO,RS,DAL,805.0,,37,30,7
201810170PHO,RS,DAL,805.0,,37,31,6
201810170PHO,RS,DAL,825.0,,39,31,8
201810170PHO,RS,DAL,869.0,,39,34,5
201810170PHO,RS,DAL,905.0,,39,36,3
201810170PHO,RS,DAL,927.0,,41,36,5
201810170PHO,RS,DAL,953.0,,43,36,7
201810170PHO,RS,DAL,969.0,,43,38,5
201810170PHO,RS,DAL,1034.0,,46,38,8
201810170PHO,RS,DAL,1066.0,,49,38,11
201810170PHO,RS,DAL,1166.0,,49,40,9
201810170PHO,RS,DAL,1264.0,,49,41,8
201810170PHO,RS,DAL,1264.0,,49,42,7
201810170PHO,RS,DAL,1296.0,,51,42,9
201810170PHO,RS,DAL,1317.0,,54,42,12
201810170PHO,RS,DAL,1333.0,,54,44,10
201810170PHO,RS,DAL,1407.0,,54,46,8
201810170PHO,RS,DAL,1426.0,,55,46,9
201810170PHO,RS,DAL,1426.0,,56,46,10
201810170PHO,RS,DAL,1450.0,,59,46,13
201810170PHO,RS,DAL,1539.0,,59,48,11
201810170PHO,RS,DAL,1556.0,,62,48,14
201810170PHO,RS,DAL,1578.0,,64,48,16
201810170PHO,RS,DAL,1602.0,,64,50,14
201810170PHO,RS,DAL,1614.0,,64,52,12
201810170PHO,RS,DAL,1656.0,,66,52,14
