id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201910230PHI,RS,BOS,0.0,,0,0,0
201910230PHI,RS,BOS,34.0,,2,0,2
201910230PHI,RS,BOS,57.0,T,2,2,0
201910230PHI,RS,BOS,125.0,LC,2,4,-2
201910230PHI,RS,BOS,160.0,T,4,4,0
201910230PHI,RS,BOS,160.0,LC,5,4,1
201910230PHI,RS,BOS,183.0,T,5,5,0
201910230PHI,RS,BOS,220.0,LC,5,7,-2
201910230PHI,RS,BOS,262.0,T,7,7,0
201910230PHI,RS,BOS,275.0,,7,9,-2
201910230PHI,RS,BOS,287.0,,7,11,-4
201910230PHI,RS,BOS,306.0,,9,11,-2
201910230PHI,RS,BOS,357.0,,10,11,-1
201910230PHI,RS,BOS,377.0,T,11,11,0
201910230PHI,RS,BOS,377.0,LC,12,11,1
201910230PHI,RS,BOS,399.0,T,12,12,0
201910230PHI,RS,BOS,399.0,LC,12,13,-1
201910230PHI,RS,BOS,456.0,,12,14,-2
201910230PHI,RS,BOS,456.0,,12,15,-3
201910230PHI,RS,BOS,468.0,,14,15,-1
201910230PHI,RS,BOS,517.0,,14,17,-3
201910230PHI,RS,BOS,543.0,,14,19,-5
201910230PHI,RS,BOS,585.0,,14,22,-8
201910230PHI,RS,BOS,612.0,,16,22,-6
201910230PHI,RS,BOS,665.0,,18,22,-4
201910230PHI,RS,BOS,708.0,,20,22,-2
201910230PHI,RS,BOS,718.0,,20,25,-5
201910230PHI,RS,BOS,761.0,,21,25,-4
201910230PHI,RS,BOS,761.0,,22,25,-3
201910230PHI,RS,BOS,785.0,,22,27,-5
201910230PHI,RS,BOS,825.0,,22,28,-6
201910230PHI,RS,BOS,839.0,,23,28,-5
201910230PHI,RS,BOS,888.0,,24,28,-4
201910230PHI,RS,BOS,888.0,,25,28,-3
201910230PHI,RS,BOS,906.0,,25,30,-5
201910230PHI,RS,BOS,917.0,,26,30,-4
201910230PHI,RS,BOS,917.0,,27,30,-3
201910230PHI,RS,BOS,930.0,,27,32,-5
201910230PHI,RS,BOS,970.0,,28,32,-4
201910230PHI,RS,BOS,970.0,,29,32,-3
201910230PHI,RS,BOS,985.0,T,32,32,0
201910230PHI,RS,BOS,1026.0,,32,35,-3
201910230PHI,RS,BOS,1053.0,,32,37,-5
201910230PHI,RS,BOS,1086.0,,33,37,-4
201910230PHI,RS,BOS,1101.0,,33,39,-6
201910230PHI,RS,BOS,1101.0,,33,40,-7
201910230PHI,RS,BOS,1141.0,,35,40,-5
201910230PHI,RS,BOS,1158.0,,35,41,-6
201910230PHI,RS,BOS,1199.0,,38,41,-3
201910230PHI,RS,BOS,1243.0,,40,41,-1
201910230PHI,RS,BOS,1260.0,,40,44,-4
201910230PHI,RS,BOS,1284.0,,42,44,-2
201910230PHI,RS,BOS,1298.0,,42,46,-4
201910230PHI,RS,BOS,1313.0,,43,46,-3
201910230PHI,RS,BOS,1329.0,,43,48,-5
201910230PHI,RS,BOS,1359.0,,45,48,-3
201910230PHI,RS,BOS,1391.0,,47,48,-1
201910230PHI,RS,BOS,1413.0,T,48,48,0
201910230PHI,RS,BOS,1413.0,LC,49,48,1
201910230PHI,RS,BOS,1457.0,,50,48,2
201910230PHI,RS,BOS,1473.0,,52,48,4
201910230PHI,RS,BOS,1500.0,,54,48,6
201910230PHI,RS,BOS,1555.0,,56,48,8
201910230PHI,RS,BOS,1590.0,,56,50,6
201910230PHI,RS,BOS,1600.0,,57,50,7
201910230PHI,RS,BOS,1600.0,,58,50,8
201910230PHI,RS,BOS,1632.0,,60,50,10
201910230PHI,RS,BOS,1668.0,,62,50,12
