id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201910220TOR,RS,NOP,0.0,,0,0,0
201910220TOR,RS,NOP,13.0,,0,2,-2
201910220TOR,RS,NOP,66.0,,1,2,-1
201910220TOR,RS,NOP,83.0,,1,4,-3
201910220TOR,RS,NOP,103.0,T,4,4,0
201910220TOR,RS,NOP,109.0,,4,7,-3
201910220TOR,RS,NOP,141.0,,4,10,-6
201910220TOR,RS,NOP,178.0,,4,13,-9
201910220TOR,RS,NOP,206.0,,4,15,-11
201910220TOR,RS,NOP,217.0,,6,15,-9
201910220TOR,RS,NOP,243.0,,6,17,-11
201910220TOR,RS,NOP,268.0,,9,17,-8
201910220TOR,RS,NOP,301.0,,12,17,-5
201910220TOR,RS,NOP,338.0,,12,19,-7
201910220TOR,RS,NOP,356.0,,14,19,-5
201910220TOR,RS,NOP,375.0,,16,19,-3
201910220TOR,RS,NOP,411.0,,18,19,-1
201910220TOR,RS,NOP,447.0,T,19,19,0
201910220TOR,RS,NOP,447.0,LC,20,19,1
201910220TOR,RS,NOP,496.0,,21,19,2
201910220TOR,RS,NOP,496.0,,22,19,3
201910220TOR,RS,NOP,518.0,,24,19,5
201910220TOR,RS,NOP,518.0,,25,19,6
201910220TOR,RS,NOP,538.0,,25,22,3
201910220TOR,RS,NOP,564.0,,25,24,1
201910220TOR,RS,NOP,585.0,LC,25,26,-1
201910220TOR,RS,NOP,634.0,T,26,26,0
201910220TOR,RS,NOP,634.0,LC,27,26,1
201910220TOR,RS,NOP,664.0,T,27,27,0
201910220TOR,RS,NOP,664.0,LC,27,28,-1
201910220TOR,RS,NOP,718.0,,27,30,-3
201910220TOR,RS,NOP,784.0,,29,30,-1
201910220TOR,RS,NOP,850.0,,29,33,-4
201910220TOR,RS,NOP,890.0,,29,36,-7
201910220TOR,RS,NOP,928.0,,31,36,-5
201910220TOR,RS,NOP,928.0,,32,36,-4
201910220TOR,RS,NOP,940.0,,32,39,-7
201910220TOR,RS,NOP,965.0,,32,41,-9
201910220TOR,RS,NOP,971.0,,33,41,-8
201910220TOR,RS,NOP,984.0,,33,44,-11
201910220TOR,RS,NOP,1009.0,,36,44,-8
201910220TOR,RS,NOP,1084.0,,36,45,-9
201910220TOR,RS,NOP,1084.0,,36,46,-10
201910220TOR,RS,NOP,1093.0,,38,46,-8
201910220TOR,RS,NOP,1124.0,,40,46,-6
201910220TOR,RS,NOP,1152.0,,41,46,-5
201910220TOR,RS,NOP,1152.0,,42,46,-4
201910220TOR,RS,NOP,1165.0,,42,49,-7
201910220TOR,RS,NOP,1176.0,,43,49,-6
201910220TOR,RS,NOP,1176.0,,44,49,-5
201910220TOR,RS,NOP,1219.0,,46,49,-3
201910220TOR,RS,NOP,1231.0,,46,51,-5
201910220TOR,RS,NOP,1231.0,,46,52,-6
201910220TOR,RS,NOP,1281.0,,48,52,-4
201910220TOR,RS,NOP,1296.0,,50,52,-2
201910220TOR,RS,NOP,1317.0,T,52,52,0
201910220TOR,RS,NOP,1329.0,,52,54,-2
201910220TOR,RS,NOP,1353.0,T,54,54,0
201910220TOR,RS,NOP,1361.0,,54,55,-1
201910220TOR,RS,NOP,1361.0,,54,56,-2
201910220TOR,RS,NOP,1385.0,,54,58,-4
201910220TOR,RS,NOP,1390.0,,55,58,-3
201910220TOR,RS,NOP,1390.0,,56,58,-2
201910220TOR,RS,NOP,1397.0,,56,61,-5
201910220TOR,RS,NOP,1463.0,,58,61,-3
201910220TOR,RS,NOP,1482.0,,58,63,-5
201910220TOR,RS,NOP,1487.0,,59,63,-4
201910220TOR,RS,NOP,1487.0,,60,63,-3
201910220TOR,RS,NOP,1503.0,,60,65,-5
201910220TOR,RS,NOP,1524.0,,63,65,-2
201910220TOR,RS,NOP,1540.0,,63,67,-4
201910220TOR,RS,NOP,1582.0,,66,67,-1
201910220TOR,RS,NOP,1597.0,,66,70,-4
201910220TOR,RS,NOP,1607.0,,69,70,-1
201910220TOR,RS,NOP,1629.0,LC,71,70,1
201910220TOR,RS,NOP,1649.0,,73,70,3
201910220TOR,RS,NOP,1721.0,T,73,73,0
201910220TOR,RS,NOP,1736.0,,75,73,2
201910220TOR,RS,NOP,1771.0,T,75,75,0
201910220TOR,RS,NOP,1771.0,LC,75,76,-1
201910220TOR,RS,NOP,1800.0,LC,77,76,1
201910220TOR,RS,NOP,1824.0,,79,76,3
201910220TOR,RS,NOP,1875.0,,79,78,1
201910220TOR,RS,NOP,1890.0,,81,78,3
201910220TOR,RS,NOP,1929.0,,82,78,4
201910220TOR,RS,NOP,1976.0,,84,78,6
201910220TOR,RS,NOP,2001.0,,85,78,7
201910220TOR,RS,NOP,2001.0,,86,78,8
201910220TOR,RS,NOP,2022.0,,86,81,5
201910220TOR,RS,NOP,2044.0,,88,81,7
201910220TOR,RS,NOP,2110.0,,88,84,4
201910220TOR,RS,NOP,2158.0,,88,85,3
201910220TOR,RS,NOP,2158.0,,88,86,2
201910220TOR,RS,NOP,2184.0,,89,86,3
201910220TOR,RS,NOP,2194.0,,89,87,2
201910220TOR,RS,NOP,2194.0,,89,88,1
201910220TOR,RS,NOP,2226.0,LC,89,90,-1
201910220TOR,RS,NOP,2250.0,,89,93,-4
201910220TOR,RS,NOP,2272.0,,91,93,-2
201910220TOR,RS,NOP,2319.0,,91,96,-5
201910220TOR,RS,NOP,2334.0,,94,96,-2
201910220TOR,RS,NOP,2370.0,,94,97,-3
201910220TOR,RS,NOP,2370.0,,94,98,-4
201910220TOR,RS,NOP,2370.0,,94,99,-5
201910220TOR,RS,NOP,2381.0,,97,99,-2
201910220TOR,RS,NOP,2449.0,LC,100,99,1
201910220TOR,RS,NOP,2491.0,,103,99,4
201910220TOR,RS,NOP,2512.0,,103,101,2
201910220TOR,RS,NOP,2535.0,T,103,103,0
201910220TOR,RS,NOP,2568.0,LC,103,105,-2
201910220TOR,RS,NOP,2568.0,,103,106,-3
201910220TOR,RS,NOP,2611.0,,103,109,-6
201910220TOR,RS,NOP,2660.0,,104,109,-5
201910220TOR,RS,NOP,2660.0,,105,109,-4
201910220TOR,RS,NOP,2682.0,,107,109,-2
201910220TOR,RS,NOP,2682.0,,108,109,-1
201910220TOR,RS,NOP,2709.0,LC,110,109,1
201910220TOR,RS,NOP,2723.0,T,110,110,0
201910220TOR,RS,NOP,2746.0,,111,110,1
201910220TOR,RS,NOP,2746.0,,112,110,2
201910220TOR,RS,NOP,2757.0,T,112,112,0
201910220TOR,RS,NOP,2792.0,LC,112,115,-3
201910220TOR,RS,NOP,2801.0,T,115,115,0
201910220TOR,RS,NOP,2821.0,,115,117,-2
201910220TOR,RS,NOP,2851.0,,116,117,-1
201910220TOR,RS,NOP,2851.0,T,117,117,0
201910220TOR,RS,NOP,2895.0,LC,119,117,2
201910220TOR,RS,NOP,2909.0,LC,119,120,-1
201910220TOR,RS,NOP,3023.0,LC,121,120,1
201910220TOR,RS,NOP,3023.0,,122,120,2
201910220TOR,RS,NOP,3037.0,T,122,122,0
201910220TOR,RS,NOP,3054.0,,123,122,1
201910220TOR,RS,NOP,3054.0,,124,122,2
201910220TOR,RS,NOP,3093.0,,127,122,5
201910220TOR,RS,NOP,3124.0,F,130,122,8
201910220TOR,RS,NOP,3180.0,,130,122,8
201910250BOS,RS,BOS,0.0,,0,0,0
201910250BOS,RS,BOS,43.0,,2,0,2
201910250BOS,RS,BOS,57.0,T,2,2,0
201910250BOS,RS,BOS,61.0,,5,2,3
201910250BOS,RS,BOS,82.0,T,5,5,0
201910250BOS,RS,BOS,111.0,LC,5,7,-2
201910250BOS,RS,BOS,116.0,,6,7,-1
201910250BOS,RS,BOS,116.0,T,7,7,0
201910250BOS,RS,BOS,154.0,,7,9,-2
201910250BOS,RS,BOS,195.0,,8,9,-1
201910250BOS,RS,BOS,217.0,LC,10,9,1
201910250BOS,RS,BOS,259.0,LC,10,11,-1
201910250BOS,RS,BOS,315.0,,10,12,-2
201910250BOS,RS,BOS,315.0,,10,13,-3
201910250BOS,RS,BOS,429.0,,12,13,-1
201910250BOS,RS,BOS,470.0,,12,15,-3
201910250BOS,RS,BOS,489.0,,14,15,-1
201910250BOS,RS,BOS,501.0,T,15,15,0
201910250BOS,RS,BOS,517.0,,15,17,-2
201910250BOS,RS,BOS,574.0,,15,19,-4
201910250BOS,RS,BOS,594.0,,18,19,-1
201910250BOS,RS,BOS,633.0,,18,22,-4
201910250BOS,RS,BOS,648.0,,21,22,-1
201910250BOS,RS,BOS,734.0,,21,24,-3
201910250BOS,RS,BOS,768.0,T,24,24,0
201910250BOS,RS,BOS,801.0,LC,26,24,2
201910250BOS,RS,BOS,873.0,,26,25,1
201910250BOS,RS,BOS,873.0,T,26,26,0
201910250BOS,RS,BOS,888.0,,28,26,2
201910250BOS,RS,BOS,903.0,,28,27,1
201910250BOS,RS,BOS,916.0,,30,27,3
201910250BOS,RS,BOS,933.0,,30,29,1
201910250BOS,RS,BOS,960.0,LC,30,31,-1
201910250BOS,RS,BOS,960.0,,30,32,-2
201910250BOS,RS,BOS,999.0,,30,34,-4
201910250BOS,RS,BOS,1007.0,,33,34,-1
201910250BOS,RS,BOS,1038.0,,33,36,-3
201910250BOS,RS,BOS,1083.0,,33,38,-5
201910250BOS,RS,BOS,1131.0,,36,38,-2
201910250BOS,RS,BOS,1172.0,T,38,38,0
201910250BOS,RS,BOS,1225.0,LC,41,38,3
201910250BOS,RS,BOS,1256.0,,44,38,6
201910250BOS,RS,BOS,1300.0,,44,40,4
201910250BOS,RS,BOS,1315.0,,45,40,5
201910250BOS,RS,BOS,1315.0,,46,40,6
201910250BOS,RS,BOS,1342.0,,46,42,4
201910250BOS,RS,BOS,1357.0,,46,43,3
201910250BOS,RS,BOS,1357.0,,46,44,2
201910250BOS,RS,BOS,1376.0,T,46,46,0
201910250BOS,RS,BOS,1411.0,LC,46,48,-2
201910250BOS,RS,BOS,1414.0,LC,49,48,1
201910250BOS,RS,BOS,1436.0,T,49,49,0
201910250BOS,RS,BOS,1436.0,LC,49,50,-1
201910250BOS,RS,BOS,1472.0,,49,53,-4
201910250BOS,RS,BOS,1491.0,,52,53,-1
201910250BOS,RS,BOS,1524.0,LC,54,53,1
201910250BOS,RS,BOS,1535.0,LC,54,55,-1
201910250BOS,RS,BOS,1575.0,T,55,55,0
201910250BOS,RS,BOS,1586.0,,55,57,-2
201910250BOS,RS,BOS,1670.0,T,57,57,0
201910250BOS,RS,BOS,1683.0,,57,59,-2
201910250BOS,RS,BOS,1730.0,LC,60,59,1
201910250BOS,RS,BOS,1751.0,LC,60,61,-1
201910250BOS,RS,BOS,1781.0,LC,62,61,1
201910250BOS,RS,BOS,1781.0,,63,61,2
201910250BOS,RS,BOS,1808.0,,66,61,5
201910250BOS,RS,BOS,1831.0,,66,64,2
201910250BOS,RS,BOS,1844.0,,69,64,5
201910250BOS,RS,BOS,1881.0,,69,66,3
201910250BOS,RS,BOS,1895.0,,71,66,5
201910250BOS,RS,BOS,1895.0,,72,66,6
201910250BOS,RS,BOS,1957.0,,72,69,3
201910250BOS,RS,BOS,1970.0,,75,69,6
201910250BOS,RS,BOS,1981.0,,75,72,3
201910250BOS,RS,BOS,2018.0,,75,73,2
201910250BOS,RS,BOS,2067.0,LC,75,76,-1
201910250BOS,RS,BOS,2089.0,LC,78,76,2
201910250BOS,RS,BOS,2112.0,,79,76,3
201910250BOS,RS,BOS,2151.0,,82,76,6
201910250BOS,RS,BOS,2217.0,,82,79,3
201910250BOS,RS,BOS,2239.0,,84,79,5
201910250BOS,RS,BOS,2248.0,,84,82,2
201910250BOS,RS,BOS,2262.0,,86,82,4
201910250BOS,RS,BOS,2293.0,,89,82,7
201910250BOS,RS,BOS,2333.0,,89,84,5
201910250BOS,RS,BOS,2362.0,,89,87,2
201910250BOS,RS,BOS,2395.0,,90,87,3
201910250BOS,RS,BOS,2395.0,,91,87,4
201910250BOS,RS,BOS,2402.0,,91,89,2
201910250BOS,RS,BOS,2416.0,,93,89,4
201910250BOS,RS,BOS,2431.0,,93,91,2
201910250BOS,RS,BOS,2445.0,,95,91,4
201910250BOS,RS,BOS,2458.0,,95,93,2
201910250BOS,RS,BOS,2475.0,,98,93,5
201910250BOS,RS,BOS,2490.0,,98,94,4
201910250BOS,RS,BOS,2490.0,,98,95,3
201910250BOS,RS,BOS,2519.0,,98,97,1
201910250BOS,RS,BOS,2537.0,LC,98,99,-1
201910250BOS,RS,BOS,2549.0,LC,100,99,1
201910250BOS,RS,BOS,2564.0,LC,100,101,-1
201910250BOS,RS,BOS,2607.0,,100,104,-4
201910250BOS,RS,BOS,2634.0,,102,104,-2
201910250BOS,RS,BOS,2659.0,T,104,104,0
201910250BOS,RS,BOS,2673.0,,104,107,-3
201910250BOS,RS,BOS,2698.0,,105,107,-2
201910250BOS,RS,BOS,2698.0,,106,107,-1
201910250BOS,RS,BOS,2711.0,,106,110,-4
201910250BOS,RS,BOS,2867.0,,106,111,-5
201910250BOS,RS,BOS,2867.0,F,106,112,-6
201910250BOS,RS,BOS,2880.0,,106,112,-6
201910260CHI,RS,CHI,0.0,,0,0,0
201910260CHI,RS,CHI,25.0,,0,2,-2
201910260CHI,RS,CHI,40.0,LC,3,2,1
201910260CHI,RS,CHI,60.0,LC,3,5,-2
201910260CHI,RS,CHI,104.0,T,5,5,0
201910260CHI,RS,CHI,162.0,LC,8,5,3
201910260CHI,RS,CHI,234.0,,8,7,1
201910260CHI,RS,CHI,263.0,,11,7,4
201910260CHI,RS,CHI,290.0,,11,9,2
201910260CHI,RS,CHI,297.0,,14,9,5
201910260CHI,RS,CHI,306.0,,14,11,3
201910260CHI,RS,CHI,340.0,,16,11,5
201910260CHI,RS,CHI,355.0,,16,14,2
201910260CHI,RS,CHI,403.0,,18,14,4
201910260CHI,RS,CHI,421.0,,18,15,3
201910260CHI,RS,CHI,462.0,,18,17,1
201910260CHI,RS,CHI,490.0,,20,17,3
201910260CHI,RS,CHI,601.0,,22,17,5
201910260CHI,RS,CHI,618.0,,24,17,7
201910260CHI,RS,CHI,660.0,,24,19,5
201910260CHI,RS,CHI,685.0,,24,20,4
201910260CHI,RS,CHI,685.0,,24,21,3
201910260CHI,RS,CHI,720.0,,24,23,1
201910260CHI,RS,CHI,755.0,LC,24,26,-2
201910260CHI,RS,CHI,779.0,,24,27,-3
201910260CHI,RS,CHI,801.0,,24,29,-5
201910260CHI,RS,CHI,836.0,,26,29,-3
201910260CHI,RS,CHI,915.0,,26,31,-5
201910260CHI,RS,CHI,946.0,,28,31,-3
201910260CHI,RS,CHI,973.0,T,31,31,0
201910260CHI,RS,CHI,994.0,,31,34,-3
201910260CHI,RS,CHI,1027.0,,31,36,-5
201910260CHI,RS,CHI,1043.0,,33,36,-3
201910260CHI,RS,CHI,1138.0,T,36,36,0
201910260CHI,RS,CHI,1182.0,LC,38,36,2
201910260CHI,RS,CHI,1203.0,,40,36,4
201910260CHI,RS,CHI,1203.0,,41,36,5
201910260CHI,RS,CHI,1281.0,,42,36,6
201910260CHI,RS,CHI,1281.0,,43,36,7
201910260CHI,RS,CHI,1300.0,,43,38,5
201910260CHI,RS,CHI,1306.0,,44,38,6
201910260CHI,RS,CHI,1306.0,,45,38,7
201910260CHI,RS,CHI,1375.0,,45,40,5
201910260CHI,RS,CHI,1392.0,,48,40,8
201910260CHI,RS,CHI,1458.0,,51,40,11
201910260CHI,RS,CHI,1477.0,,51,42,9
201910260CHI,RS,CHI,1503.0,,53,42,11
201910260CHI,RS,CHI,1530.0,,53,45,8
201910260CHI,RS,CHI,1562.0,,53,46,7
201910260CHI,RS,CHI,1605.0,,56,46,10
201910260CHI,RS,CHI,1623.0,,59,46,13
201910260CHI,RS,CHI,1693.0,,62,46,16
201910260CHI,RS,CHI,1716.0,,62,48,14
201910260CHI,RS,CHI,1736.0,,62,50,12
201910260CHI,RS,CHI,1739.0,,63,50,13
201910260CHI,RS,CHI,1739.0,,64,50,14
201910260CHI,RS,CHI,1751.0,,64,53,11
201910260CHI,RS,CHI,1777.0,,66,53,13
201910260CHI,RS,CHI,1797.0,,66,56,10
201910260CHI,RS,CHI,1814.0,,69,56,13
201910260CHI,RS,CHI,1839.0,,71,56,15
201910260CHI,RS,CHI,1854.0,,71,58,13
201910260CHI,RS,CHI,1904.0,,73,58,15
201910260CHI,RS,CHI,1934.0,,75,58,17
201910260CHI,RS,CHI,1976.0,,75,61,14
201910260CHI,RS,CHI,1990.0,,77,61,16
201910260CHI,RS,CHI,2008.0,,79,61,18
201910260CHI,RS,CHI,2042.0,,81,61,20
201910260CHI,RS,CHI,2053.0,,81,62,19
201910260CHI,RS,CHI,2064.0,,84,62,22
201910260CHI,RS,CHI,2188.0,,84,64,20
201910260CHI,RS,CHI,2240.0,,87,64,23
201910260CHI,RS,CHI,2262.0,,89,64,25
201910260CHI,RS,CHI,2272.0,,89,65,24
201910260CHI,RS,CHI,2272.0,,89,66,23
201910260CHI,RS,CHI,2329.0,,89,68,21
201910260CHI,RS,CHI,2329.0,,89,69,20
201910260CHI,RS,CHI,2357.0,,89,70,19
201910260CHI,RS,CHI,2357.0,,89,71,18
201910260CHI,RS,CHI,2370.0,,91,71,20
201910260CHI,RS,CHI,2382.0,,91,72,19
201910260CHI,RS,CHI,2403.0,,92,72,20
201910260CHI,RS,CHI,2403.0,,93,72,21
201910260CHI,RS,CHI,2426.0,,95,72,23
201910260CHI,RS,CHI,2426.0,,96,72,24
201910260CHI,RS,CHI,2439.0,,96,74,22
201910260CHI,RS,CHI,2556.0,,96,76,20
201910260CHI,RS,CHI,2606.0,,97,76,21
201910260CHI,RS,CHI,2606.0,,98,76,22
201910260CHI,RS,CHI,2623.0,,100,76,24
201910260CHI,RS,CHI,2641.0,,100,77,23
201910260CHI,RS,CHI,2641.0,,100,78,22
201910260CHI,RS,CHI,2682.0,,101,78,23
201910260CHI,RS,CHI,2682.0,,102,78,24
201910260CHI,RS,CHI,2694.0,,102,81,21
201910260CHI,RS,CHI,2778.0,,103,81,22
201910260CHI,RS,CHI,2801.0,,106,81,25
201910260CHI,RS,CHI,2855.0,,106,82,24
201910260CHI,RS,CHI,2859.0,,107,82,25
201910260CHI,RS,CHI,2859.0,,108,82,26
201910260CHI,RS,CHI,2873.0,,108,83,25
201910260CHI,RS,CHI,2873.0,F,108,84,24
201910260CHI,RS,CHI,2880.0,,108,84,24
201910280TOR,RS,ORL,0.0,,0,0,0
201910280TOR,RS,ORL,31.0,,3,0,3
201910280TOR,RS,ORL,49.0,T,3,3,0
201910280TOR,RS,ORL,67.0,,5,3,2
201910280TOR,RS,ORL,114.0,LC,5,6,-1
201910280TOR,RS,ORL,132.0,LC,7,6,1
201910280TOR,RS,ORL,146.0,LC,7,9,-2
201910280TOR,RS,ORL,158.0,LC,10,9,1
201910280TOR,RS,ORL,178.0,,12,9,3
201910280TOR,RS,ORL,178.0,,13,9,4
201910280TOR,RS,ORL,206.0,,16,9,7
201910280TOR,RS,ORL,296.0,,16,12,4
201910280TOR,RS,ORL,314.0,,18,12,6
201910280TOR,RS,ORL,354.0,,21,12,9
201910280TOR,RS,ORL,401.0,,23,12,11
201910280TOR,RS,ORL,445.0,,23,13,10
201910280TOR,RS,ORL,445.0,,23,14,9
201910280TOR,RS,ORL,458.0,,25,14,11
201910280TOR,RS,ORL,496.0,,28,14,14
201910280TOR,RS,ORL,549.0,,28,16,12
201910280TOR,RS,ORL,570.0,,28,18,10
201910280TOR,RS,ORL,595.0,,28,20,8
201910280TOR,RS,ORL,650.0,,30,20,10
201910280TOR,RS,ORL,682.0,,30,22,8
201910280TOR,RS,ORL,690.0,,31,22,9
201910280TOR,RS,ORL,811.0,,33,22,11
201910280TOR,RS,ORL,830.0,,33,24,9
201910280TOR,RS,ORL,853.0,,34,24,10
201910280TOR,RS,ORL,905.0,,35,24,11
201910280TOR,RS,ORL,905.0,,36,24,12
201910280TOR,RS,ORL,936.0,,36,27,9
201910280TOR,RS,ORL,953.0,,38,27,11
201910280TOR,RS,ORL,969.0,,38,29,9
201910280TOR,RS,ORL,984.0,,39,29,10
201910280TOR,RS,ORL,984.0,,40,29,11
201910280TOR,RS,ORL,1002.0,,40,32,8
201910280TOR,RS,ORL,1021.0,,42,32,10
201910280TOR,RS,ORL,1043.0,,42,34,8
201910280TOR,RS,ORL,1141.0,,42,35,7
201910280TOR,RS,ORL,1180.0,,42,36,6
201910280TOR,RS,ORL,1180.0,,42,37,5
201910280TOR,RS,ORL,1222.0,,43,37,6
201910280TOR,RS,ORL,1222.0,,44,37,7
201910280TOR,RS,ORL,1277.0,,44,38,6
201910280TOR,RS,ORL,1277.0,,44,39,5
201910280TOR,RS,ORL,1354.0,,45,39,6
201910280TOR,RS,ORL,1354.0,,46,39,7
201910280TOR,RS,ORL,1365.0,,46,40,6
201910280TOR,RS,ORL,1365.0,,46,41,5
201910280TOR,RS,ORL,1409.0,,46,43,3
201910280TOR,RS,ORL,1409.0,,46,44,2
201910280TOR,RS,ORL,1412.0,,48,44,4
201910280TOR,RS,ORL,1412.0,,49,44,5
201910280TOR,RS,ORL,1435.0,,49,46,3
201910280TOR,RS,ORL,1440.0,,51,46,5
201910280TOR,RS,ORL,1453.0,,53,46,7
201910280TOR,RS,ORL,1482.0,,53,48,5
201910280TOR,RS,ORL,1536.0,,55,48,7
