id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
201910230DAL,RS,DAL,0.0,,0,0,0
201910230DAL,RS,DAL,23.0,,0,2,-2
201910230DAL,RS,DAL,69.0,,0,3,-3
201910230DAL,RS,DAL,69.0,,0,4,-4
201910230DAL,RS,DAL,105.0,,2,4,-2
201910230DAL,RS,DAL,130.0,LC,5,4,1
201910230DAL,RS,DAL,156.0,,7,4,3
201910230DAL,RS,DAL,203.0,T,7,7,0
201910230DAL,RS,DAL,224.0,,9,7,2
201910230DAL,RS,DAL,265.0,,11,7,4
201910230DAL,RS,DAL,293.0,,13,7,6
201910230DAL,RS,DAL,341.0,,13,9,4
201910230DAL,RS,DAL,353.0,,14,9,5
201910230DAL,RS,DAL,353.0,,15,9,6
201910230DAL,RS,DAL,360.0,,15,10,5
201910230DAL,RS,DAL,373.0,,17,10,7
201910230DAL,RS,DAL,388.0,,17,11,6
201910230DAL,RS,DAL,388.0,,17,12,5
201910230DAL,RS,DAL,445.0,,17,14,3
201910230DAL,RS,DAL,498.0,,17,15,2
201910230DAL,RS,DAL,534.0,,20,15,5
201910230DAL,RS,DAL,564.0,,21,15,6
201910230DAL,RS,DAL,564.0,,22,15,7
201910230DAL,RS,DAL,580.0,,22,17,5
201910230DAL,RS,DAL,638.0,,22,18,4
201910230DAL,RS,DAL,638.0,,22,19,3
201910230DAL,RS,DAL,684.0,,22,20,2
201910230DAL,RS,DAL,684.0,,22,21,1
201910230DAL,RS,DAL,689.0,,25,21,4
201910230DAL,RS,DAL,706.0,,25,24,1
201910230DAL,RS,DAL,741.0,,27,24,3
201910230DAL,RS,DAL,768.0,,27,26,1
201910230DAL,RS,DAL,794.0,LC,27,28,-1
201910230DAL,RS,DAL,817.0,,27,30,-3
201910230DAL,RS,DAL,842.0,,27,32,-5
201910230DAL,RS,DAL,892.0,,27,35,-8
201910230DAL,RS,DAL,990.0,,29,35,-6
201910230DAL,RS,DAL,1010.0,,29,37,-8
201910230DAL,RS,DAL,1032.0,,29,38,-9
201910230DAL,RS,DAL,1032.0,,29,39,-10
201910230DAL,RS,DAL,1044.0,,31,39,-8
201910230DAL,RS,DAL,1056.0,,31,42,-11
201910230DAL,RS,DAL,1082.0,,31,44,-13
201910230DAL,RS,DAL,1094.0,,33,44,-11
201910230DAL,RS,DAL,1094.0,,34,44,-10
201910230DAL,RS,DAL,1108.0,,34,47,-13
201910230DAL,RS,DAL,1187.0,,35,47,-12
201910230DAL,RS,DAL,1187.0,,36,47,-11
201910230DAL,RS,DAL,1228.0,,38,47,-9
201910230DAL,RS,DAL,1257.0,,38,48,-10
201910230DAL,RS,DAL,1257.0,,38,49,-11
201910230DAL,RS,DAL,1271.0,,40,49,-9
201910230DAL,RS,DAL,1283.0,,40,52,-12
201910230DAL,RS,DAL,1300.0,,41,52,-11
201910230DAL,RS,DAL,1300.0,,42,52,-10
201910230DAL,RS,DAL,1328.0,,44,52,-8
201910230DAL,RS,DAL,1342.0,,44,54,-10
201910230DAL,RS,DAL,1363.0,,46,54,-8
201910230DAL,RS,DAL,1380.0,,46,57,-11
201910230DAL,RS,DAL,1408.0,,46,59,-13
201910230DAL,RS,DAL,1428.0,,47,59,-12
201910230DAL,RS,DAL,1428.0,,48,59,-11
201910230DAL,RS,DAL,1438.0,,48,61,-13
201910230DAL,RS,DAL,1438.0,,48,62,-14
201910230DAL,RS,DAL,1499.0,,48,65,-17
201910230DAL,RS,DAL,1537.0,,50,65,-15
201910230DAL,RS,DAL,1556.0,,50,67,-17
201910230DAL,RS,DAL,1572.0,,50,68,-18
201910230DAL,RS,DAL,1572.0,,50,69,-19
201910230DAL,RS,DAL,1591.0,,52,69,-17
201910230DAL,RS,DAL,1591.0,,53,69,-16
201910230DAL,RS,DAL,1624.0,,55,69,-14
201910230DAL,RS,DAL,1667.0,,55,71,-16
201910230DAL,RS,DAL,1682.0,,57,71,-14
201910230DAL,RS,DAL,1743.0,,57,72,-15
201910230DAL,RS,DAL,1743.0,,57,73,-16
201910230DAL,RS,DAL,1786.0,,57,76,-19
201910230DAL,RS,DAL,1812.0,,59,76,-17
201910230DAL,RS,DAL,1853.0,,59,78,-19
201910230DAL,RS,DAL,1870.0,,62,78,-16
201910230DAL,RS,DAL,1885.0,,62,81,-19
201910230DAL,RS,DAL,1911.0,,64,81,-17
