id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202110200CHO,RS,IND,0.0,,0,0,0
202110200CHO,RS,IND,28.0,,0,2,-2
202110200CHO,RS,IND,75.0,,0,4,-4
202110200CHO,RS,IND,119.0,,0,6,-6
202110200CHO,RS,IND,129.0,,3,6,-3
202110200CHO,RS,IND,150.0,,4,6,-2
202110200CHO,RS,IND,165.0,,4,8,-4
202110200CHO,RS,IND,172.0,,6,8,-2
202110200CHO,RS,IND,205.0,T,8,8,0
202110200CHO,RS,IND,216.0,,8,10,-2
202110200CHO,RS,IND,230.0,,8,12,-4
202110200CHO,RS,IND,247.0,,8,13,-5
202110200CHO,RS,IND,247.0,,8,14,-6
202110200CHO,RS,IND,247.0,,8,15,-7
202110200CHO,RS,IND,262.0,,10,15,-5
202110200CHO,RS,IND,279.0,,10,17,-7
202110200CHO,RS,IND,299.0,,12,17,-5
202110200CHO,RS,IND,352.0,,14,17,-3
202110200CHO,RS,IND,364.0,,14,18,-4
202110200CHO,RS,IND,364.0,,14,19,-5
202110200CHO,RS,IND,389.0,,14,21,-7
202110200CHO,RS,IND,423.0,,14,23,-9
202110200CHO,RS,IND,443.0,,16,23,-7
202110200CHO,RS,IND,453.0,,19,23,-4
202110200CHO,RS,IND,474.0,,19,24,-5
202110200CHO,RS,IND,505.0,,19,27,-8
202110200CHO,RS,IND,527.0,,21,27,-6
202110200CHO,RS,IND,602.0,,23,27,-4
202110200CHO,RS,IND,618.0,,23,30,-7
202110200CHO,RS,IND,625.0,,25,30,-5
202110200CHO,RS,IND,658.0,,25,32,-7
202110200CHO,RS,IND,691.0,,25,35,-10
202110200CHO,RS,IND,712.0,,27,35,-8
202110200CHO,RS,IND,720.0,,27,38,-11
202110200CHO,RS,IND,796.0,,30,38,-8
202110200CHO,RS,IND,823.0,,33,38,-5
202110200CHO,RS,IND,857.0,,33,41,-8
202110200CHO,RS,IND,869.0,,35,41,-6
202110200CHO,RS,IND,881.0,,35,44,-9
202110200CHO,RS,IND,902.0,,38,44,-6
202110200CHO,RS,IND,925.0,,38,46,-8
202110200CHO,RS,IND,982.0,,38,49,-11
202110200CHO,RS,IND,1002.0,,38,50,-12
202110200CHO,RS,IND,1030.0,,39,50,-11
202110200CHO,RS,IND,1030.0,,40,50,-10
202110200CHO,RS,IND,1039.0,,40,51,-11
202110200CHO,RS,IND,1039.0,,40,52,-12
202110200CHO,RS,IND,1065.0,,40,55,-15
202110200CHO,RS,IND,1120.0,,40,57,-17
202110200CHO,RS,IND,1132.0,,42,57,-15
202110200CHO,RS,IND,1145.0,,44,57,-13
202110200CHO,RS,IND,1193.0,,44,60,-16
