id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202110200PHO,RS,PHO,0.0,,0,0,0
202110200PHO,RS,PHO,15.0,,2,0,2
202110200PHO,RS,PHO,41.0,T,2,2,0
202110200PHO,RS,PHO,107.0,LC,2,4,-2
202110200PHO,RS,PHO,121.0,,3,4,-1
202110200PHO,RS,PHO,144.0,LC,5,4,1
202110200PHO,RS,PHO,165.0,,7,4,3
202110200PHO,RS,PHO,177.0,,7,6,1
202110200PHO,RS,PHO,195.0,,9,6,3
202110200PHO,RS,PHO,210.0,,9,8,1
202110200PHO,RS,PHO,232.0,,11,8,3
202110200PHO,RS,PHO,239.0,,11,10,1
202110200PHO,RS,PHO,274.0,LC,11,12,-1
202110200PHO,RS,PHO,336.0,LC,13,12,1
202110200PHO,RS,PHO,363.0,LC,13,15,-2
202110200PHO,RS,PHO,385.0,T,15,15,0
202110200PHO,RS,PHO,411.0,LC,17,15,2
202110200PHO,RS,PHO,466.0,,20,15,5
202110200PHO,RS,PHO,508.0,,22,15,7
202110200PHO,RS,PHO,537.0,,24,15,9
202110200PHO,RS,PHO,587.0,,26,15,11
202110200PHO,RS,PHO,679.0,,26,17,9
202110200PHO,RS,PHO,708.0,,26,20,6
202110200PHO,RS,PHO,735.0,,26,23,3
202110200PHO,RS,PHO,782.0,,26,25,1
202110200PHO,RS,PHO,846.0,,28,25,3
202110200PHO,RS,PHO,872.0,,28,27,1
202110200PHO,RS,PHO,897.0,LC,28,30,-2
202110200PHO,RS,PHO,916.0,LC,31,30,1
202110200PHO,RS,PHO,930.0,LC,31,33,-2
202110200PHO,RS,PHO,981.0,LC,34,33,1
202110200PHO,RS,PHO,996.0,LC,34,36,-2
202110200PHO,RS,PHO,1022.0,,34,37,-3
202110200PHO,RS,PHO,1022.0,,34,38,-4
202110200PHO,RS,PHO,1041.0,,36,38,-2
202110200PHO,RS,PHO,1062.0,,36,40,-4
202110200PHO,RS,PHO,1088.0,,36,43,-7
202110200PHO,RS,PHO,1145.0,,36,44,-8
202110200PHO,RS,PHO,1145.0,,36,45,-9
202110200PHO,RS,PHO,1178.0,,36,46,-10
202110200PHO,RS,PHO,1178.0,,36,47,-11
202110200PHO,RS,PHO,1248.0,,36,49,-13
