id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202110190LAL,RS,GSW,0.0,,0,0,0
202110190LAL,RS,GSW,7.0,,2,0,2
202110190LAL,RS,GSW,23.0,T,2,2,0
202110190LAL,RS,GSW,42.0,LC,2,4,-2
202110190LAL,RS,GSW,155.0,T,4,4,0
202110190LAL,RS,GSW,170.0,,4,7,-3
202110190LAL,RS,GSW,184.0,,5,7,-2
202110190LAL,RS,GSW,184.0,,6,7,-1
202110190LAL,RS,GSW,199.0,,6,9,-3
202110190LAL,RS,GSW,220.0,,7,9,-2
202110190LAL,RS,GSW,235.0,,7,12,-5
202110190LAL,RS,GSW,250.0,,9,12,-3
202110190LAL,RS,GSW,268.0,T,12,12,0
202110190LAL,RS,GSW,289.0,LC,14,12,2
202110190LAL,RS,GSW,352.0,,17,12,5
202110190LAL,RS,GSW,372.0,,17,14,3
202110190LAL,RS,GSW,413.0,,20,14,6
202110190LAL,RS,GSW,428.0,,20,16,4
202110190LAL,RS,GSW,460.0,,21,16,5
202110190LAL,RS,GSW,473.0,,21,17,4
202110190LAL,RS,GSW,473.0,,21,18,3
202110190LAL,RS,GSW,487.0,,23,18,5
202110190LAL,RS,GSW,516.0,,25,18,7
202110190LAL,RS,GSW,534.0,,28,18,10
202110190LAL,RS,GSW,549.0,,28,21,7
202110190LAL,RS,GSW,583.0,,30,21,9
202110190LAL,RS,GSW,595.0,,30,22,8
202110190LAL,RS,GSW,595.0,,30,23,7
202110190LAL,RS,GSW,621.0,,30,24,6
202110190LAL,RS,GSW,621.0,,30,25,5
202110190LAL,RS,GSW,621.0,,30,26,4
202110190LAL,RS,GSW,652.0,,30,28,2
202110190LAL,RS,GSW,666.0,,32,28,4
202110190LAL,RS,GSW,673.0,,32,30,2
202110190LAL,RS,GSW,685.0,,34,30,4
202110190LAL,RS,GSW,693.0,,34,32,2
202110190LAL,RS,GSW,760.0,,36,32,4
202110190LAL,RS,GSW,794.0,,36,34,2
202110190LAL,RS,GSW,816.0,,38,34,4
202110190LAL,RS,GSW,854.0,,39,34,5
202110190LAL,RS,GSW,854.0,,40,34,6
202110190LAL,RS,GSW,868.0,,40,37,3
202110190LAL,RS,GSW,889.0,,40,39,1
202110190LAL,RS,GSW,939.0,,41,39,2
202110190LAL,RS,GSW,971.0,,41,40,1
202110190LAL,RS,GSW,971.0,T,41,41,0
202110190LAL,RS,GSW,1008.0,,43,41,2
202110190LAL,RS,GSW,1048.0,,46,41,5
202110190LAL,RS,GSW,1122.0,,46,43,3
202110190LAL,RS,GSW,1163.0,,48,43,5
202110190LAL,RS,GSW,1226.0,,50,43,7
202110190LAL,RS,GSW,1235.0,,50,45,5
202110190LAL,RS,GSW,1253.0,,50,47,3
202110190LAL,RS,GSW,1278.0,,50,49,1
202110190LAL,RS,GSW,1302.0,,52,49,3
202110190LAL,RS,GSW,1317.0,,54,49,5
202110190LAL,RS,GSW,1351.0,,54,51,3
202110190LAL,RS,GSW,1379.0,,56,51,5
202110190LAL,RS,GSW,1391.0,,56,53,3
202110190LAL,RS,GSW,1418.0,,59,53,6
202110190LAL,RS,GSW,1476.0,,59,54,5
202110190LAL,RS,GSW,1493.0,,61,54,7
202110190LAL,RS,GSW,1537.0,,61,55,6
202110190LAL,RS,GSW,1537.0,,61,56,5
202110190LAL,RS,GSW,1564.0,,61,58,3
202110190LAL,RS,GSW,1581.0,T,61,61,0
202110190LAL,RS,GSW,1640.0,,64,61,3
202110190LAL,RS,GSW,1667.0,,66,61,5
202110190LAL,RS,GSW,1689.0,,68,61,7
202110190LAL,RS,GSW,1734.0,,68,62,6
202110190LAL,RS,GSW,1740.0,,70,62,8
202110190LAL,RS,GSW,1757.0,,70,65,5
202110190LAL,RS,GSW,1771.0,,70,66,4
202110190LAL,RS,GSW,1777.0,,72,66,6
202110190LAL,RS,GSW,1808.0,,72,69,3
202110190LAL,RS,GSW,1825.0,,74,69,5
202110190LAL,RS,GSW,1846.0,,77,69,8
202110190LAL,RS,GSW,1884.0,,77,72,5
202110190LAL,RS,GSW,1950.0,,80,72,8
202110190LAL,RS,GSW,1966.0,,80,74,6
202110190LAL,RS,GSW,1985.0,,82,74,8
202110190LAL,RS,GSW,2005.0,,84,74,10
202110190LAL,RS,GSW,2017.0,,84,76,8
202110190LAL,RS,GSW,2076.0,,85,76,9
202110190LAL,RS,GSW,2090.0,,85,78,7
202110190LAL,RS,GSW,2124.0,,85,80,5
202110190LAL,RS,GSW,2153.0,,85,81,4
202110190LAL,RS,GSW,2153.0,,85,82,3
202110190LAL,RS,GSW,2153.0,,85,83,2
202110190LAL,RS,GSW,2197.0,LC,85,86,-1
202110190LAL,RS,GSW,2259.0,LC,87,86,1
202110190LAL,RS,GSW,2282.0,LC,87,89,-2
202110190LAL,RS,GSW,2303.0,LC,90,89,1
202110190LAL,RS,GSW,2323.0,LC,90,91,-1
202110190LAL,RS,GSW,2342.0,,90,94,-4
202110190LAL,RS,GSW,2372.0,,90,96,-6
202110190LAL,RS,GSW,2386.0,,90,98,-8
202110190LAL,RS,GSW,2404.0,,92,98,-6
202110190LAL,RS,GSW,2431.0,,92,100,-8
202110190LAL,RS,GSW,2447.0,,93,100,-7
202110190LAL,RS,GSW,2461.0,,96,100,-4
202110190LAL,RS,GSW,2495.0,,98,100,-2
202110190LAL,RS,GSW,2546.0,,98,103,-5
202110190LAL,RS,GSW,2575.0,,101,103,-2
202110190LAL,RS,GSW,2587.0,,101,106,-5
202110190LAL,RS,GSW,2611.0,,101,108,-7
202110190LAL,RS,GSW,2631.0,,101,109,-8
202110190LAL,RS,GSW,2631.0,,101,110,-9
202110190LAL,RS,GSW,2654.0,,103,110,-7
202110190LAL,RS,GSW,2676.0,,103,112,-9
202110190LAL,RS,GSW,2724.0,,103,115,-12
202110190LAL,RS,GSW,2767.0,,106,115,-9
202110190LAL,RS,GSW,2838.0,,106,116,-10
202110190LAL,RS,GSW,2838.0,,106,117,-11
202110190LAL,RS,GSW,2852.0,,109,117,-8
202110190LAL,RS,GSW,2855.0,,109,118,-9
202110190LAL,RS,GSW,2855.0,,109,119,-10
202110190LAL,RS,GSW,2862.0,,111,119,-8
202110190LAL,RS,GSW,2869.0,,111,120,-9
202110190LAL,RS,GSW,2869.0,,111,121,-10
202110190LAL,RS,GSW,2873.0,F,114,121,-7
202110190LAL,RS,GSW,2880.0,,114,121,-7
202110220LAL,RS,PHO,0.0,,0,0,0
202110220LAL,RS,PHO,69.0,,0,2,-2
202110220LAL,RS,PHO,90.0,,0,5,-5
202110220LAL,RS,PHO,110.0,,2,5,-3
202110220LAL,RS,PHO,127.0,,2,7,-5
202110220LAL,RS,PHO,161.0,,4,7,-3
202110220LAL,RS,PHO,176.0,,4,9,-5
202110220LAL,RS,PHO,196.0,,7,9,-2
202110220LAL,RS,PHO,210.0,,7,11,-4
202110220LAL,RS,PHO,222.0,,8,11,-3
202110220LAL,RS,PHO,247.0,,9,11,-2
202110220LAL,RS,PHO,273.0,T,11,11,0
202110220LAL,RS,PHO,273.0,LC,12,11,1
202110220LAL,RS,PHO,291.0,LC,12,13,-1
202110220LAL,RS,PHO,312.0,LC,15,13,2
202110220LAL,RS,PHO,331.0,T,15,15,0
202110220LAL,RS,PHO,355.0,,17,15,2
202110220LAL,RS,PHO,379.0,,20,15,5
202110220LAL,RS,PHO,455.0,,21,15,6
202110220LAL,RS,PHO,531.0,,21,17,4
202110220LAL,RS,PHO,542.0,,24,17,7
202110220LAL,RS,PHO,556.0,,24,20,4
202110220LAL,RS,PHO,577.0,,26,20,6
202110220LAL,RS,PHO,651.0,,26,21,5
202110220LAL,RS,PHO,671.0,,26,23,3
202110220LAL,RS,PHO,764.0,,26,24,2
202110220LAL,RS,PHO,764.0,,26,25,1
202110220LAL,RS,PHO,764.0,T,26,26,0
202110220LAL,RS,PHO,778.0,,29,26,3
202110220LAL,RS,PHO,805.0,,29,27,2
202110220LAL,RS,PHO,805.0,,29,28,1
202110220LAL,RS,PHO,832.0,,31,28,3
202110220LAL,RS,PHO,836.0,,31,30,1
202110220LAL,RS,PHO,902.0,,33,30,3
202110220LAL,RS,PHO,921.0,,33,31,2
202110220LAL,RS,PHO,921.0,,33,32,1
202110220LAL,RS,PHO,944.0,LC,33,34,-1
202110220LAL,RS,PHO,948.0,,33,35,-2
202110220LAL,RS,PHO,964.0,LC,36,35,1
202110220LAL,RS,PHO,977.0,T,36,36,0
202110220LAL,RS,PHO,977.0,LC,36,37,-1
202110220LAL,RS,PHO,1000.0,,36,40,-4
202110220LAL,RS,PHO,1023.0,,37,40,-3
202110220LAL,RS,PHO,1023.0,,38,40,-2
202110220LAL,RS,PHO,1045.0,,38,42,-4
202110220LAL,RS,PHO,1075.0,,38,44,-6
202110220LAL,RS,PHO,1142.0,,38,47,-9
202110220LAL,RS,PHO,1182.0,,38,49,-11
202110220LAL,RS,PHO,1245.0,,41,49,-8
202110220LAL,RS,PHO,1291.0,,41,51,-10
202110220LAL,RS,PHO,1335.0,,44,51,-7
202110220LAL,RS,PHO,1354.0,,44,53,-9
202110220LAL,RS,PHO,1372.0,,44,55,-11
202110220LAL,RS,PHO,1397.0,,44,57,-13
202110220LAL,RS,PHO,1453.0,,44,59,-15
202110220LAL,RS,PHO,1477.0,,44,61,-17
202110220LAL,RS,PHO,1486.0,,45,61,-16
202110220LAL,RS,PHO,1553.0,,48,61,-13
202110220LAL,RS,PHO,1596.0,,48,63,-15
202110220LAL,RS,PHO,1610.0,,50,63,-13
202110220LAL,RS,PHO,1630.0,,50,65,-15
202110220LAL,RS,PHO,1695.0,,50,68,-18
202110220LAL,RS,PHO,1722.0,,50,70,-20
202110220LAL,RS,PHO,1729.0,,51,70,-19
202110220LAL,RS,PHO,1762.0,,53,70,-17
202110220LAL,RS,PHO,1776.0,,53,72,-19
202110220LAL,RS,PHO,1805.0,,53,74,-21
202110220LAL,RS,PHO,1805.0,,53,75,-22
202110220LAL,RS,PHO,1805.0,,53,76,-23
202110220LAL,RS,PHO,1810.0,,54,76,-22
202110220LAL,RS,PHO,1810.0,,55,76,-21
202110220LAL,RS,PHO,1824.0,,55,78,-23
202110220LAL,RS,PHO,1848.0,,55,80,-25
202110220LAL,RS,PHO,1910.0,,55,82,-27
202110220LAL,RS,PHO,1948.0,,55,84,-29
202110220LAL,RS,PHO,1987.0,,55,87,-32
202110220LAL,RS,PHO,2027.0,,56,87,-31
202110220LAL,RS,PHO,2027.0,,57,87,-30
202110220LAL,RS,PHO,2036.0,,57,89,-32
202110220LAL,RS,PHO,2063.0,,59,89,-30
202110220LAL,RS,PHO,2083.0,,60,89,-29
202110220LAL,RS,PHO,2083.0,,61,89,-28
202110220LAL,RS,PHO,2097.0,,61,90,-29
202110220LAL,RS,PHO,2097.0,,61,91,-30
202110220LAL,RS,PHO,2102.0,,63,91,-28
202110220LAL,RS,PHO,2110.0,,63,94,-31
202110220LAL,RS,PHO,2136.0,,65,94,-29
202110220LAL,RS,PHO,2159.0,,66,94,-28
202110220LAL,RS,PHO,2159.0,,67,94,-27
202110220LAL,RS,PHO,2176.0,,70,94,-24
202110220LAL,RS,PHO,2201.0,,70,97,-27
202110220LAL,RS,PHO,2216.0,,72,97,-25
202110220LAL,RS,PHO,2237.0,,72,98,-26
