id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202110200MEM,RS,CLE,0.0,,0,0,0
202110200MEM,RS,CLE,14.0,,0,2,-2
202110200MEM,RS,CLE,37.0,T,2,2,0
202110200MEM,RS,CLE,52.0,,2,4,-2
202110200MEM,RS,CLE,99.0,,2,6,-4
202110200MEM,RS,CLE,117.0,,5,6,-1
202110200MEM,RS,CLE,142.0,LC,7,6,1
202110200MEM,RS,CLE,191.0,,9,6,3
202110200MEM,RS,CLE,207.0,,9,8,1
202110200MEM,RS,CLE,214.0,,11,8,3
202110200MEM,RS,CLE,229.0,,11,10,1
202110200MEM,RS,CLE,251.0,,13,10,3
202110200MEM,RS,CLE,285.0,,13,12,1
202110200MEM,RS,CLE,300.0,,15,12,3
202110200MEM,RS,CLE,360.0,,17,12,5
202110200MEM,RS,CLE,372.0,,17,14,3
202110200MEM,RS,CLE,411.0,,19,14,5
202110200MEM,RS,CLE,427.0,,19,17,2
202110200MEM,RS,CLE,440.0,,21,17,4
202110200MEM,RS,CLE,459.0,,21,19,2
202110200MEM,RS,CLE,479.0,,23,19,4
202110200MEM,RS,CLE,487.0,,23,22,1
202110200MEM,RS,CLE,536.0,,25,22,3
202110200MEM,RS,CLE,546.0,,25,24,1
202110200MEM,RS,CLE,586.0,LC,25,26,-1
202110200MEM,RS,CLE,603.0,LC,28,26,2
202110200MEM,RS,CLE,648.0,LC,28,29,-1
202110200MEM,RS,CLE,660.0,LC,30,29,1
202110200MEM,RS,CLE,669.0,LC,30,32,-2
202110200MEM,RS,CLE,718.0,T,32,32,0
202110200MEM,RS,CLE,730.0,LC,35,32,3
202110200MEM,RS,CLE,747.0,,35,34,1
202110200MEM,RS,CLE,774.0,LC,35,36,-1
202110200MEM,RS,CLE,795.0,,35,38,-3
202110200MEM,RS,CLE,818.0,T,38,38,0
202110200MEM,RS,CLE,863.0,LC,41,38,3
202110200MEM,RS,CLE,883.0,,44,38,6
202110200MEM,RS,CLE,917.0,,47,38,9
202110200MEM,RS,CLE,953.0,,49,38,11
202110200MEM,RS,CLE,966.0,,49,40,9
202110200MEM,RS,CLE,982.0,,51,40,11
202110200MEM,RS,CLE,1006.0,,54,40,14
202110200MEM,RS,CLE,1058.0,,56,40,16
202110200MEM,RS,CLE,1071.0,,56,43,13
202110200MEM,RS,CLE,1082.0,,58,43,15
202110200MEM,RS,CLE,1098.0,,58,45,13
202110200MEM,RS,CLE,1137.0,,58,47,11
202110200MEM,RS,CLE,1137.0,,58,48,10
202110200MEM,RS,CLE,1160.0,,58,49,9
202110200MEM,RS,CLE,1160.0,,58,50,8
202110200MEM,RS,CLE,1204.0,,60,50,10
202110200MEM,RS,CLE,1223.0,,61,50,11
202110200MEM,RS,CLE,1223.0,,62,50,12
202110200MEM,RS,CLE,1249.0,,64,50,14
202110200MEM,RS,CLE,1270.0,,64,52,12
202110200MEM,RS,CLE,1303.0,,66,52,14
202110200MEM,RS,CLE,1324.0,,66,53,13
202110200MEM,RS,CLE,1339.0,,68,53,15
202110200MEM,RS,CLE,1357.0,,68,55,13
202110200MEM,RS,CLE,1380.0,,68,57,11
202110200MEM,RS,CLE,1398.0,,68,59,9
202110200MEM,RS,CLE,1405.0,,70,59,11
202110200MEM,RS,CLE,1411.0,,70,60,10
202110200MEM,RS,CLE,1411.0,,70,61,9
202110200MEM,RS,CLE,1432.0,,73,61,12
202110200MEM,RS,CLE,1503.0,,73,64,9
202110200MEM,RS,CLE,1521.0,,73,67,6
202110200MEM,RS,CLE,1545.0,,74,67,7
202110200MEM,RS,CLE,1545.0,,75,67,8
202110200MEM,RS,CLE,1559.0,,75,69,6
202110200MEM,RS,CLE,1615.0,,75,71,4
202110200MEM,RS,CLE,1666.0,,77,71,6
202110200MEM,RS,CLE,1709.0,,77,73,4
202110200MEM,RS,CLE,1752.0,,79,73,6
202110200MEM,RS,CLE,1773.0,,81,73,8
202110200MEM,RS,CLE,1787.0,,81,75,6
202110200MEM,RS,CLE,1806.0,,83,75,8
202110200MEM,RS,CLE,1822.0,,83,77,6
202110200MEM,RS,CLE,1913.0,,83,79,4
202110200MEM,RS,CLE,1913.0,,83,80,3
202110200MEM,RS,CLE,1965.0,,86,80,6
202110200MEM,RS,CLE,1984.0,,86,83,3
202110200MEM,RS,CLE,1999.0,,88,83,5
202110200MEM,RS,CLE,2019.0,,90,83,7
202110200MEM,RS,CLE,2043.0,,90,84,6
202110200MEM,RS,CLE,2043.0,,90,85,5
202110200MEM,RS,CLE,2057.0,,92,85,7
202110200MEM,RS,CLE,2085.0,,93,85,8
202110200MEM,RS,CLE,2085.0,,94,85,9
202110200MEM,RS,CLE,2092.0,,94,87,7
202110200MEM,RS,CLE,2160.0,,94,89,5
202110200MEM,RS,CLE,2160.0,,94,90,4
202110200MEM,RS,CLE,2182.0,,97,90,7
202110200MEM,RS,CLE,2206.0,,99,90,9
202110200MEM,RS,CLE,2220.0,,101,90,11
202110200MEM,RS,CLE,2261.0,,104,90,14
202110200MEM,RS,CLE,2301.0,,104,92,12
202110200MEM,RS,CLE,2313.0,,106,92,14
202110200MEM,RS,CLE,2364.0,,106,93,13
202110200MEM,RS,CLE,2389.0,,106,95,11
202110200MEM,RS,CLE,2440.0,,106,97,9
202110200MEM,RS,CLE,2460.0,,108,97,11
202110200MEM,RS,CLE,2487.0,,110,97,13
202110200MEM,RS,CLE,2506.0,,110,100,10
202110200MEM,RS,CLE,2526.0,,112,100,12
202110200MEM,RS,CLE,2541.0,,112,102,10
202110200MEM,RS,CLE,2576.0,,112,105,7
202110200MEM,RS,CLE,2591.0,,114,105,9
202110200MEM,RS,CLE,2616.0,,114,106,8
202110200MEM,RS,CLE,2616.0,,114,107,7
202110200MEM,RS,CLE,2647.0,,114,110,4
202110200MEM,RS,CLE,2675.0,,117,110,7
202110200MEM,RS,CLE,2692.0,,117,113,4
202110200MEM,RS,CLE,2727.0,,117,116,1
202110200MEM,RS,CLE,2752.0,,119,116,3
202110200MEM,RS,CLE,2767.0,,119,118,1
202110200MEM,RS,CLE,2783.0,,121,118,3
202110200MEM,RS,CLE,2802.0,,123,118,5
202110200MEM,RS,CLE,2829.0,,126,118,8
202110200MEM,RS,CLE,2837.0,,127,118,9
202110200MEM,RS,CLE,2837.0,,128,118,10
202110200MEM,RS,CLE,2843.0,,129,118,11
202110200MEM,RS,CLE,2843.0,,130,118,12
202110200MEM,RS,CLE,2861.0,,130,121,9
202110200MEM,RS,CLE,2862.0,,131,121,10
202110200MEM,RS,CLE,2862.0,F,132,121,11
202110200MEM,RS,CLE,2880.0,,132,121,11
202110230LAC,RS,LAC,0.0,,0,0,0
202110230LAC,RS,LAC,20.0,,1,0,1
202110230LAC,RS,LAC,20.0,,2,0,2
202110230LAC,RS,LAC,51.0,,5,0,5
202110230LAC,RS,LAC,68.0,,5,2,3
202110230LAC,RS,LAC,89.0,,8,2,6
202110230LAC,RS,LAC,103.0,,8,4,4
202110230LAC,RS,LAC,118.0,,10,4,6
202110230LAC,RS,LAC,133.0,,10,6,4
202110230LAC,RS,LAC,149.0,,10,9,1
202110230LAC,RS,LAC,170.0,LC,10,12,-2
202110230LAC,RS,LAC,196.0,,10,15,-5
202110230LAC,RS,LAC,211.0,,10,17,-7
202110230LAC,RS,LAC,228.0,,13,17,-4
202110230LAC,RS,LAC,257.0,,13,19,-6
202110230LAC,RS,LAC,268.0,,16,19,-3
202110230LAC,RS,LAC,319.0,,18,19,-1
202110230LAC,RS,LAC,340.0,,18,22,-4
202110230LAC,RS,LAC,359.0,,21,22,-1
202110230LAC,RS,LAC,390.0,,21,24,-3
202110230LAC,RS,LAC,433.0,,23,24,-1
