id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202110200POR,RS,POR,0.0,,0,0,0
202110200POR,RS,POR,45.0,,0,3,-3
202110200POR,RS,POR,65.0,T,3,3,0
202110200POR,RS,POR,102.0,LC,5,3,2
202110200POR,RS,POR,128.0,,7,3,4
202110200POR,RS,POR,139.0,,9,3,6
202110200POR,RS,POR,139.0,,10,3,7
202110200POR,RS,POR,202.0,,10,5,5
202110200POR,RS,POR,280.0,,13,5,8
202110200POR,RS,POR,329.0,,13,7,6
202110200POR,RS,POR,371.0,,13,8,5
202110200POR,RS,POR,371.0,,13,9,4
202110200POR,RS,POR,392.0,,15,9,6
202110200POR,RS,POR,400.0,,15,11,4
202110200POR,RS,POR,412.0,,18,11,7
202110200POR,RS,POR,420.0,,18,13,5
202110200POR,RS,POR,430.0,,20,13,7
202110200POR,RS,POR,490.0,,20,15,5
202110200POR,RS,POR,501.0,,21,15,6
202110200POR,RS,POR,525.0,,22,15,7
202110200POR,RS,POR,544.0,,22,17,5
202110200POR,RS,POR,580.0,,22,18,4
202110200POR,RS,POR,580.0,,22,19,3
202110200POR,RS,POR,602.0,,22,21,1
202110200POR,RS,POR,654.0,LC,22,23,-1
202110200POR,RS,POR,672.0,LC,24,23,1
202110200POR,RS,POR,744.0,LC,24,25,-1
202110200POR,RS,POR,756.0,T,25,25,0
202110200POR,RS,POR,756.0,LC,26,25,1
202110200POR,RS,POR,779.0,T,26,26,0
202110200POR,RS,POR,802.0,,28,26,2
202110200POR,RS,POR,802.0,,29,26,3
202110200POR,RS,POR,831.0,,31,26,5
202110200POR,RS,POR,835.0,,31,28,3
202110200POR,RS,POR,873.0,,34,28,6
202110200POR,RS,POR,974.0,,34,30,4
202110200POR,RS,POR,1002.0,,37,30,7
202110200POR,RS,POR,1022.0,,37,32,5
202110200POR,RS,POR,1050.0,,39,32,7
202110200POR,RS,POR,1068.0,,39,35,4
202110200POR,RS,POR,1098.0,,41,35,6
202110200POR,RS,POR,1152.0,,42,35,7
202110200POR,RS,POR,1152.0,,43,35,8
202110200POR,RS,POR,1164.0,,43,37,6
202110200POR,RS,POR,1174.0,,45,37,8
202110200POR,RS,POR,1183.0,,45,38,7
202110200POR,RS,POR,1183.0,,45,39,6
202110200POR,RS,POR,1220.0,,47,39,8
202110200POR,RS,POR,1241.0,,48,39,9
202110200POR,RS,POR,1241.0,,49,39,10
202110200POR,RS,POR,1265.0,,50,39,11
202110200POR,RS,POR,1277.0,,50,42,8
202110200POR,RS,POR,1294.0,,52,42,10
202110200POR,RS,POR,1294.0,,53,42,11
