id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202210190MIA,RS,MIA,0.0,,0,0,0
202210190MIA,RS,MIA,29.0,,0,2,-2
202210190MIA,RS,MIA,57.0,,0,5,-5
202210190MIA,RS,MIA,79.0,,2,5,-3
202210190MIA,RS,MIA,122.0,,2,7,-5
202210190MIA,RS,MIA,140.0,,4,7,-3
202210190MIA,RS,MIA,152.0,,4,10,-6
202210190MIA,RS,MIA,196.0,,4,11,-7
202210190MIA,RS,MIA,210.0,,4,13,-9
202210190MIA,RS,MIA,247.0,,5,13,-8
202210190MIA,RS,MIA,247.0,,6,13,-7
202210190MIA,RS,MIA,270.0,,7,13,-6
202210190MIA,RS,MIA,270.0,,8,13,-5
202210190MIA,RS,MIA,284.0,,8,16,-8
202210190MIA,RS,MIA,302.0,,10,16,-6
202210190MIA,RS,MIA,377.0,,10,18,-8
202210190MIA,RS,MIA,391.0,,12,18,-6
202210190MIA,RS,MIA,414.0,,12,21,-9
202210190MIA,RS,MIA,430.0,,14,21,-7
202210190MIA,RS,MIA,500.0,,16,21,-5
202210190MIA,RS,MIA,536.0,,19,21,-2
202210190MIA,RS,MIA,562.0,,19,23,-4
202210190MIA,RS,MIA,573.0,,21,23,-2
202210190MIA,RS,MIA,573.0,,22,23,-1
202210190MIA,RS,MIA,584.0,,22,26,-4
202210190MIA,RS,MIA,606.0,,25,26,-1
202210190MIA,RS,MIA,633.0,,25,27,-2
202210190MIA,RS,MIA,633.0,,25,28,-3
202210190MIA,RS,MIA,654.0,,25,29,-4
202210190MIA,RS,MIA,654.0,,25,30,-5
202210190MIA,RS,MIA,666.0,,28,30,-2
202210190MIA,RS,MIA,672.0,,28,33,-5
202210190MIA,RS,MIA,743.0,,28,36,-8
202210190MIA,RS,MIA,761.0,,29,36,-7
202210190MIA,RS,MIA,845.0,,29,37,-8
202210190MIA,RS,MIA,845.0,,29,38,-9
202210190MIA,RS,MIA,859.0,,32,38,-6
202210190MIA,RS,MIA,878.0,,32,40,-8
202210190MIA,RS,MIA,901.0,,33,40,-7
202210190MIA,RS,MIA,901.0,,34,40,-6
202210190MIA,RS,MIA,921.0,,34,43,-9
202210190MIA,RS,MIA,939.0,,37,43,-6
202210190MIA,RS,MIA,973.0,,37,46,-9
202210190MIA,RS,MIA,988.0,,40,46,-6
202210190MIA,RS,MIA,1009.0,,42,46,-4
202210190MIA,RS,MIA,1078.0,,42,48,-6
202210190MIA,RS,MIA,1118.0,,43,48,-5
202210190MIA,RS,MIA,1155.0,,43,50,-7
202210190MIA,RS,MIA,1169.0,,45,50,-5
202210190MIA,RS,MIA,1210.0,,45,51,-6
202210190MIA,RS,MIA,1234.0,,46,51,-5
202210190MIA,RS,MIA,1234.0,,47,51,-4
202210190MIA,RS,MIA,1255.0,,47,53,-6
202210190MIA,RS,MIA,1270.0,,50,53,-3
202210190MIA,RS,MIA,1298.0,T,53,53,0
202210190MIA,RS,MIA,1323.0,,53,54,-1
202210190MIA,RS,MIA,1323.0,,53,55,-2
202210190MIA,RS,MIA,1370.0,LC,56,55,1
202210190MIA,RS,MIA,1381.0,LC,56,57,-1
202210190MIA,RS,MIA,1396.0,LC,59,57,2
202210190MIA,RS,MIA,1424.0,T,59,59,0
202210190MIA,RS,MIA,1459.0,,61,59,2
202210190MIA,RS,MIA,1508.0,,63,59,4
202210190MIA,RS,MIA,1519.0,,63,60,3
202210190MIA,RS,MIA,1519.0,,63,61,2
202210190MIA,RS,MIA,1533.0,,65,61,4
202210190MIA,RS,MIA,1568.0,,65,64,1
202210190MIA,RS,MIA,1588.0,,67,64,3
202210190MIA,RS,MIA,1616.0,,69,64,5
202210190MIA,RS,MIA,1630.0,,69,66,3
202210190MIA,RS,MIA,1651.0,,69,68,1
202210190MIA,RS,MIA,1659.0,,71,68,3
202210190MIA,RS,MIA,1684.0,,73,68,5
202210190MIA,RS,MIA,1684.0,,74,68,6
202210190MIA,RS,MIA,1719.0,,76,68,8
202210190MIA,RS,MIA,1757.0,,79,68,11
202210190MIA,RS,MIA,1806.0,,80,68,12
202210190MIA,RS,MIA,1806.0,,81,68,13
202210190MIA,RS,MIA,1828.0,,81,70,11
202210190MIA,RS,MIA,1868.0,,81,71,10
202210190MIA,RS,MIA,1868.0,,81,72,9
202210190MIA,RS,MIA,1887.0,,83,72,11
202210190MIA,RS,MIA,1932.0,,85,72,13
202210190MIA,RS,MIA,1953.0,,85,74,11
202210190MIA,RS,MIA,1967.0,,87,74,13
202210190MIA,RS,MIA,1978.0,,87,76,11
202210190MIA,RS,MIA,2015.0,,88,76,12
202210190MIA,RS,MIA,2015.0,,89,76,13
202210190MIA,RS,MIA,2024.0,,89,77,12
202210190MIA,RS,MIA,2024.0,,89,78,11
202210190MIA,RS,MIA,2036.0,,91,78,13
202210190MIA,RS,MIA,2059.0,,93,78,15
202210190MIA,RS,MIA,2078.0,,93,80,13
202210190MIA,RS,MIA,2103.0,,93,81,12
202210190MIA,RS,MIA,2103.0,,93,82,11
202210190MIA,RS,MIA,2116.0,,94,82,12
202210190MIA,RS,MIA,2129.0,,94,84,10
202210190MIA,RS,MIA,2150.0,,96,84,12
202210190MIA,RS,MIA,2155.0,,96,86,10
202210190MIA,RS,MIA,2208.0,,96,88,8
202210190MIA,RS,MIA,2232.0,,98,88,10
202210190MIA,RS,MIA,2257.0,,98,90,8
202210190MIA,RS,MIA,2280.0,,99,90,9
202210190MIA,RS,MIA,2280.0,,100,90,10
202210190MIA,RS,MIA,2304.0,,100,92,8
202210190MIA,RS,MIA,2396.0,,100,94,6
202210190MIA,RS,MIA,2413.0,,100,95,5
202210190MIA,RS,MIA,2459.0,,102,95,7
