id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202210200LAL,RS,LAL,0.0,,0,0,0
202210200LAL,RS,LAL,33.0,,0,3,-3
202210200LAL,RS,LAL,61.0,T,3,3,0
202210200LAL,RS,LAL,90.0,,3,6,-3
202210200LAL,RS,LAL,160.0,,5,6,-1
202210200LAL,RS,LAL,181.0,LC,7,6,1
202210200LAL,RS,LAL,188.0,LC,7,8,-1
202210200LAL,RS,LAL,212.0,LC,9,8,1
202210200LAL,RS,LAL,234.0,,11,8,3
202210200LAL,RS,LAL,258.0,,12,8,4
202210200LAL,RS,LAL,270.0,,12,10,2
202210200LAL,RS,LAL,311.0,T,12,12,0
202210200LAL,RS,LAL,336.0,,13,12,1
202210200LAL,RS,LAL,336.0,,14,12,2
202210200LAL,RS,LAL,366.0,,15,12,3
202210200LAL,RS,LAL,366.0,,16,12,4
202210200LAL,RS,LAL,377.0,,16,14,2
202210200LAL,RS,LAL,401.0,,18,14,4
202210200LAL,RS,LAL,409.0,,18,15,3
202210200LAL,RS,LAL,424.0,,20,15,5
202210200LAL,RS,LAL,424.0,,21,15,6
202210200LAL,RS,LAL,432.0,,21,17,4
202210200LAL,RS,LAL,432.0,,21,18,3
202210200LAL,RS,LAL,470.0,,23,18,5
202210200LAL,RS,LAL,504.0,,26,18,8
202210200LAL,RS,LAL,519.0,,26,21,5
202210200LAL,RS,LAL,567.0,,28,21,7
202210200LAL,RS,LAL,597.0,,29,21,8
202210200LAL,RS,LAL,597.0,,30,21,9
202210200LAL,RS,LAL,636.0,,30,22,8
202210200LAL,RS,LAL,636.0,,30,23,7
202210200LAL,RS,LAL,676.0,,32,23,9
202210200LAL,RS,LAL,716.0,,35,23,12
202210200LAL,RS,LAL,744.0,,35,25,10
202210200LAL,RS,LAL,767.0,,36,25,11
202210200LAL,RS,LAL,782.0,,36,28,8
202210200LAL,RS,LAL,814.0,,36,31,5
202210200LAL,RS,LAL,838.0,,38,31,7
202210200LAL,RS,LAL,878.0,,41,31,10
202210200LAL,RS,LAL,922.0,,41,33,8
202210200LAL,RS,LAL,950.0,,41,36,5
202210200LAL,RS,LAL,963.0,,44,36,8
202210200LAL,RS,LAL,997.0,,46,36,10
202210200LAL,RS,LAL,1053.0,,48,36,12
202210200LAL,RS,LAL,1082.0,,50,36,14
202210200LAL,RS,LAL,1113.0,,52,36,16
202210200LAL,RS,LAL,1122.0,,52,39,13
202210200LAL,RS,LAL,1174.0,,52,41,11
202210200LAL,RS,LAL,1174.0,,52,42,10
202210200LAL,RS,LAL,1194.0,,52,44,8
202210200LAL,RS,LAL,1217.0,,52,46,6
202210200LAL,RS,LAL,1237.0,,54,46,8
202210200LAL,RS,LAL,1256.0,,54,48,6
202210200LAL,RS,LAL,1317.0,,54,50,4
202210200LAL,RS,LAL,1353.0,,54,51,3
202210200LAL,RS,LAL,1353.0,,54,52,2
202210200LAL,RS,LAL,1370.0,T,54,54,0
202210200LAL,RS,LAL,1386.0,,56,54,2
202210200LAL,RS,LAL,1416.0,,56,55,1
202210200LAL,RS,LAL,1416.0,T,56,56,0
202210200LAL,RS,LAL,1485.0,,59,56,3
202210200LAL,RS,LAL,1533.0,,59,58,1
202210200LAL,RS,LAL,1540.0,,60,58,2
202210200LAL,RS,LAL,1579.0,T,60,60,0
202210200LAL,RS,LAL,1602.0,,61,60,1
202210200LAL,RS,LAL,1659.0,LC,61,63,-2
202210200LAL,RS,LAL,1678.0,T,63,63,0
202210200LAL,RS,LAL,1688.0,,63,65,-2
202210200LAL,RS,LAL,1751.0,T,65,65,0
202210200LAL,RS,LAL,1778.0,LC,66,65,1
202210200LAL,RS,LAL,1778.0,,67,65,2
202210200LAL,RS,LAL,1795.0,,69,65,4
202210200LAL,RS,LAL,1832.0,,71,65,6
202210200LAL,RS,LAL,1851.0,,74,65,9
202210200LAL,RS,LAL,1874.0,,76,65,11
202210200LAL,RS,LAL,1903.0,,77,65,12
202210200LAL,RS,LAL,1903.0,,78,65,13
202210200LAL,RS,LAL,1922.0,,80,65,15
202210200LAL,RS,LAL,1940.0,,80,68,12
202210200LAL,RS,LAL,1962.0,,82,68,14
202210200LAL,RS,LAL,1974.0,,82,69,13
202210200LAL,RS,LAL,2053.0,,82,70,12
202210200LAL,RS,LAL,2053.0,,82,71,11
202210200LAL,RS,LAL,2076.0,,83,71,12
202210200LAL,RS,LAL,2084.0,,83,72,11
202210200LAL,RS,LAL,2084.0,,83,73,10
202210200LAL,RS,LAL,2101.0,,83,75,8
202210200LAL,RS,LAL,2116.0,,85,75,10
202210200LAL,RS,LAL,2124.0,,85,76,9
202210200LAL,RS,LAL,2124.0,,85,77,8
202210200LAL,RS,LAL,2183.0,,85,78,7
202210200LAL,RS,LAL,2183.0,,85,79,6
202210200LAL,RS,LAL,2211.0,,86,79,7
202210200LAL,RS,LAL,2227.0,,86,81,5
202210200LAL,RS,LAL,2263.0,,86,83,3
202210200LAL,RS,LAL,2324.0,,87,83,4
202210200LAL,RS,LAL,2334.0,,87,85,2
202210200LAL,RS,LAL,2380.0,T,87,87,0
202210200LAL,RS,LAL,2399.0,LC,87,89,-2
202210200LAL,RS,LAL,2419.0,T,89,89,0
202210200LAL,RS,LAL,2465.0,LC,92,89,3
202210200LAL,RS,LAL,2496.0,,92,91,1
202210200LAL,RS,LAL,2541.0,,95,91,4
202210200LAL,RS,LAL,2556.0,,95,92,3
202210200LAL,RS,LAL,2556.0,,95,93,2
202210200LAL,RS,LAL,2582.0,,97,93,4
202210200LAL,RS,LAL,2693.0,,99,93,6
202210200LAL,RS,LAL,2816.0,,99,94,5
202210200LAL,RS,LAL,2816.0,,99,95,4
202210200LAL,RS,LAL,2828.0,,101,95,6
202210200LAL,RS,LAL,2847.0,,101,97,4
202210200LAL,RS,LAL,2878.0,,102,97,5
202210200LAL,RS,LAL,2878.0,F,103,97,6
202210200LAL,RS,LAL,2880.0,,103,97,6
202210220SAC,RS,SAC,0.0,,0,0,0
202210220SAC,RS,SAC,16.0,,0,3,-3
202210220SAC,RS,SAC,85.0,,0,6,-6
202210220SAC,RS,SAC,102.0,,2,6,-4
202210220SAC,RS,SAC,126.0,,4,6,-2
202210220SAC,RS,SAC,138.0,,4,8,-4
202210220SAC,RS,SAC,181.0,,4,10,-6
202210220SAC,RS,SAC,229.0,,6,10,-4
202210220SAC,RS,SAC,241.0,,6,12,-6
202210220SAC,RS,SAC,260.0,,9,12,-3
202210220SAC,RS,SAC,278.0,,9,13,-4
202210220SAC,RS,SAC,319.0,,12,13,-1
202210220SAC,RS,SAC,349.0,,12,16,-4
202210220SAC,RS,SAC,364.0,,14,16,-2
202210220SAC,RS,SAC,380.0,,14,18,-4
202210220SAC,RS,SAC,405.0,,16,18,-2
202210220SAC,RS,SAC,435.0,LC,19,18,1
202210220SAC,RS,SAC,460.0,,21,18,3
202210220SAC,RS,SAC,477.0,T,21,21,0
202210220SAC,RS,SAC,494.0,,23,21,2
202210220SAC,RS,SAC,557.0,,26,21,5
202210220SAC,RS,SAC,665.0,,26,22,4
202210220SAC,RS,SAC,665.0,,26,23,3
202210220SAC,RS,SAC,683.0,,27,23,4
202210220SAC,RS,SAC,701.0,,29,23,6
202210220SAC,RS,SAC,719.0,,29,26,3
202210220SAC,RS,SAC,759.0,,31,26,5
202210220SAC,RS,SAC,806.0,,31,28,3
202210220SAC,RS,SAC,845.0,,31,30,1
202210220SAC,RS,SAC,878.0,LC,31,32,-1
202210220SAC,RS,SAC,898.0,T,32,32,0
202210220SAC,RS,SAC,898.0,LC,33,32,1
202210220SAC,RS,SAC,982.0,LC,33,35,-2
202210220SAC,RS,SAC,998.0,T,35,35,0
202210220SAC,RS,SAC,1029.0,LC,38,35,3
202210220SAC,RS,SAC,1045.0,,38,37,1
202210220SAC,RS,SAC,1095.0,,40,37,3
202210220SAC,RS,SAC,1113.0,T,40,40,0
202210220SAC,RS,SAC,1153.0,LC,40,41,-1
202210220SAC,RS,SAC,1192.0,T,41,41,0
202210220SAC,RS,SAC,1192.0,LC,42,41,1
202210220SAC,RS,SAC,1207.0,T,42,42,0
202210220SAC,RS,SAC,1207.0,LC,42,43,-1
202210220SAC,RS,SAC,1229.0,,42,45,-3
202210220SAC,RS,SAC,1256.0,,43,45,-2
202210220SAC,RS,SAC,1256.0,,44,45,-1
202210220SAC,RS,SAC,1268.0,,44,48,-4
202210220SAC,RS,SAC,1292.0,,44,50,-6
202210220SAC,RS,SAC,1335.0,,45,50,-5
202210220SAC,RS,SAC,1335.0,,46,50,-4
202210220SAC,RS,SAC,1390.0,,46,53,-7
202210220SAC,RS,SAC,1407.0,,49,53,-4
202210220SAC,RS,SAC,1422.0,,52,53,-1
202210220SAC,RS,SAC,1437.0,,52,55,-3
202210220SAC,RS,SAC,1440.0,,52,56,-4
202210220SAC,RS,SAC,1462.0,,54,56,-2
202210220SAC,RS,SAC,1481.0,T,56,56,0
202210220SAC,RS,SAC,1481.0,LC,57,56,1
202210220SAC,RS,SAC,1493.0,LC,57,58,-1
202210220SAC,RS,SAC,1507.0,LC,60,58,2
202210220SAC,RS,SAC,1552.0,LC,60,61,-1
202210220SAC,RS,SAC,1570.0,LC,62,61,1
202210220SAC,RS,SAC,1618.0,,65,61,4
202210220SAC,RS,SAC,1634.0,,65,62,3
202210220SAC,RS,SAC,1663.0,,67,62,5
202210220SAC,RS,SAC,1693.0,,67,64,3
202210220SAC,RS,SAC,1722.0,,67,66,1
202210220SAC,RS,SAC,1734.0,,69,66,3
202210220SAC,RS,SAC,1775.0,,69,67,2
202210220SAC,RS,SAC,1794.0,,71,67,4
202210220SAC,RS,SAC,1806.0,,71,69,2
202210220SAC,RS,SAC,1818.0,,73,69,4
202210220SAC,RS,SAC,1835.0,,73,71,2
202210220SAC,RS,SAC,1863.0,,75,71,4
202210220SAC,RS,SAC,1881.0,,75,73,2
202210220SAC,RS,SAC,1898.0,,77,73,4
202210220SAC,RS,SAC,1962.0,,79,73,6
202210220SAC,RS,SAC,1997.0,,81,73,8
202210220SAC,RS,SAC,2014.0,,81,75,6
202210220SAC,RS,SAC,2049.0,,81,76,5
202210220SAC,RS,SAC,2077.0,,81,77,4
202210220SAC,RS,SAC,2077.0,,81,78,3
202210220SAC,RS,SAC,2092.0,,82,78,4
202210220SAC,RS,SAC,2092.0,,83,78,5
202210220SAC,RS,SAC,2104.0,,83,80,3
202210220SAC,RS,SAC,2119.0,,84,80,4
202210220SAC,RS,SAC,2134.0,,85,80,5
202210220SAC,RS,SAC,2134.0,,86,80,6
202210220SAC,RS,SAC,2231.0,,86,83,3
202210220SAC,RS,SAC,2257.0,,87,83,4
202210220SAC,RS,SAC,2257.0,,88,83,5
202210220SAC,RS,SAC,2257.0,,89,83,6
202210220SAC,RS,SAC,2309.0,,91,83,8
202210220SAC,RS,SAC,2329.0,,91,85,6
202210220SAC,RS,SAC,2344.0,,93,85,8
202210220SAC,RS,SAC,2358.0,,95,85,10
202210220SAC,RS,SAC,2393.0,,97,85,12
202210220SAC,RS,SAC,2403.0,,97,87,10
202210220SAC,RS,SAC,2432.0,,99,87,12
202210220SAC,RS,SAC,2459.0,,99,89,10
202210220SAC,RS,SAC,2480.0,,101,89,12
202210220SAC,RS,SAC,2488.0,,101,90,11
202210220SAC,RS,SAC,2488.0,,101,91,10
202210220SAC,RS,SAC,2502.0,,103,91,12
202210220SAC,RS,SAC,2521.0,,103,93,10
202210220SAC,RS,SAC,2580.0,,103,95,8
202210220SAC,RS,SAC,2597.0,,105,95,10
202210220SAC,RS,SAC,2704.0,,105,98,7
