id,type
202310250CHO,RS
202310270ATL,RS
202310290MIL,RS
202310300ATL,RS
202311010ATL,RS
202311040NOP,RS
202311060OKC,RS
202311090ORL,RS
202311110ATL,RS
202311140DET,RS
202311150ATL,RS
202311170ATL,RS
202311210ATL,RS
202311220ATL,RS
202311250WAS,RS
202311260BOS,RS
202311280CLE,RS
202311300SAS,RS
202312020MIL,RS
202312060ATL,RS
202312080PHI,RS
202312110ATL,RS
202312130TOR,RS
202312150TOR,RS
202312160CLE,RS
202312180ATL,RS
202312200HOU,RS
202312220MIA,RS
202312230ATL,RS
202312260CHI,RS
202312290ATL,RS
202312310WAS,RS
202401030ATL,RS
202401050IND,RS
202401070ORL,RS
202401100ATL,RS
202401120ATL,RS
202401130ATL,RS
202401150ATL,RS
202401170ATL,RS
202401190MIA,RS
202401200ATL,RS
202401220SAC,RS
202401240GSW,RS
202401260ATL,RS
202401280ATL,RS
202401300ATL,RS
202402020ATL,RS
202402030ATL,RS
202402050ATL,RS
202402070BOS,RS
202402090PHI,RS
202402100ATL,RS
202402120ATL,RS
202402140CHO,RS
202402230ATL,RS
202402250ATL,RS
202402270ATL,RS
202402290BRK,RS
202403020BRK,RS
202403050NYK,RS
202403060ATL,RS
202403080MEM,RS
202403100ATL,RS
202403130POR,RS
202403150UTA,RS
202403170LAC,RS
202403180LAL,RS
202403210PHO,RS
202403230ATL,RS
202403250ATL,RS
202403270ATL,RS
202403280ATL,RS
202403300ATL,RS
202404010CHI,RS
202404030ATL,RS
202404040DAL,RS
202404060DEN,RS
202404090ATL,RS
202404100ATL,RS
202404120MIN,RS
202404140IND,RS
202404170CHI,RS
