id,type
202310250NYK,RS
202310270BOS,RS
202310300WAS,RS
202311010BOS,RS
202311040BRK,RS
202311060MIN,RS
202311080PHI,RS
202311100BOS,RS
202311110BOS,RS
202311130BOS,RS
202311150PHI,RS
202311170TOR,RS
202311190MEM,RS
202311200CHO,RS
202311220BOS,RS
202311240ORL,RS
202311260BOS,RS
202311280BOS,RS
202312010BOS,RS
202312040IND,RS
202312080BOS,RS
202312120BOS,RS
202312140BOS,RS
202312150BOS,RS
202312170BOS,RS
202312190GSW,RS
202312200SAC,RS
202312230LAC,RS
202312250LAL,RS
202312280BOS,RS
202312290BOS,RS
202312310SAS,RS
202401020OKC,RS
202401050BOS,RS
202401060IND,RS
202401080IND,RS
202401100BOS,RS
202401110MIL,RS
202401130BOS,RS
202401150TOR,RS
202401170BOS,RS
202401190BOS,RS
202401210HOU,RS
202401220DAL,RS
202401250MIA,RS
202401270BOS,RS
202401290BOS,RS
202401300BOS,RS
202402010BOS,RS
202402040BOS,RS
202402070BOS,RS
202402090BOS,RS
202402110MIA,RS
202402130BRK,RS
202402140BOS,RS
202402220CHI,RS
202402240NYK,RS
202402270BOS,RS
202403010BOS,RS
202403030BOS,RS
202403050CLE,RS
202403070DEN,RS
202403090PHO,RS
202403110POR,RS
202403120UTA,RS
202403140BOS,RS
202403170WAS,RS
202403180BOS,RS
202403200BOS,RS
202403220DET,RS
202403230CHI,RS
202403250ATL,RS
202403280ATL,RS
202403300NOP,RS
202404010CHO,RS
202404030BOS,RS
202404050BOS,RS
202404070BOS,RS
202404090MIL,RS
202404110BOS,RS
202404120BOS,RS
202404140BOS,RS
202404210BOS,PO
202404240BOS,PO
202404270MIA,PO
202404290MIA,PO
202405010BOS,PO
202405070BOS,PO
202405090BOS,PO
202405110CLE,PO
202405130CLE,PO
202405150BOS,PO
202405210BOS,PO
202405230BOS,PO
202405250IND,PO
202405270IND,PO
202406060BOS,PO
202406090BOS,PO
202406120DAL,PO
202406140DAL,PO
202406170BOS,PO
