id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250BRK,RS,CLE,0.0,,0,0,0
202310250BRK,RS,CLE,32.0,,0,3,-3
202310250BRK,RS,CLE,46.0,T,3,3,0
202310250BRK,RS,CLE,61.0,,3,5,-2
202310250BRK,RS,CLE,113.0,,3,8,-5
202310250BRK,RS,CLE,141.0,,5,8,-3
202310250BRK,RS,CLE,155.0,,5,10,-5
202310250BRK,RS,CLE,183.0,,5,12,-7
202310250BRK,RS,CLE,218.0,,5,14,-9
202310250BRK,RS,CLE,236.0,,5,16,-11
202310250BRK,RS,CLE,256.0,,7,16,-9
202310250BRK,RS,CLE,279.0,,7,19,-12
202310250BRK,RS,CLE,302.0,,9,19,-10
202310250BRK,RS,CLE,350.0,,9,22,-13
202310250BRK,RS,CLE,368.0,,12,22,-10
202310250BRK,RS,CLE,386.0,,12,24,-12
202310250BRK,RS,CLE,396.0,,14,24,-10
202310250BRK,RS,CLE,420.0,,15,24,-9
202310250BRK,RS,CLE,443.0,,17,24,-7
202310250BRK,RS,CLE,467.0,,17,26,-9
202310250BRK,RS,CLE,494.0,,17,29,-12
202310250BRK,RS,CLE,515.0,,18,29,-11
202310250BRK,RS,CLE,515.0,,19,29,-10
202310250BRK,RS,CLE,523.0,,19,30,-11
202310250BRK,RS,CLE,523.0,,19,31,-12
202310250BRK,RS,CLE,539.0,,21,31,-10
202310250BRK,RS,CLE,571.0,,23,31,-8
202310250BRK,RS,CLE,590.0,,23,33,-10
202310250BRK,RS,CLE,608.0,,24,33,-9
202310250BRK,RS,CLE,608.0,,25,33,-8
202310250BRK,RS,CLE,640.0,,27,33,-6
202310250BRK,RS,CLE,656.0,,28,33,-5
202310250BRK,RS,CLE,682.0,,28,35,-7
202310250BRK,RS,CLE,689.0,,31,35,-4
202310250BRK,RS,CLE,709.0,,31,37,-6
202310250BRK,RS,CLE,717.0,,32,37,-5
202310250BRK,RS,CLE,737.0,,32,40,-8
202310250BRK,RS,CLE,753.0,,34,40,-6
202310250BRK,RS,CLE,794.0,,37,40,-3
202310250BRK,RS,CLE,813.0,,37,42,-5
202310250BRK,RS,CLE,826.0,,38,42,-4
202310250BRK,RS,CLE,826.0,,39,42,-3
202310250BRK,RS,CLE,841.0,,39,44,-5
202310250BRK,RS,CLE,913.0,,40,44,-4
202310250BRK,RS,CLE,913.0,,41,44,-3
202310250BRK,RS,CLE,991.0,,41,47,-6
202310250BRK,RS,CLE,1016.0,,43,47,-4
202310250BRK,RS,CLE,1040.0,,46,47,-1
202310250BRK,RS,CLE,1074.0,T,47,47,0
202310250BRK,RS,CLE,1098.0,,47,50,-3
202310250BRK,RS,CLE,1123.0,,47,53,-6
202310250BRK,RS,CLE,1133.0,,49,53,-4
202310250BRK,RS,CLE,1149.0,,49,56,-7
202310250BRK,RS,CLE,1223.0,,52,56,-4
202310250BRK,RS,CLE,1261.0,,54,56,-2
202310250BRK,RS,CLE,1292.0,T,56,56,0
202310250BRK,RS,CLE,1338.0,LC,58,56,2
202310250BRK,RS,CLE,1350.0,LC,58,59,-1
202310250BRK,RS,CLE,1384.0,,58,61,-3
202310250BRK,RS,CLE,1402.0,,60,61,-1
202310250BRK,RS,CLE,1402.0,T,61,61,0
202310250BRK,RS,CLE,1410.0,,61,63,-2
202310250BRK,RS,CLE,1421.0,T,63,63,0
202310250BRK,RS,CLE,1457.0,,63,66,-3
202310250BRK,RS,CLE,1511.0,,63,69,-6
202310250BRK,RS,CLE,1551.0,,65,69,-4
202310250BRK,RS,CLE,1565.0,,65,70,-5
202310250BRK,RS,CLE,1565.0,,65,71,-6
202310250BRK,RS,CLE,1587.0,,65,73,-8
202310250BRK,RS,CLE,1638.0,,67,73,-6
202310250BRK,RS,CLE,1672.0,,69,73,-4
202310250BRK,RS,CLE,1672.0,,70,73,-3
202310250BRK,RS,CLE,1709.0,,70,75,-5
