id,type
202310250CHI,RS
202310270CHI,RS
202310280DET,RS
202310300IND,RS
202311010DAL,RS
202311030CHI,RS
202311040DEN,RS
202311060CHI,RS
202311080CHI,RS
202311120CHI,RS
202311130MIL,RS
202311150CHI,RS
202311170CHI,RS
202311180CHI,RS
202311200CHI,RS
202311220OKC,RS
202311240TOR,RS
202311260BRK,RS
202311280BOS,RS
202311300CHI,RS
202312020CHI,RS
202312060CHI,RS
202312080SAS,RS
202312110MIL,RS
202312120CHI,RS
202312140MIA,RS
202312160MIA,RS
202312180PHI,RS
202312200CHI,RS
202312210CHI,RS
202312230CHI,RS
202312260CHI,RS
202312280CHI,RS
202312300CHI,RS
202401020PHI,RS
202401030NYK,RS
202401050CHI,RS
202401080CHO,RS
202401100CHI,RS
202401120CHI,RS
202401130SAS,RS
202401150CLE,RS
202401180TOR,RS
202401200CHI,RS
202401220PHO,RS
202401250LAL,RS
202401280POR,RS
202401300CHI,RS
202401310CHO,RS
202402030CHI,RS
202402060CHI,RS
202402080MEM,RS
202402100ORL,RS
202402120ATL,RS
202402140CLE,RS
202402220CHI,RS
202402250NOP,RS
202402270CHI,RS
202402280CHI,RS
202403010CHI,RS
202403040SAC,RS
202403060UTA,RS
202403070GSW,RS
202403090LAC,RS
202403110CHI,RS
202403130IND,RS
202403140CHI,RS
202403160CHI,RS
202403180CHI,RS
202403210HOU,RS
202403230CHI,RS
202403250CHI,RS
202403270CHI,RS
202403290BRK,RS
202403310MIN,RS
202404010CHI,RS
202404050CHI,RS
202404070ORL,RS
202404090CHI,RS
202404110DET,RS
202404120WAS,RS
202404140NYK,RS
202404170CHI,RS
202404190MIA,RS
