id,type
202310250BRK,RS
202310270CLE,RS
202310280CLE,RS
202310310CLE,RS
202311010NYK,RS
202311030IND,RS
202311050CLE,RS
202311080OKC,RS
202311110GSW,RS
202311130SAC,RS
202311150POR,RS
202311170CLE,RS
202311190CLE,RS
202311210PHI,RS
202311220CLE,RS
202311250CLE,RS
202311260CLE,RS
202311280CLE,RS
202311300CLE,RS
202312020DET,RS
202312060CLE,RS
202312080MIA,RS
202312110ORL,RS
202312120BOS,RS
202312140BOS,RS
202312160CLE,RS
202312180CLE,RS
202312200CLE,RS
202312210CLE,RS
202312230CHI,RS
202312270DAL,RS
202312290CLE,RS
202401010TOR,RS
202401030CLE,RS
202401050CLE,RS
202401070CLE,RS
202401110CLE,RS
202401150CLE,RS
202401170CLE,RS
202401200ATL,RS
202401220ORL,RS
202401240MIL,RS
202401260MIL,RS
202401290CLE,RS
202401310CLE,RS
202402010MEM,RS
202402030SAS,RS
202402050CLE,RS
202402070WAS,RS
202402080BRK,RS
202402100TOR,RS
202402120CLE,RS
202402140CLE,RS
202402220CLE,RS
202402230PHI,RS
202402250WAS,RS
202402270CLE,RS
202402280CHI,RS
202403010DET,RS
202403030CLE,RS
202403050CLE,RS
202403060ATL,RS
202403080CLE,RS
202403100CLE,RS
202403110CLE,RS
202403130NOP,RS
202403160HOU,RS
202403180IND,RS
202403200CLE,RS
202403220MIN,RS
202403240MIA,RS
202403250CLE,RS
202403270CHO,RS
202403290CLE,RS
202403310DEN,RS
202404020UTA,RS
202404030PHO,RS
202404060LAL,RS
202404070LAC,RS
202404100CLE,RS
202404120CLE,RS
202404140CLE,RS
202404200CLE,PO
202404220CLE,PO
202404250ORL,PO
202404270ORL,PO
202404300CLE,PO
202405030ORL,PO
202405050CLE,PO
202405070BOS,PO
202405090BOS,PO
202405110CLE,PO
202405130CLE,PO
202405150BOS,PO
