id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250BRK,RS,BRK,0.0,,0,0,0
202310250BRK,RS,BRK,32.0,,3,0,3
202310250BRK,RS,BRK,46.0,T,3,3,0
202310250BRK,RS,BRK,61.0,,5,3,2
202310250BRK,RS,BRK,113.0,,8,3,5
202310250BRK,RS,BRK,141.0,,8,5,3
202310250BRK,RS,BRK,155.0,,10,5,5
202310250BRK,RS,BRK,183.0,,12,5,7
202310250BRK,RS,BRK,218.0,,14,5,9
202310250BRK,RS,BRK,236.0,,16,5,11
202310250BRK,RS,BRK,256.0,,16,7,9
202310250BRK,RS,BRK,279.0,,19,7,12
202310250BRK,RS,BRK,302.0,,19,9,10
202310250BRK,RS,BRK,350.0,,22,9,13
202310250BRK,RS,BRK,368.0,,22,12,10
202310250BRK,RS,BRK,386.0,,24,12,12
202310250BRK,RS,BRK,396.0,,24,14,10
202310250BRK,RS,BRK,420.0,,24,15,9
202310250BRK,RS,BRK,443.0,,24,17,7
202310250BRK,RS,BRK,467.0,,26,17,9
202310250BRK,RS,BRK,494.0,,29,17,12
202310250BRK,RS,BRK,515.0,,29,18,11
202310250BRK,RS,BRK,515.0,,29,19,10
202310250BRK,RS,BRK,523.0,,30,19,11
202310250BRK,RS,BRK,523.0,,31,19,12
202310250BRK,RS,BRK,539.0,,31,21,10
202310250BRK,RS,BRK,571.0,,31,23,8
202310250BRK,RS,BRK,590.0,,33,23,10
202310250BRK,RS,BRK,608.0,,33,24,9
202310250BRK,RS,BRK,608.0,,33,25,8
202310250BRK,RS,BRK,640.0,,33,27,6
202310250BRK,RS,BRK,656.0,,33,28,5
202310250BRK,RS,BRK,682.0,,35,28,7
202310250BRK,RS,BRK,689.0,,35,31,4
202310250BRK,RS,BRK,709.0,,37,31,6
202310250BRK,RS,BRK,717.0,,37,32,5
202310250BRK,RS,BRK,737.0,,40,32,8
202310250BRK,RS,BRK,753.0,,40,34,6
202310250BRK,RS,BRK,794.0,,40,37,3
202310250BRK,RS,BRK,813.0,,42,37,5
202310250BRK,RS,BRK,826.0,,42,38,4
202310250BRK,RS,BRK,826.0,,42,39,3
202310250BRK,RS,BRK,841.0,,44,39,5
202310250BRK,RS,BRK,913.0,,44,40,4
202310250BRK,RS,BRK,913.0,,44,41,3
202310250BRK,RS,BRK,991.0,,47,41,6
202310250BRK,RS,BRK,1016.0,,47,43,4
202310250BRK,RS,BRK,1040.0,,47,46,1
202310250BRK,RS,BRK,1074.0,T,47,47,0
202310250BRK,RS,BRK,1098.0,,50,47,3
202310250BRK,RS,BRK,1123.0,,53,47,6
202310250BRK,RS,BRK,1133.0,,53,49,4
202310250BRK,RS,BRK,1149.0,,56,49,7
202310250BRK,RS,BRK,1223.0,,56,52,4
202310250BRK,RS,BRK,1261.0,,56,54,2
202310250BRK,RS,BRK,1292.0,T,56,56,0
202310250BRK,RS,BRK,1338.0,LC,56,58,-2
202310250BRK,RS,BRK,1350.0,LC,59,58,1
202310250BRK,RS,BRK,1384.0,,61,58,3
202310250BRK,RS,BRK,1402.0,,61,60,1
202310250BRK,RS,BRK,1402.0,T,61,61,0
202310250BRK,RS,BRK,1410.0,,63,61,2
202310250BRK,RS,BRK,1421.0,T,63,63,0
202310250BRK,RS,BRK,1457.0,,66,63,3
202310250BRK,RS,BRK,1511.0,,69,63,6
202310250BRK,RS,BRK,1551.0,,69,65,4
202310250BRK,RS,BRK,1565.0,,70,65,5
202310250BRK,RS,BRK,1565.0,,71,65,6
202310250BRK,RS,BRK,1587.0,,73,65,8
202310250BRK,RS,BRK,1638.0,,73,67,6
202310250BRK,RS,BRK,1672.0,,73,69,4
202310250BRK,RS,BRK,1672.0,,73,70,3
202310250BRK,RS,BRK,1709.0,,75,70,5
202310250BRK,RS,BRK,1743.0,,77,70,7
202310250BRK,RS,BRK,1757.0,,77,73,4
202310250BRK,RS,BRK,1770.0,,79,73,6
202310250BRK,RS,BRK,1830.0,,81,73,8
202310250BRK,RS,BRK,1860.0,,83,73,10
202310250BRK,RS,BRK,1880.0,,83,75,8
202310250BRK,RS,BRK,1906.0,,83,77,6
202310250BRK,RS,BRK,1941.0,,83,79,4
202310250BRK,RS,BRK,2016.0,,85,79,6
202310250BRK,RS,BRK,2053.0,,85,81,4
202310250BRK,RS,BRK,2073.0,,87,81,6
202310250BRK,RS,BRK,2094.0,,87,83,4
202310250BRK,RS,BRK,2110.0,,90,83,7
202310250BRK,RS,BRK,2119.0,,90,85,5
202310250BRK,RS,BRK,2148.0,,90,87,3
202310250BRK,RS,BRK,2180.0,,90,89,1
202310250BRK,RS,BRK,2211.0,,93,89,4
202310250BRK,RS,BRK,2228.0,,93,91,2
202310250BRK,RS,BRK,2255.0,,94,91,3
202310250BRK,RS,BRK,2255.0,,95,91,4
202310250BRK,RS,BRK,2271.0,,95,92,3
202310250BRK,RS,BRK,2280.0,,95,94,1
202310250BRK,RS,BRK,2320.0,LC,95,97,-2
202310250BRK,RS,BRK,2349.0,,95,99,-4
202310250BRK,RS,BRK,2393.0,,95,101,-6
202310250BRK,RS,BRK,2412.0,,98,101,-3
202310250BRK,RS,BRK,2457.0,,98,103,-5
202310250BRK,RS,BRK,2506.0,,100,103,-3
202310250BRK,RS,BRK,2556.0,,102,103,-1
202310250BRK,RS,BRK,2607.0,,102,105,-3
202310250BRK,RS,BRK,2649.0,,103,105,-2
202310250BRK,RS,BRK,2739.0,T,105,105,0
202310250BRK,RS,BRK,2762.0,,105,108,-3
202310250BRK,RS,BRK,2784.0,,105,109,-4
202310250BRK,RS,BRK,2796.0,,105,110,-5
202310250BRK,RS,BRK,2796.0,,105,111,-6
202310250BRK,RS,BRK,2804.0,,107,111,-4
202310250BRK,RS,BRK,2825.0,,108,111,-3
202310250BRK,RS,BRK,2825.0,,109,111,-2
202310250BRK,RS,BRK,2839.0,T,111,111,0
202310250BRK,RS,BRK,2861.0,,111,112,-1
202310250BRK,RS,BRK,2861.0,,111,113,-2
202310250BRK,RS,BRK,2868.0,F,114,113,1
202310250BRK,RS,BRK,2880.0,,114,113,1
202310270CLE,RS,OKC,0.0,,0,0,0
202310270CLE,RS,OKC,31.0,,0,3,-3
202310270CLE,RS,OKC,99.0,,0,4,-4
202310270CLE,RS,OKC,99.0,,0,5,-5
202310270CLE,RS,OKC,180.0,,0,7,-7
202310270CLE,RS,OKC,223.0,,3,7,-4
202310270CLE,RS,OKC,260.0,,4,7,-3
202310270CLE,RS,OKC,260.0,,5,7,-2
202310270CLE,RS,OKC,285.0,T,7,7,0
202310270CLE,RS,OKC,306.0,,7,9,-2
202310270CLE,RS,OKC,333.0,,7,11,-4
202310270CLE,RS,OKC,351.0,,9,11,-2
202310270CLE,RS,OKC,362.0,,9,14,-5
202310270CLE,RS,OKC,402.0,,11,14,-3
202310270CLE,RS,OKC,417.0,,13,14,-1
202310270CLE,RS,OKC,427.0,,13,17,-4
202310270CLE,RS,OKC,439.0,,14,17,-3
202310270CLE,RS,OKC,439.0,,15,17,-2
202310270CLE,RS,OKC,455.0,T,17,17,0
202310270CLE,RS,OKC,482.0,LC,18,17,1
202310270CLE,RS,OKC,482.0,,19,17,2
202310270CLE,RS,OKC,493.0,T,19,19,0
202310270CLE,RS,OKC,529.0,LC,19,21,-2
202310270CLE,RS,OKC,556.0,,19,23,-4
202310270CLE,RS,OKC,576.0,,19,24,-5
202310270CLE,RS,OKC,576.0,,19,25,-6
202310270CLE,RS,OKC,596.0,,21,25,-4
202310270CLE,RS,OKC,612.0,,21,27,-6
202310270CLE,RS,OKC,624.0,,23,27,-4
202310270CLE,RS,OKC,669.0,,25,27,-2
202310270CLE,RS,OKC,691.0,,25,29,-4
202310270CLE,RS,OKC,706.0,,26,29,-3
202310270CLE,RS,OKC,717.0,,26,31,-5
202310270CLE,RS,OKC,772.0,,26,33,-7
202310270CLE,RS,OKC,804.0,,26,36,-10
202310270CLE,RS,OKC,906.0,,26,37,-11
202310270CLE,RS,OKC,906.0,,26,38,-12
202310270CLE,RS,OKC,954.0,,26,41,-15
202310270CLE,RS,OKC,976.0,,28,41,-13
202310270CLE,RS,OKC,1053.0,,30,41,-11
202310270CLE,RS,OKC,1078.0,,32,41,-9
202310270CLE,RS,OKC,1095.0,,33,41,-8
202310270CLE,RS,OKC,1131.0,,33,42,-9
202310270CLE,RS,OKC,1161.0,,33,44,-11
202310270CLE,RS,OKC,1179.0,,36,44,-8
202310270CLE,RS,OKC,1258.0,,36,46,-10
202310270CLE,RS,OKC,1277.0,,36,48,-12
202310270CLE,RS,OKC,1292.0,,36,50,-14
202310270CLE,RS,OKC,1321.0,,38,50,-12
202310270CLE,RS,OKC,1344.0,,38,52,-14
202310270CLE,RS,OKC,1363.0,,41,52,-11
202310270CLE,RS,OKC,1387.0,,42,52,-10
202310270CLE,RS,OKC,1488.0,,42,53,-11
202310270CLE,RS,OKC,1510.0,,45,53,-8
202310270CLE,RS,OKC,1539.0,,48,53,-5
202310270CLE,RS,OKC,1581.0,,48,55,-7
202310270CLE,RS,OKC,1608.0,,48,58,-10
202310270CLE,RS,OKC,1631.0,,50,58,-8
202310270CLE,RS,OKC,1657.0,,51,58,-7
202310270CLE,RS,OKC,1657.0,,52,58,-6
202310270CLE,RS,OKC,1679.0,,52,60,-8
202310270CLE,RS,OKC,1690.0,,55,60,-5
202310270CLE,RS,OKC,1712.0,,57,60,-3
202310270CLE,RS,OKC,1757.0,,57,62,-5
202310270CLE,RS,OKC,1769.0,,60,62,-2
202310270CLE,RS,OKC,1793.0,T,62,62,0
202310270CLE,RS,OKC,1819.0,LC,64,62,2
202310270CLE,RS,OKC,1829.0,T,64,64,0
202310270CLE,RS,OKC,1856.0,LC,64,67,-3
202310270CLE,RS,OKC,1884.0,,65,67,-2
202310270CLE,RS,OKC,1884.0,,66,67,-1
202310270CLE,RS,OKC,1913.0,LC,69,67,2
202310270CLE,RS,OKC,1947.0,T,69,69,0
202310270CLE,RS,OKC,1966.0,LC,69,71,-2
202310270CLE,RS,OKC,1989.0,T,71,71,0
202310270CLE,RS,OKC,2017.0,,71,73,-2
202310270CLE,RS,OKC,2038.0,T,73,73,0
202310270CLE,RS,OKC,2053.0,,73,75,-2
202310270CLE,RS,OKC,2078.0,T,75,75,0
202310270CLE,RS,OKC,2090.0,,75,77,-2
202310270CLE,RS,OKC,2131.0,,75,78,-3
202310270CLE,RS,OKC,2131.0,,75,79,-4
202310270CLE,RS,OKC,2180.0,,78,79,-1
202310270CLE,RS,OKC,2205.0,,78,81,-3
202310270CLE,RS,OKC,2214.0,T,81,81,0
202310270CLE,RS,OKC,2245.0,LC,83,81,2
202310270CLE,RS,OKC,2255.0,LC,83,84,-1
202310270CLE,RS,OKC,2270.0,T,84,84,0
202310270CLE,RS,OKC,2322.0,LC,85,84,1
202310270CLE,RS,OKC,2322.0,,86,84,2
202310270CLE,RS,OKC,2351.0,T,86,86,0
202310270CLE,RS,OKC,2367.0,,88,86,2
202310270CLE,RS,OKC,2444.0,,88,87,1
202310270CLE,RS,OKC,2483.0,,90,87,3
202310270CLE,RS,OKC,2483.0,,91,87,4
202310270CLE,RS,OKC,2526.0,,91,90,1
202310270CLE,RS,OKC,2558.0,,93,90,3
202310270CLE,RS,OKC,2608.0,,96,90,6
202310270CLE,RS,OKC,2663.0,,98,90,8
202310270CLE,RS,OKC,2723.0,,100,90,10
202310270CLE,RS,OKC,2742.0,,100,93,7
202310270CLE,RS,OKC,2764.0,,102,93,9
202310270CLE,RS,OKC,2771.0,,102,96,6
202310270CLE,RS,OKC,2804.0,,102,99,3
202310270CLE,RS,OKC,2817.0,T,102,102,0
202310270CLE,RS,OKC,2852.0,LC,102,104,-2
202310270CLE,RS,OKC,2869.0,,102,105,-3
202310270CLE,RS,OKC,2869.0,,102,106,-4
202310270CLE,RS,OKC,2874.0,,105,106,-1
202310270CLE,RS,OKC,2876.0,,105,107,-2
202310270CLE,RS,OKC,2876.0,F,105,108,-3
202310270CLE,RS,OKC,2880.0,,105,108,-3
202310280CLE,RS,IND,0.0,,0,0,0
202310280CLE,RS,IND,28.0,,2,0,2
202310280CLE,RS,IND,50.0,LC,2,3,-1
202310280CLE,RS,IND,71.0,LC,4,3,1
202310280CLE,RS,IND,102.0,,6,3,3
202310280CLE,RS,IND,120.0,,8,3,5
202310280CLE,RS,IND,146.0,,10,3,7
202310280CLE,RS,IND,169.0,,12,3,9
202310280CLE,RS,IND,201.0,,15,3,12
202310280CLE,RS,IND,217.0,,15,4,11
202310280CLE,RS,IND,217.0,,15,5,10
202310280CLE,RS,IND,275.0,,17,5,12
202310280CLE,RS,IND,285.0,,17,7,10
