id,type
202310250SAS,RS
202310270DAL,RS
202310300MEM,RS
202311010DAL,RS
202311030DEN,RS
202311050DAL,RS
202311060ORL,RS
202311080DAL,RS
202311100DAL,RS
202311120NOP,RS
202311140NOP,RS
202311150WAS,RS
202311180MIL,RS
202311190DAL,RS
202311220LAL,RS
202311250LAC,RS
202311280DAL,RS
202312010DAL,RS
202312020DAL,RS
202312060DAL,RS
202312080POR,RS
202312110MEM,RS
202312120DAL,RS
202312140DAL,RS
202312160POR,RS
202312180DEN,RS
202312200DAL,RS
202312220HOU,RS
202312230DAL,RS
202312250PHO,RS
202312270DAL,RS
202312280MIN,RS
202312300GSW,RS
202401010UTA,RS
202401030DAL,RS
202401050DAL,RS
202401070DAL,RS
202401090DAL,RS
202401110DAL,RS
202401130DAL,RS
202401150DAL,RS
202401170LAL,RS
202401220DAL,RS
202401240DAL,RS
202401260ATL,RS
202401270DAL,RS
202401290DAL,RS
202401310MIN,RS
202402030DAL,RS
202402050PHI,RS
202402060BRK,RS
202402080NYK,RS
202402100DAL,RS
202402120DAL,RS
202402140DAL,RS
202402220DAL,RS
202402250IND,RS
202402270CLE,RS
202402280TOR,RS
202403010BOS,RS
202403030DAL,RS
202403050DAL,RS
202403070DAL,RS
202403090DET,RS
202403110CHI,RS
202403130DAL,RS
202403140OKC,RS
202403170DAL,RS
202403190SAS,RS
202403210DAL,RS
202403250UTA,RS
202403260SAC,RS
202403290SAC,RS
202403310HOU,RS
202404020GSW,RS
202404040DAL,RS
202404050DAL,RS
202404070DAL,RS
202404090CHO,RS
202404100MIA,RS
202404120DAL,RS
202404140OKC,RS
202404210LAC,PO
202404230LAC,PO
202404260DAL,PO
202404280DAL,PO
202405010LAC,PO
202405030DAL,PO
202405070OKC,PO
202405090OKC,PO
202405110DAL,PO
202405130DAL,PO
202405150OKC,PO
202405180DAL,PO
202405220MIN,PO
202405240MIN,PO
202405260DAL,PO
202405280DAL,PO
202405300MIN,PO
202406060BOS,PO
202406090BOS,PO
202406120DAL,PO
202406140DAL,PO
202406170BOS,PO
