id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250SAS,RS,SAS,0.0,,0,0,0
202310250SAS,RS,SAS,20.0,,0,2,-2
202310250SAS,RS,SAS,71.0,,0,4,-4
202310250SAS,RS,SAS,113.0,,0,5,-5
202310250SAS,RS,SAS,113.0,,0,6,-6
202310250SAS,RS,SAS,126.0,,3,6,-3
202310250SAS,RS,SAS,163.0,,3,8,-5
202310250SAS,RS,SAS,177.0,,6,8,-2
202310250SAS,RS,SAS,190.0,,6,10,-4
202310250SAS,RS,SAS,202.0,,7,10,-3
202310250SAS,RS,SAS,216.0,,7,13,-6
202310250SAS,RS,SAS,234.0,,7,16,-9
202310250SAS,RS,SAS,251.0,,9,16,-7
202310250SAS,RS,SAS,259.0,,9,17,-8
202310250SAS,RS,SAS,259.0,,9,18,-9
202310250SAS,RS,SAS,284.0,,12,18,-6
202310250SAS,RS,SAS,303.0,,12,19,-7
202310250SAS,RS,SAS,325.0,,12,21,-9
202310250SAS,RS,SAS,339.0,,15,21,-6
202310250SAS,RS,SAS,356.0,,17,21,-4
202310250SAS,RS,SAS,370.0,,19,21,-2
202310250SAS,RS,SAS,398.0,,19,24,-5
202310250SAS,RS,SAS,413.0,,19,26,-7
202310250SAS,RS,SAS,429.0,,20,26,-6
202310250SAS,RS,SAS,443.0,,20,27,-7
202310250SAS,RS,SAS,443.0,,20,28,-8
202310250SAS,RS,SAS,476.0,,21,28,-7
202310250SAS,RS,SAS,476.0,,22,28,-6
202310250SAS,RS,SAS,488.0,,22,30,-8
202310250SAS,RS,SAS,510.0,,24,30,-6
202310250SAS,RS,SAS,517.0,,24,32,-8
202310250SAS,RS,SAS,548.0,,24,35,-11
202310250SAS,RS,SAS,561.0,,26,35,-9
202310250SAS,RS,SAS,593.0,,28,35,-7
202310250SAS,RS,SAS,609.0,,28,38,-10
202310250SAS,RS,SAS,623.0,,30,38,-8
202310250SAS,RS,SAS,633.0,,30,40,-10
202310250SAS,RS,SAS,648.0,,32,40,-8
202310250SAS,RS,SAS,677.0,,33,40,-7
202310250SAS,RS,SAS,677.0,,34,40,-6
202310250SAS,RS,SAS,686.0,,34,43,-9
202310250SAS,RS,SAS,690.0,,36,43,-7
202310250SAS,RS,SAS,757.0,,39,43,-4
202310250SAS,RS,SAS,777.0,,39,45,-6
202310250SAS,RS,SAS,787.0,,41,45,-4
202310250SAS,RS,SAS,837.0,,41,47,-6
202310250SAS,RS,SAS,865.0,,43,47,-4
202310250SAS,RS,SAS,865.0,,44,47,-3
202310250SAS,RS,SAS,899.0,,44,50,-6
202310250SAS,RS,SAS,947.0,,45,50,-5
202310250SAS,RS,SAS,974.0,,47,50,-3
202310250SAS,RS,SAS,1012.0,,49,50,-1
202310250SAS,RS,SAS,1054.0,,49,52,-3
202310250SAS,RS,SAS,1071.0,T,52,52,0
202310250SAS,RS,SAS,1190.0,,52,54,-2
202310250SAS,RS,SAS,1205.0,T,54,54,0
202310250SAS,RS,SAS,1227.0,,54,56,-2
202310250SAS,RS,SAS,1244.0,T,56,56,0
202310250SAS,RS,SAS,1248.0,,56,58,-2
202310250SAS,RS,SAS,1248.0,,56,59,-3
202310250SAS,RS,SAS,1276.0,,56,61,-5
202310250SAS,RS,SAS,1308.0,,56,63,-7
202310250SAS,RS,SAS,1341.0,,56,65,-9
202310250SAS,RS,SAS,1367.0,,56,68,-12
202310250SAS,RS,SAS,1383.0,,57,68,-11
202310250SAS,RS,SAS,1383.0,,58,68,-10
202310250SAS,RS,SAS,1400.0,,60,68,-8
202310250SAS,RS,SAS,1400.0,,61,68,-7
202310250SAS,RS,SAS,1419.0,,64,68,-4
202310250SAS,RS,SAS,1478.0,,64,70,-6
202310250SAS,RS,SAS,1530.0,,66,70,-4
202310250SAS,RS,SAS,1548.0,,66,72,-6
202310250SAS,RS,SAS,1623.0,,68,72,-4
202310250SAS,RS,SAS,1639.0,,69,72,-3
202310250SAS,RS,SAS,1657.0,,71,72,-1
202310250SAS,RS,SAS,1680.0,LC,73,72,1
202310250SAS,RS,SAS,1698.0,LC,73,74,-1
202310250SAS,RS,SAS,1710.0,LC,75,74,1
202310250SAS,RS,SAS,1729.0,LC,75,76,-1
202310250SAS,RS,SAS,1783.0,LC,77,76,1
202310250SAS,RS,SAS,1783.0,,78,76,2
202310250SAS,RS,SAS,1821.0,T,78,78,0
202310250SAS,RS,SAS,1856.0,,80,78,2
202310250SAS,RS,SAS,1877.0,T,80,80,0
202310250SAS,RS,SAS,1893.0,,83,80,3
202310250SAS,RS,SAS,1934.0,,83,81,2
202310250SAS,RS,SAS,1934.0,,83,82,1
202310250SAS,RS,SAS,1965.0,LC,83,85,-2
202310250SAS,RS,SAS,1982.0,,83,87,-4
202310250SAS,RS,SAS,1995.0,,86,87,-1
202310250SAS,RS,SAS,2024.0,,86,89,-3
202310250SAS,RS,SAS,2035.0,,88,89,-1
202310250SAS,RS,SAS,2049.0,,88,91,-3
202310250SAS,RS,SAS,2065.0,T,91,91,0
202310250SAS,RS,SAS,2093.0,LC,92,91,1
202310250SAS,RS,SAS,2093.0,,93,91,2
202310250SAS,RS,SAS,2157.0,,96,91,5
202310250SAS,RS,SAS,2172.0,,96,93,3
202310250SAS,RS,SAS,2200.0,,96,95,1
202310250SAS,RS,SAS,2231.0,,98,95,3
202310250SAS,RS,SAS,2269.0,,100,95,5
